x,y
399.1926,0.1265711
401.1211,0.1222456
403.0495,0.1214589
404.978,0.1250082
406.9065,0.125163
408.8349,0.1288967
410.7634,0.130575
412.6919,0.1313749
414.6203,0.133669
416.5488,0.1341728
418.4773,0.1342535
420.4057,0.1339582
422.3342,0.1373881
424.2627,0.1397711
426.1911,0.1395348
428.1196,0.138179
430.0481,0.1386158
431.9765,0.1413766
433.905,0.1416007
435.8335,0.1394502
437.7619,0.1402921
439.6904,0.1395581
441.6189,0.1368625
443.5473,0.1344437
445.4758,0.1329509
447.4043,0.1305665
449.3327,0.1282982
451.2612,0.1259833
453.1897,0.1240959
455.1181,0.1217328
457.0466,0.119003
458.9751,0.1180279
460.9035,0.11726
462.832,0.1162077
464.7605,0.1151809
466.6889,0.1134037
468.6174,0.1119868
470.5459,0.1108788
472.4743,0.1086937
474.4028,0.1062975
476.3313,0.105047
478.2597,0.1038132
480.1882,0.1022008
482.1167,0.1012136
484.0451,0.100937
485.9736,0.1005961
487.9021,0.1003285
489.8305,0.1005589
491.759,0.1008083
493.6875,0.1008283
495.6159,0.1005841
497.5444,0.1009373
499.4729,0.1012083
501.4013,0.1008497
503.3298,0.1009403
505.2583,0.1010254
507.1867,0.1014778
509.1152,0.1018674
511.0437,0.1024016
512.9721,0.1024879
514.9006,0.1026117
516.829,0.1034659
518.7575,0.1041118
520.686,0.1046374
522.6144,0.1060241
524.5429,0.1074481
526.4714,0.109152
528.3998,0.1101103
530.3283,0.1114795
532.2568,0.1128696
534.1852,0.113608
536.1137,0.1150212
538.0422,0.1162704
539.9706,0.1169884
541.8991,0.1176965
543.8276,0.1178826
545.756,0.1178518
547.6845,0.1173506
549.613,0.1168848
551.5414,0.1162413
553.4699,0.1154889
555.3984,0.1141883
557.3268,0.1132179
559.2553,0.1120053
561.1838,0.1103627
563.1122,0.1084097
565.0407,0.1062575
566.9692,0.1048118
568.8976,0.1031574
570.8261,0.1007566
572.7546,0.09820087
574.683,0.09598631
576.6115,0.0938437
578.54,0.09200381
580.4684,0.08987328
582.3969,0.08737206
584.3254,0.08462612
586.2538,0.08221851
588.1823,0.07981093
590.1108,0.07710674
592.0392,0.07421257
593.9677,0.07164645
595.8962,0.06880684
597.8246,0.06577151
599.7531,0.0629449
601.6816,0.06003535
603.61,0.05752289
605.5385,0.05518752
607.467,0.05252842
609.3954,0.04968316
611.3239,0.04756616
613.2524,0.04587412
615.1808,0.04423795
617.1093,0.04296441
619.0378,0.04199894
620.9662,0.04093666
622.8947,0.04018861
624.8232,0.03963917
626.7516,0.03916319
628.6801,0.03887089
630.6086,0.03862217
632.537,0.03819776
634.4655,0.03808438
636.394,0.03793873
638.3224,0.03793167
640.2509,0.03814883
642.1794,0.03809239
644.1078,0.03828292
646.0363,0.03882898
647.9648,0.03892118
649.8932,0.03882138
651.8217,0.03902449
653.7502,0.03933357
655.6786,0.03950385
657.6071,0.03977978
659.5356,0.04011627
661.4641,0.04035506
663.3925,0.04059632
665.321,0.0407615
667.2495,0.04103198
669.1779,0.04103607
671.1064,0.04095715
673.0349,0.04105159
674.9633,0.04123698
676.8918,0.04140847
678.8203,0.04131462
680.7487,0.04134826
682.6772,0.0417246
684.6057,0.04199541
686.5341,0.04218045
688.4626,0.04224086
690.3911,0.04224461
692.3195,0.04261283
694.248,0.04310748
696.1765,0.04318999
698.1049,0.04318049
700.0334,0.0435149
701.9619,0.04343416
703.8903,0.04339453
705.8188,0.04346618
707.7473,0.04342996
709.6757,0.04328323
711.6042,0.04307796
713.5327,0.04276124
715.4611,0.04248186
717.3896,0.04234781
719.3181,0.04228216
721.2465,0.0420461
723.175,0.04178944
725.1035,0.0415148
727.0319,0.04094465
728.9604,0.04050772
730.8889,0.04030905
732.8173,0.03986544
734.7458,0.0394727
736.6743,0.03922945
738.6027,0.03886605
740.5312,0.0382637
742.4597,0.03753749
744.3881,0.03684339
746.3166,0.03629034
748.2451,0.03580336
750.1735,0.03535644
752.102,0.03485145
754.0305,0.03442584
755.9589,0.03417943
757.8874,0.03394594
759.8159,0.03371427
761.7443,0.03363747
763.6728,0.03358504
765.6013,0.03378683
767.5297,0.0341381
769.4582,0.03414898
771.3867,0.03426851
