x,y
399.1926,0.2576645
401.1211,0.2495664
403.0495,0.2453569
404.978,0.2506625
406.9065,0.2511007
408.8349,0.2464205
410.7634,0.2472112
412.6919,0.2430296
414.6203,0.2428453
416.5488,0.2437529
418.4773,0.2343411
420.4057,0.2351018
422.3342,0.2386002
424.2627,0.239537
426.1911,0.2383696
428.1196,0.2363989
430.0481,0.2349902
431.9765,0.2383361
433.905,0.2358855
435.8335,0.2352534
437.7619,0.2323675
439.6904,0.2310908
441.6189,0.2276615
443.5473,0.2273505
445.4758,0.2304437
447.4043,0.2333719
449.3327,0.2298744
451.2612,0.2307282
453.1897,0.232455
455.1181,0.2293512
457.0466,0.2282645
458.9751,0.2282182
460.9035,0.2269844
462.832,0.2274005
464.7605,0.228709
466.6889,0.2283053
468.6174,0.2286057
470.5459,0.2272958
472.4743,0.2247463
474.4028,0.2244935
476.3313,0.2238645
478.2597,0.2250854
480.1882,0.2258937
482.1167,0.2259163
484.0451,0.2262719
485.9736,0.2273871
487.9021,0.2279965
489.8305,0.2274528
491.759,0.2265223
493.6875,0.2271858
495.6159,0.2269833
497.5444,0.2267462
499.4729,0.2283461
501.4013,0.2289211
503.3298,0.2278538
505.2583,0.2272021
507.1867,0.2271876
509.1152,0.2288484
511.0437,0.230119
512.9721,0.2304481
514.9006,0.2307516
516.829,0.230224
518.7575,0.2303967
520.686,0.2304126
522.6144,0.2318898
524.5429,0.2332412
526.4714,0.2343783
528.3998,0.2339127
530.3283,0.2320771
532.2568,0.230824
534.1852,0.2306966
536.1137,0.2325567
538.0422,0.2339469
539.9706,0.2339099
541.8991,0.2347547
543.8276,0.2353563
545.756,0.2350123
547.6845,0.236548
549.613,0.2386377
551.5414,0.2383559
553.4699,0.2370063
555.3984,0.2369059
557.3268,0.2375667
559.2553,0.2378051
561.1838,0.2378775
563.1122,0.2371445
565.0407,0.2375938
566.9692,0.2381353
568.8976,0.2365319
570.8261,0.2374495
572.7546,0.2382409
574.683,0.2374747
576.6115,0.2370518
578.54,0.2374096
580.4684,0.2370929
582.3969,0.2361767
584.3254,0.2358232
586.2538,0.235801
588.1823,0.2359158
590.1108,0.2348582
592.0392,0.2348359
593.9677,0.234951
595.8962,0.2340179
597.8246,0.2330259
599.7531,0.2328869
601.6816,0.2325905
603.61,0.232162
605.5385,0.2316913
607.467,0.2308687
609.3954,0.2300748
611.3239,0.2290756
613.2524,0.2273553
615.1808,0.2257646
617.1093,0.2254578
619.0378,0.2246253
620.9662,0.2228318
622.8947,0.2218531
624.8232,0.2211215
626.7516,0.2199808
628.6801,0.2191185
630.6086,0.2174082
632.537,0.2163263
634.4655,0.2159584
636.394,0.2145867
638.3224,0.2127804
640.2509,0.2121669
642.1794,0.210879
644.1078,0.208559
646.0363,0.2073687
647.9648,0.2066488
649.8932,0.2051578
651.8217,0.2036496
653.7502,0.202016
655.6786,0.2000484
657.6071,0.1988471
659.5356,0.1983155
661.4641,0.1967991
663.3925,0.1949387
665.321,0.1934331
667.2495,0.1921947
669.1779,0.1909702
671.1064,0.189209
673.0349,0.1871067
674.9633,0.1853778
676.8918,0.1839006
678.8203,0.1817647
680.7487,0.1801835
682.6772,0.1789
684.6057,0.1772448
686.5341,0.1751926
688.4626,0.1736999
690.3911,0.171744
692.3195,0.1700355
694.248,0.1687354
696.1765,0.166346
698.1049,0.1635241
700.0334,0.1619424
701.9619,0.1607404
703.8903,0.1589531
705.8188,0.1570213
707.7473,0.1553988
709.6757,0.1533101
711.6042,0.1514297
713.5327,0.1495647
715.4611,0.1477301
717.3896,0.1456645
719.3181,0.1436166
721.2465,0.1418999
723.175,0.1404422
725.1035,0.1387834
727.0319,0.136952
728.9604,0.1347837
730.8889,0.1332307
732.8173,0.131949
734.7458,0.1304713
736.6743,0.1285754
738.6027,0.1263392
740.5312,0.1241447
742.4597,0.1226458
744.3881,0.1213427
746.3166,0.1199502
748.2451,0.1183598
750.1735,0.1165198
752.102,0.1147636
754.0305,0.1135234
755.9589,0.1119066
757.8874,0.110545
759.8159,0.1092198
761.7443,0.1077311
763.6728,0.1065667
765.6013,0.1056144
767.5297,0.1046622
769.4582,0.1036579
771.3867,0.1023743
773.3151,0.1009556
775.2436,0.09977511
777.1721,0.09922607
779.1005,0.09851382
781.029,0.09718578
782.9575,0.09579431
784.8859,0.09527228
786.8144,0.09518815
788.7429,0.09468635
790.6713,0.09386002
792.5998,0.09311467
794.5283,0.09268422
796.4567,0.09255081
798.3852,0.09191199
800.3137,0.0913557
802.2421,0.09100012
804.1706,0.09076706
806.0991,0.09052348
808.0275,0.08994215
809.956,0.08939172
811.8845,0.08953716
813.8129,0.08946101
815.7414,0.08896559
817.6699,0.08862308
819.5983,0.08806089
821.5268,0.08730014
823.4553,0.08677356
825.3837,0.08620237
827.3122,0.08561151
829.2407,0.08507605
831.1691,0.08450689
833.0976,0.08388581
835.0261,0.08321261
836.9545,0.08269311
838.883,0.08216577
840.8115,0.08190574
842.7399,0.08140238
844.6684,0.08020922
846.5969,0.07899568
848.5253,0.07790639
850.4538,0.0770312
852.3823,0.07622658
854.3107,0.07556441
856.2392,0.07488925
858.1677,0.07443771
860.0961,0.07359579
862.0246,0.07257132
863.9531,0.07174657
865.8815,0.07083549
867.81,0.06980862
869.7385,0.06912226
871.6669,0.0681378
