x,y
399.1926,0.1290688
401.1211,0.1363728
403.0495,0.1428064
404.978,0.1425729
406.9065,0.1360064
408.8349,0.1332737
410.7634,0.1371171
412.6919,0.1403726
414.6203,0.1417625
416.5488,0.1432446
418.4773,0.1452721
420.4057,0.149748
422.3342,0.1524501
424.2627,0.153926
426.1911,0.1601072
428.1196,0.159617
430.0481,0.1573558
431.9765,0.1620532
433.905,0.1619364
435.8335,0.1629804
437.7619,0.1648705
439.6904,0.1681818
441.6189,0.1700672
443.5473,0.1726884
445.4758,0.1719995
447.4043,0.1704469
449.3327,0.1685281
451.2612,0.1706159
453.1897,0.1746606
455.1181,0.1757787
457.0466,0.1757074
458.9751,0.1765783
460.9035,0.1767998
462.832,0.1803517
464.7605,0.1853686
466.6889,0.1863776
468.6174,0.1862426
470.5459,0.1857396
472.4743,0.1873655
474.4028,0.1872624
476.3313,0.1848138
478.2597,0.1871578
480.1882,0.1879914
482.1167,0.1867394
484.0451,0.188745
485.9736,0.1918138
487.9021,0.1913832
489.8305,0.1918471
491.759,0.1936301
493.6875,0.1958734
495.6159,0.1983235
497.5444,0.2002094
499.4729,0.1986097
501.4013,0.1980228
503.3298,0.2005264
505.2583,0.203775
507.1867,0.205369
509.1152,0.2055797
511.0437,0.2069128
512.9721,0.2086409
514.9006,0.2113548
516.829,0.215153
518.7575,0.2174561
520.686,0.2187161
522.6144,0.2200546
524.5429,0.2201111
526.4714,0.2199359
528.3998,0.2211955
530.3283,0.2251661
532.2568,0.2277396
534.1852,0.2277065
536.1137,0.2287038
538.0422,0.2319748
539.9706,0.2349693
541.8991,0.2366802
543.8276,0.2391122
545.756,0.2421686
547.6845,0.2465718
549.613,0.2499547
551.5414,0.2529584
553.4699,0.2580739
555.3984,0.2617373
557.3268,0.2640775
559.2553,0.2660106
561.1838,0.2672581
563.1122,0.2688512
565.0407,0.2729861
566.9692,0.2778311
568.8976,0.2766848
570.8261,0.2751831
572.7546,0.2772491
574.683,0.2767326
576.6115,0.2747857
578.54,0.2750076
580.4684,0.2748247
582.3969,0.2731141
584.3254,0.2709771
586.2538,0.2697288
588.1823,0.2690191
590.1108,0.2658208
592.0392,0.2643537
593.9677,0.2650945
595.8962,0.2645866
597.8246,0.2615815
599.7531,0.2587848
601.6816,0.2558917
603.61,0.2531724
605.5385,0.251198
