x,y
399.1926,0.2932822
401.1211,0.2731625
403.0495,0.2707575
404.978,0.2873206
406.9065,0.2980848
408.8349,0.3039119
410.7634,0.3090731
412.6919,0.3112402
414.6203,0.3046778
416.5488,0.3051224
418.4773,0.3255323
420.4057,0.3303837
422.3342,0.3235516
424.2627,0.3277533
426.1911,0.3246617
428.1196,0.3203634
430.0481,0.3202504
431.9765,0.3217265
433.905,0.3306871
435.8335,0.3402968
437.7619,0.3491432
439.6904,0.3476848
441.6189,0.3538945
443.5473,0.35657
445.4758,0.3439222
447.4043,0.3446802
449.3327,0.3516115
451.2612,0.3427116
453.1897,0.3256668
455.1181,0.3174123
457.0466,0.3146072
458.9751,0.3044365
460.9035,0.2942633
462.832,0.2871329
464.7605,0.2788625
466.6889,0.2622241
468.6174,0.2501495
470.5459,0.2417978
472.4743,0.237684
474.4028,0.2340955
476.3313,0.2303987
478.2597,0.229899
480.1882,0.2333026
482.1167,0.237894
484.0451,0.2367177
485.9736,0.2347245
487.9021,0.2360511
489.8305,0.2355557
491.759,0.2324328
493.6875,0.2318473
495.6159,0.2306219
497.5444,0.225198
499.4729,0.2207044
501.4013,0.2174024
503.3298,0.2137125
505.2583,0.2098871
507.1867,0.2042634
509.1152,0.200345
511.0437,0.1985516
512.9721,0.1944877
514.9006,0.1890251
516.829,0.1846376
518.7575,0.1809287
520.686,0.1752836
522.6144,0.1695624
524.5429,0.1658187
526.4714,0.158968
528.3998,0.1496837
530.3283,0.1440534
532.2568,0.1383239
534.1852,0.1321416
536.1137,0.1259746
538.0422,0.1195265
539.9706,0.1136282
541.8991,0.1078691
543.8276,0.1031414
545.756,0.09801369
547.6845,0.09357478
549.613,0.09084309
551.5414,0.08678097
553.4699,0.08295138
555.3984,0.08017376
557.3268,0.07769046
559.2553,0.07461347
561.1838,0.0719242
563.1122,0.07089403
565.0407,0.06946171
566.9692,0.06784709
568.8976,0.06615935
570.8261,0.06539111
572.7546,0.06522957
574.683,0.06489082
576.6115,0.06612957
578.54,0.06793649
580.4684,0.06940119
582.3969,0.07157576
584.3254,0.07391005
586.2538,0.07592409
588.1823,0.0791079
590.1108,0.08206882
592.0392,0.0862909
593.9677,0.09126638
595.8962,0.09470195
