x,y
399.1926,0.1769216
401.1211,0.1692273
403.0495,0.1762451
404.978,0.1720436
406.9065,0.1758323
408.8349,0.1778115
410.7634,0.1773331
412.6919,0.1873405
414.6203,0.1892466
416.5488,0.1961287
418.4773,0.2066469
420.4057,0.2105717
422.3342,0.2134402
424.2627,0.2160259
426.1911,0.2180219
428.1196,0.2263443
430.0481,0.2328054
431.9765,0.2302389
433.905,0.2238069
435.8335,0.2220231
437.7619,0.2153053
439.6904,0.205831
441.6189,0.1939668
443.5473,0.1834518
445.4758,0.1758274
447.4043,0.1716208
449.3327,0.165227
451.2612,0.1630924
453.1897,0.1729769
455.1181,0.1836882
457.0466,0.1909684
458.9751,0.1998015
460.9035,0.2084117
462.832,0.2120368
464.7605,0.2106984
466.6889,0.2091469
468.6174,0.2053457
470.5459,0.1986046
472.4743,0.1900984
474.4028,0.1811159
476.3313,0.1718998
478.2597,0.162734
480.1882,0.1539938
482.1167,0.1470134
484.0451,0.1401479
485.9736,0.1308704
487.9021,0.1211631
489.8305,0.1154181
491.759,0.1114543
493.6875,0.1055047
495.6159,0.1017675
497.5444,0.09911312
499.4729,0.09926019
501.4013,0.1044592
503.3298,0.1090742
505.2583,0.1109265
507.1867,0.1112132
509.1152,0.1101191
511.0437,0.1067333
512.9721,0.1036788
514.9006,0.1005631
516.829,0.09745054
518.7575,0.09517065
520.686,0.09298313
522.6144,0.0917293
524.5429,0.09068896
526.4714,0.0888134
528.3998,0.08921938
530.3283,0.09066553
532.2568,0.09140611
534.1852,0.09108122
536.1137,0.09028766
538.0422,0.09072323
539.9706,0.09099615
541.8991,0.08948632
543.8276,0.08865125
545.756,0.08838777
547.6845,0.08764757
549.613,0.08753984
551.5414,0.08732765
553.4699,0.08602405
555.3984,0.08299953
557.3268,0.07907525
559.2553,0.07380279
561.1838,0.06760995
563.1122,0.0631083
565.0407,0.05986549
566.9692,0.05806011
568.8976,0.05891487
570.8261,0.06171926
572.7546,0.06578097
574.683,0.07096116
576.6115,0.07790207
578.54,0.08528745
580.4684,0.0920314
582.3969,0.09707605
584.3254,0.09998956
586.2538,0.1023163
588.1823,0.1024151
590.1108,0.1017712
592.0392,0.1024971
593.9677,0.101748
595.8962,0.09958915
597.8246,0.09801023
599.7531,0.09597578
601.6816,0.09285378
603.61,0.088649
605.5385,0.0831234
607.467,0.07733499
609.3954,0.07055823
611.3239,0.06348769
613.2524,0.0574799
615.1808,0.05235012
617.1093,0.04831427
619.0378,0.04575977
620.9662,0.04445051
622.8947,0.04355558
624.8232,0.0435121
626.7516,0.04513178
628.6801,0.04668535
630.6086,0.04936229
632.537,0.05253799
634.4655,0.05642003
636.394,0.06151387
638.3224,0.06800489
640.2509,0.0753646
642.1794,0.08393183
644.1078,0.0937698
646.0363,0.1040934
647.9648,0.1145652
649.8932,0.1256807
651.8217,0.1358138
653.7502,0.1433603
655.6786,0.1483309
657.6071,0.1490923
659.5356,0.1446843
661.4641,0.136669
663.3925,0.1263707
665.321,0.1155747
667.2495,0.1051184
669.1779,0.09417219
671.1064,0.08390973
673.0349,0.07480968
674.9633,0.06659734
676.8918,0.05944267
678.8203,0.05246123
680.7487,0.04610226
682.6772,0.04150145
684.6057,0.03831288
686.5341,0.03583591
688.4626,0.03392031
690.3911,0.03250208
692.3195,0.03079348
694.248,0.02908756
696.1765,0.02829979
698.1049,0.02690257
700.0334,0.02539244
701.9619,0.02467798
703.8903,0.0244224
705.8188,0.02422579
707.7473,0.02412922
709.6757,0.02404021
711.6042,0.02391969
713.5327,0.02392569
715.4611,0.02360518
717.3896,0.02334075
719.3181,0.02381758
721.2465,0.02404215
723.175,0.02404717
725.1035,0.02372411
727.0319,0.02359123
728.9604,0.02403099
730.8889,0.02408776
732.8173,0.02413385
734.7458,0.02438772
736.6743,0.02456779
738.6027,0.0248317
740.5312,0.02555188
742.4597,0.02624541
744.3881,0.02696085
746.3166,0.02801384
748.2451,0.02963893
750.1735,0.03147282
752.102,0.03292311
754.0305,0.03370068
755.9589,0.03379811
757.8874,0.03287409
759.8159,0.03098496
761.7443,0.02973735
763.6728,0.02904683
765.6013,0.0289019
767.5297,0.02904886
769.4582,0.02898245
771.3867,0.02894207
773.3151,0.02894798
775.2436,0.02894623
777.1721,0.02976523
779.1005,0.03057285
781.029,0.0303389
782.9575,0.03031422
784.8859,0.03060259
786.8144,0.03061176
788.7429,0.03072535
790.6713,0.03115342
792.5998,0.03147222
794.5283,0.03143738
796.4567,0.03171806
798.3852,0.03212645
800.3137,0.0323581
802.2421,0.03198991
804.1706,0.03131151
806.0991,0.03081305
808.0275,0.03088414
809.956,0.03084574
811.8845,0.03054542
813.8129,0.03061057
815.7414,0.03044583
817.6699,0.03047453
819.5983,0.0306477
821.5268,0.0304098
823.4553,0.03027214
825.3837,0.03046836
827.3122,0.0309824
829.2407,0.03189977
831.1691,0.03235429
833.0976,0.03215647
835.0261,0.03226293
836.9545,0.0332483
838.883,0.03451657
840.8115,0.03508679
842.7399,0.03530549
844.6684,0.0361383
846.5969,0.03742381
848.5253,0.03853844
850.4538,0.03922388
852.3823,0.04019491
854.3107,0.04164226
856.2392,0.04271699
858.1677,0.04415147
860.0961,0.04534164
862.0246,0.04624609
863.9531,0.04726479
865.8815,0.04888185
867.81,0.05081882
869.7385,0.05273157
871.6669,0.0545394
873.5954,0.05637194
875.5239,0.05855307
877.4523,0.06044447
879.3808,0.06206977
881.3093,0.06434538
883.2377,0.06641643
885.1662,0.0687574
887.0947,0.07145209
889.0231,0.07378694
890.9516,0.07655676
892.8801,0.07976635
894.8085,0.08273254
896.737,0.08543036
898.6655,0.08824989
900.5939,0.09180231
902.5224,0.09547313
904.4509,0.09860887
906.3793,0.1020977
908.3078,0.1064768
910.2363,0.1110182
912.1647,0.1151624
914.0932,0.1192683
916.0217,0.1233308
917.9501,0.1277855
919.8786,0.1321369
921.8071,0.1363436
923.7355,0.1407797
925.664,0.1454969
927.5925,0.1507689
929.5209,0.1554884
931.4494,0.1597686
933.3779,0.1645965
935.3063,0.1695896
937.2348,0.175069
939.1633,0.1802402
941.0917,0.1853669
943.0202,0.1910736
944.9487,0.1970598
946.8771,0.203269
948.8056,0.2088903
950.7341,0.2146479
952.6625,0.2207139
954.591,0.226744
956.5195,0.231391
958.4479,0.2352438
960.3764,0.2394287
962.3049,0.2436438
964.2333,0.2477103
966.1618,0.2527345
968.0903,0.2586674
970.0187,0.2646063
971.9472,0.2698972
973.8757,0.2746879
975.8041,0.2793962
977.7326,0.284608
979.6611,0.2898836
981.5895,0.2945546
983.518,0.2989971
985.4465,0.302798
987.3749,0.3051273
989.3034,0.3079293
991.2319,0.3104154
993.1603,0.3115991
995.0888,0.3116791
997.0173,0.3109416
998.9457,0.3082034
1000.874,0.3037391
1002.803,0.2978624
1004.731,0.2915233
