x,y
399.1926,0.1693972
401.1211,0.1726168
403.0495,0.160046
404.978,0.1483328
406.9065,0.1504389
408.8349,0.151699
410.7634,0.1431979
412.6919,0.1355895
414.6203,0.1377144
416.5488,0.1439418
418.4773,0.1481812
420.4057,0.1574482
422.3342,0.1725397
424.2627,0.1860381
426.1911,0.2022653
428.1196,0.2110781
430.0481,0.2168725
431.9765,0.2307057
433.905,0.2438243
435.8335,0.2529584
437.7619,0.2611961
439.6904,0.2731215
441.6189,0.2865618
443.5473,0.299766
445.4758,0.3001891
447.4043,0.298541
449.3327,0.3008477
451.2612,0.3060911
453.1897,0.3085381
455.1181,0.3037147
457.0466,0.3007005
458.9751,0.2997081
460.9035,0.2914969
462.832,0.2821637
464.7605,0.2708349
466.6889,0.262329
468.6174,0.2529113
470.5459,0.2406609
472.4743,0.2303588
474.4028,0.2217185
476.3313,0.217274
478.2597,0.2180966
480.1882,0.219968
482.1167,0.2226876
484.0451,0.2275373
485.9736,0.2306333
487.9021,0.2316372
489.8305,0.232494
491.759,0.2312251
493.6875,0.2284317
495.6159,0.2223444
497.5444,0.2184108
499.4729,0.2171912
501.4013,0.2152176
503.3298,0.212677
505.2583,0.2105622
507.1867,0.2051007
509.1152,0.1994808
511.0437,0.1935673
512.9721,0.1880829
514.9006,0.1827933
516.829,0.1763606
518.7575,0.1693408
520.686,0.1625848
522.6144,0.1563275
524.5429,0.1498147
526.4714,0.144334
528.3998,0.1383164
530.3283,0.1310298
532.2568,0.1235164
534.1852,0.1179085
536.1137,0.1122743
538.0422,0.1068102
539.9706,0.1011211
541.8991,0.09550127
543.8276,0.08959342
545.756,0.08331218
547.6845,0.07896297
549.613,0.07571693
551.5414,0.07022101
553.4699,0.06417418
555.3984,0.0588892
557.3268,0.05564445
559.2553,0.05241803
561.1838,0.04937806
563.1122,0.04598223
565.0407,0.04351912
566.9692,0.04236932
568.8976,0.04081636
570.8261,0.039721
572.7546,0.03905997
574.683,0.03819727
576.6115,0.03715536
578.54,0.03704491
580.4684,0.03735897
582.3969,0.0369687
584.3254,0.03700391
586.2538,0.03758784
588.1823,0.0385632
590.1108,0.03891342
592.0392,0.04083225
593.9677,0.04312744
595.8962,0.04434224
597.8246,0.04583774
599.7531,0.04745812
601.6816,0.05008028
603.61,0.05353219
605.5385,0.05798025
607.467,0.06250124
609.3954,0.06692432
611.3239,0.07235382
613.2524,0.07865812
615.1808,0.08646592
617.1093,0.09449452
619.0378,0.1015339
620.9662,0.1075716
622.8947,0.1114775
624.8232,0.1122574
626.7516,0.1104695
628.6801,0.1060809
630.6086,0.09805407
632.537,0.08898176
634.4655,0.07967527
636.394,0.07017432
638.3224,0.0614428
640.2509,0.0540758
642.1794,0.0489143
644.1078,0.04541676
646.0363,0.0425334
647.9648,0.04069583
649.8932,0.03984664
651.8217,0.0395518
653.7502,0.04042084
655.6786,0.042526
657.6071,0.04564299
659.5356,0.0505429
661.4641,0.05618705
663.3925,0.06317172
665.321,0.07084065
667.2495,0.07521408
669.1779,0.07411347
671.1064,0.0680772
673.0349,0.05957624
674.9633,0.05107499
676.8918,0.04441925
678.8203,0.03995003
680.7487,0.03681776
682.6772,0.03436707
684.6057,0.03234674
686.5341,0.03120315
688.4626,0.03088497
690.3911,0.03028432
692.3195,0.03008128
694.248,0.03019042
696.1765,0.03002993
698.1049,0.02958969
700.0334,0.02954277
701.9619,0.02952664
703.8903,0.03016757
705.8188,0.03058206
707.7473,0.03064266
709.6757,0.03063547
711.6042,0.03108384
713.5327,0.03109665
715.4611,0.03135971
717.3896,0.03200632
719.3181,0.03262384
721.2465,0.03330623
723.175,0.03433589
725.1035,0.03564701
727.0319,0.036352
728.9604,0.03671463
730.8889,0.03776793
732.8173,0.03909452
734.7458,0.04003014
736.6743,0.04102492
738.6027,0.04222191
740.5312,0.04316572
742.4597,0.0446822
744.3881,0.04658817
746.3166,0.04857121
748.2451,0.04980066
750.1735,0.05098781
752.102,0.05241252
754.0305,0.053847
755.9589,0.0553293
757.8874,0.05729188
759.8159,0.05930224
761.7443,0.06149824
763.6728,0.06376333
765.6013,0.06586333
767.5297,0.06835074
769.4582,0.07085615
771.3867,0.07272016
773.3151,0.07456098
775.2436,0.07690889
777.1721,0.08021205
779.1005,0.08416174
781.029,0.08738542
782.9575,0.0902746
784.8859,0.0939756
786.8144,0.09817707
788.7429,0.1019576
