x,y
399.1926,0.1977147
401.1211,0.2074541
403.0495,0.2123748
404.978,0.2076286
406.9065,0.2075028
408.8349,0.2136761
410.7634,0.2113488
412.6919,0.2074433
414.6203,0.2020093
416.5488,0.2023269
418.4773,0.2051071
420.4057,0.2031271
422.3342,0.1961618
424.2627,0.187938
426.1911,0.1829727
428.1196,0.1864012
430.0481,0.1941486
431.9765,0.2005109
433.905,0.1949553
435.8335,0.1889231
437.7619,0.185525
439.6904,0.184399
441.6189,0.1828115
443.5473,0.1766973
445.4758,0.1705288
447.4043,0.1668773
449.3327,0.1631144
451.2612,0.1613498
453.1897,0.1607355
455.1181,0.1573776
457.0466,0.1561651
458.9751,0.1579463
460.9035,0.1527361
462.832,0.1453475
464.7605,0.1371904
466.6889,0.1252193
468.6174,0.1160966
470.5459,0.1096178
472.4743,0.1028942
474.4028,0.0956967
476.3313,0.08927738
478.2597,0.08533012
480.1882,0.08126255
482.1167,0.07834398
484.0451,0.07523317
485.9736,0.07196364
487.9021,0.06925506
489.8305,0.0652699
491.759,0.06213446
493.6875,0.06245339
495.6159,0.06153224
497.5444,0.05994819
499.4729,0.0597294
501.4013,0.06018521
503.3298,0.05943853
505.2583,0.05906154
507.1867,0.05968
509.1152,0.05976275
511.0437,0.05881843
512.9721,0.05889989
514.9006,0.05999458
516.829,0.06029195
518.7575,0.06099672
520.686,0.06133604
522.6144,0.0615744
524.5429,0.06346373
526.4714,0.06413398
528.3998,0.06405716
530.3283,0.06553371
532.2568,0.06701954
534.1852,0.06711953
536.1137,0.0670962
538.0422,0.06712659
539.9706,0.06802176
541.8991,0.06898423
543.8276,0.06851211
545.756,0.06694221
547.6845,0.06598404
549.613,0.06530369
551.5414,0.06509892
553.4699,0.06443977
555.3984,0.06359336
557.3268,0.06358159
559.2553,0.06354313
561.1838,0.06207938
563.1122,0.06112582
565.0407,0.06160847
566.9692,0.06188065
568.8976,0.06114751
570.8261,0.06107636
572.7546,0.06098574
574.683,0.06107096
576.6115,0.06057388
578.54,0.06097737
580.4684,0.06107316
582.3969,0.06202243
584.3254,0.06142393
586.2538,0.06070534
588.1823,0.06126212
590.1108,0.06075685
592.0392,0.06134449
593.9677,0.06164986
595.8962,0.0612883
597.8246,0.06131984
599.7531,0.06158169
601.6816,0.06145173
603.61,0.06166681
605.5385,0.06155434
607.467,0.06156622
609.3954,0.0624086
611.3239,0.06293789
613.2524,0.06278853
615.1808,0.06320751
617.1093,0.06455427
619.0378,0.06649625
620.9662,0.06810752
622.8947,0.06925728
624.8232,0.07096746
626.7516,0.07352278
628.6801,0.07673065
630.6086,0.08019683
632.537,0.08308654
634.4655,0.08675424
636.394,0.09179278
638.3224,0.09656561
640.2509,0.1016187
642.1794,0.1064425
644.1078,0.1107935
646.0363,0.1147984
647.9648,0.1176195
649.8932,0.1182954
651.8217,0.1171124
653.7502,0.1134712
655.6786,0.1080972
657.6071,0.1012183
