x,y
399.1926,0.3364754
401.1211,0.3378956
403.0495,0.3336536
404.978,0.3217015
406.9065,0.2963428
408.8349,0.2945391
410.7634,0.311556
412.6919,0.3111669
414.6203,0.3014781
416.5488,0.2977608
418.4773,0.2876333
420.4057,0.2851805
422.3342,0.2958641
424.2627,0.2913517
426.1911,0.278446
428.1196,0.2783035
430.0481,0.2769812
431.9765,0.2742631
433.905,0.2709247
435.8335,0.2569622
437.7619,0.2487916
439.6904,0.2436069
441.6189,0.2409121
443.5473,0.2385194
445.4758,0.2369361
447.4043,0.2358628
449.3327,0.2341298
451.2612,0.2306666
453.1897,0.2255536
455.1181,0.2229933
457.0466,0.2211989
458.9751,0.223572
460.9035,0.2245085
462.832,0.2238436
464.7605,0.225668
466.6889,0.2254398
468.6174,0.2211832
470.5459,0.2188443
472.4743,0.2217204
474.4028,0.222279
476.3313,0.2197311
478.2597,0.2182245
480.1882,0.218022
482.1167,0.217587
484.0451,0.215138
485.9736,0.2133007
487.9021,0.2139998
489.8305,0.2131708
491.759,0.2106956
493.6875,0.2103977
495.6159,0.2112535
497.5444,0.2122506
499.4729,0.2136245
501.4013,0.2116478
503.3298,0.2085949
505.2583,0.2068558
507.1867,0.2049698
509.1152,0.2015057
511.0437,0.1976625
512.9721,0.1954631
514.9006,0.1924748
516.829,0.1882253
518.7575,0.1849238
520.686,0.1814178
522.6144,0.179389
524.5429,0.1768174
526.4714,0.1718352
528.3998,0.1691659
530.3283,0.1680779
532.2568,0.1659752
534.1852,0.1647785
536.1137,0.1628956
538.0422,0.1598604
539.9706,0.1574166
541.8991,0.1545471
543.8276,0.1521699
545.756,0.1501929
547.6845,0.147503
549.613,0.1447898
551.5414,0.1426508
553.4699,0.1404994
555.3984,0.138027
557.3268,0.1345626
559.2553,0.1322185
561.1838,0.1311922
563.1122,0.1299773
565.0407,0.1295847
566.9692,0.1294109
568.8976,0.1288308
570.8261,0.1287551
572.7546,0.130386
574.683,0.1321656
576.6115,0.1338202
578.54,0.1368132
580.4684,0.1390284
582.3969,0.1420905
584.3254,0.1462105
586.2538,0.1502323
588.1823,0.155526
590.1108,0.1587174
592.0392,0.1598152
593.9677,0.1608526
595.8962,0.162283
597.8246,0.1622158
599.7531,0.16216
601.6816,0.1630258
603.61,0.1624652
605.5385,0.1613758
607.467,0.1612044
609.3954,0.1605758
611.3239,0.1597347
613.2524,0.1582535
615.1808,0.1567483
617.1093,0.1556734
619.0378,0.1542091
620.9662,0.1522414
622.8947,0.1500014
624.8232,0.1484162
626.7516,0.1473574
628.6801,0.1464055
630.6086,0.1458784
632.537,0.1451505
634.4655,0.1446246
636.394,0.1440611
638.3224,0.1428519
640.2509,0.1417918
642.1794,0.1408044
644.1078,0.1399854
646.0363,0.1391653
647.9648,0.138328
649.8932,0.1377447
651.8217,0.1376696
653.7502,0.1374071
