x,y
399.1926,0.1062593
401.1211,0.1474332
403.0495,0.1624372
404.978,0.1810419
406.9065,0.2324689
408.8349,0.266945
410.7634,0.2668788
412.6919,0.2457912
414.6203,0.2437902
416.5488,0.2396904
418.4773,0.2402146
420.4057,0.2454924
422.3342,0.2349704
424.2627,0.2160148
426.1911,0.2034033
428.1196,0.1887757
430.0481,0.172315
431.9765,0.1545455
433.905,0.1409707
435.8335,0.1336511
437.7619,0.1224057
439.6904,0.1109396
441.6189,0.1028536
443.5473,0.09755167
445.4758,0.09297037
447.4043,0.09177247
449.3327,0.09381145
451.2612,0.09757273
453.1897,0.1051138
455.1181,0.1149942
457.0466,0.1248778
458.9751,0.1383409
460.9035,0.1514649
462.832,0.16757
464.7605,0.1892754
466.6889,0.212769
468.6174,0.2317362
470.5459,0.2551824
472.4743,0.2845305
474.4028,0.3019857
476.3313,0.3078041
478.2597,0.3066665
480.1882,0.2964073
482.1167,0.2875215
484.0451,0.2792038
485.9736,0.2684436
487.9021,0.2587025
489.8305,0.2528598
491.759,0.2471633
493.6875,0.2423674
495.6159,0.2356587
497.5444,0.2275286
499.4729,0.217326
501.4013,0.2071049
503.3298,0.1961889
505.2583,0.1845983
507.1867,0.1773714
509.1152,0.1726068
511.0437,0.1642004
512.9721,0.1560733
514.9006,0.1517221
516.829,0.1500825
518.7575,0.1492288
520.686,0.152064
522.6144,0.1578004
524.5429,0.1615772
526.4714,0.1657064
528.3998,0.1726396
530.3283,0.1779522
532.2568,0.180377
534.1852,0.1807993
536.1137,0.1812655
538.0422,0.1818996
539.9706,0.1810857
541.8991,0.1785453
543.8276,0.1751155
545.756,0.170867
547.6845,0.1651893
549.613,0.1603164
551.5414,0.1596915
553.4699,0.1599064
555.3984,0.1614382
557.3268,0.1645267
559.2553,0.172668
561.1838,0.184846
563.1122,0.1970681
565.0407,0.2102304
566.9692,0.2241881
568.8976,0.2310129
570.8261,0.2288186
572.7546,0.2236998
574.683,0.2192243
576.6115,0.214624
578.54,0.2100297
580.4684,0.2079367
582.3969,0.2091658
584.3254,0.2118084
586.2538,0.2127791
588.1823,0.2073437
