x,y
399.1926,0.1082473
401.1211,0.1377953
403.0495,0.1422451
404.978,0.1276389
406.9065,0.1559607
408.8349,0.1878975
410.7634,0.1941936
412.6919,0.1976323
414.6203,0.2071498
416.5488,0.2040456
418.4773,0.199662
420.4057,0.2030476
422.3342,0.192828
424.2627,0.1770715
426.1911,0.172995
428.1196,0.1635735
430.0481,0.1494128
431.9765,0.1422437
433.905,0.1330148
435.8335,0.1214043
437.7619,0.1130815
439.6904,0.1124307
441.6189,0.1168876
443.5473,0.125912
445.4758,0.1425626
447.4043,0.1602361
449.3327,0.1731768
451.2612,0.1880704
453.1897,0.209031
455.1181,0.2252502
457.0466,0.2370477
458.9751,0.2532594
460.9035,0.2698472
462.832,0.2835653
464.7605,0.2991795
466.6889,0.3212966
468.6174,0.339008
470.5459,0.3545027
472.4743,0.3695768
474.4028,0.3721306
476.3313,0.3548532
478.2597,0.3276712
480.1882,0.296413
482.1167,0.2698693
484.0451,0.2511776
485.9736,0.2383191
487.9021,0.2286677
489.8305,0.2205075
491.759,0.2107042
493.6875,0.1978561
495.6159,0.1838412
497.5444,0.1731848
499.4729,0.1633368
501.4013,0.1561082
503.3298,0.1514784
505.2583,0.1471999
507.1867,0.1458433
509.1152,0.1471666
511.0437,0.1491537
512.9721,0.1506607
514.9006,0.1539411
516.829,0.1601435
518.7575,0.1664931
520.686,0.171492
522.6144,0.1769314
524.5429,0.1812695
526.4714,0.1841457
528.3998,0.1888991
530.3283,0.192314
532.2568,0.1915682
534.1852,0.1921697
536.1137,0.1945355
538.0422,0.1946342
539.9706,0.192709
541.8991,0.1917873
543.8276,0.1909261
545.756,0.1891643
547.6845,0.1867195
549.613,0.184503
551.5414,0.1822952
553.4699,0.1802001
555.3984,0.1785405
557.3268,0.1762808
559.2553,0.1742306
561.1838,0.1716593
563.1122,0.1682577
565.0407,0.1649963
566.9692,0.1630024
568.8976,0.1603262
570.8261,0.1572404
572.7546,0.1560458
574.683,0.1567963
576.6115,0.1567798
578.54,0.1559477
580.4684,0.1573381
582.3969,0.1583021
584.3254,0.1573208
586.2538,0.158004
588.1823,0.1597468
590.1108,0.1588185
592.0392,0.157991
593.9677,0.1594037
595.8962,0.1604619
597.8246,0.1620005
599.7531,0.1655765
601.6816,0.1684326
603.61,0.1707036
605.5385,0.1714193
607.467,0.1689534
609.3954,0.1657126
611.3239,0.164862
613.2524,0.1656827
615.1808,0.1667148
617.1093,0.1684846
619.0378,0.1723196
620.9662,0.1768784
622.8947,0.1796355
624.8232,0.1809257
626.7516,0.1784941
628.6801,0.173238
630.6086,0.1697246
632.537,0.169509
634.4655,0.1702871
636.394,0.1707863
638.3224,0.1723184
640.2509,0.1744344
642.1794,0.1757502
644.1078,0.1774836
646.0363,0.1798847
647.9648,0.181819
649.8932,0.1841446
651.8217,0.1867186
653.7502,0.1891834
655.6786,0.1924885
657.6071,0.1955033
659.5356,0.1977942
661.4641,0.199777
663.3925,0.2019835
665.321,0.2047827
667.2495,0.2062131
669.1779,0.2036225
671.1064,0.2002085
673.0349,0.1989331
674.9633,0.1990267
676.8918,0.200354
678.8203,0.2027148
680.7487,0.20584
682.6772,0.2083755
684.6057,0.2104324
686.5341,0.2135015
688.4626,0.2164263
690.3911,0.2196915
692.3195,0.2236142
694.248,0.2268094
696.1765,0.2284675
698.1049,0.2300833
700.0334,0.2324165
701.9619,0.2351949
703.8903,0.2383395
705.8188,0.2416926
707.7473,0.2448822
709.6757,0.2480738
711.6042,0.2517992
713.5327,0.2558009
715.4611,0.2611712
717.3896,0.2667505
719.3181,0.2719058
721.2465,0.277524
723.175,0.2836138
725.1035,0.2897622
727.0319,0.2956011
728.9604,0.3011107
730.8889,0.3064829
732.8173,0.3111632
734.7458,0.3160013
736.6743,0.3219363
738.6027,0.3294675
740.5312,0.3380221
742.4597,0.3464369
744.3881,0.3547675
746.3166,0.364435
748.2451,0.3750395
750.1735,0.386081
752.102,0.3974372
754.0305,0.409252
755.9589,0.4221289
757.8874,0.4356473
759.8159,0.4502242
761.7443,0.4660076
763.6728,0.482596
765.6013,0.4994968
767.5297,0.5163803
769.4582,0.5315737
771.3867,0.5432164
773.3151,0.5555719
775.2436,0.5697917
777.1721,0.5853145
779.1005,0.6018145
781.029,0.6197274
782.9575,0.6369324
784.8859,0.6504317
786.8144,0.6601006
788.7429,0.66359
790.6713,0.6550545
792.5998,0.6301679
794.5283,0.5874026
796.4567,0.5385071
798.3852,0.498591
800.3137,0.4681512
802.2421,0.4396714
804.1706,0.4100556
806.0991,0.3792838
808.0275,0.3506957
809.956,0.3257374
811.8845,0.3043419
813.8129,0.2859197
815.7414,0.2693754
817.6699,0.2557286
819.5983,0.2461876
821.5268,0.2382678
823.4553,0.2304256
825.3837,0.2216114
827.3122,0.2127245
829.2407,0.2044535
831.1691,0.1975802
833.0976,0.1920758
835.0261,0.1880177
836.9545,0.1858733
838.883,0.1841055
840.8115,0.1784516
842.7399,0.1675217
844.6684,0.154127
846.5969,0.1404378
848.5253,0.1274654
850.4538,0.1164097
852.3823,0.1079165
854.3107,0.100981
856.2392,0.09476501
858.1677,0.09006479
860.0961,0.08735046
862.0246,0.08622967
863.9531,0.08609297
865.8815,0.08669046
