x,y
399.1926,0.1313999
401.1211,0.1631758
403.0495,0.1746234
404.978,0.1605595
406.9065,0.1704773
408.8349,0.1809579
410.7634,0.168673
412.6919,0.1511683
414.6203,0.1470187
416.5488,0.1377907
418.4773,0.1264272
420.4057,0.1229767
422.3342,0.1121049
424.2627,0.0990494
426.1911,0.09982605
428.1196,0.1018534
430.0481,0.104871
431.9765,0.1119851
433.905,0.1219337
435.8335,0.1388274
437.7619,0.1528598
439.6904,0.1656383
441.6189,0.1790588
443.5473,0.1917483
445.4758,0.2086526
447.4043,0.2256595
449.3327,0.236132
451.2612,0.2496638
453.1897,0.2678025
455.1181,0.2743927
457.0466,0.2750648
458.9751,0.2793826
460.9035,0.2770079
462.832,0.2717658
464.7605,0.2684398
466.6889,0.2623629
468.6174,0.2475639
470.5459,0.2323832
472.4743,0.2213652
474.4028,0.2077778
476.3313,0.1953539
478.2597,0.1859945
480.1882,0.1737515
482.1167,0.1611047
484.0451,0.1529848
485.9736,0.1443588
487.9021,0.1336302
489.8305,0.1237181
491.759,0.1143125
493.6875,0.1052073
495.6159,0.0973021
497.5444,0.08953336
499.4729,0.08086711
501.4013,0.07341615
503.3298,0.06873614
505.2583,0.06453028
507.1867,0.06166862
509.1152,0.06167377
511.0437,0.06285408
512.9721,0.06300151
514.9006,0.06372296
516.829,0.06528953
518.7575,0.06684861
520.686,0.0696376
522.6144,0.07342571
524.5429,0.07505291
526.4714,0.076686
528.3998,0.08140118
530.3283,0.08516301
532.2568,0.08678423
534.1852,0.09072314
536.1137,0.09613539
538.0422,0.100626
539.9706,0.1039471
541.8991,0.1092062
543.8276,0.1143433
545.756,0.1183623
547.6845,0.1224265
549.613,0.1262864
551.5414,0.1312339
553.4699,0.1367474
555.3984,0.1424648
557.3268,0.149274
559.2553,0.1580501
561.1838,0.1655373
563.1122,0.1732863
565.0407,0.1802326
566.9692,0.1862787
568.8976,0.1916652
570.8261,0.1960332
572.7546,0.1999246
574.683,0.2044251
576.6115,0.2087725
578.54,0.2101432
580.4684,0.2127348
582.3969,0.2165022
584.3254,0.2175401
586.2538,0.2183164
588.1823,0.2197793
590.1108,0.2190872
592.0392,0.2187926
593.9677,0.2186162
595.8962,0.2166824
597.8246,0.21512
599.7531,0.2149233
601.6816,0.2140598
603.61,0.2139869
605.5385,0.2142529
607.467,0.2140593
609.3954,0.2124577
611.3239,0.2122811
613.2524,0.2121665
615.1808,0.2091095
617.1093,0.2028021
619.0378,0.1933896
620.9662,0.1790138
622.8947,0.1603186
624.8232,0.1422527
626.7516,0.1261292
628.6801,0.1108808
630.6086,0.09797027
632.537,0.08933735
634.4655,0.0825974
636.394,0.07655659
638.3224,0.07288913
640.2509,0.07000585
642.1794,0.06727013
644.1078,0.06538111
646.0363,0.06499889
647.9648,0.06539425
649.8932,0.06743158
651.8217,0.07215057
653.7502,0.07887273
655.6786,0.086758
657.6071,0.09330561
659.5356,0.09435485
661.4641,0.08751021
663.3925,0.07525665
665.321,0.06252345
667.2495,0.05118844
669.1779,0.04142258
671.1064,0.03433971
673.0349,0.02951327
674.9633,0.02585103
676.8918,0.0235528
678.8203,0.0221935
680.7487,0.02170693
682.6772,0.02087273
684.6057,0.01986288
686.5341,0.01970791
688.4626,0.01938312
690.3911,0.01947634
692.3195,0.02099583
694.248,0.0231631
696.1765,0.02559472
698.1049,0.02948411
700.0334,0.03632645
701.9619,0.04543955
703.8903,0.05386629
705.8188,0.06001698
707.7473,0.06877581
709.6757,0.08002508
711.6042,0.09436149
713.5327,0.1112269
715.4611,0.1284055
717.3896,0.147043
719.3181,0.1728693
721.2465,0.1949366
723.175,0.1799617
725.1035,0.1464688
727.0319,0.1199783
728.9604,0.1024209
730.8889,0.09537309
732.8173,0.09099746
734.7458,0.074459
736.6743,0.05213836
738.6027,0.03489465
740.5312,0.02455604
742.4597,0.02012235
744.3881,0.02032053
746.3166,0.0231597
748.2451,0.02954416
750.1735,0.03550807
752.102,0.02868532
754.0305,0.01877894
755.9589,0.01630724
757.8874,0.02005528
759.8159,0.03219318
761.7443,0.046296
763.6728,0.04337999
765.6013,0.03606922
767.5297,0.03197709
769.4582,0.02145898
771.3867,0.01185057
773.3151,0.008283846
775.2436,0.007096068
777.1721,0.007205175
779.1005,0.007403273
781.029,0.007657756
782.9575,0.008062118
784.8859,0.008295378
786.8144,0.008767981
788.7429,0.009469412
790.6713,0.01091363
792.5998,0.01464613
794.5283,0.01625019
796.4567,0.01246706
798.3852,0.009744738
800.3137,0.00941957
802.2421,0.009857161
804.1706,0.01009288
806.0991,0.009933924
808.0275,0.01021234
809.956,0.01078769
811.8845,0.01094613
813.8129,0.01086693
815.7414,0.0112587
817.6699,0.01166506
819.5983,0.01169987
821.5268,0.01181312
823.4553,0.01258085
825.3837,0.01304702
827.3122,0.01340022
829.2407,0.01384644
831.1691,0.0146957
833.0976,0.01522912
835.0261,0.0156456
836.9545,0.01630374
838.883,0.0172488
840.8115,0.01836852
842.7399,0.02133135
844.6684,0.02424894
846.5969,0.02418139
848.5253,0.02578713
850.4538,0.03344302
852.3823,0.05300643
854.3107,0.07470968
