x,y
399.1926,0.06356917
401.1211,0.07102048
403.0495,0.06340752
404.978,0.04288321
406.9065,0.0556515
408.8349,0.07101293
410.7634,0.06631869
412.6919,0.06578458
414.6203,0.07214387
416.5488,0.06963776
418.4773,0.06954536
420.4057,0.07882626
422.3342,0.0781862
424.2627,0.06945697
426.1911,0.06824181
428.1196,0.06426384
430.0481,0.05830176
431.9765,0.05488453
433.905,0.04983304
435.8335,0.05001244
437.7619,0.04879862
439.6904,0.04629219
441.6189,0.04418698
443.5473,0.04359462
445.4758,0.04604985
447.4043,0.05078192
449.3327,0.05381778
451.2612,0.05886619
453.1897,0.06919329
455.1181,0.07528684
457.0466,0.07789841
458.9751,0.08167432
460.9035,0.08258224
462.832,0.08281029
464.7605,0.08642378
466.6889,0.08773602
468.6174,0.07984121
470.5459,0.07473469
472.4743,0.07323491
474.4028,0.06843475
476.3313,0.0664537
478.2597,0.06791294
480.1882,0.06652162
482.1167,0.06706817
484.0451,0.0723158
485.9736,0.07629846
487.9021,0.07983362
489.8305,0.08611259
491.759,0.09284102
493.6875,0.0999735
495.6159,0.1094096
497.5444,0.1199367
499.4729,0.130438
501.4013,0.1420262
503.3298,0.1541228
505.2583,0.1652175
507.1867,0.1770332
509.1152,0.1909039
511.0437,0.2033545
512.9721,0.2153001
514.9006,0.2287999
516.829,0.2411333
518.7575,0.2513926
520.686,0.2604392
522.6144,0.2687256
524.5429,0.2736997
526.4714,0.2769772
528.3998,0.2826615
530.3283,0.2861497
532.2568,0.2855303
534.1852,0.2848075
536.1137,0.2835796
538.0422,0.2792764
539.9706,0.2731933
541.8991,0.2681525
543.8276,0.2619097
545.756,0.2541676
547.6845,0.2458631
549.613,0.2371447
551.5414,0.2300504
553.4699,0.2240403
555.3984,0.2172485
557.3268,0.209579
559.2553,0.2034884
561.1838,0.1982547
563.1122,0.1937548
565.0407,0.1899237
566.9692,0.1871605
568.8976,0.1846124
570.8261,0.1800209
572.7546,0.1753208
574.683,0.1722679
576.6115,0.1676065
578.54,0.162422
580.4684,0.1588986
582.3969,0.1549918
584.3254,0.1499464
586.2538,0.1458239
588.1823,0.1425805
590.1108,0.1374395
592.0392,0.1326328
593.9677,0.1295833
595.8962,0.1255552
597.8246,0.1215672
599.7531,0.119343
601.6816,0.116538
603.61,0.1138211
605.5385,0.1130615
607.467,0.1122077
609.3954,0.1101948
611.3239,0.1097061
613.2524,0.1102221
615.1808,0.1100618
617.1093,0.1097599
619.0378,0.1109489
620.9662,0.1115331
622.8947,0.1104972
624.8232,0.1104917
626.7516,0.1102775
628.6801,0.1082497
630.6086,0.1065723
632.537,0.1059882
634.4655,0.1045826
636.394,0.1017704
638.3224,0.09982629
640.2509,0.09802915
642.1794,0.09546366
644.1078,0.09283452
646.0363,0.09019046
647.9648,0.08699754
649.8932,0.08374076
651.8217,0.08062172
653.7502,0.07748663
655.6786,0.07477337
657.6071,0.07211933
659.5356,0.06995679
661.4641,0.06811094
663.3925,0.06624964
665.321,0.06513368
667.2495,0.06418467
669.1779,0.06248838
671.1064,0.06136268
673.0349,0.06128517
674.9633,0.06117477
676.8918,0.06193868
678.8203,0.06380249
680.7487,0.06630311
682.6772,0.0690967
684.6057,0.07228591
686.5341,0.07609148
688.4626,0.079473
690.3911,0.08289275
692.3195,0.08642374
694.248,0.08937562
696.1765,0.09154192
698.1049,0.09312949
700.0334,0.09442683
701.9619,0.09492819
703.8903,0.09513415
705.8188,0.09513225
707.7473,0.09430981
709.6757,0.09269825
711.6042,0.09081825
713.5327,0.08877597
715.4611,0.08693913
717.3896,0.08504871
719.3181,0.08310314
721.2465,0.08140017
723.175,0.07958066
725.1035,0.07759256
727.0319,0.07608721
728.9604,0.07499669
730.8889,0.07421651
732.8173,0.07341288
734.7458,0.07341173
736.6743,0.07437901
738.6027,0.07561866
740.5312,0.07709432
742.4597,0.07892033
744.3881,0.08098199
746.3166,0.08348708
748.2451,0.08639132
750.1735,0.08916737
752.102,0.09117476
754.0305,0.09230997
755.9589,0.09271578
757.8874,0.09266777
759.8159,0.09146746
761.7443,0.0894445
763.6728,0.08699812
765.6013,0.08394688
767.5297,0.08085713
769.4582,0.07769977
771.3867,0.07357667
773.3151,0.06926525
775.2436,0.0650721
777.1721,0.06164441
779.1005,0.0579846
781.029,0.05431573
782.9575,0.05090063
784.8859,0.04748837
786.8144,0.04427337
788.7429,0.04122895
790.6713,0.03870056
792.5998,0.03607715
794.5283,0.0335814
796.4567,0.0316313
798.3852,0.02940653
800.3137,0.02760278
802.2421,0.02615862
804.1706,0.0246624
806.0991,0.02307497
808.0275,0.02191851
809.956,0.02114427
811.8845,0.02017388
813.8129,0.01931089
815.7414,0.01882149
817.6699,0.01839433
819.5983,0.01775833
821.5268,0.01712712
