x,y
399.1926,0.2071183
401.1211,0.2295476
403.0495,0.2224742
404.978,0.2035527
406.9065,0.2278169
408.8349,0.2483194
410.7634,0.2448783
412.6919,0.2505778
414.6203,0.2526905
416.5488,0.2470516
418.4773,0.2461443
420.4057,0.2600766
422.3342,0.2631845
424.2627,0.2567897
426.1911,0.2567725
428.1196,0.2502027
430.0481,0.2412329
431.9765,0.2279675
433.905,0.2124084
435.8335,0.212323
437.7619,0.2129266
439.6904,0.2117507
441.6189,0.2103231
443.5473,0.2150317
445.4758,0.2215213
447.4043,0.2255931
449.3327,0.2295205
451.2612,0.2367476
453.1897,0.2456879
455.1181,0.248983
457.0466,0.2517391
458.9751,0.2580544
460.9035,0.2610625
462.832,0.262387
464.7605,0.2702081
466.6889,0.2806756
468.6174,0.2812395
470.5459,0.2824962
472.4743,0.2858267
474.4028,0.2827304
476.3313,0.2815553
478.2597,0.2823847
480.1882,0.279408
482.1167,0.2745488
484.0451,0.2688297
485.9736,0.2640599
487.9021,0.2598253
489.8305,0.2559063
491.759,0.2495153
493.6875,0.2423998
495.6159,0.2371843
497.5444,0.2330803
499.4729,0.2278102
501.4013,0.2237439
503.3298,0.2203766
505.2583,0.2162722
507.1867,0.2117872
509.1152,0.2091577
511.0437,0.2052569
512.9721,0.1973118
514.9006,0.1909132
516.829,0.1858199
518.7575,0.1800059
520.686,0.1745929
522.6144,0.1703137
524.5429,0.1647475
526.4714,0.1590585
528.3998,0.1556479
530.3283,0.1509592
532.2568,0.1443976
534.1852,0.1389561
536.1137,0.1353241
538.0422,0.1306386
539.9706,0.123952
541.8991,0.1183138
543.8276,0.1138336
545.756,0.1097006
547.6845,0.1052701
549.613,0.1007834
551.5414,0.09658595
553.4699,0.09280558
555.3984,0.08944407
557.3268,0.08551569
559.2553,0.08258957
561.1838,0.08050481
563.1122,0.07733662
565.0407,0.07344183
566.9692,0.0709074
568.8976,0.06836227
570.8261,0.06450755
572.7546,0.06122466
574.683,0.06007166
576.6115,0.05788007
578.54,0.0544907
580.4684,0.05335791
582.3969,0.0529038
584.3254,0.05129397
586.2538,0.05086045
588.1823,0.05090449
590.1108,0.04909582
592.0392,0.04820637
593.9677,0.04997787
595.8962,0.05075096
597.8246,0.05160673
599.7531,0.05409598
601.6816,0.05556906
603.61,0.05685276
605.5385,0.06006156
607.467,0.06318529
609.3954,0.06520902
611.3239,0.06897461
613.2524,0.0738718
615.1808,0.07791774
617.1093,0.08212549
619.0378,0.08879444
620.9662,0.09515361
622.8947,0.09983436
624.8232,0.1055415
626.7516,0.1117361
628.6801,0.1154477
630.6086,0.1176371
632.537,0.1198203
634.4655,0.1196298
636.394,0.1160184
638.3224,0.1112341
640.2509,0.1049657
642.1794,0.09775322
644.1078,0.09107195
646.0363,0.08611569
647.9648,0.08323833
649.8932,0.08167112
651.8217,0.08035963
653.7502,0.07862266
655.6786,0.07673705
657.6071,0.0739575
659.5356,0.07103178
661.4641,0.06820709
663.3925,0.06565578
665.321,0.0645799
667.2495,0.06409165
669.1779,0.06372615
671.1064,0.06452778
673.0349,0.06676722
674.9633,0.06918269
676.8918,0.07191651
678.8203,0.07537422
680.7487,0.07975729
682.6772,0.08423493
684.6057,0.08837686
686.5341,0.09261093
688.4626,0.09648827
690.3911,0.1000576
692.3195,0.1033252
694.248,0.1058805
696.1765,0.1076761
698.1049,0.1082317
700.0334,0.1071608
701.9619,0.104346
703.8903,0.1003035
705.8188,0.0955396
707.7473,0.08982456
709.6757,0.08406486
711.6042,0.0789944
713.5327,0.07487676
715.4611,0.07228585
717.3896,0.07099561
719.3181,0.07056563
721.2465,0.07090731
723.175,0.07186851
725.1035,0.07346508
727.0319,0.07574521
728.9604,0.07788558
730.8889,0.07900606
732.8173,0.07787341
734.7458,0.07512307
736.6743,0.07220977
738.6027,0.06986044
740.5312,0.06856624
742.4597,0.06828129
744.3881,0.06898443
746.3166,0.0705089
748.2451,0.07303334
750.1735,0.07639756
752.102,0.07994349
754.0305,0.08353357
755.9589,0.087845
757.8874,0.09306122
759.8159,0.09809534
761.7443,0.1031503
763.6728,0.1093868
765.6013,0.1160651
767.5297,0.1235367
769.4582,0.130445
771.3867,0.1334492
773.3151,0.1324404
775.2436,0.1274185
777.1721,0.1196021
779.1005,0.1108668
781.029,0.1030831
782.9575,0.09661929
784.8859,0.09158726
786.8144,0.08815789
788.7429,0.08599348
790.6713,0.08541585
792.5998,0.0855516
794.5283,0.08578239
796.4567,0.08673577
798.3852,0.08792687
800.3137,0.08933787
802.2421,0.0912433
804.1706,0.09324248
806.0991,0.09498369
808.0275,0.09728466
809.956,0.1000774
811.8845,0.1026604
813.8129,0.1053697
815.7414,0.1083716
817.6699,0.1113789
819.5983,0.1142308
821.5268,0.1171533
823.4553,0.1211072
825.3837,0.1249272
827.3122,0.1285673
829.2407,0.132325
831.1691,0.1364916
833.0976,0.1406574
835.0261,0.144962
836.9545,0.1491909
838.883,0.1537681
840.8115,0.1585359
842.7399,0.1640395
844.6684,0.1697927
846.5969,0.1753227
848.5253,0.1806769
850.4538,0.1865353
852.3823,0.193202
854.3107,0.2002043
856.2392,0.2069692
858.1677,0.2141493
860.0961,0.2213389
862.0246,0.2288419
863.9531,0.2365583
865.8815,0.244487
867.81,0.2524335
869.7385,0.2610672
871.6669,0.2692478
873.5954,0.2761129
875.5239,0.2830053
877.4523,0.2904249
879.3808,0.2967717
881.3093,0.3014928
883.2377,0.3043351
885.1662,0.3057669
887.0947,0.3058523
889.0231,0.3049542
890.9516,0.3034008
892.8801,0.3008928
894.8085,0.2977334
896.737,0.2952523
898.6655,0.2930625
900.5939,0.2907269
902.5224,0.2889116
904.4509,0.2883693
906.3793,0.2894006
908.3078,0.2923485
910.2363,0.2967481
912.1647,0.3019675
914.0932,0.3084857
916.0217,0.3162278
917.9501,0.3244528
919.8786,0.3328173
921.8071,0.3415445
923.7355,0.3513718
925.664,0.3613304
927.5925,0.3712416
929.5209,0.3813471
931.4494,0.3915206
933.3779,0.4011275
935.3063,0.4102657
937.2348,0.418218
939.1633,0.425769
941.0917,0.4326468
943.0202,0.4379083
944.9487,0.4424182
946.8771,0.4459427
948.8056,0.4479461
950.7341,0.4492123
952.6625,0.4496646
954.591,0.4488856
956.5195,0.4468784
958.4479,0.4442607
960.3764,0.440578
962.3049,0.4347987
964.2333,0.4281825
966.1618,0.4214032
968.0903,0.4131576
970.0187,0.4051481
971.9472,0.3970567
