x,y
399.1926,0.3480621
401.1211,0.3876241
403.0495,0.3919339
404.978,0.3376682
406.9065,0.3460669
408.8349,0.3909229
410.7634,0.3838126
412.6919,0.3659148
414.6203,0.3667182
416.5488,0.3716467
418.4773,0.3741136
420.4057,0.3789138
422.3342,0.3753901
424.2627,0.363769
426.1911,0.3473317
428.1196,0.3403788
430.0481,0.3366148
431.9765,0.3330126
433.905,0.3242579
435.8335,0.3293507
437.7619,0.3402058
439.6904,0.3467318
441.6189,0.3471178
443.5473,0.3467868
445.4758,0.3511229
447.4043,0.3550687
449.3327,0.356659
451.2612,0.3627652
453.1897,0.3705902
455.1181,0.3678242
457.0466,0.3682239
458.9751,0.3712604
460.9035,0.366167
462.832,0.3654753
464.7605,0.3720782
466.6889,0.3776095
468.6174,0.3747558
470.5459,0.373601
472.4743,0.3761904
474.4028,0.3744701
476.3313,0.3665701
478.2597,0.3602295
480.1882,0.351312
482.1167,0.3430651
484.0451,0.3360279
485.9736,0.328741
487.9021,0.3209698
489.8305,0.3125868
491.759,0.3030014
493.6875,0.2949123
495.6159,0.2877366
497.5444,0.2827196
499.4729,0.2782832
501.4013,0.2767897
503.3298,0.2757331
505.2583,0.2722651
507.1867,0.2685455
509.1152,0.2651
511.0437,0.2599654
512.9721,0.2546259
514.9006,0.2510991
516.829,0.2473667
518.7575,0.2459749
520.686,0.2457372
522.6144,0.2475828
524.5429,0.2521538
526.4714,0.2596075
528.3998,0.2705081
530.3283,0.2804895
532.2568,0.2855197
534.1852,0.2893062
536.1137,0.2964287
538.0422,0.3036618
539.9706,0.3080207
541.8991,0.3136197
543.8276,0.3176692
545.756,0.3196316
547.6845,0.3193038
549.613,0.3168913
551.5414,0.3125768
553.4699,0.3064891
555.3984,0.301352
557.3268,0.295075
559.2553,0.2918116
561.1838,0.2945853
563.1122,0.3020684
565.0407,0.3119244
566.9692,0.3238322
568.8976,0.3370963
570.8261,0.3491579
572.7546,0.358588
574.683,0.3672924
576.6115,0.3734478
578.54,0.377747
580.4684,0.3837556
582.3969,0.3900614
584.3254,0.3923992
586.2538,0.3938341
588.1823,0.3927376
590.1108,0.3872635
592.0392,0.381803
593.9677,0.3777496
595.8962,0.3732704
597.8246,0.3694758
599.7531,0.3643735
601.6816,0.3589231
603.61,0.3541188
605.5385,0.351425
607.467,0.3482606
609.3954,0.3433456
611.3239,0.3385123
613.2524,0.3343037
615.1808,0.3273521
617.1093,0.3214186
619.0378,0.3169477
620.9662,0.3094712
