x,y
399.1926,0.1182751
401.1211,0.1334589
403.0495,0.1264599
404.978,0.09913442
406.9065,0.1089283
408.8349,0.1261433
410.7634,0.1203939
412.6919,0.1150804
414.6203,0.1177773
416.5488,0.1157401
418.4773,0.1165495
420.4057,0.1239888
422.3342,0.1192393
424.2627,0.1077732
426.1911,0.1081831
428.1196,0.1039229
430.0481,0.0956578
431.9765,0.09004798
433.905,0.08286475
435.8335,0.08015683
437.7619,0.07747932
439.6904,0.07242489
441.6189,0.06596009
443.5473,0.05776604
445.4758,0.05331058
447.4043,0.05235268
449.3327,0.04847201
451.2612,0.04644744
453.1897,0.05028411
455.1181,0.04800734
457.0466,0.04587209
458.9751,0.04586523
460.9035,0.04162115
462.832,0.03878122
464.7605,0.04135239
466.6889,0.04281481
468.6174,0.03898646
470.5459,0.03923694
472.4743,0.04089141
474.4028,0.03815025
476.3313,0.03853912
478.2597,0.04061473
480.1882,0.03954943
482.1167,0.03913353
484.0451,0.04114188
485.9736,0.04091253
487.9021,0.03959914
489.8305,0.04051571
491.759,0.04240556
493.6875,0.04349277
495.6159,0.04448241
497.5444,0.045593
499.4729,0.0461716
501.4013,0.04775015
503.3298,0.04921781
505.2583,0.04933596
507.1867,0.05084663
509.1152,0.05381954
511.0437,0.05574604
512.9721,0.05593593
514.9006,0.05716155
516.829,0.05972032
518.7575,0.06178761
520.686,0.06391641
522.6144,0.0664888
524.5429,0.06780035
526.4714,0.06888986
528.3998,0.07210648
530.3283,0.07532895
532.2568,0.07693814
534.1852,0.07885244
536.1137,0.08160275
538.0422,0.08471475
539.9706,0.08703406
541.8991,0.09077225
543.8276,0.09390146
545.756,0.09680189
547.6845,0.09950264
549.613,0.1018528
551.5414,0.1051967
553.4699,0.1093274
555.3984,0.1125509
557.3268,0.1151148
559.2553,0.1188776
561.1838,0.1234371
563.1122,0.1276031
565.0407,0.1306493
566.9692,0.1346817
568.8976,0.1395051
570.8261,0.1430206
572.7546,0.1478743
574.683,0.1542888
576.6115,0.1591813
578.54,0.1646177
580.4684,0.1719728
582.3969,0.1783643
584.3254,0.1839586
586.2538,0.19169
588.1823,0.2004499
590.1108,0.206586
592.0392,0.211977
593.9677,0.2167928
595.8962,0.2192265
597.8246,0.2194522
599.7531,0.2183444
601.6816,0.2133379
603.61,0.2026601
605.5385,0.1886564
607.467,0.1724407
609.3954,0.1575137
611.3239,0.1492994
613.2524,0.146286
615.1808,0.1445099
617.1093,0.1440706
619.0378,0.1461245
620.9662,0.1475373
622.8947,0.1477023
624.8232,0.1487763
626.7516,0.1502603
628.6801,0.1508914
630.6086,0.1506487
632.537,0.1467738
634.4655,0.1350627
636.394,0.117366
638.3224,0.1008954
640.2509,0.08929975
642.1794,0.08165935
644.1078,0.07708003
646.0363,0.07557953
647.9648,0.07555001
649.8932,0.07636311
651.8217,0.07774176
653.7502,0.07958224
655.6786,0.0820534
657.6071,0.08472542
659.5356,0.08771096
661.4641,0.09129269
663.3925,0.09557028
665.321,0.1016652
667.2495,0.1095286
669.1779,0.1188905
671.1064,0.131689
673.0349,0.1528857
674.9633,0.187955
676.8918,0.242527
678.8203,0.3013361
680.7487,0.3068528
682.6772,0.2444566
684.6057,0.178618
686.5341,0.1379613
688.4626,0.1171695
690.3911,0.1036015
692.3195,0.09227174
694.248,0.08621617
696.1765,0.0809164
698.1049,0.07621421
700.0334,0.07462477
701.9619,0.07980971
703.8903,0.0942881
705.8188,0.1018064
707.7473,0.08879347
709.6757,0.07243384
711.6042,0.06263112
713.5327,0.05781592
715.4611,0.05571721
717.3896,0.05502947
719.3181,0.05485129
721.2465,0.05510971
723.175,0.05506405
725.1035,0.05482348
727.0319,0.0547512
728.9604,0.05488884
730.8889,0.05504294
732.8173,0.05461789
734.7458,0.05465325
736.6743,0.0553779
738.6027,0.05597968
740.5312,0.05604056
742.4597,0.05589665
744.3881,0.05560516
746.3166,0.05541307
748.2451,0.05558026
750.1735,0.05587678
752.102,0.05606375
754.0305,0.05572638
755.9589,0.0554631
757.8874,0.05597983
759.8159,0.05634626
761.7443,0.05639455
763.6728,0.05663016
765.6013,0.05710848
767.5297,0.05789064
769.4582,0.05897572
771.3867,0.05963289
773.3151,0.06028093
775.2436,0.06097174
777.1721,0.06226309
779.1005,0.06330314
781.029,0.0639875
782.9575,0.0651063
784.8859,0.06624641
786.8144,0.0672063
788.7429,0.06868407
790.6713,0.07060083
792.5998,0.0718014
794.5283,0.07316396
796.4567,0.07541262
798.3852,0.07750335
800.3137,0.07941315
802.2421,0.08170681
804.1706,0.08438952
806.0991,0.08691961
808.0275,0.08988963
809.956,0.09355438
811.8845,0.0973279
813.8129,0.1005703
