x,y
399.1926,0.005483921
401.1211,0.005934495
403.0495,0.005444714
404.978,0.006187883
406.9065,0.00831825
408.8349,0.007762233
410.7634,0.00523848
412.6919,0.005929202
414.6203,0.007275348
416.5488,0.00755041
418.4773,0.006972275
420.4057,0.006960175
422.3342,0.005749248
424.2627,0.006099161
426.1911,0.00567979
428.1196,0.006273431
430.0481,0.006309574
431.9765,0.004845413
433.905,0.005165073
435.8335,0.00654979
437.7619,0.005345115
439.6904,0.005158504
441.6189,0.006126085
443.5473,0.00692439
445.4758,0.00596381
447.4043,0.006327889
449.3327,0.007145132
451.2612,0.006687029
453.1897,0.005334435
455.1181,0.004956829
457.0466,0.006177417
458.9751,0.006385142
460.9035,0.00633237
462.832,0.006904084
464.7605,0.006915989
466.6889,0.00669161
468.6174,0.006742532
470.5459,0.007259477
472.4743,0.00688844
474.4028,0.006769544
476.3313,0.006950384
478.2597,0.007000945
480.1882,0.007323781
482.1167,0.007352812
484.0451,0.006955489
485.9736,0.006988076
487.9021,0.006916623
489.8305,0.006915389
491.759,0.007243232
493.6875,0.007718373
495.6159,0.007938488
497.5444,0.008005526
499.4729,0.007703185
501.4013,0.007713182
503.3298,0.007672898
505.2583,0.007948652
507.1867,0.00833175
509.1152,0.008233508
511.0437,0.008014281
512.9721,0.007934802
514.9006,0.008301322
516.829,0.008932282
518.7575,0.008894349
520.686,0.008503772
522.6144,0.008451316
524.5429,0.009179443
526.4714,0.009336358
528.3998,0.009578926
530.3283,0.009590274
532.2568,0.009346589
534.1852,0.009264833
536.1137,0.009343318
538.0422,0.009641502
539.9706,0.009818609
541.8991,0.009942215
543.8276,0.009936077
545.756,0.009770234
547.6845,0.009674745
549.613,0.009740983
551.5414,0.009753138
553.4699,0.009381003
555.3984,0.009621163
557.3268,0.01017311
559.2553,0.01018238
561.1838,0.010238
563.1122,0.01039092
565.0407,0.01028435
566.9692,0.01025385
568.8976,0.01021316
570.8261,0.01031633
572.7546,0.0109686
574.683,0.01117994
576.6115,0.01085786
578.54,0.01069214
580.4684,0.01096343
582.3969,0.01127659
584.3254,0.01125624
586.2538,0.0114066
588.1823,0.01149053
590.1108,0.01164412
592.0392,0.01177264
593.9677,0.01148431
595.8962,0.01169937
597.8246,0.01182328
599.7531,0.0117888
601.6816,0.01187333
603.61,0.01193556
605.5385,0.01220982
607.467,0.01217041
609.3954,0.01221008
611.3239,0.01251662
613.2524,0.01270536
615.1808,0.0127966
617.1093,0.01305479
619.0378,0.0130427
620.9662,0.01283585
622.8947,0.01247546
624.8232,0.01228089
626.7516,0.01254036
628.6801,0.01291694
630.6086,0.01329463
632.537,0.01353994
634.4655,0.01355426
636.394,0.01355351
638.3224,0.01325277
640.2509,0.01332766
642.1794,0.01340411
644.1078,0.01363221
646.0363,0.01410017
647.9648,0.01431447
649.8932,0.01391282
651.8217,0.013541
653.7502,0.01361858
655.6786,0.01393023
657.6071,0.01414327
659.5356,0.01430659
661.4641,0.01435552
663.3925,0.01440692
665.321,0.0147291
667.2495,0.01495699
669.1779,0.01499251
671.1064,0.01509635
673.0349,0.01516925
674.9633,0.01507827
676.8918,0.01521012
678.8203,0.01527797
680.7487,0.01539581
682.6772,0.01541338
684.6057,0.01551568
686.5341,0.0155736
688.4626,0.01566018
690.3911,0.01600447
692.3195,0.01588435
694.248,0.0156597
696.1765,0.01592749
698.1049,0.01635424
700.0334,0.01633655
701.9619,0.01617766
703.8903,0.01639502
705.8188,0.01662399
707.7473,0.01642842
709.6757,0.0164774
711.6042,0.01671065
713.5327,0.01695939
715.4611,0.01695498
717.3896,0.01715088
719.3181,0.01738266
721.2465,0.01785067
723.175,0.01961127
725.1035,0.02287374
727.0319,0.02164218
728.9604,0.01829628
730.8889,0.0176526
732.8173,0.01780932
734.7458,0.01784527
736.6743,0.01796594
738.6027,0.01830793
740.5312,0.01854875
742.4597,0.01867004
744.3881,0.01851291
746.3166,0.01861226
748.2451,0.01881223
750.1735,0.01883454
752.102,0.01894763
754.0305,0.01934291
755.9589,0.01936674
757.8874,0.01930099
759.8159,0.01914945
761.7443,0.01950647
763.6728,0.01986058
765.6013,0.02016435
767.5297,0.02034019
769.4582,0.02033193
771.3867,0.02032479
773.3151,0.02026579
775.2436,0.02054019
777.1721,0.02114301
779.1005,0.0214545
781.029,0.02144703
782.9575,0.0215556
784.8859,0.02168875
786.8144,0.02168125
788.7429,0.02170454
790.6713,0.02182516
792.5998,0.02197087
794.5283,0.02182804
796.4567,0.0219113
798.3852,0.02215521
800.3137,0.02267265
802.2421,0.02328301
804.1706,0.02382774
806.0991,0.02418637
808.0275,0.0245416
809.956,0.02519071
811.8845,0.02647015
813.8129,0.02766019
815.7414,0.02739928
817.6699,0.02751341
819.5983,0.02863762
821.5268,0.03108613
823.4553,0.03490024
825.3837,0.04083348
827.3122,0.05275184
829.2407,0.07998206
831.1691,0.1291903
833.0976,0.180345
835.0261,0.1797093
836.9545,0.1251248
838.883,0.06907587
840.8115,0.03913959
842.7399,0.03011344
844.6684,0.02758902
