x,y
399.1926,0.1028312
401.1211,0.1071386
403.0495,0.1074452
404.978,0.1049604
406.9065,0.1079122
408.8349,0.1128321
410.7634,0.1130987
412.6919,0.11225
414.6203,0.1149482
416.5488,0.1180883
418.4773,0.1184331
420.4057,0.1207058
422.3342,0.1207069
424.2627,0.119622
426.1911,0.1195915
428.1196,0.1214584
430.0481,0.1239006
431.9765,0.1258012
433.905,0.1257317
435.8335,0.1260745
437.7619,0.1268583
439.6904,0.1272174
441.6189,0.1274429
443.5473,0.1280344
445.4758,0.1285265
447.4043,0.1292426
449.3327,0.129954
451.2612,0.1306285
453.1897,0.1318195
455.1181,0.1323269
457.0466,0.1328496
458.9751,0.1340413
460.9035,0.1343322
462.832,0.1352876
464.7605,0.1364031
466.6889,0.1356962
468.6174,0.1358951
470.5459,0.1362102
472.4743,0.1353156
474.4028,0.1363578
476.3313,0.1381314
478.2597,0.1387131
480.1882,0.1383229
482.1167,0.1375957
484.0451,0.1379308
485.9736,0.1391516
487.9021,0.13853
489.8305,0.1381787
491.759,0.1385854
493.6875,0.1389428
495.6159,0.1390404
497.5444,0.1401958
499.4729,0.1404873
501.4013,0.1398619
503.3298,0.139341
505.2583,0.1400528
507.1867,0.1401407
509.1152,0.1399263
511.0437,0.139935
512.9721,0.1398506
514.9006,0.1399156
516.829,0.1400356
518.7575,0.1392065
520.686,0.1386545
522.6144,0.1391299
524.5429,0.1396299
526.4714,0.1391698
528.3998,0.138426
530.3283,0.1380313
532.2568,0.1377944
534.1852,0.1377533
536.1137,0.1375356
538.0422,0.1369561
539.9706,0.1363038
541.8991,0.1358854
543.8276,0.1358254
545.756,0.1356209
547.6845,0.1348986
549.613,0.1339443
551.5414,0.1336162
553.4699,0.1333321
555.3984,0.1328226
557.3268,0.1328508
559.2553,0.1323919
561.1838,0.1321655
563.1122,0.1316713
565.0407,0.1308902
566.9692,0.1307383
568.8976,0.130479
570.8261,0.1307816
572.7546,0.1315754
574.683,0.1311337
576.6115,0.129249
578.54,0.1284816
580.4684,0.1287966
582.3969,0.1289561
584.3254,0.1282129
586.2538,0.1272686
588.1823,0.1267254
590.1108,0.1265671
592.0392,0.1263355
593.9677,0.1252196
595.8962,0.1246695
597.8246,0.1243339
599.7531,0.1236952
601.6816,0.1231022
603.61,0.1221804
605.5385,0.1216278
607.467,0.1211262
609.3954,0.1202958
611.3239,0.1194486
613.2524,0.1189756
615.1808,0.1185079
617.1093,0.1176752
619.0378,0.1166474
620.9662,0.1156728
622.8947,0.1150633
624.8232,0.114696
626.7516,0.1138179
628.6801,0.1131457
630.6086,0.1130049
632.537,0.1126647
634.4655,0.1113494
636.394,0.1099328
638.3224,0.109428
640.2509,0.1089424
642.1794,0.108246
644.1078,0.107627
646.0363,0.1068595
647.9648,0.1062126
649.8932,0.1053915
651.8217,0.1041845
653.7502,0.1029877
655.6786,0.1024917
657.6071,0.1024474
659.5356,0.102204
661.4641,0.1015342
663.3925,0.1008487
665.321,0.100747
667.2495,0.1008815
669.1779,0.1004697
671.1064,0.09967004
673.0349,0.09892497
674.9633,0.09808032
676.8918,0.09763794
678.8203,0.09674504
680.7487,0.09584528
682.6772,0.09491805
684.6057,0.09380156
686.5341,0.09275706
688.4626,0.09176
690.3911,0.0905895
692.3195,0.08919334
694.248,0.08803905
696.1765,0.08752031
698.1049,0.08734842
700.0334,0.08662941
701.9619,0.08544444
703.8903,0.08445393
705.8188,0.0839792
707.7473,0.0836608
709.6757,0.08378989
711.6042,0.08431643
713.5327,0.08501297
715.4611,0.08602194
717.3896,0.08721618
719.3181,0.0886162
721.2465,0.08985051
723.175,0.09143889
725.1035,0.09333272
727.0319,0.0951952
728.9604,0.09695739
730.8889,0.09867529
732.8173,0.1001751
734.7458,0.101226
736.6743,0.1017643
738.6027,0.1016565
740.5312,0.1009191
742.4597,0.09954805
744.3881,0.0971569
746.3166,0.09406856
748.2451,0.09016684
750.1735,0.08523849
752.102,0.08107119
754.0305,0.07703784
755.9589,0.07148255
757.8874,0.06575169
759.8159,0.0614784
761.7443,0.0588187
763.6728,0.05708847
765.6013,0.0560581
767.5297,0.05552857
769.4582,0.05492283
771.3867,0.0542257
773.3151,0.05365914
775.2436,0.05361902
777.1721,0.05391939
779.1005,0.05398934
781.029,0.05393449
782.9575,0.05394531
784.8859,0.05385226
786.8144,0.05382475
788.7429,0.05374295
790.6713,0.05360867
792.5998,0.05366321
794.5283,0.0536513
796.4567,0.05376247
798.3852,0.05390138
800.3137,0.05416601
802.2421,0.05466158
804.1706,0.05508793
806.0991,0.05531811
808.0275,0.05558039
809.956,0.05597366
811.8845,0.05666859
813.8129,0.05779432
815.7414,0.05927241
817.6699,0.06104992
819.5983,0.06262134
821.5268,0.06303609
823.4553,0.0615442
825.3837,0.05946876
827.3122,0.05811953
829.2407,0.0577697
831.1691,0.05825052
833.0976,0.05938716
835.0261,0.06100646
836.9545,0.06307159
838.883,0.06559303
840.8115,0.06869047
842.7399,0.07130779
844.6684,0.07161411
846.5969,0.06978258
848.5253,0.06807961
850.4538,0.06759516
852.3823,0.06770052
854.3107,0.06862227
856.2392,0.07024844
858.1677,0.07223219
860.0961,0.07457992
862.0246,0.0777197
863.9531,0.08179794
865.8815,0.08664527
867.81,0.09269899
869.7385,0.1003688
871.6669,0.1092943
873.5954,0.1190571
875.5239,0.129187
877.4523,0.139518
879.3808,0.1491182
881.3093,0.1565294
883.2377,0.1617561
885.1662,0.1643122
887.0947,0.163972
889.0231,0.1610493
890.9516,0.1560468
892.8801,0.1491414
894.8085,0.1402538
896.737,0.1303038
898.6655,0.1191551
900.5939,0.1067563
902.5224,0.09376315
904.4509,0.0813638
906.3793,0.07036582
908.3078,0.06126701
910.2363,0.05440037
912.1647,0.04911241
914.0932,0.04481358
916.0217,0.04104495
917.9501,0.03795753
919.8786,0.0353839
921.8071,0.03279258
923.7355,0.03044483
925.664,0.0285008
927.5925,0.02678442
929.5209,0.02540445
931.4494,0.02416891
933.3779,0.0230093
935.3063,0.02204686
937.2348,0.02174559
939.1633,0.02131243
941.0917,0.02066178
943.0202,0.02037998
944.9487,0.02018378
946.8771,0.02029207
948.8056,0.02022617
950.7341,0.0200661
952.6625,0.02000776
954.591,0.01999963
956.5195,0.01993721
958.4479,0.02003675
960.3764,0.02011323
962.3049,0.02021348
964.2333,0.02063328
966.1618,0.02098052
968.0903,0.02080893
970.0187,0.02091729
971.9472,0.02109904
973.8757,0.02133783
975.8041,0.02166137
977.7326,0.02191931
979.6611,0.0221941
981.5895,0.02233546
983.518,0.02237756
985.4465,0.02261062
987.3749,0.02299328
989.3034,0.02330181
991.2319,0.02333461
993.1603,0.02330105
995.0888,0.0233416
997.0173,0.02356083
998.9457,0.02375088
1000.874,0.02359528
1002.803,0.0235916
1004.731,0.02380787
1006.66,0.02387992
1008.588,0.02385988
1010.517,0.02386955
1012.445,0.02418357
1014.373,0.0241517
1016.302,0.02404326
1018.23,0.02418227
1020.159,0.02433126
1022.087,0.02419064
1024.016,0.02434081
1025.944,0.02454078
1027.873,0.0244535
1029.801,0.02437163
1031.73,0.02443644
1033.658,0.02464689
1035.587,0.02483202
1037.515,0.02469774
1039.443,0.02474235
1041.372,0.02491383
1043.3,0.02480187
1045.229,0.02488112
1047.157,0.02545606
1049.086,0.02606449
1051.014,0.0264003
1052.943,0.02661268
1054.871,0.02691326
1056.8,0.02755919
1058.728,0.0285395
1060.657,0.02997461
1062.585,0.03219138
1064.514,0.03546971
1066.442,0.03962095
1068.37,0.04305804
1070.299,0.0424456
1072.227,0.03792389
1074.156,0.03408229
1076.084,0.03262011
1078.013,0.03067015
1079.941,0.02803024
1081.87,0.02635944
1083.798,0.02552384
1085.727,0.02507366
1087.655,0.02463242
1089.584,0.0240854
1091.512,0.02358686
1093.441,0.02332709
1095.369,0.02324172
1097.297,0.02303542
1099.226,0.02297729
1101.154,0.02291964
1103.083,0.0228772
1105.011,0.02284469
1106.94,0.02291049
1108.868,0.02306575
1110.797,0.02292327
1112.725,0.02272476
1114.654,0.02282524
