x,y
399.1926,0.2427446
401.1211,0.2480642
403.0495,0.2498267
404.978,0.245062
406.9065,0.2510223
408.8349,0.2584065
410.7634,0.2590158
412.6919,0.2651648
414.6203,0.2748058
416.5488,0.2766688
418.4773,0.2758291
420.4057,0.2853789
422.3342,0.2871543
424.2627,0.284203
426.1911,0.2806175
428.1196,0.2703139
430.0481,0.2614777
431.9765,0.2486579
433.905,0.242079
435.8335,0.2380883
437.7619,0.234825
439.6904,0.2392554
441.6189,0.2469361
443.5473,0.255731
445.4758,0.2676675
447.4043,0.2784385
449.3327,0.2882002
451.2612,0.2969432
453.1897,0.3070233
455.1181,0.3155813
457.0466,0.3248284
458.9751,0.3327517
460.9035,0.3380053
462.832,0.3410226
464.7605,0.3415287
466.6889,0.3406394
468.6174,0.3362738
470.5459,0.32974
472.4743,0.323929
474.4028,0.3182388
476.3313,0.3123037
478.2597,0.3041533
480.1882,0.2964846
482.1167,0.2903671
484.0451,0.2857841
485.9736,0.2843614
487.9021,0.2836234
489.8305,0.278685
491.759,0.2725671
493.6875,0.2642609
495.6159,0.2542147
497.5444,0.24553
499.4729,0.2362399
501.4013,0.2281554
503.3298,0.2202264
505.2583,0.2117389
507.1867,0.202996
509.1152,0.1948045
511.0437,0.1865546
512.9721,0.1787802
514.9006,0.1709177
516.829,0.1631422
518.7575,0.154836
520.686,0.1467981
522.6144,0.1397381
524.5429,0.1337675
526.4714,0.1271662
528.3998,0.1207684
530.3283,0.114967
532.2568,0.109214
534.1852,0.1036793
536.1137,0.09921553
538.0422,0.0962806
539.9706,0.09382563
541.8991,0.0916034
543.8276,0.08910906
545.756,0.08577248
547.6845,0.08282334
549.613,0.07985503
551.5414,0.07649319
553.4699,0.07334525
555.3984,0.07069267
557.3268,0.06826892
559.2553,0.06499148
561.1838,0.06138354
563.1122,0.05784943
565.0407,0.05417022
566.9692,0.05127518
568.8976,0.04878361
570.8261,0.04610062
572.7546,0.04349861
574.683,0.04172626
576.6115,0.04030731
578.54,0.03858295
580.4684,0.03719094
582.3969,0.03617378
584.3254,0.03533975
586.2538,0.03479019
588.1823,0.03433404
590.1108,0.03406579
592.0392,0.03458452
593.9677,0.03511603
595.8962,0.03519038
597.8246,0.03552569
599.7531,0.0366778
601.6816,0.03812489
603.61,0.03913317
605.5385,0.04039747
607.467,0.04242429
609.3954,0.0450193
611.3239,0.0480615
613.2524,0.05164865
615.1808,0.05620618
617.1093,0.06164655
619.0378,0.06730448
620.9662,0.07385881
622.8947,0.0811382
624.8232,0.08873536
626.7516,0.09628868
628.6801,0.1031155
630.6086,0.1076027
632.537,0.1094269
634.4655,0.1083597
636.394,0.1041767
638.3224,0.09793427
640.2509,0.09132731
642.1794,0.08536656
644.1078,0.08062585
646.0363,0.07671517
647.9648,0.07310081
649.8932,0.06951022
651.8217,0.06539777
653.7502,0.06149763
655.6786,0.05748162
657.6071,0.05420753
659.5356,0.05208771
661.4641,0.05049011
663.3925,0.04937086
665.321,0.04858603
667.2495,0.04848153
669.1779,0.04909999
671.1064,0.05033947
673.0349,0.05153275
674.9633,0.05277636
676.8918,0.05516591
678.8203,0.05830871
680.7487,0.06126593
682.6772,0.06434658
684.6057,0.06797278
686.5341,0.07160753
688.4626,0.07502056
690.3911,0.07801756
692.3195,0.08076385
694.248,0.08321702
696.1765,0.08443815
698.1049,0.08374541
700.0334,0.08123749
701.9619,0.07714817
703.8903,0.07179956
705.8188,0.06552523
707.7473,0.05958152
709.6757,0.05473855
711.6042,0.05097736
713.5327,0.04872322
715.4611,0.04786339
717.3896,0.04819233
719.3181,0.04910463
721.2465,0.05002018
723.175,0.05063271
725.1035,0.0499188
727.0319,0.04805259
728.9604,0.04515795
730.8889,0.04218814
732.8173,0.04008849
734.7458,0.03863259
736.6743,0.03773381
738.6027,0.03785665
740.5312,0.03862782
742.4597,0.03929654
744.3881,0.0402541
746.3166,0.04171964
748.2451,0.04330572
750.1735,0.04597153
752.102,0.0501625
754.0305,0.05555075
755.9589,0.06251693
757.8874,0.07174165
759.8159,0.08291408
761.7443,0.09437109
763.6728,0.1023801
765.6013,0.1031649
767.5297,0.09655984
769.4582,0.08618132
771.3867,0.07568596
773.3151,0.06694304
775.2436,0.05994559
777.1721,0.05485151
779.1005,0.05128023
781.029,0.04864068
782.9575,0.04659477
784.8859,0.04502618
786.8144,0.04420352
788.7429,0.04417852
790.6713,0.04426057
792.5998,0.04443109
794.5283,0.04506195
796.4567,0.04594242
798.3852,0.04691691
800.3137,0.04761098
802.2421,0.0479556
804.1706,0.04821555
806.0991,0.04859568
808.0275,0.04900997
809.956,0.04942912
811.8845,0.05044007
813.8129,0.05195915
815.7414,0.05326083
817.6699,0.05456413
819.5983,0.05631609
821.5268,0.05799257
823.4553,0.0598013
825.3837,0.06171432
827.3122,0.06382409
829.2407,0.06628498
831.1691,0.06876728
833.0976,0.07137035
835.0261,0.07419987
836.9545,0.07740595
838.883,0.08071823
840.8115,0.08429195
842.7399,0.0882566
844.6684,0.09260194
846.5969,0.09703317
848.5253,0.1019763
850.4538,0.1072474
852.3823,0.1127405
854.3107,0.1189763
856.2392,0.1258497
858.1677,0.1333147
860.0961,0.1414756
862.0246,0.1500603
863.9531,0.1589053
865.8815,0.1681918
867.81,0.1776683
869.7385,0.1868617
871.6669,0.1964733
873.5954,0.2068913
875.5239,0.2179945
877.4523,0.2289215
879.3808,0.2396768
881.3093,0.2495715
883.2377,0.2582915
885.1662,0.2652254
887.0947,0.2702011
889.0231,0.2734765
890.9516,0.2744818
892.8801,0.2738274
894.8085,0.271969
896.737,0.2692957
898.6655,0.2659628
900.5939,0.262246
902.5224,0.2581168
904.4509,0.2543773
906.3793,0.252069
908.3078,0.2518873
910.2363,0.2541187
912.1647,0.2591906
914.0932,0.2668975
916.0217,0.2771478
917.9501,0.2896569
919.8786,0.303684
921.8071,0.3186387
923.7355,0.334818
925.664,0.3518926
927.5925,0.3697781
929.5209,0.388152
931.4494,0.4066528
933.3779,0.4247429
935.3063,0.442448
937.2348,0.4593582
939.1633,0.474997
941.0917,0.4897092
943.0202,0.5024346
944.9487,0.5135891
946.8771,0.5235318
948.8056,0.5315624
950.7341,0.5378367
952.6625,0.5420837
954.591,0.544009
956.5195,0.542659
958.4479,0.5377072
960.3764,0.5295762
962.3049,0.5194401
964.2333,0.508379
966.1618,0.4965632
968.0903,0.4845763
970.0187,0.4735005
971.9472,0.4629137
973.8757,0.4523298
975.8041,0.4410537
977.7326,0.428369
979.6611,0.4151301
981.5895,0.401666
983.518,0.3884714
985.4465,0.3765652
987.3749,0.3664304
989.3034,0.3580084
991.2319,0.3507765
993.1603,0.3454681
995.0888,0.3419389
997.0173,0.3392479
998.9457,0.3359443
1000.874,0.331497
1002.803,0.3258615
1004.731,0.3191401
1006.66,0.3114548
1008.588,0.3027342
1010.517,0.2935408
1012.445,0.2843282
1014.373,0.2748125
1016.302,0.2654166
1018.23,0.2567588
1020.159,0.2487335
1022.087,0.2412242
1024.016,0.2339491
1025.944,0.2268865
1027.873,0.2205231
1029.801,0.2142735
1031.73,0.2077986
1033.658,0.2015776
1035.587,0.1953922
1037.515,0.1890604
1039.443,0.1829637
1041.372,0.1773959
1043.3,0.172131
1045.229,0.1669185
1047.157,0.1616676
1049.086,0.1561539
1051.014,0.1501833
1052.943,0.1440532
1054.871,0.1381578
1056.8,0.1337032
1058.728,0.131492
1060.657,0.1315517
1062.585,0.1337159
1064.514,0.1379105
1066.442,0.144337
1068.37,0.1528611
1070.299,0.1632389
1072.227,0.1747661
1074.156,0.1868336
1076.084,0.1980642
1078.013,0.207114
1079.941,0.2126727
1081.87,0.2133772
1083.798,0.2092818
1085.727,0.2013239
1087.655,0.1912992
1089.584,0.1804629
1091.512,0.1695251
1093.441,0.1589053
1095.369,0.148204
1097.297,0.1375038
1099.226,0.1270791
1101.154,0.1169648
1103.083,0.107094
1105.011,0.09798931
1106.94,0.0901062
1108.868,0.08368532
1110.797,0.0789688
1112.725,0.07632575
1114.654,0.076028
1116.582,0.07842112
1118.511,0.08276535
1120.439,0.08847689
1122.368,0.09454618
1124.296,0.09965871
1126.224,0.1027827
1128.153,0.1034324
1130.081,0.1017061
1132.01,0.09789674
1133.938,0.09236443
1135.867,0.08562267
1137.795,0.07811762
1139.724,0.07064835
1141.652,0.06314787
1143.581,0.05589697
1145.509,0.04924798
1147.438,0.04347891
1149.366,0.03842799
1151.295,0.03392334
1153.223,0.03007603
1155.151,0.02694008
1157.08,0.02449789
1159.008,0.02252621
1160.937,0.02109461
1162.865,0.020012
1164.794,0.01909539
1166.722,0.0181942
1168.651,0.01726264
1170.579,0.01653829
1172.508,0.01603266
1174.436,0.01544401
1176.365,0.01470965
1178.293,0.01421848
1180.222,0.01388669
1182.15,0.01354718
1184.078,0.012973
1186.007,0.01235857
1187.935,0.01198303
1189.864,0.01179366
1191.792,0.01146162
1193.721,0.01098301
1195.649,0.010451
1197.578,0.01007892
1199.506,0.009749611
1201.435,0.009359475
1203.363,0.009147951
1205.292,0.008849563
1207.22,0.008347518
1209.149,0.007726532
1211.077,0.007464416
1213.005,0.007192034
1214.934,0.006988082
1216.862,0.007018173
1218.791,0.006742295
1220.719,0.006390539
1222.648,0.006198942
1224.576,0.005853577
1226.505,0.005495916
1228.433,0.005332271
1230.362,0.005279992
1232.29,0.00513382
1234.219,0.005150442
1236.147,0.005184791
1238.076,0.0049924
1240.004,0.004856006
1241.932,0.004809457
1243.861,0.0047679
1245.789,0.004612239
1247.718,0.004393892
1249.646,0.004361071
1251.575,0.004250428
1253.503,0.004126516
1255.432,0.004088772
1257.36,0.004039271
1259.289,0.004102805
1261.217,0.00396347
1263.146,0.003818545
1265.074,0.003825303
1267.003,0.004011633
1268.931,0.003987246
1270.859,0.0040171
1272.788,0.004145809
1274.716,0.004156091
1276.645,0.004154536
1278.573,0.004326318
1280.502,0.004359826
1282.43,0.004322711
1284.359,0.004335301
1286.287,0.004317844
1288.216,0.004214769
1290.144,0.004266778
1292.073,0.004490964
1294.001,0.004454492
1295.93,0.004192678
1297.858,0.004022873
1299.786,0.004018744
1301.715,0.004180718
1303.643,0.004128952
1305.572,0.004012103
1307.5,0.003952849
1309.429,0.003934126
1311.357,0.004025987
1313.286,0.00407398
1315.214,0.004004343
1317.143,0.003978572
1319.071,0.00395051
1321.0,0.003859245
1322.928,0.003821104
1324.857,0.003991043
1326.785,0.003985918
1328.714,0.003897604
1330.642,0.003818041
1332.57,0.003674966
1334.499,0.0036745
1336.427,0.003614395
1338.356,0.003765008
1340.284,0.004077273
1342.213,0.004161878
1344.141,0.00407618
1346.07,0.00412344
1347.998,0.004257466
1349.927,0.004299422
1351.855,0.004165747
1353.784,0.004177788
1355.712,0.00427468
1357.641,0.004458274
1359.569,0.004605832
1361.497,0.004486167
1363.426,0.004414551
1365.354,0.00482357
1367.283,0.005046779
1369.211,0.004883668
1371.14,0.004699978
1373.068,0.004699985
1374.997,0.004660898
1376.925,0.004649733
1378.854,0.004881072
1380.782,0.005173943
1382.711,0.005069209
1384.639,0.004950168
1386.568,0.004952476
1388.496,0.005136493
1390.424,0.005509041
1392.353,0.005496011
1394.281,0.005189253
1396.21,0.005174547
1398.138,0.005315383
1400.067,0.005642334
1401.995,0.006036247
1403.924,0.005995364
1405.852,0.006053512
1407.781,0.006356467
1409.709,0.006595873
1411.638,0.006680548
1413.566,0.006837283
1415.495,0.007019789
1417.423,0.006508973
1419.351,0.006084044
1421.28,0.006846547
1423.208,0.007279307
1425.137,0.007352723
1427.065,0.007541512
1428.994,0.00747761
1430.922,0.007503297
1432.851,0.007588616
1434.779,0.00725571
1436.708,0.007062157
1438.636,0.007684113
1440.565,0.007989683
1442.493,0.007909907
1444.422,0.007796806
1446.35,0.007611602
1448.278,0.007510578
1450.207,0.007767319
1452.135,0.007688268
1454.064,0.00713373
1455.992,0.005643965
1457.921,0.005714416
1459.849,0.006875115
1461.778,0.007267299
1463.706,0.006997569
1465.635,0.0067339
1467.563,0.007033806
1469.492,0.006927663
1471.42,0.005934468
1473.349,0.005404356
1475.277,0.005902612
1477.205,0.006153168
1479.134,0.006226669
1481.062,0.006076142
1482.991,0.006169626
1484.919,0.006111586
1486.848,0.005570638
1488.776,0.005202311
1490.705,0.005183954
1492.633,0.005344929
1494.562,0.004722811
1496.49,0.004028977
1498.419,0.004297748
1500.347,0.004713251
1502.276,0.004832179
1504.204,0.003850227
1506.132,0.002235534
1508.061,0.00278459
1509.989,0.003905601
1511.918,0.003962901
1513.846,0.003829146
1515.775,0.003410221
1517.703,0.003227303
1519.632,0.002534673
1521.56,0.001965998
1523.489,0.002898807
1525.417,0.003308265
1527.346,0.003518973
1529.274,0.003712178
1531.203,0.003544232
1533.131,0.003028237
1535.059,0.00333756
1536.988,0.003129329
1538.916,0.001446534
1540.845,0.001341829
1542.773,0.002615044
1544.702,0.003423392
1546.63,0.003739003
1548.559,0.003870862
1550.487,0.003972572
1552.416,0.003820959
1554.344,0.003269611
1556.273,0.002804119
1558.201,0.001436203
1560.13,0.001754054
1562.058,0.003678928
1563.986,0.004291367
1565.915,0.004444231
1567.843,0.00422014
1569.772,0.004007803
1571.7,0.004413948
1573.629,0.004178475
1575.557,0.003259102
1577.486,0.003952317
1579.414,0.00512712
1581.343,0.005256707
1583.271,0.005428441
1585.2,0.005434311
1587.128,0.005469229
1589.057,0.005526665
1590.985,0.005795985
1592.913,0.005971326
1594.842,0.006134586
1596.77,0.006259233
1598.699,0.006486246
1600.627,0.006519177
1602.556,0.006507521
1604.484,0.006539769
1606.413,0.006644779
1608.341,0.006745568
1610.27,0.006956407
1612.198,0.007074649
1614.127,0.006616269
1616.055,0.005670171
1617.984,0.00635775
1619.912,0.007329043
