x,y
399.1926,0.1642768
401.1211,0.1807574
403.0495,0.1979399
404.978,0.2160814
406.9065,0.224124
408.8349,0.2323219
410.7634,0.2372971
412.6919,0.2304358
414.6203,0.2172528
416.5488,0.2029183
418.4773,0.1808916
420.4057,0.1613406
422.3342,0.1433933
424.2627,0.1284373
426.1911,0.117432
428.1196,0.1086279
430.0481,0.09966741
431.9765,0.09481312
433.905,0.09185294
435.8335,0.08949652
437.7619,0.08943047
439.6904,0.09312373
441.6189,0.09845623
443.5473,0.1042001
445.4758,0.1092562
447.4043,0.1188875
449.3327,0.1317072
451.2612,0.1454797
453.1897,0.1597096
455.1181,0.1734352
457.0466,0.1812425
458.9751,0.1815156
460.9035,0.1822554
462.832,0.1887847
464.7605,0.1986506
466.6889,0.2084018
468.6174,0.2152768
470.5459,0.2199435
472.4743,0.2213363
474.4028,0.2226934
476.3313,0.2248264
478.2597,0.2280601
480.1882,0.2315964
482.1167,0.235633
484.0451,0.2398077
485.9736,0.2416544
487.9021,0.2366772
489.8305,0.2296313
491.759,0.2215126
493.6875,0.2097499
495.6159,0.1949143
497.5444,0.1799227
499.4729,0.1651014
501.4013,0.1523842
503.3298,0.144414
505.2583,0.1430523
507.1867,0.1484943
509.1152,0.158747
511.0437,0.1742365
512.9721,0.1950136
514.9006,0.2185809
516.829,0.2432937
518.7575,0.2670281
520.686,0.2901218
522.6144,0.3105368
524.5429,0.3290018
526.4714,0.3455974
528.3998,0.3577094
530.3283,0.3640356
532.2568,0.3652713
534.1852,0.3633416
536.1137,0.3575351
538.0422,0.346023
539.9706,0.3317075
541.8991,0.3157862
543.8276,0.2984115
545.756,0.2799991
547.6845,0.2621968
549.613,0.2445892
551.5414,0.2284591
553.4699,0.2127902
555.3984,0.1977596
557.3268,0.184817
559.2553,0.1745272
561.1838,0.1682374
563.1122,0.1646827
565.0407,0.1623549
566.9692,0.1617403
568.8976,0.1623866
570.8261,0.1639851
572.7546,0.1658364
574.683,0.16793
576.6115,0.170469
578.54,0.1729361
580.4684,0.1762671
582.3969,0.1796849
584.3254,0.182958
586.2538,0.1860728
588.1823,0.1887287
590.1108,0.1910363
592.0392,0.1934754
593.9677,0.1949646
595.8962,0.1970538
597.8246,0.1995232
599.7531,0.201399
601.6816,0.2030316
603.61,0.2039277
605.5385,0.2041811
607.467,0.2039962
609.3954,0.2028472
611.3239,0.201373
613.2524,0.1990655
615.1808,0.1963138
617.1093,0.1939538
619.0378,0.191521
620.9662,0.1885263
622.8947,0.1853538
624.8232,0.1821872
626.7516,0.1786308
628.6801,0.1745222
630.6086,0.1704181
632.537,0.1659314
634.4655,0.1606621
636.394,0.1550255
638.3224,0.1493103
640.2509,0.1433251
642.1794,0.137126
644.1078,0.1313119
646.0363,0.1256459
647.9648,0.1190596
649.8932,0.1121164
651.8217,0.1058565
653.7502,0.09988663
655.6786,0.09437158
657.6071,0.08934562
659.5356,0.08464046
661.4641,0.08035429
663.3925,0.07663441
665.321,0.07360797
667.2495,0.07093472
669.1779,0.06851312
671.1064,0.06634389
673.0349,0.06445093
674.9633,0.06256191
676.8918,0.06134511
678.8203,0.05996762
680.7487,0.05872785
682.6772,0.05763547
684.6057,0.05694072
686.5341,0.0566921
688.4626,0.05649894
690.3911,0.05649252
692.3195,0.05664784
694.248,0.05690176
696.1765,0.05748259
698.1049,0.05837154
700.0334,0.05925079
701.9619,0.06013742
703.8903,0.06161192
705.8188,0.06356332
707.7473,0.06511931
709.6757,0.06658123
711.6042,0.06830265
713.5327,0.06985167
715.4611,0.07137817
717.3896,0.07296342
719.3181,0.0746901
721.2465,0.07606977
723.175,0.07720537
725.1035,0.07824973
727.0319,0.07877199
728.9604,0.07897706
730.8889,0.07908636
732.8173,0.07869151
734.7458,0.07772218
736.6743,0.07660984
738.6027,0.07540631
740.5312,0.07424472
742.4597,0.07296397
744.3881,0.07115353
746.3166,0.06982304
748.2451,0.06880348
750.1735,0.06743153
752.102,0.06604242
754.0305,0.06527031
755.9589,0.06453112
757.8874,0.06371614
759.8159,0.06299125
761.7443,0.06313973
763.6728,0.06356114
765.6013,0.06402262
767.5297,0.06475633
769.4582,0.06581146
771.3867,0.06723025
773.3151,0.06895076
775.2436,0.07109771
777.1721,0.07381255
779.1005,0.07641325
781.029,0.07891218
782.9575,0.08211698
784.8859,0.08607613
786.8144,0.09050283
788.7429,0.09533583
790.6713,0.1005026
792.5998,0.1061933
794.5283,0.1122094
796.4567,0.1187081
798.3852,0.1245545
800.3137,0.1298215
802.2421,0.1343388
804.1706,0.1373026
806.0991,0.1385106
808.0275,0.1384666
809.956,0.1367261
811.8845,0.1336464
813.8129,0.1299479
815.7414,0.1256358
817.6699,0.1207656
819.5983,0.1154936
821.5268,0.1106432
823.4553,0.1061827
825.3837,0.1014732
827.3122,0.09669083
829.2407,0.09203104
831.1691,0.08780096
833.0976,0.08372004
835.0261,0.07974775
836.9545,0.07602585
838.883,0.07264784
840.8115,0.06941986
842.7399,0.0664579
844.6684,0.06391605
846.5969,0.06162749
848.5253,0.05955273
850.4538,0.05782295
852.3823,0.0561286
854.3107,0.05497363
856.2392,0.05397773
858.1677,0.05297513
860.0961,0.05239116
862.0246,0.05236537
863.9531,0.05238822
865.8815,0.05234601
867.81,0.05266127
869.7385,0.05349897
871.6669,0.05472949
873.5954,0.05619
875.5239,0.05755821
877.4523,0.05930069
