x,y
374.1225,0.03462016
376.051,0.04298243
377.9795,0.04003268
379.9079,0.0341052
381.8364,0.04023841
383.7649,0.04443413
385.6933,0.05349853
387.6218,0.0599752
389.5503,0.05818594
391.4787,0.05868522
393.4072,0.0640192
395.3357,0.06784742
397.2641,0.07490165
399.1926,0.08120556
401.1211,0.07990288
403.0495,0.08198916
404.978,0.08816994
406.9065,0.0930921
408.8349,0.0968148
410.7634,0.09753441
412.6919,0.09846053
414.6203,0.1017846
416.5488,0.1056358
418.4773,0.1091137
420.4057,0.1089366
422.3342,0.1122024
424.2627,0.1179289
426.1911,0.1193371
428.1196,0.1193196
430.0481,0.1212507
431.9765,0.1235585
433.905,0.1258712
435.8335,0.1279802
437.7619,0.1297693
439.6904,0.1323756
441.6189,0.133921
443.5473,0.1354101
445.4758,0.1375673
447.4043,0.1401895
449.3327,0.1424485
451.2612,0.1446451
453.1897,0.1474815
455.1181,0.1498829
457.0466,0.1512729
458.9751,0.1534705
460.9035,0.154287
462.832,0.1560801
464.7605,0.1590922
466.6889,0.1606931
468.6174,0.163128
470.5459,0.166107
472.4743,0.1675869
474.4028,0.1684654
476.3313,0.1700683
478.2597,0.171105
480.1882,0.1720692
482.1167,0.1731613
484.0451,0.1740541
485.9736,0.175277
487.9021,0.1763843
489.8305,0.1771398
491.759,0.177983
493.6875,0.1791191
495.6159,0.1793518
497.5444,0.1797773
499.4729,0.1797816
501.4013,0.1803651
503.3298,0.1812184
505.2583,0.1825296
507.1867,0.1841622
509.1152,0.1837963
511.0437,0.1838276
512.9721,0.1838706
514.9006,0.1832919
516.829,0.1834679
518.7575,0.1831993
520.686,0.1831014
522.6144,0.1832905
524.5429,0.1834156
526.4714,0.1835582
528.3998,0.1838365
530.3283,0.1838673
532.2568,0.1832512
534.1852,0.1828417
536.1137,0.1829209
538.0422,0.1827069
539.9706,0.1819369
541.8991,0.1816269
543.8276,0.1814076
545.756,0.1814501
547.6845,0.1825524
549.613,0.1822947
551.5414,0.1814048
553.4699,0.1812746
555.3984,0.1817845
557.3268,0.1821074
559.2553,0.1826113
561.1838,0.1833009
563.1122,0.1831998
565.0407,0.1839334
566.9692,0.1847672
568.8976,0.1847546
570.8261,0.185993
572.7546,0.1870941
574.683,0.1878639
576.6115,0.188404
