x,y
374.1225,0.5198675
376.051,0.5078605
377.9795,0.5165351
379.9079,0.4825551
381.8364,0.3610381
383.7649,0.3216022
385.6933,0.2885785
387.6218,0.2624318
389.5503,0.2455472
391.4787,0.2309249
393.4072,0.2205725
395.3357,0.2166348
397.2641,0.2041485
399.1926,0.1850197
401.1211,0.1683494
403.0495,0.1587816
404.978,0.1456787
406.9065,0.1376579
408.8349,0.1343373
410.7634,0.1332172
412.6919,0.1236325
414.6203,0.1176142
416.5488,0.1232547
418.4773,0.1351413
420.4057,0.1482455
422.3342,0.1662498
424.2627,0.1890926
426.1911,0.2150533
428.1196,0.2343797
430.0481,0.2370288
431.9765,0.2168159
433.905,0.1870196
435.8335,0.159107
437.7619,0.1408715
439.6904,0.1311295
441.6189,0.1182392
443.5473,0.1063835
445.4758,0.0985503
447.4043,0.09228294
449.3327,0.08499829
451.2612,0.07785933
453.1897,0.07323474
455.1181,0.06973726
457.0466,0.06544981
458.9751,0.0590982
460.9035,0.05139902
462.832,0.04508024
464.7605,0.03998829
466.6889,0.03599649
468.6174,0.03309743
470.5459,0.03040699
472.4743,0.02808646
474.4028,0.02640547
476.3313,0.02435304
478.2597,0.02241191
480.1882,0.02147836
482.1167,0.02105306
484.0451,0.02119009
485.9736,0.02125979
487.9021,0.02171945
489.8305,0.02198116
491.759,0.02218282
493.6875,0.02217671
495.6159,0.02209419
497.5444,0.02241832
499.4729,0.02290001
501.4013,0.02294737
503.3298,0.02310646
505.2583,0.02337606
507.1867,0.02405123
509.1152,0.02502407
511.0437,0.02618857
512.9721,0.02685412
514.9006,0.0274399
516.829,0.02790297
518.7575,0.02836709
520.686,0.02905177
522.6144,0.02949705
524.5429,0.02962852
526.4714,0.030033
528.3998,0.0309358
530.3283,0.03214366
532.2568,0.03284898
534.1852,0.03333844
536.1137,0.03366855
538.0422,0.0342309
539.9706,0.03527606
541.8991,0.03631992
543.8276,0.03731527
545.756,0.03883477
547.6845,0.04061343
549.613,0.0419887
551.5414,0.04280014
553.4699,0.04415412
555.3984,0.04633297
557.3268,0.04797497
559.2553,0.04991427
561.1838,0.05223331
563.1122,0.05465977
565.0407,0.05742036
566.9692,0.06068067
568.8976,0.06417098
570.8261,0.06770658
572.7546,0.07205953
574.683,0.07722953
576.6115,0.08297909
578.54,0.08925665
580.4684,0.09656233
582.3969,0.1047536
584.3254,0.113508
586.2538,0.123521
588.1823,0.1352185
590.1108,0.1486808
592.0392,0.163291
593.9677,0.1792559
595.8962,0.1970678
597.8246,0.2155463
599.7531,0.2342398
601.6816,0.2520578
603.61,0.2671573
605.5385,0.2780578
607.467,0.2829108
609.3954,0.2810909
611.3239,0.2738033
613.2524,0.262395
615.1808,0.2483207
617.1093,0.2324436
619.0378,0.2161987
620.9662,0.1994177
622.8947,0.1835154
624.8232,0.1688939
626.7516,0.1544559
628.6801,0.1408271
630.6086,0.1288499
632.537,0.1181717
634.4655,0.1091973
636.394,0.1016838
638.3224,0.09540508
640.2509,0.0906807
642.1794,0.08710147
644.1078,0.08472872
646.0363,0.08347445
647.9648,0.08263347
649.8932,0.08202972
651.8217,0.08114648
653.7502,0.07989633
655.6786,0.07860374
657.6071,0.07778479
659.5356,0.07704204
661.4641,0.07652117
663.3925,0.07658706
665.321,0.07722484
667.2495,0.0783367
669.1779,0.07954586
671.1064,0.08064604
673.0349,0.08171725
674.9633,0.08264357
676.8918,0.08392335
678.8203,0.08555632
680.7487,0.08722834
682.6772,0.08899876
684.6057,0.09077561
686.5341,0.09258167
688.4626,0.09409906
690.3911,0.09558401
692.3195,0.09723736
694.248,0.09930193
696.1765,0.1016729
698.1049,0.1037738
700.0334,0.1054813
701.9619,0.1072704
703.8903,0.1094984
705.8188,0.1116682
707.7473,0.113592
709.6757,0.1159423
711.6042,0.1186564
713.5327,0.1209421
715.4611,0.1232702
717.3896,0.1260127
719.3181,0.1286124
721.2465,0.1312788
723.175,0.1340552
725.1035,0.1366085
727.0319,0.1393389
728.9604,0.1422999
730.8889,0.145443
732.8173,0.148902
734.7458,0.1528726
736.6743,0.1569389
738.6027,0.1606032
740.5312,0.1639632
742.4597,0.1676452
744.3881,0.1719442
746.3166,0.1759471
748.2451,0.1794492
750.1735,0.1832079
752.102,0.1875884
754.0305,0.1921858
755.9589,0.196869
757.8874,0.2018672
759.8159,0.206685
761.7443,0.2115079
763.6728,0.2165609
765.6013,0.2217373
767.5297,0.2271203
769.4582,0.2321565
771.3867,0.2372683
773.3151,0.2425898
775.2436,0.2477947
777.1721,0.2531709
779.1005,0.2586703
781.029,0.2641278
782.9575,0.2697138
784.8859,0.2757522
786.8144,0.2816361
788.7429,0.287272
790.6713,0.2932898
792.5998,0.2994661
794.5283,0.3053004
796.4567,0.311506
798.3852,0.318005
800.3137,0.3242077
802.2421,0.330456
804.1706,0.3369743
806.0991,0.3434792
808.0275,0.349702
809.956,0.3557177
811.8845,0.3618805
813.8129,0.3680066
815.7414,0.37386
817.6699,0.3799096
819.5983,0.3859484
821.5268,0.3920392
823.4553,0.3980746
825.3837,0.404561
827.3122,0.411347
829.2407,0.4178544
831.1691,0.4241091
833.0976,0.4305376
835.0261,0.4368948
836.9545,0.4428504
838.883,0.44902
840.8115,0.4552529
842.7399,0.4609909
844.6684,0.466687
846.5969,0.4722671
848.5253,0.4775833
850.4538,0.4821346
852.3823,0.486269
854.3107,0.4897169
856.2392,0.4931902
858.1677,0.4959853
860.0961,0.4973941
862.0246,0.4981168
863.9531,0.49899
865.8815,0.4994746
867.81,0.4992961
869.7385,0.499146
871.6669,0.4987298
873.5954,0.4969562
875.5239,0.494724
877.4523,0.4917157
879.3808,0.4879489
881.3093,0.4833972
883.2377,0.4787749
885.1662,0.4733309
887.0947,0.4674129
889.0231,0.4612447
890.9516,0.455038
892.8801,0.4486328
894.8085,0.4419104
896.737,0.4352989
898.6655,0.4284931
900.5939,0.4216292
902.5224,0.4149071
904.4509,0.4079853
906.3793,0.4013661
908.3078,0.3948142
910.2363,0.3880952
912.1647,0.3814755
914.0932,0.3748069
916.0217,0.3679449
917.9501,0.3616697
919.8786,0.3557689
921.8071,0.3501046
923.7355,0.3441567
925.664,0.3380055
927.5925,0.3317489
929.5209,0.3256093
931.4494,0.3198566
933.3779,0.3147722
935.3063,0.3096982
937.2348,0.3044866
939.1633,0.2993937
941.0917,0.2946616
943.0202,0.2905407
944.9487,0.2871318
946.8771,0.2839542
948.8056,0.280726
950.7341,0.2773226
952.6625,0.2735071
954.591,0.2697536
956.5195,0.2663612
958.4479,0.2628475
960.3764,0.2596935
962.3049,0.2569237
964.2333,0.2541001
966.1618,0.2515745
968.0903,0.249245
970.0187,0.247245
971.9472,0.2455229
973.8757,0.2433339
975.8041,0.2404408
977.7326,0.237127
979.6611,0.2330298
981.5895,0.2286164
983.518,0.224242
985.4465,0.21952
987.3749,0.2146622
989.3034,0.2094986
991.2319,0.2040356
993.1603,0.1986147
995.0888,0.1935225
997.0173,0.188202
998.9457,0.1824714
1000.874,0.1770612
1002.803,0.1717277
1004.731,0.1665157
1006.66,0.1613085
1008.588,0.1561356
1010.517,0.1512459
1012.445,0.1466312
1014.373,0.1421199
1016.302,0.1376251
1018.23,0.1333063
1020.159,0.1289736
1022.087,0.124856
1024.016,0.1210665
1025.944,0.1177462
1027.873,0.1146905
1029.801,0.1117745
1031.73,0.1092474
1033.658,0.1069751
1035.587,0.1049395
1037.515,0.1028456
1039.443,0.1006551
1041.372,0.09835666
1043.3,0.0958266
1045.229,0.0932227
1047.157,0.09085149
1049.086,0.08803836
1051.014,0.08519113
1052.943,0.08251905
1054.871,0.07943921
1056.8,0.07610129
1058.728,0.07277406
1060.657,0.06937708
