x,y
374.1225,0.2359052
376.051,0.2438487
377.9795,0.2650555
379.9079,0.2710476
381.8364,0.2489914
383.7649,0.246905
385.6933,0.2650571
387.6218,0.2747931
389.5503,0.2701347
391.4787,0.2837812
393.4072,0.2703053
395.3357,0.2622982
397.2641,0.2556374
399.1926,0.2487319
401.1211,0.2427213
403.0495,0.2423395
404.978,0.247984
406.9065,0.2499758
408.8349,0.2467686
410.7634,0.2491405
412.6919,0.2461185
414.6203,0.2404151
416.5488,0.2328701
418.4773,0.2304966
420.4057,0.2251354
422.3342,0.2123411
424.2627,0.2031148
426.1911,0.1957632
428.1196,0.1879036
430.0481,0.1880156
431.9765,0.1906675
433.905,0.1897484
435.8335,0.1857486
437.7619,0.1810477
439.6904,0.1775354
441.6189,0.1712867
443.5473,0.1622682
445.4758,0.1556504
447.4043,0.150644
449.3327,0.1470445
451.2612,0.1458346
453.1897,0.1464448
455.1181,0.1448147
457.0466,0.1427825
458.9751,0.140204
460.9035,0.1369772
462.832,0.1374756
464.7605,0.1380831
466.6889,0.1367308
468.6174,0.1363398
470.5459,0.1372703
472.4743,0.138289
474.4028,0.1397983
476.3313,0.1407149
478.2597,0.1405625
480.1882,0.1400844
482.1167,0.1405634
484.0451,0.1433256
485.9736,0.1477009
487.9021,0.1533093
489.8305,0.1598186
491.759,0.1643609
493.6875,0.1649691
495.6159,0.1613881
497.5444,0.1540141
499.4729,0.1451967
501.4013,0.1362899
503.3298,0.1284602
505.2583,0.1211519
507.1867,0.1154259
509.1152,0.1110779
511.0437,0.1081718
512.9721,0.1067286
514.9006,0.1077018
516.829,0.1108032
518.7575,0.1149033
520.686,0.1206606
522.6144,0.1281679
524.5429,0.1353007
526.4714,0.1408273
528.3998,0.1449471
530.3283,0.1463071
532.2568,0.1449042
534.1852,0.1415844
536.1137,0.1358326
538.0422,0.1278048
539.9706,0.1196607
541.8991,0.1123176
543.8276,0.1052693
545.756,0.09940191
547.6845,0.09550202
549.613,0.09270617
551.5414,0.09045447
553.4699,0.08836272
555.3984,0.08479884
557.3268,0.08016277
559.2553,0.07612178
561.1838,0.07153691
563.1122,0.0664214
565.0407,0.06196228
566.9692,0.05788239
568.8976,0.05362145
570.8261,0.04969311
572.7546,0.0463159
574.683,0.04313518
576.6115,0.04043951
578.54,0.0386442
580.4684,0.03748775
582.3969,0.03690728
584.3254,0.03708333
586.2538,0.03816995
588.1823,0.03983508
590.1108,0.04200472
592.0392,0.04503505
593.9677,0.04837216
595.8962,0.05263181
597.8246,0.05798609
599.7531,0.06430384
601.6816,0.07173391
603.61,0.08024579
605.5385,0.08860808
607.467,0.09570784
609.3954,0.1010136
611.3239,0.1038261
613.2524,0.1045379
615.1808,0.1028303
617.1093,0.09999303
619.0378,0.09662692
620.9662,0.0924115
622.8947,0.08783212
624.8232,0.08359929
626.7516,0.07875478
628.6801,0.07366693
630.6086,0.06914654
632.537,0.06404866
634.4655,0.05900702
636.394,0.05498454
638.3224,0.05110247
640.2509,0.04710003
642.1794,0.04359752
644.1078,0.04004952
646.0363,0.03715981
647.9648,0.03493158
649.8932,0.03293661
651.8217,0.03094447
653.7502,0.02928818
655.6786,0.02791421
657.6071,0.02691223
659.5356,0.02609033
661.4641,0.02529858
663.3925,0.02476837
665.321,0.02453657
667.2495,0.02440908
669.1779,0.02420166
671.1064,0.02369891
673.0349,0.02338517
674.9633,0.0233537
676.8918,0.0231693
678.8203,0.02279063
680.7487,0.02242774
682.6772,0.02229712
684.6057,0.02224643
686.5341,0.02248171
688.4626,0.02290751
690.3911,0.02289757
692.3195,0.02283411
694.248,0.02309169
696.1765,0.02336107
698.1049,0.02359829
700.0334,0.02368035
701.9619,0.0238151
703.8903,0.02429884
705.8188,0.02482904
707.7473,0.02508277
709.6757,0.02571861
711.6042,0.02641143
713.5327,0.02681215
715.4611,0.02732254
717.3896,0.02803497
719.3181,0.02890311
721.2465,0.02979851
723.175,0.03094101
725.1035,0.03240981
727.0319,0.03423422
728.9604,0.03655371
730.8889,0.03941762
732.8173,0.04284331
734.7458,0.04771587
736.6743,0.05424385
738.6027,0.06129541
740.5312,0.06790899
742.4597,0.07302912
744.3881,0.07529826
746.3166,0.07454628
748.2451,0.0720645
750.1735,0.0695287
752.102,0.06795731
754.0305,0.06710144
755.9589,0.06599395
757.8874,0.06441513
759.8159,0.06293139
761.7443,0.06107746
763.6728,0.05788095
765.6013,0.05392727
767.5297,0.05035184
769.4582,0.04718831
771.3867,0.04473994
773.3151,0.04252417
775.2436,0.04047749
777.1721,0.03928121
779.1005,0.03890207
781.029,0.03902039
782.9575,0.03988599
784.8859,0.04117748
786.8144,0.04239169
788.7429,0.04345852
790.6713,0.04471808
792.5998,0.04636451
794.5283,0.04858922
796.4567,0.05158792
798.3852,0.05542751
800.3137,0.05976664
802.2421,0.06418595
804.1706,0.06881545
806.0991,0.07352205
808.0275,0.07787787
809.956,0.08190171
811.8845,0.08602235
813.8129,0.09026111
815.7414,0.09494632
817.6699,0.0997652
819.5983,0.1047004
821.5268,0.1101505
823.4553,0.1161021
825.3837,0.1227346
827.3122,0.1301836
829.2407,0.1385665
831.1691,0.1477531
833.0976,0.1572941
835.0261,0.1664717
836.9545,0.1734943
838.883,0.1780474
840.8115,0.1816772
842.7399,0.1863557
844.6684,0.1906632
846.5969,0.1919968
848.5253,0.1898296
850.4538,0.1849122
852.3823,0.1805496
854.3107,0.1804198
856.2392,0.1855359
858.1677,0.1936106
860.0961,0.201529
862.0246,0.2075099
863.9531,0.2124303
865.8815,0.2185848
867.81,0.2272216
869.7385,0.2373439
871.6669,0.247348
873.5954,0.2558434
875.5239,0.2624443
877.4523,0.2670921
879.3808,0.269773
881.3093,0.2707714
883.2377,0.2701738
885.1662,0.2678888
887.0947,0.2640856
889.0231,0.2587438
890.9516,0.2523805
892.8801,0.2458894
894.8085,0.2395929
896.737,0.2333127
898.6655,0.2268633
900.5939,0.2203766
902.5224,0.2138673
904.4509,0.207358
906.3793,0.2011272
908.3078,0.1951932
910.2363,0.1892325
912.1647,0.1834111
914.0932,0.1779219
916.0217,0.1727155
917.9501,0.1681435
919.8786,0.1636883
921.8071,0.158961
923.7355,0.1542062
925.664,0.1499185
927.5925,0.1454205
929.5209,0.1409113
931.4494,0.1369173
933.3779,0.1331734
935.3063,0.1298029
937.2348,0.127283
939.1633,0.1259127
941.0917,0.1256778
943.0202,0.1262575
944.9487,0.1275629
946.8771,0.1283685
948.8056,0.1275333
950.7341,0.1255589
952.6625,0.1236968
954.591,0.1234366
956.5195,0.1255229
958.4479,0.1286374
960.3764,0.129707
962.3049,0.1262038
964.2333,0.1194249
966.1618,0.1134614
968.0903,0.1092803
970.0187,0.1056158
971.9472,0.1025218
973.8757,0.1008731
975.8041,0.1018136
977.7326,0.1052319
979.6611,0.1092948
981.5895,0.1121036
983.518,0.1142401
985.4465,0.1161448
987.3749,0.116563
989.3034,0.1135486
991.2319,0.1078949
993.1603,0.1030759
995.0888,0.1003817
997.0173,0.09882317
998.9457,0.09770139
1000.874,0.09659556
1002.803,0.09519074
1004.731,0.09380125
1006.66,0.09206403
1008.588,0.09009803
1010.517,0.08773903
1012.445,0.08523304
1014.373,0.08281904
1016.302,0.080232
1018.23,0.07743555
1020.159,0.07440057
1022.087,0.07135101
1024.016,0.06825904
1025.944,0.06504613
1027.873,0.06170771
1029.801,0.05865922
1031.73,0.05576821
1033.658,0.05263063
1035.587,0.04932838
1037.515,0.04627892
1039.443,0.04346054
1041.372,0.04051187
1043.3,0.03769553
1045.229,0.03520049
1047.157,0.0326145
1049.086,0.03009166
1051.014,0.02810392
1052.943,0.02600283
