x,y
374.1225,0.2755285
376.051,0.2620736
377.9795,0.2567056
379.9079,0.2260012
381.8364,0.1987489
383.7649,0.1972197
385.6933,0.1834873
387.6218,0.1701872
389.5503,0.1744342
391.4787,0.1891738
393.4072,0.2017484
395.3357,0.2076108
397.2641,0.216367
399.1926,0.2297753
401.1211,0.2323643
403.0495,0.2316591
404.978,0.2335496
406.9065,0.2450463
408.8349,0.2514923
410.7634,0.258974
412.6919,0.2591202
414.6203,0.2621605
416.5488,0.2700617
418.4773,0.2757741
420.4057,0.2790352
422.3342,0.2822697
424.2627,0.2801498
426.1911,0.2734286
428.1196,0.2636377
430.0481,0.2558485
431.9765,0.248207
433.905,0.2428179
435.8335,0.2445091
437.7619,0.2500728
439.6904,0.2554106
441.6189,0.2592371
443.5473,0.2513779
445.4758,0.2395014
447.4043,0.2308354
449.3327,0.2260483
451.2612,0.2228873
453.1897,0.2229461
455.1181,0.2255485
457.0466,0.2252085
458.9751,0.2201356
460.9035,0.2163389
462.832,0.2161772
464.7605,0.2181256
466.6889,0.2191639
468.6174,0.2182345
470.5459,0.2202283
472.4743,0.2253495
474.4028,0.2313451
476.3313,0.2377401
478.2597,0.2446356
480.1882,0.2502447
482.1167,0.2533889
484.0451,0.255307
485.9736,0.2558639
487.9021,0.2573747
489.8305,0.260884
491.759,0.2655554
493.6875,0.2695704
495.6159,0.2739894
497.5444,0.2774855
499.4729,0.276969
501.4013,0.2733445
503.3298,0.2705113
505.2583,0.2700808
507.1867,0.2716354
509.1152,0.274179
511.0437,0.2783186
512.9721,0.2838365
514.9006,0.2879455
516.829,0.2916847
518.7575,0.2962959
520.686,0.2999451
522.6144,0.3004924
524.5429,0.3015105
526.4714,0.3020505
528.3998,0.3010808
530.3283,0.2993315
532.2568,0.2982579
534.1852,0.3007627
536.1137,0.3048709
538.0422,0.3068669
539.9706,0.3080188
541.8991,0.3088839
543.8276,0.3069314
545.756,0.3037728
547.6845,0.3003188
549.613,0.2938162
551.5414,0.2837957
553.4699,0.274249
555.3984,0.2678786
557.3268,0.2633013
559.2553,0.2608327
561.1838,0.2613943
563.1122,0.2643611
565.0407,0.2679232
566.9692,0.2676778
568.8976,0.2602646
570.8261,0.2486612
572.7546,0.2348469
574.683,0.2217737
576.6115,0.210602
578.54,0.2006064
580.4684,0.1903469
582.3969,0.1811986
584.3254,0.1741118
586.2538,0.1703856
588.1823,0.1706725
590.1108,0.175224
592.0392,0.1841802
593.9677,0.1972944
595.8962,0.209116
597.8246,0.2123366
599.7531,0.2075765
601.6816,0.1982033
603.61,0.1879732
605.5385,0.1787635
607.467,0.1718253
609.3954,0.16907
611.3239,0.1707674
613.2524,0.1747721
615.1808,0.1790168
617.1093,0.1802031
619.0378,0.1776608
620.9662,0.1733934
622.8947,0.1692811
624.8232,0.1667191
626.7516,0.1663192
628.6801,0.1656983
630.6086,0.1624196
632.537,0.1560475
634.4655,0.1481106
636.394,0.141358
638.3224,0.13675
640.2509,0.1344583
642.1794,0.1341176
644.1078,0.1353127
646.0363,0.1376386
647.9648,0.1412188
649.8932,0.1456749
651.8217,0.1507454
653.7502,0.1567903
655.6786,0.1638358
657.6071,0.1703246
659.5356,0.176209
661.4641,0.1809296
663.3925,0.1830145
665.321,0.1818295
667.2495,0.1770071
669.1779,0.1687316
671.1064,0.1586711
673.0349,0.1485105
674.9633,0.1392128
676.8918,0.1312657
678.8203,0.1264477
680.7487,0.1258408
682.6772,0.1256845
684.6057,0.1240489
686.5341,0.1220537
688.4626,0.1199615
690.3911,0.1183959
692.3195,0.1174964
694.248,0.1167696
696.1765,0.1159874
698.1049,0.1152046
700.0334,0.1144586
701.9619,0.1136054
703.8903,0.1130977
705.8188,0.1128886
707.7473,0.1132436
709.6757,0.114084
711.6042,0.1153657
713.5327,0.1165535
715.4611,0.11735
717.3896,0.1179768
719.3181,0.118396
721.2465,0.1184848
723.175,0.1183172
725.1035,0.1177556
727.0319,0.116645
728.9604,0.1156449
730.8889,0.1148562
732.8173,0.1150449
734.7458,0.1165586
736.6743,0.1187077
738.6027,0.1183176
740.5312,0.1141076
742.4597,0.1074584
744.3881,0.09974984
746.3166,0.0921748
748.2451,0.08499726
750.1735,0.07844487
752.102,0.07232382
754.0305,0.06625453
755.9589,0.06108085
757.8874,0.05698169
759.8159,0.05384763
761.7443,0.05173526
763.6728,0.05013376
765.6013,0.04830783
767.5297,0.04585164
769.4582,0.04314952
771.3867,0.04084671
773.3151,0.03910898
775.2436,0.03815364
777.1721,0.03797399
779.1005,0.03863565
781.029,0.0403509
782.9575,0.04297924
784.8859,0.04613343
786.8144,0.04972459
788.7429,0.05262652
790.6713,0.05374305
792.5998,0.05260341
794.5283,0.04968007
796.4567,0.04597924
798.3852,0.04214528
800.3137,0.03862766
802.2421,0.03586462
804.1706,0.03392983
806.0991,0.03250577
808.0275,0.03125112
809.956,0.03030141
811.8845,0.02964023
813.8129,0.02910564
815.7414,0.02870651
817.6699,0.02838538
819.5983,0.02815442
821.5268,0.02831538
823.4553,0.02875385
825.3837,0.02888031
827.3122,0.02875345
829.2407,0.02915721
831.1691,0.02992178
833.0976,0.03049288
835.0261,0.03148464
836.9545,0.03233419
838.883,0.0331274
840.8115,0.03427887
842.7399,0.03580536
844.6684,0.03749797
846.5969,0.03937132
848.5253,0.04137092
850.4538,0.04367733
852.3823,0.04656441
854.3107,0.04994396
856.2392,0.05375574
858.1677,0.05835721
860.0961,0.06351449
862.0246,0.06920125
863.9531,0.07573697
