x,y
374.1225,0.165096
376.051,0.1555135
377.9795,0.13437
379.9079,0.1321118
381.8364,0.1304216
383.7649,0.127009
385.6933,0.1274445
387.6218,0.1265995
389.5503,0.1298219
391.4787,0.1329026
393.4072,0.1286266
395.3357,0.1262468
397.2641,0.1337066
399.1926,0.1410879
401.1211,0.1342088
403.0495,0.1331294
404.978,0.1356298
406.9065,0.1420439
408.8349,0.1505964
410.7634,0.1599365
412.6919,0.1700547
414.6203,0.1747761
416.5488,0.1756802
418.4773,0.1833805
420.4057,0.1872295
422.3342,0.190438
424.2627,0.1938316
426.1911,0.1946271
428.1196,0.1933451
430.0481,0.1939773
431.9765,0.1922952
433.905,0.1913012
435.8335,0.1934024
437.7619,0.1966604
439.6904,0.197254
441.6189,0.2001678
443.5473,0.2020952
445.4758,0.2029354
447.4043,0.2036603
449.3327,0.2011199
451.2612,0.1977624
453.1897,0.1945001
455.1181,0.1925988
457.0466,0.1923426
458.9751,0.1902218
460.9035,0.1900061
462.832,0.1905881
464.7605,0.1903107
466.6889,0.1873717
468.6174,0.1831914
470.5459,0.1777696
472.4743,0.1710986
474.4028,0.1640359
476.3313,0.1591245
478.2597,0.1546267
480.1882,0.1513265
482.1167,0.1497777
484.0451,0.1488946
485.9736,0.1485717
487.9021,0.1501649
489.8305,0.1525805
491.759,0.1543079
493.6875,0.1547518
495.6159,0.1554519
497.5444,0.1573285
499.4729,0.1603697
501.4013,0.1632677
503.3298,0.1647154
505.2583,0.1663695
507.1867,0.1669078
509.1152,0.166059
511.0437,0.1637136
512.9721,0.1609078
514.9006,0.1574768
516.829,0.1535794
518.7575,0.1498338
520.686,0.1459684
522.6144,0.1426539
524.5429,0.1406121
526.4714,0.1395413
528.3998,0.1391507
530.3283,0.1397892
532.2568,0.1402684
534.1852,0.1402445
536.1137,0.1400331
538.0422,0.1389105
539.9706,0.1375272
541.8991,0.1362719
543.8276,0.1344102
545.756,0.1316094
547.6845,0.1285533
549.613,0.1252884
551.5414,0.1207573
553.4699,0.1157272
555.3984,0.109563
557.3268,0.102622
559.2553,0.0962143
561.1838,0.08946642
563.1122,0.08271056
565.0407,0.0768524
566.9692,0.07154463
568.8976,0.06662207
570.8261,0.06212588
572.7546,0.05842865
574.683,0.05588417
576.6115,0.05390985
578.54,0.05240196
580.4684,0.05087564
582.3969,0.04943509
584.3254,0.04864395
586.2538,0.04800512
588.1823,0.04688795
590.1108,0.04575261
592.0392,0.04471073
593.9677,0.04381472
595.8962,0.04345834
597.8246,0.04312347
599.7531,0.04267039
601.6816,0.0424341
603.61,0.04242631
605.5385,0.04226172
607.467,0.0423688
609.3954,0.04240879
611.3239,0.0425482
613.2524,0.04280815
615.1808,0.043029
617.1093,0.04322079
619.0378,0.04328682
620.9662,0.04374445
622.8947,0.04395408
624.8232,0.04390315
626.7516,0.04398671
628.6801,0.0441346
630.6086,0.04486957
632.537,0.04553176
634.4655,0.04622199
636.394,0.04710927
638.3224,0.04788578
640.2509,0.04845324
642.1794,0.04891013
644.1078,0.04954483
646.0363,0.05040107
647.9648,0.05122247
649.8932,0.0518586
651.8217,0.05269201
653.7502,0.05365543
655.6786,0.05470434
657.6071,0.05551568
659.5356,0.05634383
661.4641,0.05727411
663.3925,0.05832951
665.321,0.05949658
667.2495,0.06097791
669.1779,0.0621094
671.1064,0.06312703
673.0349,0.06466284
674.9633,0.06614133
676.8918,0.0676105
678.8203,0.06910187
680.7487,0.07049923
682.6772,0.07203856
684.6057,0.07387043
686.5341,0.07602604
688.4626,0.07803166
690.3911,0.08002548
692.3195,0.08246554
694.248,0.08511153
696.1765,0.08721
698.1049,0.08928557
700.0334,0.09154446
701.9619,0.09406246
703.8903,0.09691777
705.8188,0.09996266
707.7473,0.1030999
709.6757,0.1064842
711.6042,0.1100508
713.5327,0.1132442
715.4611,0.1161912
717.3896,0.1194484
719.3181,0.1235223
721.2465,0.1279119
723.175,0.1326597
725.1035,0.1377912
727.0319,0.1427673
728.9604,0.1479598
730.8889,0.1534464
732.8173,0.1592903
734.7458,0.1656041
736.6743,0.1720737
738.6027,0.1785933
740.5312,0.1855084
742.4597,0.1927146
744.3881,0.2004795
746.3166,0.2083641
748.2451,0.2160124
750.1735,0.2233142
752.102,0.2302196
754.0305,0.2373698
755.9589,0.2451191
757.8874,0.2530563
759.8159,0.2613128
761.7443,0.269811
763.6728,0.2782484
765.6013,0.2866597
767.5297,0.2943318
769.4582,0.3004441
771.3867,0.3053781
773.3151,0.3089423
775.2436,0.3109005
777.1721,0.3107868
779.1005,0.3086989
781.029,0.3051454
782.9575,0.3016541
784.8859,0.2991482
786.8144,0.297181
788.7429,0.2962897
790.6713,0.2976548
792.5998,0.3009039
794.5283,0.3055649
796.4567,0.3110302
798.3852,0.3166685
800.3137,0.3222984
802.2421,0.3276341
804.1706,0.3312891
806.0991,0.3331287
808.0275,0.3344309
809.956,0.3347978
811.8845,0.3337603
813.8129,0.3322859
815.7414,0.3303637
817.6699,0.3278107
819.5983,0.3243407
821.5268,0.3213493
823.4553,0.3194178
825.3837,0.3173881
827.3122,0.3139094
829.2407,0.3090844
831.1691,0.3020443
833.0976,0.2932327
835.0261,0.2840013
836.9545,0.2744296
838.883,0.264313
840.8115,0.253998
842.7399,0.2437291
844.6684,0.2340357
846.5969,0.2250031
848.5253,0.2169368
850.4538,0.2098434
852.3823,0.2039534
854.3107,0.1995057
856.2392,0.1969643
858.1677,0.1960428
860.0961,0.195539
862.0246,0.1929644
863.9531,0.1874528
865.8815,0.1793631
867.81,0.1696468
869.7385,0.1600897
871.6669,0.1515782
873.5954,0.1443179
875.5239,0.1387145
877.4523,0.1349046
879.3808,0.1328589
881.3093,0.1319537
883.2377,0.1313251
885.1662,0.1302596
887.0947,0.1282442
889.0231,0.1251957
890.9516,0.1214844
892.8801,0.1172079
894.8085,0.1124092
896.737,0.1073011
898.6655,0.1024804
900.5939,0.09802806
902.5224,0.09418644
904.4509,0.09066745
906.3793,0.08752634
908.3078,0.08462078
910.2363,0.08165665
912.1647,0.07828758
914.0932,0.07454038
916.0217,0.07057106
917.9501,0.06640842
919.8786,0.06224076
921.8071,0.05832754
923.7355,0.05492946
925.664,0.05197485
927.5925,0.04945344
929.5209,0.04753173
931.4494,0.04619258
933.3779,0.04507431
935.3063,0.04402722
937.2348,0.04341333
939.1633,0.04331336
941.0917,0.04332512
943.0202,0.04349524
944.9487,0.04394272
946.8771,0.04449468
948.8056,0.04511628
950.7341,0.04562451
952.6625,0.04615124
954.591,0.04667287
956.5195,0.04697238
958.4479,0.04724943
960.3764,0.04768787
962.3049,0.04827237
964.2333,0.04899845
966.1618,0.04978175
968.0903,0.05087262
970.0187,0.05218794
971.9472,0.05339719
973.8757,0.05406789
975.8041,0.05387683
977.7326,0.05299244
979.6611,0.05139695
981.5895,0.04886471
983.518,0.04576982
985.4465,0.04280115
987.3749,0.04007355
989.3034,0.03751973
991.2319,0.03528417
993.1603,0.0335417
995.0888,0.03223561
997.0173,0.03108927
998.9457,0.0302135
1000.874,0.02944824
1002.803,0.02870006
1004.731,0.02822668
1006.66,0.02781218
1008.588,0.02745051
1010.517,0.02735102
1012.445,0.0272872
1014.373,0.02712226
1016.302,0.02714259
1018.23,0.02731603
1020.159,0.02743403
1022.087,0.02759316
1024.016,0.02777844
1025.944,0.02795199
1027.873,0.02829371
1029.801,0.02891992
1031.73,0.02956282
1033.658,0.02994449
1035.587,0.03050734
1037.515,0.03157978
1039.443,0.03264792
1041.372,0.03352148
1043.3,0.03453458
1045.229,0.03551456
1047.157,0.03602732
1049.086,0.03639214
1051.014,0.03621902
1052.943,0.0353297
1054.871,0.03445082
1056.8,0.03341634
1058.728,0.03215259
1060.657,0.03090899
1062.585,0.02949048
1064.514,0.02796505
1066.442,0.02645631
1068.37,0.02508417
1070.299,0.02387887
1072.227,0.02296455
1074.156,0.02212565
1076.084,0.02152504
1078.013,0.0211607
1079.941,0.02102637
1081.87,0.0208707
1083.798,0.02070166
1085.727,0.02077537
1087.655,0.02105631
1089.584,0.02164558
1091.512,0.02242806
1093.441,0.02331137
1095.369,0.02426538
1097.297,0.02489964
1099.226,0.02500775
1101.154,0.02457396
1103.083,0.0237141
1105.011,0.02269876
1106.94,0.02191413
1108.868,0.0212729
1110.797,0.02073185
1112.725,0.02008966
1114.654,0.01958792
1116.582,0.01930154
1118.511,0.01885351
1120.439,0.01824084
1122.368,0.01773398
1124.296,0.01732447
1126.224,0.01705428
1128.153,0.01692942
1130.081,0.01666553
1132.01,0.01627313
1133.938,0.01596255
1135.867,0.01573684
1137.795,0.01549923
1139.724,0.0153441
1141.652,0.01505045
1143.581,0.01472052
1145.509,0.01436086
1147.438,0.01412991
1149.366,0.01414633
1151.295,0.01409555
1153.223,0.01390492
1155.151,0.01378192
1157.08,0.01373968
1159.008,0.01364056
1160.937,0.01372148
1162.865,0.01382129
1164.794,0.01372519
1166.722,0.01361749
1168.651,0.01349527
1170.579,0.0133975
1172.508,0.01342472
1174.436,0.01343173
1176.365,0.01336024
1178.293,0.01334571
1180.222,0.01329426
1182.15,0.01322293
1184.078,0.01321447
1186.007,0.01320354
1187.935,0.01333935
1189.864,0.01327532
1191.792,0.01308218
1193.721,0.01305532
1195.649,0.01305127
1197.578,0.01299334
1199.506,0.01289321
1201.435,0.01267153
1203.363,0.01245894
1205.292,0.01246656
1207.22,0.01228463
1209.149,0.01219754
1211.077,0.01215753
1213.005,0.01203973
1214.934,0.01202778
1216.862,0.01198005
1218.791,0.01193906
1220.719,0.01200702
1222.648,0.01205761
1224.576,0.01202204
1226.505,0.01198806
1228.433,0.01194972
1230.362,0.01207772
1232.29,0.01232168
1234.219,0.01239988
1236.147,0.01242203
1238.076,0.01245207
1240.004,0.0124242
1241.932,0.01262375
1243.861,0.01277694
1245.789,0.01290065
1247.718,0.01308751
1249.646,0.01318163
1251.575,0.01332006
1253.503,0.01361502
1255.432,0.01381249
1257.36,0.01397687
1259.289,0.01423504
1261.217,0.01438887
1263.146,0.01454993
1265.074,0.01491475
1267.003,0.01550148
1268.931,0.01608029
1270.859,0.01657768
1272.788,0.01721168
1274.716,0.01789548
1276.645,0.01859132
1278.573,0.01921193
1280.502,0.01962743
1282.43,0.02009488
1284.359,0.02050488
1286.287,0.02078837
1288.216,0.02110868
1290.144,0.02144453
1292.073,0.02188829
1294.001,0.02235574
1295.93,0.02265069
1297.858,0.02278115
1299.786,0.02305554
1301.715,0.02348311
1303.643,0.0237488
1305.572,0.02399631
1307.5,0.0242302
1309.429,0.02455194
1311.357,0.02483378
1313.286,0.02493198
1315.214,0.0251408
1317.143,0.02551291
1319.071,0.02581598
1321.0,0.02635953
1322.928,0.02689665
1324.857,0.02727458
1326.785,0.0278623
1328.714,0.02831807
1330.642,0.02883183
1332.57,0.02953593
1334.499,0.03026986
1336.427,0.03101591
1338.356,0.03184507
1340.284,0.03267549
1342.213,0.03350956
1344.141,0.03435461
1346.07,0.03524103
1347.998,0.03625754
1349.927,0.03714681
1351.855,0.03798576
1353.784,0.03885385
1355.712,0.03949505
1357.641,0.040204
1359.569,0.04124169
1361.497,0.04235189
1363.426,0.04357046
1365.354,0.04479121
1367.283,0.04596939
1369.211,0.04742702
1371.14,0.04893693
1373.068,0.0505325
1374.997,0.05227002
1376.925,0.05409875
1378.854,0.05585064
1380.782,0.05742788
1382.711,0.05898875
1384.639,0.06062401
1386.568,0.06232096
1388.496,0.06363486
1390.424,0.06474996
1392.353,0.06586108
1394.281,0.06650885
1396.21,0.0667569
1398.138,0.06682242
1400.067,0.06627583
1401.995,0.06519593
1403.924,0.06401162
1405.852,0.06287593
1407.781,0.06183047
1409.709,0.06095204
1411.638,0.06008739
1413.566,0.05941018
1415.495,0.05886989
1417.423,0.05859502
1419.351,0.05820179
1421.28,0.05748036
1423.208,0.05675253
1425.137,0.05574913
1427.065,0.0545564
1428.994,0.0533165
1430.922,0.05171415
1432.851,0.04978097
1434.779,0.04814238
1436.708,0.04661266
1438.636,0.04498129
1440.565,0.04339647
1442.493,0.0420079
1444.422,0.04092345
1446.35,0.04020338
1448.278,0.03989227
1450.207,0.03961715
1452.135,0.03936913
1454.064,0.0394449
1455.992,0.04011724
1457.921,0.04061745
1459.849,0.04101364
1461.778,0.04185474
1463.706,0.04270907
1465.635,0.04319303
1467.563,0.04323581
1469.492,0.04354258
1471.42,0.04441028
1473.349,0.04549961
1475.277,0.04668026
1477.205,0.04810303
1479.134,0.04968403
1481.062,0.05167062
1482.991,0.05352673
1484.919,0.05525385
1486.848,0.05702594
1488.776,0.05848808
1490.705,0.05945953
1492.633,0.06030121
1494.562,0.06101738
1496.49,0.06163169
1498.419,0.06176221
1500.347,0.06151316
1502.276,0.06121334
1504.204,0.06125633
1506.132,0.06125463
1508.061,0.06049337
1509.989,0.05943276
1511.918,0.05850358
1513.846,0.05769694
1515.775,0.0569686
1517.703,0.05595436
1519.632,0.05510081
1521.56,0.05422416
1523.489,0.05280306
1525.417,0.05136434
1527.346,0.04995077
1529.274,0.04832054
1531.203,0.04667897
1533.131,0.04512471
