x,y
374.1225,0.1314613
376.051,0.1401532
377.9795,0.1428255
379.9079,0.1318851
381.8364,0.1343408
383.7649,0.1485902
385.6933,0.1578393
387.6218,0.1632197
389.5503,0.1656079
391.4787,0.1568534
393.4072,0.1497656
395.3357,0.1565487
397.2641,0.1672593
399.1926,0.1664267
401.1211,0.1625358
403.0495,0.1650493
404.978,0.1649563
406.9065,0.1616117
408.8349,0.159397
410.7634,0.1597936
412.6919,0.1630522
414.6203,0.1662095
416.5488,0.1637083
418.4773,0.160612
420.4057,0.1611081
422.3342,0.1625322
424.2627,0.1652675
426.1911,0.1732
428.1196,0.1793641
430.0481,0.1836149
431.9765,0.1880506
433.905,0.189397
435.8335,0.1876498
437.7619,0.185723
439.6904,0.1803573
441.6189,0.1747798
443.5473,0.1702581
445.4758,0.1680997
447.4043,0.1676786
449.3327,0.1676917
451.2612,0.167448
453.1897,0.1687952
455.1181,0.1704754
457.0466,0.1682925
458.9751,0.1612187
460.9035,0.1523892
462.832,0.1442177
464.7605,0.138361
466.6889,0.1352767
468.6174,0.1339341
470.5459,0.1331633
472.4743,0.1326574
474.4028,0.1335298
476.3313,0.1366155
478.2597,0.1394681
480.1882,0.1436915
482.1167,0.1507333
484.0451,0.158186
485.9736,0.164853
487.9021,0.1692359
489.8305,0.1678629
491.759,0.1609216
493.6875,0.1518876
495.6159,0.1445269
497.5444,0.140835
499.4729,0.1393274
501.4013,0.13931
503.3298,0.1397832
505.2583,0.1402438
507.1867,0.1412219
509.1152,0.1416358
511.0437,0.1421802
512.9721,0.1428038
514.9006,0.143535
516.829,0.1437176
518.7575,0.1439811
520.686,0.1446356
522.6144,0.1448745
524.5429,0.1461842
526.4714,0.1474802
528.3998,0.1482258
530.3283,0.1501131
532.2568,0.1512457
534.1852,0.1522043
536.1137,0.1533128
538.0422,0.1542988
539.9706,0.1560158
541.8991,0.1584771
543.8276,0.1609044
545.756,0.1629075
547.6845,0.1656604
549.613,0.1689657
551.5414,0.1725447
553.4699,0.1768366
555.3984,0.1808648
557.3268,0.1844733
559.2553,0.1885715
561.1838,0.191986
563.1122,0.1939583
565.0407,0.1950286
566.9692,0.1932468
568.8976,0.1896149
570.8261,0.185629
572.7546,0.1818859
574.683,0.1791712
576.6115,0.1775327
578.54,0.1768119
580.4684,0.1753059
582.3969,0.1730779
584.3254,0.1695904
586.2538,0.1633092
588.1823,0.1540491
590.1108,0.145437
592.0392,0.1394805
593.9677,0.1363176
595.8962,0.1354523
597.8246,0.135903
599.7531,0.1376044
601.6816,0.1397078
603.61,0.1423596
605.5385,0.1452515
607.467,0.1479344
609.3954,0.1503342
611.3239,0.1524335
613.2524,0.1542814
615.1808,0.1563483
617.1093,0.1581716
619.0378,0.1600495
620.9662,0.1618126
622.8947,0.1630066
624.8232,0.1635228
626.7516,0.1645187
628.6801,0.165603
630.6086,0.1668545
632.537,0.1681877
634.4655,0.1696459
636.394,0.171603
638.3224,0.1737422
640.2509,0.1753759
642.1794,0.1768624
644.1078,0.1778117
646.0363,0.1782971
647.9648,0.178377
649.8932,0.1784044
651.8217,0.17816
653.7502,0.1773529
655.6786,0.1761488
657.6071,0.1748106
659.5356,0.1733581
661.4641,0.171612
663.3925,0.1695802
665.321,0.167749
667.2495,0.1659628
669.1779,0.1638482
671.1064,0.1616933
673.0349,0.1594596
674.9633,0.1572785
676.8918,0.154963
678.8203,0.1524646
680.7487,0.1497475
682.6772,0.1466762
684.6057,0.1438212
686.5341,0.1407075
688.4626,0.1370363
690.3911,0.133698
692.3195,0.1309098
694.248,0.1284292
696.1765,0.1265936
698.1049,0.1251404
700.0334,0.1243196
701.9619,0.1237196
703.8903,0.1237946
705.8188,0.1239022
707.7473,0.1240484
709.6757,0.1244161
711.6042,0.1247899
713.5327,0.1247987
715.4611,0.1247666
717.3896,0.1250542
719.3181,0.1256257
721.2465,0.1263901
