x,y
399.1926,0.3432197
401.1211,0.3376487
403.0496,0.3349924
404.978,0.3278598
406.9065,0.3221168
408.835,0.3133653
410.7634,0.3091334
412.6919,0.3088886
414.6204,0.3019512
416.5488,0.2932586
418.4773,0.291448
420.4058,0.2930183
422.3342,0.2928791
424.2627,0.2901541
426.1912,0.2895014
428.1196,0.289744
430.0481,0.2915367
431.9766,0.2921785
433.905,0.2933594
435.8335,0.2907585
437.762,0.2879807
439.6904,0.2878937
441.6189,0.2871138
443.5474,0.2867654
445.4758,0.2861601
447.4043,0.2824179
449.3328,0.280881
451.2612,0.2820032
453.1897,0.2815319
455.1182,0.2789356
457.0466,0.2776662
458.9751,0.276347
460.9036,0.2758613
462.832,0.2754179
464.7605,0.2736567
466.689,0.2716133
468.6174,0.2694154
470.5459,0.2667612
472.4744,0.2656148
474.4028,0.2649547
476.3313,0.2636056
478.2598,0.2620741
480.1882,0.2598237
482.1167,0.2574876
484.0452,0.2564585
485.9736,0.2555072
487.9021,0.2533213
489.8306,0.2514352
491.759,0.2497382
493.6875,0.2473533
495.616,0.2448603
497.5444,0.2430734
499.4729,0.2414917
501.4014,0.2395606
503.3298,0.2372209
505.2583,0.2352642
507.1868,0.2334468
509.1152,0.2312549
511.0437,0.2286403
512.9722,0.2261235
514.9006,0.2234503
516.8291,0.2206869
518.7576,0.2182798
520.686,0.2157831
522.6145,0.2133305
524.543,0.2112776
526.4714,0.2092371
528.3999,0.2066608
530.3284,0.2043082
532.2568,0.2025877
534.1853,0.2012611
536.1138,0.2002999
538.0422,0.1995959
539.9707,0.1999757
541.8992,0.2002505
543.8276,0.1992879
545.7561,0.1983505
547.6846,0.1979226
549.613,0.1972716
551.5415,0.1961733
553.47,0.1942243
555.3984,0.1916489
557.3269,0.1885896
559.2554,0.1854984
561.1838,0.1827131
563.1123,0.1798141
565.0408,0.1762834
566.9692,0.1726161
568.8977,0.1695774
570.8262,0.1664888
572.7546,0.1632115
574.6831,0.1603783
576.6116,0.1574803
578.54,0.1548767
580.4685,0.1524816
582.397,0.1500137
584.3254,0.1475309
586.2539,0.1456046
588.1824,0.144137
590.1108,0.1424585
592.0393,0.1410256
593.9678,0.1394315
595.8962,0.138133
597.8247,0.1372281
599.7532,0.1361864
601.6816,0.1351896
603.6101,0.1342922
605.5386,0.1334643
607.467,0.1329207
609.3955,0.1325366
611.324,0.1323986
613.2524,0.1325089
615.1809,0.1323976
617.1094,0.1323912
619.0378,0.1320983
620.9663,0.1316498
622.8948,0.1311523
624.8232,0.1298685
626.7517,0.1278856
628.6802,0.1256111
630.6086,0.1231459
632.5371,0.1204897
634.4656,0.1179077
636.394,0.1154361
638.3225,0.1129508
640.251,0.110826
642.1794,0.1091819
644.1079,0.1077133
646.0364,0.1066378
647.9648,0.1059502
649.8933,0.1052586
651.8218,0.1046134
653.7502,0.104092
655.6787,0.1033116
657.6072,0.1023213
659.5356,0.101622
661.4641,0.1012841
663.3926,0.1012203
665.321,0.1014293
667.2495,0.1020454
669.178,0.1030991
671.1064,0.1048244
673.0349,0.1066887
674.9634,0.108562
676.8918,0.1107072
678.8203,0.1128481
680.7488,0.1148471
682.6772,0.1175296
684.6057,0.1212134
686.5342,0.126256
688.4626,0.1331452
690.3911,0.1420308
692.3196,0.153029
694.248,0.1657165
696.1765,0.1791345
698.105,0.1912232
700.0334,0.2004591
701.9619,0.2067218
703.8904,0.2104584
705.8188,0.2118548
707.7473,0.2109673
709.6758,0.2081749
711.6042,0.2040381
713.5327,0.1989966
715.4612,0.1927662
717.3896,0.1859879
719.3181,0.1789345
721.2466,0.1715323
723.175,0.1641209
725.1035,0.1567511
727.032,0.1499002
728.9604,0.1433775
730.8889,0.1367208
732.8174,0.1300516
734.7458,0.1234459
736.6743,0.1170791
738.6028,0.1108614
740.5313,0.1047798
742.4597,0.09870838
744.3882,0.09276867
746.3167,0.0869837
748.2451,0.08148947
750.1736,0.07615892
752.1021,0.07103304
754.0305,0.0663133
755.959,0.06185343
757.8875,0.0575344
759.8159,0.05378848
761.7444,0.05044227
763.6729,0.04723838
765.6013,0.04437575
767.5298,0.04191931
769.4583,0.03945347
771.3867,0.03717202
773.3152,0.03503741
775.2437,0.03322792
777.1721,0.03184285
779.1006,0.03067607
781.0291,0.0295256
782.9575,0.02827143
784.886,0.02709396
786.8145,0.02610544
788.7429,0.02505821
790.6714,0.02477462
792.5999,0.02551479
794.5283,0.02663426
796.4568,0.02744956
798.3853,0.02806535
800.3137,0.02792197
802.2422,0.02684442
804.1707,0.02515503
806.0991,0.02342581
808.0276,0.02221605
809.9561,0.02167573
811.8845,0.02122435
813.813,0.0208631
815.7415,0.02076822
817.6699,0.02103709
819.5984,0.02141135
821.5269,0.02168011
823.4553,0.02196969
825.3838,0.0222726
827.3123,0.022407
829.2407,0.02275301
