x,y
399.1926,0.2678668
401.1211,0.2722166
403.0496,0.2767335
404.978,0.2829384
406.9065,0.2866598
408.835,0.2865366
410.7634,0.286964
412.6919,0.2928605
414.6204,0.3021673
416.5488,0.3007017
418.4773,0.2986045
420.4058,0.3039939
422.3342,0.3065966
424.2627,0.3093011
426.1912,0.3146464
428.1196,0.319322
430.0481,0.3210784
431.9766,0.3217244
433.905,0.3274523
435.8335,0.3322994
437.762,0.3333219
439.6904,0.3339088
441.6189,0.3337899
443.5474,0.3360911
445.4758,0.3370941
447.4043,0.3379707
449.3328,0.3391485
451.2612,0.3360488
453.1897,0.335157
455.1182,0.3382934
457.0466,0.3379134
458.9751,0.3378539
460.9036,0.3397476
462.832,0.3395893
464.7605,0.3364146
466.689,0.3342537
468.6174,0.3367153
470.5459,0.3390124
472.4744,0.3400547
474.4028,0.3410941
476.3313,0.3411129
478.2598,0.3408462
480.1882,0.3409185
482.1167,0.3404503
484.0452,0.3399979
485.9736,0.3399876
487.9021,0.3384163
489.8306,0.3372192
491.759,0.3357285
493.6875,0.3341568
495.616,0.3351405
497.5444,0.3345633
499.4729,0.3316903
501.4014,0.3284498
503.3298,0.3277932
505.2583,0.3290288
507.1868,0.3277742
509.1152,0.3261807
511.0437,0.3244941
512.9722,0.3220832
514.9006,0.3205397
516.8291,0.3196707
518.7576,0.3187456
520.686,0.3181286
522.6145,0.3170926
524.543,0.3159806
526.4714,0.3146982
528.3999,0.3129571
530.3284,0.3122775
532.2568,0.3114609
534.1853,0.3102089
536.1138,0.3102202
538.0422,0.3096554
539.9707,0.3089144
541.8992,0.3073974
543.8276,0.3057538
545.7561,0.3047348
547.6846,0.3042017
549.613,0.3037781
551.5415,0.3031247
553.47,0.3025195
555.3984,0.3005596
557.3269,0.2979872
559.2554,0.2963609
561.1838,0.2945479
563.1123,0.292731
565.0408,0.2908517
566.9692,0.2884869
568.8977,0.286921
570.8262,0.2855504
572.7546,0.2835568
574.6831,0.2812018
576.6116,0.2786361
578.54,0.2767775
580.4685,0.2751757
582.397,0.2735751
584.3254,0.2724112
586.2539,0.2704872
588.1824,0.2682839
590.1108,0.2665467
592.0393,0.2656686
593.9678,0.2647166
595.8962,0.2636676
597.8247,0.2627273
599.7532,0.262389
601.6816,0.2624867
603.6101,0.2628449
605.5386,0.2638359
607.467,0.2647725
609.3955,0.2664343
611.324,0.2678476
613.2524,0.26882
615.1809,0.2698749
617.1094,0.2707124
619.0378,0.2717389
620.9663,0.2722717
622.8948,0.2715304
624.8232,0.2706205
626.7517,0.2696661
628.6802,0.2689705
630.6086,0.2675276
632.5371,0.2651735
634.4656,0.2634462
636.394,0.2627347
638.3225,0.262001
640.251,0.2608622
642.1794,0.2598262
644.1079,0.2590967
646.0364,0.2583187
647.9648,0.2572757
649.8933,0.2572896
651.8218,0.2573488
653.7502,0.2569019
655.6787,0.256978
657.6072,0.2568592
659.5356,0.256388
661.4641,0.2563093
663.3926,0.2564824
665.321,0.2560707
667.2495,0.2556736
669.178,0.2556402
671.1064,0.2555764
673.0349,0.2550798
674.9634,0.25453
676.8918,0.2541007
678.8203,0.2536156
680.7488,0.2526527
682.6772,0.2517764
684.6057,0.2509041
686.5342,0.2494712
688.4626,0.248022
690.3911,0.2465562
692.3196,0.2449582
694.248,0.2431227
696.1765,0.2407755
698.105,0.2377302
700.0334,0.2344565
701.9619,0.2315333
703.8904,0.2286227
705.8188,0.2249921
707.7473,0.2214769
709.6758,0.2177795
711.6042,0.2135433
713.5327,0.2092601
715.4612,0.205173
717.3896,0.2013643
719.3181,0.197127
721.2466,0.1926707
723.175,0.1885499
725.1035,0.1846157
727.032,0.1811169
728.9604,0.1774454
730.8889,0.1736525
732.8174,0.1701838
734.7458,0.1668504
736.6743,0.1636496
738.6028,0.1608714
740.5313,0.157883
742.4597,0.1550456
744.3882,0.1528486
746.3167,0.150801
748.2451,0.1488166
750.1736,0.1471802
752.1021,0.1460185
754.0305,0.1447749
755.959,0.1435721
757.8875,0.1426826
759.8159,0.1422119
761.7444,0.1415823
763.6729,0.1407314
765.6013,0.1401338
767.5298,0.1397119
769.4583,0.1390345
771.3867,0.1384459
773.3152,0.1379907
775.2437,0.1375165
777.1721,0.1370789
779.1006,0.1366506
781.0291,0.1361647
782.9575,0.1355792
784.886,0.1348765
786.8145,0.1343349
788.7429,0.1338019
790.6714,0.1330588
792.5999,0.132355
794.5283,0.1318915
796.4568,0.1311959
798.3853,0.1305744
800.3137,0.1301362
802.2422,0.1298018
804.1707,0.1294258
806.0991,0.1287657
808.0276,0.12842
