x,y
372.1941,0.0
374.1225,0.1512338
376.051,0.1417138
377.9795,0.1477602
379.9079,0.159602
381.8364,0.1619197
383.7649,0.1600845
385.6933,0.1563796
387.6218,0.1534381
389.5503,0.1488744
391.4787,0.1411852
393.4072,0.147633
395.3357,0.1513976
397.2641,0.1461405
399.1926,0.1448817
401.1211,0.1508598
403.0495,0.1541314
404.978,0.1485327
406.9065,0.1483322
408.8349,0.1501704
410.7634,0.1513787
412.6919,0.1495881
414.6203,0.1528092
416.5488,0.1582535
418.4773,0.1591898
420.4057,0.159403
422.3342,0.158525
424.2627,0.1569844
426.1911,0.156036
428.1196,0.1589806
430.0481,0.1627022
431.9765,0.1649359
433.905,0.1673436
435.8335,0.1731339
437.7619,0.1795605
439.6904,0.1851177
441.6189,0.1886666
443.5473,0.1906592
445.4758,0.1918208
447.4043,0.1911276
449.3327,0.1901713
451.2612,0.188822
453.1897,0.1871734
455.1181,0.1860046
457.0466,0.1838117
458.9751,0.1811658
460.9035,0.1787325
462.832,0.1756417
464.7605,0.1717958
466.6889,0.1673248
468.6174,0.1617252
470.5459,0.155569
472.4743,0.1496773
474.4028,0.144758
476.3313,0.1417768
478.2597,0.1387918
480.1882,0.1342479
482.1167,0.1292564
484.0451,0.1238877
485.9736,0.11806
487.9021,0.113648
489.8305,0.1100651
491.759,0.1072087
493.6875,0.1061381
495.6159,0.1060675
497.5444,0.1060576
499.4729,0.1047292
501.4013,0.1018525
503.3298,0.09829725
505.2583,0.09465712
507.1867,0.09043304
509.1152,0.08692702
511.0437,0.08401853
512.9721,0.08133975
514.9006,0.08004665
516.829,0.07957464
518.7575,0.07948931
520.686,0.08014381
522.6144,0.08145582
524.5429,0.08305984
526.4714,0.08418275
528.3998,0.08420766
530.3283,0.08355353
532.2568,0.08255091
534.1852,0.08170979
536.1137,0.08130491
538.0422,0.08028281
539.9706,0.07875812
541.8991,0.07675781
543.8276,0.07404302
545.756,0.07106042
547.6845,0.06854071
549.613,0.06614935
551.5414,0.06350892
553.4699,0.06076158
555.3984,0.05796796
557.3268,0.05571258
559.2553,0.05347112
561.1838,0.05114026
563.1122,0.04865809
565.0407,0.04635653
566.9692,0.04424763
568.8976,0.04228664
570.8261,0.04067695
572.7546,0.03920913
574.683,0.0375888
576.6115,0.03629998
578.54,0.03509697
580.4684,0.03411841
582.3969,0.03358848
584.3254,0.03333421
586.2538,0.03311252
588.1823,0.03330264
590.1108,0.03358293
592.0392,0.03368286
593.9677,0.03366388
595.8962,0.03413608
597.8246,0.03467968
599.7531,0.03471336
601.6816,0.03477492
603.61,0.0348752
605.5385,0.03502557
607.467,0.03534611
609.3954,0.03587698
611.3239,0.03676424
613.2524,0.03813053
615.1808,0.04024417
617.1093,0.04292136
619.0378,0.04606327
620.9662,0.04929686
622.8947,0.05091733
624.8232,0.04935936
626.7516,0.04530432
628.6801,0.04080359
630.6086,0.03711244
632.537,0.03445742
634.4655,0.03296691
636.394,0.03242631
638.3224,0.03233028
640.2509,0.03247826
642.1794,0.03302173
644.1078,0.03370616
646.0363,0.03462189
647.9648,0.03599728
649.8932,0.03769126
