x,y
372.1941,0.0
374.1225,0.2410367
376.051,0.2227933
377.9795,0.2212041
379.9079,0.2274734
381.8364,0.2308791
383.7649,0.2361633
385.6933,0.2317985
387.6218,0.2292426
389.5503,0.2343924
391.4787,0.2364368
393.4072,0.2263933
395.3357,0.2191812
397.2641,0.222734
399.1926,0.222324
401.1211,0.224526
403.0495,0.2270297
404.978,0.2290465
406.9065,0.2356644
408.8349,0.2397721
410.7634,0.2378697
412.6919,0.2398397
414.6203,0.2384493
416.5488,0.2415333
418.4773,0.2457962
420.4057,0.2490914
422.3342,0.251808
424.2627,0.2516834
426.1911,0.2524009
428.1196,0.2525077
430.0481,0.2508726
431.9765,0.2482647
433.905,0.2486789
435.8335,0.2522182
437.7619,0.2557043
439.6904,0.2576311
441.6189,0.2595124
443.5473,0.2635553
445.4758,0.2664124
447.4043,0.2654685
449.3327,0.2635648
451.2612,0.2626172
453.1897,0.2618524
455.1181,0.2599054
457.0466,0.2565859
458.9751,0.2544826
460.9035,0.2525988
462.832,0.2513233
464.7605,0.2511711
466.6889,0.250098
468.6174,0.2492294
470.5459,0.251081
472.4743,0.2522033
474.4028,0.2523938
476.3313,0.2527549
478.2597,0.2525795
480.1882,0.2520436
482.1167,0.2531691
484.0451,0.2535559
485.9736,0.2534522
487.9021,0.2544491
489.8305,0.255233
491.759,0.2552771
493.6875,0.2557912
495.6159,0.2550296
497.5444,0.2534921
499.4729,0.25192
501.4013,0.249922
503.3298,0.2479462
505.2583,0.2448954
507.1867,0.2409234
509.1152,0.2362244
511.0437,0.2314676
512.9721,0.2276551
514.9006,0.2239316
516.829,0.2193976
518.7575,0.2146771
520.686,0.2103306
522.6144,0.2070939
524.5429,0.2033596
526.4714,0.1993991
528.3998,0.1960985
530.3283,0.1929378
532.2568,0.1890713
534.1852,0.1864731
536.1137,0.1841147
538.0422,0.1809602
539.9706,0.1783146
541.8991,0.1763854
543.8276,0.1748894
545.756,0.1736898
547.6845,0.1721985
549.613,0.1702702
551.5414,0.1690425
553.4699,0.1672149
555.3984,0.1646435
557.3268,0.1629314
559.2553,0.1610778
561.1838,0.1587782
563.1122,0.1569653
565.0407,0.1557358
566.9692,0.1542501
568.8976,0.1525256
570.8261,0.1513781
572.7546,0.1502496
574.683,0.1493202
576.6115,0.148541
578.54,0.1484058
580.4684,0.1481428
582.3969,0.1472406
584.3254,0.1457413
586.2538,0.1441545
588.1823,0.1422105
590.1108,0.1400718
592.0392,0.137662
593.9677,0.1347863
595.8962,0.1315965
597.8246,0.128526
599.7531,0.1257376
601.6816,0.1232862
603.61,0.1209758
605.5385,0.1189587
607.467,0.1171913
609.3954,0.1155176
611.3239,0.1144795
613.2524,0.1140367
615.1808,0.1140894
