x,y
372.1941,0.0
374.1225,0.3324502
376.051,0.3227762
377.9795,0.3377373
379.9079,0.3466831
381.8364,0.3360734
383.7649,0.3432309
385.6933,0.3662693
387.6218,0.3937334
389.5503,0.3957002
391.4787,0.3796555
393.4072,0.3839646
395.3357,0.3928154
397.2641,0.3939072
399.1926,0.3932497
401.1211,0.3974662
403.0495,0.3961983
404.978,0.4061343
406.9065,0.4160271
408.8349,0.4090968
410.7634,0.4046041
412.6919,0.4085022
414.6203,0.4098269
416.5488,0.4116572
418.4773,0.4115885
420.4057,0.4167813
422.3342,0.4201084
424.2627,0.4171014
426.1911,0.4200909
428.1196,0.4211054
430.0481,0.4223552
431.9765,0.4231447
433.905,0.4250795
435.8335,0.4240146
437.7619,0.4223516
439.6904,0.4241047
441.6189,0.4262042
443.5473,0.4319521
445.4758,0.434671
447.4043,0.4324738
449.3327,0.429254
451.2612,0.4310002
453.1897,0.4323485
455.1181,0.4349094
457.0466,0.4362627
458.9751,0.432776
460.9035,0.4329435
462.832,0.4351471
464.7605,0.4355608
466.6889,0.4386708
468.6174,0.4399592
470.5459,0.4392948
472.4743,0.4413766
474.4028,0.4415876
476.3313,0.4412179
478.2597,0.4422865
480.1882,0.4451353
482.1167,0.4461933
484.0451,0.4466039
485.9736,0.4453134
487.9021,0.445676
489.8305,0.4480822
491.759,0.4480942
493.6875,0.4506496
495.6159,0.4519964
497.5444,0.454947
499.4729,0.4552408
501.4013,0.4536119
503.3298,0.4561788
505.2583,0.4594674
507.1867,0.4614223
509.1152,0.4596348
511.0437,0.4602616
512.9721,0.4609405
514.9006,0.4601855
516.829,0.4609633
518.7575,0.4614937
520.686,0.4619245
522.6144,0.4610164
524.5429,0.4628487
526.4714,0.46432
528.3998,0.463345
530.3283,0.463278
532.2568,0.463037
534.1852,0.4643807
536.1137,0.4648868
538.0422,0.4660672
539.9706,0.4688847
541.8991,0.4705436
543.8276,0.4699777
545.756,0.4693331
547.6845,0.4715823
549.613,0.47258
551.5414,0.4726263
553.4699,0.4763295
555.3984,0.4769748
557.3268,0.4760027
559.2553,0.4762688
561.1838,0.477592
563.1122,0.4791399
565.0407,0.4803733
566.9692,0.4818412
568.8976,0.4828441
570.8261,0.4848717
572.7546,0.4847583
574.683,0.4857317
576.6115,0.4855646
578.54,0.4871509
580.4684,0.4881682
582.3969,0.4884853
584.3254,0.4881603
586.2538,0.4909872
588.1823,0.49193
590.1108,0.4910049
592.0392,0.49098
593.9677,0.4889559
595.8962,0.4882356
597.8246,0.4879251
599.7531,0.4871921
601.6816,0.4870738
603.61,0.4858806
605.5385,0.4854064
607.467,0.4844558
609.3954,0.48263
611.3239,0.4833702
613.2524,0.4832678
615.1808,0.4840264
617.1093,0.4853442
619.0378,0.4854596
620.9662,0.4848874
622.8947,0.4847872
624.8232,0.4848558
626.7516,0.4847437
628.6801,0.4853589
630.6086,0.4862787
632.537,0.4864627
634.4655,0.4873241
636.394,0.4881235
638.3224,0.489034
640.2509,0.4902479
642.1794,0.4899356
644.1078,0.4892718
646.0363,0.4897404
647.9648,0.4914395
649.8932,0.4906647
651.8217,0.4894258
653.7502,0.4897917
655.6786,0.4906881
657.6071,0.4918251
659.5356,0.4924514
661.4641,0.4930501
663.3925,0.4929395
665.321,0.4938292
667.2495,0.4954215
669.1779,0.4957528
671.1064,0.4956987
673.0349,0.4963401
674.9633,0.4974347
676.8918,0.4984114
678.8203,0.4997531
680.7487,0.5022011
682.6772,0.5033761
684.6057,0.5043561
686.5341,0.5057233
688.4626,0.5067201
690.3911,0.5082706
692.3195,0.5105422
694.248,0.5119047
696.1765,0.5130424
698.1049,0.5145295
700.0334,0.5166
701.9619,0.5158465
703.8903,0.5170457
705.8188,0.5189599
707.7473,0.519576
709.6757,0.5206051
711.6042,0.5228215
713.5327,0.5242507
715.4611,0.5253481
717.3896,0.52566
719.3181,0.5259985
721.2465,0.5266106
723.175,0.5279917
725.1035,0.5305403
727.0319,0.5313983
728.9604,0.5323725
730.8889,0.5329394
732.8173,0.5335686
734.7458,0.5353017
736.6743,0.5370152
738.6027,0.5384698
740.5312,0.5398526
742.4597,0.5404498
744.3881,0.5415283
746.3166,0.5429704
748.2451,0.5436913
750.1735,0.5447807
752.102,0.5459884
754.0305,0.5472226
755.9589,0.5485144
757.8874,0.5488604
759.8159,0.5503447
761.7443,0.5523644
763.6728,0.5539482
765.6013,0.5553585
767.5297,0.5565411
769.4582,0.5570671
771.3867,0.5577534
773.3151,0.5581422
775.2436,0.5600695
777.1721,0.5618675
779.1005,0.5627772
781.029,0.5637475
782.9575,0.5656073
784.8859,0.5668578
786.8144,0.5677373
788.7429,0.5686437
790.6713,0.5704163
792.5998,0.5720359
794.5283,0.5721796
796.4567,0.5733863
798.3852,0.5747832
800.3137,0.57608
802.2421,0.5771542
804.1706,0.5789165
806.0991,0.5800411
808.0275,0.5807793
809.956,0.5827815
811.8845,0.5845364
813.8129,0.5846715
815.7414,0.5853035
817.6699,0.586901
819.5983,0.5877058
821.5268,0.5885524
823.4553,0.5902345
825.3837,0.591656
827.3122,0.5929698
829.2407,0.5938616
831.1691,0.5948458
833.0976,0.5956528
835.0261,0.5970177
836.9545,0.5976308
838.883,0.5984886
840.8115,0.5996332
842.7399,0.600881
844.6684,0.6032479
846.5969,0.6050957
848.5253,0.6058691
850.4538,0.6066492
852.3823,0.6073226
854.3107,0.6082504
856.2392,0.6092072
858.1677,0.6119427
860.0961,0.6136786
862.0246,0.614258
863.9531,0.6144572
865.8815,0.6159934
867.81,0.6175236
869.7385,0.6184121
871.6669,0.6193448
873.5954,0.6203855
875.5239,0.6216293
877.4523,0.6230038
879.3808,0.6244427
881.3093,0.6257865
883.2377,0.6267542
885.1662,0.6276717
887.0947,0.6289634
889.0231,0.6304274
890.9516,0.6315827
892.8801,0.6325842
894.8085,0.6335489
896.737,0.6345538
898.6655,0.636016
900.5939,0.6367732
902.5224,0.6376514
904.4509,0.6391205
906.3793,0.640878
908.3078,0.6421103
910.2363,0.642741
912.1647,0.64363
914.0932,0.6445929
916.0217,0.6453466
917.9501,0.6468689
919.8786,0.6483144
921.8071,0.6494392
923.7355,0.6506137
925.664,0.6520289
927.5925,0.6533148
929.5209,0.6550938
931.4494,0.6558126
933.3779,0.6559511
935.3063,0.657683
937.2348,0.6594006
939.1633,0.6609184
941.0917,0.6624711
943.0202,0.6632172
944.9487,0.6640514
946.8771,0.66571
948.8056,0.6669968
950.7341,0.6678357
952.6625,0.668391
954.591,0.6694992
956.5195,0.6713318
958.4479,0.6732077
960.3764,0.67414
962.3049,0.6753368
964.2333,0.6765962
966.1618,0.6772938
968.0903,0.6780752
970.0187,0.6788319
971.9472,0.6796944
973.8757,0.6806598
975.8041,0.6808338
977.7326,0.6812111
979.6611,0.6814834
981.5895,0.681715
983.518,0.6818536
985.4465,0.6817224
987.3749,0.6815718
989.3034,0.680945
991.2319,0.680325
993.1603,0.6800792
995.0888,0.6800792
997.0173,0.6793022
998.9457,0.6787109
1000.874,0.6780565
1002.803,0.6779346
1004.731,0.6777528
1006.66,0.6771722
1008.588,0.6775626
1010.517,0.677945
1012.445,0.6785991
1014.373,0.6797766
1016.302,0.6809168
1018.23,0.682247
1020.159,0.6833171
1022.087,0.6843302
1024.016,0.6860757
1025.944,0.6878278
1027.873,0.6884757
1029.801,0.6887127
1031.73,0.6892135
1033.658,0.6893253
1035.587,0.6889535
1037.515,0.6887555
1039.443,0.6888078
1041.372,0.6883622
1043.3,0.6880124
1045.229,0.6875383
1047.157,0.6861905
1049.086,0.6849191
1051.014,0.684263
1052.943,0.6831107
1054.871,0.6821759
1056.8,0.6815078
1058.728,0.6803467
1060.657,0.679138
1062.585,0.678143
1064.514,0.6771594
1066.442,0.6761209
1068.37,0.6757545
1070.299,0.6756324
1072.227,0.6745289
1074.156,0.6728134
1076.084,0.6718314
1078.013,0.6711637
1079.941,0.66991
1081.87,0.6685925
1083.798,0.6675093
1085.727,0.66617
1087.655,0.6646505
1089.584,0.6637819
1091.512,0.6625549
1093.441,0.6609824
1095.369,0.6598154
1097.297,0.6585848
1099.226,0.6572746
1101.154,0.6559772
1103.083,0.6542832
1105.011,0.6527358
1106.94,0.6511979
1108.868,0.6499048
1110.797,0.6488454
1112.725,0.6478175
1114.654,0.6466219
1116.582,0.6455476
1118.511,0.6445359
1120.439,0.643528
1122.368,0.6423364
1124.296,0.6414022
1126.224,0.6409326
1128.153,0.6405599
1130.081,0.640466
1132.01,0.6400369
1133.938,0.6397075
1135.867,0.6401569
1137.795,0.6404464
1139.724,0.640332
1141.652,0.6405123
1143.581,0.6406834
1145.509,0.6408606
1147.438,0.6406928
1149.366,0.6402009
1151.295,0.6399246
1153.223,0.6399825
1155.151,0.6402742
1157.08,0.6401021
1159.008,0.6397844
1160.937,0.6398516
1162.865,0.6400385
1164.794,0.6400422
1166.722,0.6399344
1168.651,0.6399894
1170.579,0.6396859
1172.508,0.6392068
1174.436,0.6387679
1176.365,0.638221
1178.293,0.6373906
1180.222,0.636629
1182.15,0.6358969
1184.078,0.6347822
1186.007,0.6338959
1187.935,0.6328967
1189.864,0.6317086
1191.792,0.6303834
1193.721,0.6291496
1195.649,0.6277311
1197.578,0.6258965
1199.506,0.6237992
1201.435,0.6218559
1203.363,0.6202592
1205.292,0.6185092
1207.22,0.6165406
1209.149,0.6143362
1211.077,0.6122317
1213.005,0.610392
1214.934,0.6084666
1216.862,0.6067541
1218.791,0.6055424
1220.719,0.6047423
1222.648,0.6041056
1224.576,0.6032194
1226.505,0.6025054
1228.433,0.6023914
1230.362,0.6028096
1232.29,0.6035771
1234.219,0.6042498
1236.147,0.6053127
1238.076,0.6069359
1240.004,0.6085306
1241.932,0.6103182
1243.861,0.6126513
1245.789,0.6151187
1247.718,0.6174536
1249.646,0.6203541
1251.575,0.6234118
1253.503,0.626141
1255.432,0.6289924
1257.36,0.6321195
1259.289,0.6353018
1261.217,0.6383752
1263.146,0.6413614
1265.074,0.6440945
1267.003,0.6467711
1268.931,0.6497268
1270.859,0.6527289
1272.788,0.6553882
1274.716,0.6580675
1276.645,0.6604147
1278.573,0.6625072
1280.502,0.6648089
1282.43,0.6674571
1284.359,0.6701056
1286.287,0.6721311
1288.216,0.6739691
1290.144,0.6758377
1292.073,0.6777174
1294.001,0.6795766
1295.93,0.6815698
1297.858,0.6833563
1299.786,0.6850035
1301.715,0.6864011
1303.643,0.6876643
1305.572,0.6890247
1307.5,0.6906976
1309.429,0.6927919
1311.357,0.6942663
1313.286,0.6954691
1315.214,0.6965417
1317.143,0.6978071
1319.071,0.6992699
1321.0,0.7006998
1322.928,0.7022199
1324.857,0.7032211
1326.785,0.7040262
1328.714,0.7053827
1330.642,0.7067191
1332.57,0.7080359
1334.499,0.7093373
1336.427,0.7102205
1338.356,0.711395
1340.284,0.712718
1342.213,0.7137535
1344.141,0.7147153
1346.07,0.7158256
1347.998,0.7170122
1349.927,0.7179436
1351.855,0.7189167
1353.784,0.7199314
1355.712,0.7209405
1357.641,0.7217892
1359.569,0.7226334
1361.497,0.7236854
1363.426,0.7246547
1365.354,0.7253094
1367.283,0.7261733
1369.211,0.7270513
1371.14,0.7278395
1373.068,0.7286518
1374.997,0.7297342
1376.925,0.7307952
1378.854,0.7316581
1380.782,0.7323271
1382.711,0.7329502
1384.639,0.7337038
1386.568,0.7346383
1388.496,0.7355039
1390.424,0.7365703
1392.353,0.7373726
1394.281,0.737941
1396.21,0.7391263
1398.138,0.7398568
1400.067,0.7406145
1401.995,0.7416006
1403.924,0.742246
1405.852,0.7432131
1407.781,0.7440358
1409.709,0.744746
1411.638,0.7451989
