x,y
374.1225,2.244735
376.051,0.2761778
377.9795,0.2052902
379.9079,0.2529396
381.8364,0.3856086
383.7649,0.2970726
385.6933,0.2985487
387.6218,0.3635117
389.5503,0.2756574
391.4787,0.2745149
393.4072,0.2833055
395.3357,0.2655558
397.2641,0.2683005
399.1926,0.2788157
401.1211,0.3355875
403.0495,0.3390855
404.978,0.3316729
406.9065,0.3357732
408.8349,0.3577068
410.7634,0.3412665
412.6919,0.3376237
414.6203,0.3409898
416.5488,0.3386708
418.4773,0.3381447
420.4057,0.3574077
422.3342,0.3477281
424.2627,0.3288907
426.1911,0.3144882
428.1196,0.3339334
430.0481,0.337961
431.9765,0.3146516
433.905,0.3008247
435.8335,0.2955081
437.7619,0.3158609
439.6904,0.3220601
441.6189,0.3081584
443.5473,0.311165
445.4758,0.3276319
447.4043,0.320788
449.3327,0.312411
451.2612,0.3165556
453.1897,0.3049685
455.1181,0.2946597
457.0466,0.279745
458.9751,0.2716191
460.9035,0.2703717
462.832,0.2639322
464.7605,0.2504892
466.6889,0.2350397
468.6174,0.2311521
470.5459,0.2233339
472.4743,0.2176998
474.4028,0.224426
476.3313,0.2289359
478.2597,0.2191923
480.1882,0.2075057
482.1167,0.2029801
484.0451,0.1930445
485.9736,0.1862514
487.9021,0.1753116
489.8305,0.1627029
491.759,0.1614611
493.6875,0.1610925
495.6159,0.160571
497.5444,0.1669133
499.4729,0.1800512
501.4013,0.1915281
503.3298,0.1975319
505.2583,0.1936782
507.1867,0.2023553
509.1152,0.2161726
511.0437,0.2191422
512.9721,0.2158775
514.9006,0.2181542
516.829,0.2157294
518.7575,0.210643
520.686,0.209057
522.6144,0.2052568
524.5429,0.2057411
526.4714,0.210822
528.3998,0.2183763
530.3283,0.2289235
532.2568,0.2363761
534.1852,0.2414476
536.1137,0.2447297
538.0422,0.2578652
539.9706,0.2625177
541.8991,0.2527553
543.8276,0.2477905
545.756,0.2522632
547.6845,0.260499
549.613,0.2588677
551.5414,0.2473982
553.4699,0.2405686
555.3984,0.2388494
557.3268,0.2270073
559.2553,0.2159988
561.1838,0.2083139
563.1122,0.2079223
565.0407,0.2019698
566.9692,0.1948848
568.8976,0.1964932
570.8261,0.2012192
572.7546,0.1954739
574.683,0.1900242
576.6115,0.188027
578.54,0.1865613
580.4684,0.1825816
582.3969,0.1749984
584.3254,0.1698551
586.2538,0.1675944
588.1823,0.1650736
590.1108,0.161728
592.0392,0.1616212
593.9677,0.1615904
595.8962,0.1598625
597.8246,0.1592754
599.7531,0.1607595
601.6816,0.1618931
603.61,0.158503
605.5385,0.1476099
607.467,0.1363775
609.3954,0.1289117
611.3239,0.1194727
613.2524,0.106644
615.1808,0.09713279
617.1093,0.09030399
619.0378,0.08547287
620.9662,0.08249558
622.8947,0.08056266
624.8232,0.0802505
626.7516,0.07829225
628.6801,0.07540683
630.6086,0.07505105
632.537,0.07709618
634.4655,0.07754646
636.394,0.07341352
638.3224,0.0704361
640.2509,0.06837402
642.1794,0.0653277
644.1078,0.06290447
646.0363,0.06114682
647.9648,0.06071688
649.8932,0.0582698
651.8217,0.05559644
653.7502,0.05711592
655.6786,0.06157683
657.6071,0.06589177
659.5356,0.06906367
661.4641,0.07472976
663.3925,0.08484618
665.321,0.09289519
667.2495,0.09794898
669.1779,0.1018858
671.1064,0.1030104
673.0349,0.09886357
674.9633,0.09120972
676.8918,0.08289694
678.8203,0.07673624
680.7487,0.07302419
682.6772,0.06886636
684.6057,0.0647593
686.5341,0.06391745
688.4626,0.06413493
690.3911,0.06300164
692.3195,0.06232357
694.248,0.06267516
696.1765,0.06209042
698.1049,0.06065048
700.0334,0.05814683
701.9619,0.05654864
703.8903,0.05648631
705.8188,0.05581538
707.7473,0.05627351
709.6757,0.05836746
711.6042,0.06077795
713.5327,0.06064182
715.4611,0.05942918
717.3896,0.0612454
719.3181,0.06390278
721.2465,0.0646425
723.175,0.06560971
725.1035,0.06775741
727.0319,0.06915239
728.9604,0.0702551
730.8889,0.07208055
732.8173,0.07428466
734.7458,0.07622544
736.6743,0.07804241
738.6027,0.0804459
740.5312,0.08235681
742.4597,0.08556801
744.3881,0.08877668
746.3166,0.09243242
748.2451,0.09602416
750.1735,0.1004861
752.102,0.1034371
754.0305,0.1067399
755.9589,0.1125245
757.8874,0.1170189
759.8159,0.1217644
761.7443,0.1275329
763.6728,0.1345482
765.6013,0.1402985
767.5297,0.1467732
769.4582,0.1549835
771.3867,0.1645347
773.3151,0.1755021
775.2436,0.1834756
777.1721,0.1881241
779.1005,0.1903046
781.029,0.1880192
782.9575,0.1817769
784.8859,0.173637
786.8144,0.1659782
788.7429,0.1615531
790.6713,0.1608493
792.5998,0.1641336
794.5283,0.1705832
796.4567,0.1756718
798.3852,0.178618
800.3137,0.1797753
802.2421,0.1802164
804.1706,0.1819633
806.0991,0.1850204
808.0275,0.1873945
809.956,0.1907047
811.8845,0.193979
813.8129,0.1996576
815.7414,0.2048606
817.6699,0.2106224
819.5983,0.218125
821.5268,0.224054
823.4553,0.2274706
