x,y
399.1926,0.09299797
401.1211,0.08462483
403.0495,0.0682183
404.978,0.05301191
406.9065,0.05457873
408.8349,0.05730867
410.7634,0.05300618
412.6919,0.03963243
414.6203,0.03285525
416.5488,0.03097696
418.4773,0.03374265
420.4057,0.03680699
422.3342,0.02894656
424.2627,0.02322176
426.1911,0.02156477
428.1196,0.02289579
430.0481,0.02782709
431.9765,0.02872681
433.905,0.02341333
435.8335,0.02377501
437.7619,0.03283712
439.6904,0.03248941
441.6189,0.02850196
443.5473,0.03048368
445.4758,0.03409572
447.4043,0.04188078
449.3327,0.05455378
451.2612,0.06469963
453.1897,0.07517113
455.1181,0.09232262
457.0466,0.1073066
458.9751,0.1104432
460.9035,0.09437012
462.832,0.07414128
464.7605,0.05631837
466.6889,0.04344235
468.6174,0.03932115
470.5459,0.03805505
472.4743,0.04022004
474.4028,0.04082533
476.3313,0.04102389
478.2597,0.04115213
480.1882,0.03995719
482.1167,0.04225013
484.0451,0.0433016
485.9736,0.04455262
487.9021,0.0480502
489.8305,0.04966321
491.759,0.05312949
493.6875,0.05960584
495.6159,0.0687703
497.5444,0.0699198
499.4729,0.06841673
501.4013,0.07051477
503.3298,0.07486625
505.2583,0.07530238
507.1867,0.07691982
509.1152,0.08016442
511.0437,0.0831088
512.9721,0.08632556
514.9006,0.09136944
516.829,0.09722916
518.7575,0.09954922
520.686,0.1039151
522.6144,0.1096396
524.5429,0.1143404
526.4714,0.1182701
528.3998,0.1213192
530.3283,0.1257475
532.2568,0.1333417
534.1852,0.1407383
536.1137,0.1446912
538.0422,0.1521382
539.9706,0.1599226
541.8991,0.1618193
543.8276,0.1673976
545.756,0.1754597
547.6845,0.1870257
549.613,0.192544
551.5414,0.1966031
553.4699,0.2036492
555.3984,0.2103674
557.3268,0.2191836
559.2553,0.2267729
561.1838,0.2348578
563.1122,0.2403789
565.0407,0.2452891
566.9692,0.2530646
568.8976,0.2571237
570.8261,0.2615766
572.7546,0.2629098
574.683,0.2480316
576.6115,0.2354365
578.54,0.2261861
580.4684,0.2121301
582.3969,0.2012214
584.3254,0.1937277
586.2538,0.1856122
588.1823,0.1788415
590.1108,0.1703262
592.0392,0.159723
593.9677,0.1503032
595.8962,0.1432849
597.8246,0.1393857
599.7531,0.1382801
601.6816,0.1394426
603.61,0.1411422
605.5385,0.1449061
607.467,0.151001
609.3954,0.1558771
611.3239,0.1552496
613.2524,0.1470165
615.1808,0.135574
617.1093,0.1190617
619.0378,0.1032511
620.9662,0.09187501
622.8947,0.07865338
624.8232,0.06552292
626.7516,0.05470306
628.6801,0.04652034
630.6086,0.03985248
632.537,0.03514047
634.4655,0.0325896
636.394,0.02922053
638.3224,0.02613086
640.2509,0.02467816
642.1794,0.0237617
644.1078,0.02464797
646.0363,0.02573629
647.9648,0.02622659
649.8932,0.02368923
651.8217,0.02070457
653.7502,0.02114749
655.6786,0.02223645
657.6071,0.02376
659.5356,0.02260453
661.4641,0.02079218
663.3925,0.02108528
665.321,0.02088098
667.2495,0.02256385
669.1779,0.02466324
671.1064,0.02426169
673.0349,0.0231511
674.9633,0.02398092
676.8918,0.02319206
678.8203,0.02215769
680.7487,0.02293994
682.6772,0.02257286
684.6057,0.0221102
686.5341,0.02332533
688.4626,0.02495118
690.3911,0.02529371
692.3195,0.02469447
694.248,0.02485727
696.1765,0.025471
698.1049,0.0255326
700.0334,0.02570686
701.9619,0.02646489
703.8903,0.02591627
705.8188,0.0260603
707.7473,0.02809302
709.6757,0.02895828
711.6042,0.02925174
713.5327,0.03021805
715.4611,0.0303693
717.3896,0.03164458
719.3181,0.03263524
721.2465,0.03290967
723.175,0.03418443
725.1035,0.03423519
727.0319,0.03371447
728.9604,0.03503609
730.8889,0.03761259
732.8173,0.03885778
734.7458,0.04089081
736.6743,0.04284918
738.6027,0.04410281
740.5312,0.044423
742.4597,0.044463
744.3881,0.04584779
746.3166,0.04745521
748.2451,0.04907807
750.1735,0.0530219
752.102,0.0564685
754.0305,0.05693902
755.9589,0.05732824
757.8874,0.06074227
759.8159,0.06361015
761.7443,0.06492592
763.6728,0.06746175
765.6013,0.06996488
767.5297,0.07059223
769.4582,0.07294751
771.3867,0.07711475
773.3151,0.07976938
775.2436,0.08202748
777.1721,0.08569857
779.1005,0.08932481
781.029,0.09089928
