x,y
399.1926,0.2517148
401.1211,0.2473588
403.0495,0.2475463
404.978,0.2568539
406.9065,0.2599181
408.8349,0.2580657
410.7634,0.2572187
412.6919,0.2625072
414.6203,0.2699041
416.5488,0.2719355
418.4773,0.2688546
420.4057,0.2725476
422.3342,0.2753586
424.2627,0.2708647
426.1911,0.2657684
428.1196,0.2601301
430.0481,0.2563694
431.9765,0.2539845
433.905,0.2522848
435.8335,0.2508007
437.7619,0.2499025
439.6904,0.2520562
441.6189,0.2537903
443.5473,0.2535963
445.4758,0.2516675
447.4043,0.2499578
449.3327,0.2461054
451.2612,0.2426978
453.1897,0.2409327
455.1181,0.2412349
457.0466,0.2426286
458.9751,0.2448085
460.9035,0.2476004
462.832,0.2516001
464.7605,0.2554451
466.6889,0.2592016
468.6174,0.2633298
470.5459,0.2669524
472.4743,0.2696788
474.4028,0.2723933
476.3313,0.2734455
478.2597,0.2761472
480.1882,0.2797089
482.1167,0.2801747
484.0451,0.2800077
485.9736,0.2808098
487.9021,0.280722
489.8305,0.2804145
491.759,0.2791016
493.6875,0.277227
495.6159,0.274629
497.5444,0.2722034
499.4729,0.2695551
501.4013,0.2665054
503.3298,0.2629494
505.2583,0.2589969
507.1867,0.2550126
509.1152,0.2506184
511.0437,0.2462546
512.9721,0.2410492
514.9006,0.2358344
516.829,0.2309766
518.7575,0.2239589
520.686,0.2170484
522.6144,0.2107276
524.5429,0.2045284
526.4714,0.199026
528.3998,0.193967
530.3283,0.1891257
532.2568,0.1841406
534.1852,0.1803866
536.1137,0.1772285
538.0422,0.1738157
539.9706,0.1713695
541.8991,0.1699814
543.8276,0.1679556
545.756,0.1662997
547.6845,0.1657126
549.613,0.1660227
551.5414,0.165569
553.4699,0.1641964
555.3984,0.162814
557.3268,0.160612
559.2553,0.1578745
561.1838,0.1554145
563.1122,0.1527154
565.0407,0.1499346
566.9692,0.1481752
568.8976,0.1471968
570.8261,0.1468601
572.7546,0.1474531
574.683,0.148707
576.6115,0.1496571
578.54,0.1506249
580.4684,0.1508146
582.3969,0.1505069
584.3254,0.1496051
586.2538,0.147822
588.1823,0.1455875
590.1108,0.1429
592.0392,0.1400244
593.9677,0.1372665
595.8962,0.134639
597.8246,0.1320028
599.7531,0.1304112
601.6816,0.1295056
603.61,0.1290397
605.5385,0.1294291
607.467,0.1298955
609.3954,0.1296001
611.3239,0.1286947
613.2524,0.1264866
615.1808,0.1235032
617.1093,0.1198843
619.0378,0.1157647
620.9662,0.1115413
622.8947,0.1075125
624.8232,0.1042049
626.7516,0.1020428
628.6801,0.1010416
630.6086,0.1009159
632.537,0.1007011
634.4655,0.100569
636.394,0.100517
638.3224,0.1004833
640.2509,0.1007043
642.1794,0.1011347
644.1078,0.1017413
646.0363,0.1020328
647.9648,0.1019637
649.8932,0.1016475
651.8217,0.1009545
653.7502,0.09958757
655.6786,0.097855
657.6071,0.09584052
659.5356,0.09395406
661.4641,0.0927499
663.3925,0.09215266
665.321,0.09165742
667.2495,0.09093755
669.1779,0.08964817
671.1064,0.08781343
673.0349,0.08586749
674.9633,0.08371887
676.8918,0.08160929
678.8203,0.07988887
680.7487,0.07913005
682.6772,0.07903326
684.6057,0.0794453
686.5341,0.08099313
688.4626,0.08337387
690.3911,0.08680956
692.3195,0.0912317
694.248,0.09617683
696.1765,0.1013485
698.1049,0.1057802
700.0334,0.1092427
