x,y
399.1926,0.045465
401.1211,0.04253336
403.0495,0.04257396
404.978,0.04600384
406.9065,0.04713996
408.8349,0.04638288
410.7634,0.04817761
412.6919,0.04903189
414.6203,0.0489246
416.5488,0.04927912
418.4773,0.04802503
420.4057,0.048742
422.3342,0.04942232
424.2627,0.04994524
426.1911,0.05053188
428.1196,0.05074134
430.0481,0.05167301
431.9765,0.0519685
433.905,0.0516021
435.8335,0.05194646
437.7619,0.05155381
439.6904,0.05171441
441.6189,0.05210395
443.5473,0.05261832
445.4758,0.05293508
447.4043,0.05289679
449.3327,0.0532313
451.2612,0.05351778
453.1897,0.05414226
455.1181,0.05483205
457.0466,0.0551716
458.9751,0.05557585
460.9035,0.05619159
462.832,0.05673859
464.7605,0.05657462
466.6889,0.05662612
468.6174,0.05779156
470.5459,0.05896606
472.4743,0.05997571
474.4028,0.0605678
476.3313,0.0616584
478.2597,0.06316743
480.1882,0.06432097
482.1167,0.06530332
484.0451,0.06626341
485.9736,0.06731436
487.9021,0.06859941
489.8305,0.0703116
491.759,0.07145356
493.6875,0.07223635
495.6159,0.07298528
497.5444,0.07312554
499.4729,0.07328314
501.4013,0.07343644
503.3298,0.07361759
505.2583,0.07375035
507.1867,0.07452141
509.1152,0.07631709
511.0437,0.07789698
512.9721,0.07886227
514.9006,0.07916869
516.829,0.07834445
518.7575,0.07592879
520.686,0.07269568
522.6144,0.06932881
524.5429,0.06583188
526.4714,0.0621972
528.3998,0.05948021
530.3283,0.05751698
532.2568,0.05558846
534.1852,0.05426057
536.1137,0.05366549
538.0422,0.05305916
539.9706,0.05229915
541.8991,0.05169392
543.8276,0.05138195
545.756,0.05141466
547.6845,0.0515316
549.613,0.05153606
551.5414,0.05115008
553.4699,0.05124888
555.3984,0.05180633
557.3268,0.05203209
559.2553,0.05213384
561.1838,0.05224149
563.1122,0.05235791
565.0407,0.05261334
566.9692,0.05317293
568.8976,0.0537213
570.8261,0.05392781
572.7546,0.0541576
574.683,0.05450631
576.6115,0.05522303
578.54,0.05554585
580.4684,0.0556699
582.3969,0.05615315
584.3254,0.05667792
586.2538,0.05719906
588.1823,0.05767475
590.1108,0.05790436
592.0392,0.05798421
593.9677,0.05814507
595.8962,0.05805122
597.8246,0.05777409
599.7531,0.05768816
601.6816,0.05766441
603.61,0.05757455
605.5385,0.05734129
607.467,0.0571244
609.3954,0.05683954
611.3239,0.05629718
613.2524,0.05583159
615.1808,0.05544867
617.1093,0.05495806
619.0378,0.0543105
620.9662,0.05381618
622.8947,0.0534358
624.8232,0.05294851
626.7516,0.05221117
628.6801,0.05184072
630.6086,0.05164909
632.537,0.05115839
634.4655,0.05075416
636.394,0.05015218
638.3224,0.04948998
640.2509,0.04915462
642.1794,0.04898819
644.1078,0.04887428
646.0363,0.04865809
647.9648,0.04827974
649.8932,0.048094
651.8217,0.04799378
653.7502,0.04788086
655.6786,0.04769967
657.6071,0.04750448
659.5356,0.04706875
661.4641,0.04682879
663.3925,0.04662695
665.321,0.04629279
667.2495,0.04574111
669.1779,0.04500432
671.1064,0.0443127
673.0349,0.04383662
674.9633,0.04315776
676.8918,0.04243989
678.8203,0.04158662
680.7487,0.04073904
682.6772,0.04007949
684.6057,0.03961877
686.5341,0.03926899
688.4626,0.03880557
690.3911,0.03818848
692.3195,0.03764775
694.248,0.03737627
696.1765,0.03718695
698.1049,0.03679276
700.0334,0.03646603
701.9619,0.03632959
703.8903,0.03625853
705.8188,0.03640825
707.7473,0.03645159
709.6757,0.03627886
711.6042,0.03628007
713.5327,0.03631783
715.4611,0.03621686
717.3896,0.03625517
719.3181,0.03639432
721.2465,0.03640448
723.175,0.03653201
725.1035,0.03672763
727.0319,0.03683866
728.9604,0.036945
730.8889,0.03719034
732.8173,0.03760418
734.7458,0.03788917
736.6743,0.03818385
738.6027,0.03862659
740.5312,0.03900445
742.4597,0.03939771
744.3881,0.04001532
746.3166,0.04068835
748.2451,0.04129482
750.1735,0.04190533
752.102,0.04244716
754.0305,0.04328705
755.9589,0.04441628
757.8874,0.04565369
759.8159,0.04669438
761.7443,0.04784013
763.6728,0.04886281
765.6013,0.04963978
767.5297,0.05063647
769.4582,0.05214506
771.3867,0.05416062
773.3151,0.05700441
775.2436,0.06066732
777.1721,0.06470603
779.1005,0.06760396
781.029,0.06723033
782.9575,0.06284205
784.8859,0.05587324
786.8144,0.04883518
788.7429,0.04358179
790.6713,0.04003754
792.5998,0.03724753
794.5283,0.03458236
796.4567,0.03214255
798.3852,0.02985695
800.3137,0.02779358
802.2421,0.02606966
804.1706,0.02449876
806.0991,0.02292559
808.0275,0.02158395
809.956,0.02055268
811.8845,0.01966869
813.8129,0.01874446
815.7414,0.01792289
817.6699,0.01715617
819.5983,0.01653232
821.5268,0.01627591
823.4553,0.01580569
825.3837,0.01520022
827.3122,0.01486473
829.2407,0.01458114
831.1691,0.0142744
833.0976,0.01405094
835.0261,0.01385639
836.9545,0.01358982
838.883,0.01335078
840.8115,0.01299339
842.7399,0.01274772
844.6684,0.0125621
846.5969,0.01241868
848.5253,0.01225587
850.4538,0.01200888
852.3823,0.01175983
854.3107,0.01162287
856.2392,0.01138059
858.1677,0.01120116
860.0961,0.01110272
862.0246,0.01094223
863.9531,0.01067054
865.8815,0.01052579
867.81,0.01056656
869.7385,0.0105772
871.6669,0.01043514
873.5954,0.01028301
875.5239,0.01028425
877.4523,0.01037118
879.3808,0.01029548
881.3093,0.01015781
883.2377,0.01024889
885.1662,0.01020103
887.0947,0.009872078
889.0231,0.009521362
890.9516,0.009106638
892.8801,0.008747282
894.8085,0.008397416
896.737,0.008139443
898.6655,0.007914023
900.5939,0.00770862
902.5224,0.00778064
904.4509,0.008316822
906.3793,0.009152116
908.3078,0.01006536
910.2363,0.01064784
912.1647,0.01086279
914.0932,0.01092492
916.0217,0.01089459
917.9501,0.01070017
919.8786,0.01045196
921.8071,0.01019302
923.7355,0.009990609
925.664,0.009729572
927.5925,0.009540127
929.5209,0.009389319
931.4494,0.009309432
933.3779,0.009297409
935.3063,0.009247149
937.2348,0.009336241
939.1633,0.009468723
941.0917,0.009417959
943.0202,0.009527054
944.9487,0.009776568
946.8771,0.009858183
948.8056,0.009814122
950.7341,0.009861459
952.6625,0.0098385
954.591,0.009592509
956.5195,0.009444037
958.4479,0.009375242
960.3764,0.009177275
962.3049,0.009125109
964.2333,0.009075222
966.1618,0.008994652
968.0903,0.008844683
970.0187,0.008746351
971.9472,0.008754862
973.8757,0.0086937
975.8041,0.0085777
977.7326,0.008457348
979.6611,0.008429693
981.5895,0.00857768
983.518,0.008510416
985.4465,0.008359892
987.3749,0.008299929
989.3034,0.008300532
991.2319,0.008185575
993.1603,0.008152166
995.0888,0.008173035
997.0173,0.008162448
998.9457,0.008087819
1000.874,0.008061776
1002.803,0.008019702
1004.731,0.008008202
1006.66,0.008090605
1008.588,0.008100623
1010.517,0.008173997
1012.445,0.008327864
1014.373,0.008264678
1016.302,0.008114729
1018.23,0.008124766
1020.159,0.008215593
1022.087,0.008239783
1024.016,0.008233519
1025.944,0.008216822
1027.873,0.008212527
1029.801,0.008274683
1031.73,0.008311457
1033.658,0.008322142
1035.587,0.008321868
1037.515,0.008376763
1039.443,0.008501749
1041.372,0.008512915
1043.3,0.008362518
1045.229,0.008251486
1047.157,0.008314165
1049.086,0.008329406
1051.014,0.008146998
1052.943,0.007928734
1054.871,0.007928639
1056.8,0.008001673
1058.728,0.008013776
1060.657,0.007947165
1062.585,0.007980277
1064.514,0.007998636
1066.442,0.008017477
1068.37,0.007974854
1070.299,0.007833526
1072.227,0.007690533
1074.156,0.007741671
1076.084,0.007768585
1078.013,0.007590716
1079.941,0.007429436
1081.87,0.007318711
1083.798,0.007297984
1085.727,0.00737104
1087.655,0.00729614
1089.584,0.007229852
1091.512,0.007231154
1093.441,0.007139834
1095.369,0.007080733
1097.297,0.007069176
1099.226,0.006996586
1101.154,0.007085062
1103.083,0.007156678
1105.011,0.007129276
1106.94,0.007201209
1108.868,0.007255491
1110.797,0.00729176
1112.725,0.007221593
1114.654,0.007215515
1116.582,0.007211738
1118.511,0.007134676
1120.439,0.007124749
1122.368,0.007040604
1124.296,0.007017895
1126.224,0.00692913
1128.153,0.006906117
1130.081,0.00698408
1132.01,0.006931934
1133.938,0.00687912
1135.867,0.00682144
1137.795,0.006804277
1139.724,0.006678032
1141.652,0.006690482
1143.581,0.006780907
1145.509,0.006816429
1147.438,0.006827287
1149.366,0.006796487
1151.295,0.006887441
1153.223,0.007010758
1155.151,0.007110326
1157.08,0.007122469
1159.008,0.007113734
1160.937,0.00717563
1162.865,0.007157222
1164.794,0.007058597
1166.722,0.00703665
1168.651,0.007010589
1170.579,0.006927392
1172.508,0.006964837
1174.436,0.007039929
1176.365,0.007052595
1178.293,0.006952699
1180.222,0.00696392
1182.15,0.006957908
1184.078,0.006943688
1186.007,0.006937391
1187.935,0.006992518
1189.864,0.007169902
1191.792,0.007200182
1193.721,0.007150754
1195.649,0.007136559
1197.578,0.007192646
1199.506,0.00732292
1201.435,0.007381205
1203.363,0.00736887
1205.292,0.007536154
1207.22,0.007640823
1209.149,0.007661038
1211.077,0.007728268
1213.005,0.007744204
1214.934,0.0078198
1216.862,0.007971609
1218.791,0.008056731
1220.719,0.008103771
1222.648,0.008116737
1224.576,0.008251506
1226.505,0.008470789
1228.433,0.008649307
1230.362,0.00888949
1232.29,0.008968607
1234.219,0.009055629
1236.147,0.009244391
1238.076,0.009353225
1240.004,0.009480644
1241.932,0.009595912
1243.861,0.00982864
1245.789,0.01008787
1247.718,0.01036048
1249.646,0.0106332
1251.575,0.01096354
1253.503,0.01123867
1255.432,0.01146212
1257.36,0.01173626
1259.289,0.0120296
1261.217,0.0123627
1263.146,0.01287545
1265.074,0.01344002
1267.003,0.01384843
1268.931,0.01419824
1270.859,0.01480187
1272.788,0.01542944
1274.716,0.01613773
1276.645,0.01686259
1278.573,0.01757725
1280.502,0.01863306
1282.43,0.01979698
1284.359,0.02101305
1286.287,0.02264764
1288.216,0.02456592
1290.144,0.02682143
1292.073,0.02958342
1294.001,0.0329135
1295.93,0.03698965
1297.858,0.04216236
1299.786,0.04909993
1301.715,0.05809712
1303.643,0.0689598
1305.572,0.08155011
1307.5,0.0967914
1309.429,0.1157706
1311.357,0.1363646
1313.286,0.15286
1315.214,0.1607271
1317.143,0.160207
1319.071,0.1546715
1321.0,0.1471519
1322.928,0.1391799
1324.857,0.1310104
1326.785,0.1223745
1328.714,0.1130086
1330.642,0.1023345
1332.57,0.0908118
1334.499,0.07946448
1336.427,0.06888964
1338.356,0.05961166
1340.284,0.052016
1342.213,0.04618415
1344.141,0.04186969
1346.07,0.0386144
1347.998,0.03633124
1349.927,0.03476109
1351.855,0.03377075
1353.784,0.03303568
1355.712,0.03253209
1357.641,0.03235264
1359.569,0.03241516
1361.497,0.0325496
1363.426,0.03232284
1365.354,0.03195145
1367.283,0.03155525
1369.211,0.030906
1371.14,0.03010009
1373.068,0.02908445
1374.997,0.02798668
1376.925,0.02688474
1378.854,0.0259414
1380.782,0.02505659
1382.711,0.024167
1384.639,0.02310403
1386.568,0.02199391
1388.496,0.02086412
1390.424,0.0196785
1392.353,0.01827218
1394.281,0.01686501
1396.21,0.01586025
1398.138,0.01506739
1400.067,0.01425752
1401.995,0.01352016
1403.924,0.01290922
1405.852,0.01241361
1407.781,0.01203627
1409.709,0.01170139
1411.638,0.0114966
1413.566,0.01128299
1415.495,0.01113326
1417.423,0.01113073
