x,y
399.1926,0.3805091
401.1211,0.3767594
403.0495,0.3698183
404.978,0.3789768
406.9065,0.3807022
408.8349,0.3827498
410.7634,0.3912656
412.6919,0.3900528
414.6203,0.3906325
416.5488,0.3936678
418.4773,0.3940138
420.4057,0.3991308
422.3342,0.4018141
424.2627,0.3987445
426.1911,0.4008317
428.1196,0.4022416
430.0481,0.4015225
431.9765,0.4021626
433.905,0.403424
435.8335,0.4020012
437.7619,0.4011898
439.6904,0.4039604
441.6189,0.4049645
443.5473,0.4047109
445.4758,0.4013322
447.4043,0.3950024
449.3327,0.3899876
451.2612,0.3883268
453.1897,0.3877833
455.1181,0.387658
457.0466,0.3884809
458.9751,0.3894069
460.9035,0.3892911
462.832,0.3884843
464.7605,0.3865247
466.6889,0.3869236
468.6174,0.3887134
470.5459,0.3901162
472.4743,0.3903634
474.4028,0.3886637
476.3313,0.3877658
478.2597,0.3897746
480.1882,0.391939
482.1167,0.3929979
484.0451,0.3938323
485.9736,0.3956947
487.9021,0.3961882
489.8305,0.3964623
491.759,0.3978778
493.6875,0.398633
495.6159,0.3985107
497.5444,0.3993414
499.4729,0.3993613
501.4013,0.3991917
503.3298,0.3995723
505.2583,0.4001954
507.1867,0.4016812
509.1152,0.3988977
511.0437,0.398881
512.9721,0.4010308
514.9006,0.4019416
516.829,0.4013402
518.7575,0.4003839
520.686,0.4010286
522.6144,0.4018829
524.5429,0.403049
526.4714,0.4031773
528.3998,0.4037894
530.3283,0.4051324
532.2568,0.4041936
534.1852,0.4058707
536.1137,0.4089324
538.0422,0.4099966
539.9706,0.4117472
541.8991,0.4159025
543.8276,0.41869
545.756,0.4189746
547.6845,0.4217818
549.613,0.4242626
551.5414,0.4256508
553.4699,0.4281497
555.3984,0.4300518
557.3268,0.4325691
559.2553,0.4346357
561.1838,0.4364176
563.1122,0.4373652
565.0407,0.4401168
566.9692,0.443016
568.8976,0.4447288
570.8261,0.4467645
572.7546,0.4470966
574.683,0.4481602
576.6115,0.4494067
578.54,0.4516818
580.4684,0.4537772
582.3969,0.4555335
584.3254,0.4558015
586.2538,0.4576653
588.1823,0.4590399
590.1108,0.4597698
592.0392,0.4610976
593.9677,0.4621851
595.8962,0.46471
597.8246,0.465484
599.7531,0.4652736
601.6816,0.4656545
603.61,0.4671916
605.5385,0.4690277
607.467,0.4697529
609.3954,0.4687259
611.3239,0.4698029
613.2524,0.4703461
615.1808,0.4716465
617.1093,0.4731461
619.0378,0.4743477
620.9662,0.4749663
622.8947,0.4759272
624.8232,0.4770408
626.7516,0.4782005
628.6801,0.4793901
630.6086,0.4805221
632.537,0.4810469
634.4655,0.4819942
636.394,0.4832399
638.3224,0.4843484
640.2509,0.4847963
642.1794,0.4853463
644.1078,0.4863285
646.0363,0.4870233
647.9648,0.4878195
649.8932,0.4886066
651.8217,0.4893944
653.7502,0.4903478
655.6786,0.4918275
657.6071,0.4935289
659.5356,0.4942505
661.4641,0.4959152
663.3925,0.4974762
665.321,0.4989709
667.2495,0.5007168
669.1779,0.5019637
671.1064,0.5017
673.0349,0.5022705
674.9633,0.5043273
676.8918,0.506023
678.8203,0.5073707
680.7487,0.5088211
682.6772,0.5102262
684.6057,0.5115342
686.5341,0.5134801
688.4626,0.5146285
690.3911,0.515739
692.3195,0.5161612
694.248,0.5133601
696.1765,0.5099622
698.1049,0.5068539
700.0334,0.5067938
701.9619,0.5076438
703.8903,0.5097831
705.8188,0.5118588
707.7473,0.5131143
709.6757,0.5140924
711.6042,0.517044
