x,y
374.1225,0.01521483
376.051,0.02393035
377.9795,0.02052655
379.9079,0.01262534
381.8364,0.0116856
383.7649,0.01208038
385.6933,0.01381648
387.6218,0.01099261
389.5503,0.01010012
391.4787,0.01208781
393.4072,0.01758867
395.3357,0.02102506
397.2641,0.02149454
399.1926,0.02397413
401.1211,0.02530633
403.0495,0.02256073
404.978,0.01961373
406.9065,0.01904159
408.8349,0.01978859
410.7634,0.02202684
412.6919,0.02443654
414.6203,0.02681245
416.5488,0.02866697
418.4773,0.0294529
420.4057,0.03003572
422.3342,0.03011096
424.2627,0.03098702
426.1911,0.03301265
428.1196,0.03548844
430.0481,0.03866734
431.9765,0.04371659
433.905,0.05036006
435.8335,0.05702459
437.7619,0.05894638
439.6904,0.05513743
441.6189,0.0504326
443.5473,0.04804297
445.4758,0.04660632
447.4043,0.04502365
449.3327,0.04391258
451.2612,0.04344983
453.1897,0.04340969
455.1181,0.04438765
457.0466,0.04598796
458.9751,0.04880118
460.9035,0.05338513
462.832,0.05986787
464.7605,0.06639144
466.6889,0.07136171
468.6174,0.07408229
470.5459,0.07511853
472.4743,0.07684336
474.4028,0.07913959
476.3313,0.08113427
478.2597,0.08343264
480.1882,0.08406287
482.1167,0.08155654
484.0451,0.07760023
485.9736,0.07393822
487.9021,0.0710687
489.8305,0.06965321
491.759,0.06996908
493.6875,0.07146978
495.6159,0.07329755
497.5444,0.07697323
499.4729,0.08108198
501.4013,0.08541528
503.3298,0.08965281
505.2583,0.09354888
507.1867,0.0977175
509.1152,0.1006812
511.0437,0.1029011
512.9721,0.1047534
514.9006,0.1058126
516.829,0.1064293
518.7575,0.1081771
520.686,0.1100469
522.6144,0.1117202
524.5429,0.114346
526.4714,0.1169518
528.3998,0.1195468
530.3283,0.122402
532.2568,0.1250553
534.1852,0.1275364
536.1137,0.129994
538.0422,0.1317954
539.9706,0.132765
541.8991,0.1343862
543.8276,0.1355159
545.756,0.1354546
547.6845,0.1360006
549.613,0.13666
551.5414,0.1370079
553.4699,0.1374586
555.3984,0.1365937
557.3268,0.1354026
559.2553,0.1337208
561.1838,0.1316706
563.1122,0.1292546
565.0407,0.1263299
566.9692,0.1235141
568.8976,0.1213193
570.8261,0.1199779
572.7546,0.1192411
574.683,0.119846
576.6115,0.1214519
578.54,0.1251472
580.4684,0.130821
582.3969,0.1386571
584.3254,0.1495839
586.2538,0.1651542
588.1823,0.1857225
590.1108,0.2087664
592.0392,0.225392
593.9677,0.2242771
595.8962,0.2056799
597.8246,0.1808421
599.7531,0.1598783
601.6816,0.1480298
603.61,0.1459344
605.5385,0.1494802
607.467,0.1523614
609.3954,0.1502153
611.3239,0.1439659
613.2524,0.1366656
615.1808,0.1329781
617.1093,0.1343327
619.0378,0.1379211
620.9662,0.1408011
622.8947,0.1430104
624.8232,0.1453285
626.7516,0.146562
628.6801,0.1451064
630.6086,0.1420739
632.537,0.1393555
634.4655,0.1378623
636.394,0.138437
638.3224,0.1417273
640.2509,0.1454978
