x,y
374.1225,0.1282654
376.051,0.1313072
377.9795,0.1164647
379.9079,0.1078393
381.8364,0.1155179
383.7649,0.123596
385.6933,0.1310458
387.6218,0.1321666
389.5503,0.1336275
391.4787,0.1375154
393.4072,0.1422343
395.3357,0.1425443
397.2641,0.1411833
399.1926,0.1394353
401.1211,0.1365401
403.0495,0.1351079
404.978,0.1344996
406.9065,0.132802
408.8349,0.134575
410.7634,0.1357791
412.6919,0.1396809
414.6203,0.141704
416.5488,0.1396944
418.4773,0.1371535
420.4057,0.1346076
422.3342,0.1306221
424.2627,0.1296456
426.1911,0.1320908
428.1196,0.135681
430.0481,0.1407824
431.9765,0.1470736
433.905,0.15635
435.8335,0.1653145
437.7619,0.1729836
439.6904,0.1787957
441.6189,0.1820987
443.5473,0.1847735
445.4758,0.1854464
447.4043,0.1843718
449.3327,0.1826096
451.2612,0.1823713
453.1897,0.1805869
455.1181,0.1787734
457.0466,0.1776084
458.9751,0.1753471
460.9035,0.1729268
462.832,0.1717501
464.7605,0.1701307
466.6889,0.1672707
468.6174,0.1632273
470.5459,0.1587155
472.4743,0.1554578
474.4028,0.152091
476.3313,0.147623
478.2597,0.1430619
480.1882,0.1379341
482.1167,0.1326541
484.0451,0.1276726
485.9736,0.1239537
487.9021,0.1211447
489.8305,0.1198096
491.759,0.1199239
493.6875,0.1209337
495.6159,0.1221902
497.5444,0.1249582
499.4729,0.1282413
501.4013,0.13166
503.3298,0.1346825
505.2583,0.137228
507.1867,0.138905
509.1152,0.1367943
511.0437,0.132256
512.9721,0.1268758
514.9006,0.1209194
516.829,0.1147663
518.7575,0.1104332
520.686,0.1069579
522.6144,0.103583
524.5429,0.1014138
526.4714,0.09996517
528.3998,0.09894827
530.3283,0.09792317
532.2568,0.09592629
534.1852,0.09401801
536.1137,0.09221874
538.0422,0.08970482
539.9706,0.08655015
541.8991,0.08301523
543.8276,0.07830339
545.756,0.07271359
547.6845,0.06727486
549.613,0.06189791
551.5414,0.05700633
553.4699,0.05326562
555.3984,0.04958138
557.3268,0.04622832
559.2553,0.04337532
561.1838,0.04049387
563.1122,0.03766371
565.0407,0.03493816
566.9692,0.03232438
568.8976,0.029759
570.8261,0.02739069
572.7546,0.02509883
574.683,0.02319902
576.6115,0.02092693
578.54,0.01909798
580.4684,0.01792928
582.3969,0.01692508
584.3254,0.01610066
586.2538,0.01580531
588.1823,0.01499667
590.1108,0.01434863
592.0392,0.01401291
593.9677,0.01371371
595.8962,0.01361798
597.8246,0.01361331
599.7531,0.01386931
601.6816,0.01406726
603.61,0.01426226
605.5385,0.01495539
607.467,0.01557902
609.3954,0.01592322
611.3239,0.01658841
613.2524,0.01713608
615.1808,0.01791581
617.1093,0.01903059
619.0378,0.02025152
620.9662,0.02144126
622.8947,0.02274074
624.8232,0.02433608
626.7516,0.02606366
628.6801,0.02776702
630.6086,0.02968629
632.537,0.03127067
634.4655,0.03229789
636.394,0.0329821
638.3224,0.03329972
640.2509,0.03333282
642.1794,0.03313201
644.1078,0.03305743
646.0363,0.03281411
647.9648,0.03223905
649.8932,0.03143324
651.8217,0.03141618
653.7502,0.03240836
655.6786,0.03393834
657.6071,0.03586064
