x,y
374.1225,0.06936679
376.051,0.07707443
377.9795,0.07730031
379.9079,0.07436132
381.8364,0.07055788
383.7649,0.07207443
385.6933,0.07675223
387.6218,0.07610147
389.5503,0.0794024
391.4787,0.08830985
393.4072,0.09541784
395.3357,0.09589365
397.2641,0.09739058
399.1926,0.09504891
401.1211,0.08781826
403.0495,0.08121616
404.978,0.07926653
406.9065,0.08194318
408.8349,0.08570147
410.7634,0.09008572
412.6919,0.09423247
414.6203,0.09829011
416.5488,0.1032696
418.4773,0.1072753
420.4057,0.1094443
422.3342,0.1112296
424.2627,0.1139679
426.1911,0.1169579
428.1196,0.1188539
430.0481,0.1211001
431.9765,0.1231574
433.905,0.1245658
435.8335,0.1265132
437.7619,0.1289309
439.6904,0.1309064
441.6189,0.1329849
443.5473,0.1355441
445.4758,0.1365279
447.4043,0.1386575
449.3327,0.1407122
451.2612,0.1429073
453.1897,0.1459428
455.1181,0.1482487
457.0466,0.1486364
458.9751,0.1495824
460.9035,0.1496706
462.832,0.1489958
464.7605,0.1486287
466.6889,0.148795
468.6174,0.1478519
470.5459,0.1467
472.4743,0.1462737
474.4028,0.1458321
476.3313,0.1447524
478.2597,0.1437857
480.1882,0.1424533
482.1167,0.1413044
484.0451,0.140337
485.9736,0.1395554
487.9021,0.1387421
489.8305,0.1385718
491.759,0.1386726
493.6875,0.1387256
495.6159,0.1378753
497.5444,0.13801
499.4729,0.1374852
501.4013,0.136528
503.3298,0.1360893
505.2583,0.1361021
507.1867,0.1364131
509.1152,0.1357233
511.0437,0.1356932
512.9721,0.1363161
514.9006,0.1364216
516.829,0.1361744
518.7575,0.1360487
520.686,0.1360931
522.6144,0.1355365
524.5429,0.1345446
526.4714,0.1331851
528.3998,0.1325722
530.3283,0.1327877
532.2568,0.132166
534.1852,0.131478
536.1137,0.1314348
538.0422,0.130962
539.9706,0.1303007
541.8991,0.1307987
543.8276,0.131271
545.756,0.1307472
547.6845,0.1308451
549.613,0.1309016
551.5414,0.1309492
553.4699,0.1322293
555.3984,0.1329354
557.3268,0.1334804
559.2553,0.1342327
561.1838,0.134819
563.1122,0.1354543
565.0407,0.1361679
566.9692,0.1366989
568.8976,0.136878
570.8261,0.137427
572.7546,0.1376942
574.683,0.1378859
576.6115,0.1378232
578.54,0.1384579
580.4684,0.1388116
582.3969,0.1385784
584.3254,0.1380109
586.2538,0.1384144
588.1823,0.1385828
590.1108,0.1387958
592.0392,0.1392715
593.9677,0.1398601
595.8962,0.1411549
597.8246,0.1422457
599.7531,0.1435342
601.6816,0.1450465
603.61,0.1459611
605.5385,0.1461443
607.467,0.145665
609.3954,0.1448515
611.3239,0.1441647
613.2524,0.1433961
615.1808,0.1432436
617.1093,0.1433628
619.0378,0.1436064
620.9662,0.1439544
622.8947,0.1442146
624.8232,0.1444491
626.7516,0.1450657
628.6801,0.1454445
630.6086,0.1457748
632.537,0.146202
634.4655,0.1466904
636.394,0.1474618
638.3224,0.1483698
640.2509,0.148883
642.1794,0.1492738
644.1078,0.1498565
646.0363,0.1505455
647.9648,0.1512657
649.8932,0.1514126
651.8217,0.151663
653.7502,0.1523594
655.6786,0.1532422
657.6071,0.1537698
659.5356,0.1541744
661.4641,0.1550653
663.3925,0.1558468
665.321,0.1566646
667.2495,0.1576108
669.1779,0.158248
671.1064,0.158493
673.0349,0.1591615
674.9633,0.160282
676.8918,0.1611686
678.8203,0.1620937
680.7487,0.1633672
682.6772,0.1644996
684.6057,0.1657865
686.5341,0.1670842
688.4626,0.1682592
