x,y
374.1225,0.493654
376.051,0.4236024
377.9795,0.4472998
379.9079,0.5096908
381.8364,0.407045
383.7649,0.3636375
385.6933,0.3562108
387.6218,0.3525423
389.5503,0.3238115
391.4787,0.3205271
393.4072,0.339946
395.3357,0.3389055
397.2641,0.3307048
399.1926,0.3253632
401.1211,0.3232101
403.0495,0.3040138
404.978,0.292492
406.9065,0.2921164
408.8349,0.2847928
410.7634,0.2807724
412.6919,0.2774741
414.6203,0.2672044
416.5488,0.2644041
418.4773,0.258891
420.4057,0.2539173
422.3342,0.2491578
424.2627,0.2455263
426.1911,0.239789
428.1196,0.2346176
430.0481,0.2295869
431.9765,0.2241672
433.905,0.2207008
435.8335,0.215599
437.7619,0.2079504
439.6904,0.2021912
441.6189,0.1984322
443.5473,0.1927668
445.4758,0.1894853
447.4043,0.1845112
449.3327,0.1785989
451.2612,0.1742819
453.1897,0.1703204
455.1181,0.1658476
457.0466,0.161485
458.9751,0.1571573
460.9035,0.1533385
462.832,0.1494732
464.7605,0.1456379
466.6889,0.1425193
468.6174,0.1389492
470.5459,0.1358757
472.4743,0.1328204
474.4028,0.13038
476.3313,0.1270732
478.2597,0.1245212
480.1882,0.1222517
482.1167,0.1200755
484.0451,0.1175724
485.9736,0.1146926
487.9021,0.1117243
489.8305,0.1094206
491.759,0.1077945
493.6875,0.1057362
495.6159,0.1034535
497.5444,0.1011903
499.4729,0.09864213
501.4013,0.09576635
503.3298,0.09333706
505.2583,0.09091046
507.1867,0.0889282
509.1152,0.08738529
511.0437,0.08494665
512.9721,0.08267742
514.9006,0.08032769
516.829,0.07727723
518.7575,0.07498703
520.686,0.07258917
522.6144,0.06968249
524.5429,0.06713156
526.4714,0.06398052
528.3998,0.06157017
530.3283,0.05966334
532.2568,0.05725974
534.1852,0.05520267
536.1137,0.05359464
538.0422,0.05188901
539.9706,0.04953677
541.8991,0.04757338
543.8276,0.04561026
545.756,0.04298059
547.6845,0.04052902
549.613,0.03817776
551.5414,0.03585292
553.4699,0.03390568
555.3984,0.03169163
557.3268,0.02914455
559.2553,0.02693549
561.1838,0.02467588
563.1122,0.02216501
565.0407,0.0194145
566.9692,0.01688631
568.8976,0.01430801
570.8261,0.01199867
572.7546,0.01010068
574.683,0.007976845
576.6115,0.00602844
578.54,0.004835043
580.4684,0.003867023
582.3969,0.002640869
584.3254,0.001749896
586.2538,0.00118136
588.1823,0.0004096627
590.1108,-0.0005807243
592.0392,-0.00183418
593.9677,-0.002804328
595.8962,-0.003094882
597.8246,-0.003120847
599.7531,-0.003215581
601.6816,-0.003186986
603.61,-0.003111437
605.5385,-0.003038358
607.467,-0.003033336
609.3954,-0.002798501
611.3239,-0.002622347
613.2524,-0.00267278
615.1808,-0.002521336
617.1093,-0.002329934
619.0378,-0.002273235
620.9662,-0.002132971
622.8947,-0.002176393
624.8232,-0.002192602
626.7516,-0.002024703
628.6801,-0.002100773
630.6086,-0.002080418
632.537,-0.001827564
634.4655,-0.001563806
636.394,-0.001076598
638.3224,-0.000526391
640.2509,-0.000114195
642.1794,0.000272803
644.1078,0.0007043742
646.0363,0.001060076
647.9648,0.001354717
649.8932,0.001501396
651.8217,0.001534432
653.7502,0.001562372
655.6786,0.001774855
657.6071,0.001899648
659.5356,0.00200339
661.4641,0.002092093
663.3925,0.002018146
665.321,0.001957044
667.2495,0.002090838
669.1779,0.002205595
671.1064,0.002229884
673.0349,0.002265014
674.9633,0.002284452
676.8918,0.00226802
678.8203,0.002347715
680.7487,0.002214879
682.6772,0.002087295
684.6057,0.001987524
686.5341,0.001985092
688.4626,0.002022475
690.3911,0.001945928
692.3195,0.001865402
694.248,0.001819558
696.1765,0.001548823
698.1049,0.001268592
700.0334,0.001231939
701.9619,0.001191381
703.8903,0.0009925626
705.8188,0.0008269846
707.7473,0.0006977394
709.6757,0.000539735
711.6042,0.0004203357
713.5327,0.0003251694
715.4611,0.0002215989
717.3896,7.741153e-05
719.3181,-3.736839e-05
721.2465,8.002296e-05
723.175,0.0001485981
725.1035,-1.746416e-05
727.0319,-9.100512e-05
728.9604,-2.756715e-07
730.8889,-0.0002018735
732.8173,-0.0004837438
734.7458,-0.0005652681
736.6743,-0.0005954988
738.6027,-0.0005831197
740.5312,-0.0006477088
742.4597,-0.0007858425
744.3881,-0.0008831024
746.3166,-0.001089819
748.2451,-0.001300246
750.1735,-0.001481194
752.102,-0.001709249
754.0305,-0.001703989
755.9589,-0.001520265
757.8874,-0.001558233
759.8159,-0.001543917
761.7443,-0.001409627
763.6728,-0.00135212
765.6013,-0.001173638
767.5297,-0.001111709
769.4582,-0.00118969
771.3867,-0.001013238
773.3151,-0.0007939301
775.2436,-0.0007604361
777.1721,-0.000733979
779.1005,-0.0005024374
781.029,-0.00042402
782.9575,-0.0004045144
784.8859,-0.0003472716
786.8144,-0.0003575571
788.7429,-0.0002455562
790.6713,-5.055591e-05
792.5998,1.44355e-05
794.5283,3.432482e-05
796.4567,0.0001892745
798.3852,0.0004625432
800.3137,0.000668183
802.2421,0.0008488186
804.1706,0.0009874031
806.0991,0.001144901
808.0275,0.001199465
809.956,0.001434166
811.8845,0.001746289
813.8129,0.001776986
815.7414,0.001988377
817.6699,0.002195556
819.5983,0.002236877
821.5268,0.002360705
823.4553,0.002658986
825.3837,0.003170025
827.3122,0.003612299
829.2407,0.003856119
831.1691,0.004056338
833.0976,0.004297893
835.0261,0.004562486
836.9545,0.004806116
838.883,0.004933782
840.8115,0.005033527
842.7399,0.005143385
844.6684,0.005250465
846.5969,0.005441256
848.5253,0.005411718
850.4538,0.005427882
852.3823,0.005526736
854.3107,0.005724411
856.2392,0.005760908
858.1677,0.00572332
860.0961,0.005599659
862.0246,0.005564034
863.9531,0.005797081
865.8815,0.005787056
867.81,0.005725376
869.7385,0.005782083
871.6669,0.006045826
873.5954,0.006510921
875.5239,0.006894249
877.4523,0.006850336
879.3808,0.006263323
881.3093,0.005513631
883.2377,0.004835393
