x,y
374.1225,0.02251803
376.051,0.02995864
377.9795,0.02395019
379.9079,0.01497239
381.8364,0.008910608
383.7649,0.01042387
385.6933,0.01169311
387.6218,0.007853247
389.5503,0.005563119
391.4787,0.006816036
393.4072,0.009673674
395.3357,0.01059331
397.2641,0.01044096
399.1926,0.0126628
401.1211,0.01294375
403.0495,0.01008436
404.978,0.007755338
406.9065,0.008396137
408.8349,0.00867191
410.7634,0.008152997
412.6919,0.008306621
414.6203,0.009287792
416.5488,0.01047371
418.4773,0.01088434
420.4057,0.01008658
422.3342,0.008511722
424.2627,0.008089235
426.1911,0.008544655
428.1196,0.008718136
430.0481,0.008378114
431.9765,0.00791352
433.905,0.007800637
435.8335,0.008238134
437.7619,0.008572275
439.6904,0.008441139
441.6189,0.008232652
443.5473,0.00763422
445.4758,0.007201163
447.4043,0.007136411
449.3327,0.007026223
451.2612,0.007406501
453.1897,0.007868136
455.1181,0.007896658
457.0466,0.00713405
458.9751,0.006554316
460.9035,0.006639673
462.832,0.007175016
464.7605,0.00697383
466.6889,0.00676562
468.6174,0.006940237
470.5459,0.007077878
472.4743,0.007033645
474.4028,0.007078542
476.3313,0.007073523
478.2597,0.006760055
480.1882,0.006166987
482.1167,0.005680152
484.0451,0.005409858
485.9736,0.005132838
487.9021,0.004721786
489.8305,0.00536883
491.759,0.005981666
493.6875,0.005942805
495.6159,0.005529203
497.5444,0.005438517
499.4729,0.005382017
501.4013,0.005165517
503.3298,0.00485061
505.2583,0.004519639
507.1867,0.004646897
509.1152,0.004821644
511.0437,0.004522946
512.9721,0.004474278
514.9006,0.004343067
516.829,0.003981738
518.7575,0.004452552
520.686,0.005030381
522.6144,0.005065443
524.5429,0.00469784
526.4714,0.00378219
528.3998,0.00368539
530.3283,0.003981413
532.2568,0.004537354
534.1852,0.004854368
536.1137,0.005031246
538.0422,0.005116647
539.9706,0.005178789
541.8991,0.005482823
543.8276,0.005474855
545.756,0.004498291
547.6845,0.00390326
549.613,0.004185971
551.5414,0.004458735
553.4699,0.004937107
555.3984,0.005298743
557.3268,0.005080752
559.2553,0.005021628
561.1838,0.005371444
563.1122,0.00566266
565.0407,0.005391214
566.9692,0.005379677
568.8976,0.005154205
570.8261,0.005079534
572.7546,0.005158456
574.683,0.005101514
576.6115,0.005073221
578.54,0.005502378
580.4684,0.006044746
582.3969,0.006392791
584.3254,0.006576478
586.2538,0.006991345
588.1823,0.006880547
590.1108,0.006877138
592.0392,0.006607017
593.9677,0.006483978
595.8962,0.0065916
597.8246,0.00675171
599.7531,0.006743468
601.6816,0.006956841
603.61,0.007057077
605.5385,0.007261438
607.467,0.00735095
609.3954,0.007478117
611.3239,0.00745903
613.2524,0.007327497
615.1808,0.007209904
617.1093,0.007295869
619.0378,0.007346407
620.9662,0.007410529
622.8947,0.007101726
624.8232,0.007094279
626.7516,0.007046519
628.6801,0.006962087
630.6086,0.00694495
632.537,0.00702187
634.4655,0.006861682
636.394,0.007034943
638.3224,0.007066806
640.2509,0.006960943
642.1794,0.006986819
644.1078,0.007207644
646.0363,0.007361525
647.9648,0.007652567
649.8932,0.007602574
651.8217,0.00762134
653.7502,0.007604059
655.6786,0.007915393
657.6071,0.007988323
659.5356,0.007999389
661.4641,0.007728475
663.3925,0.007533777
665.321,0.007293869
667.2495,0.00727216
669.1779,0.007135455
671.1064,0.007154082
673.0349,0.007221701
674.9633,0.007629876
676.8918,0.007921888
