x,y
399.1926,0.1979553
401.1211,0.1958662
403.0495,0.1909093
404.978,0.1795972
406.9065,0.1706071
408.8349,0.1730855
410.7634,0.1812579
412.6919,0.1905301
414.6203,0.1983774
416.5488,0.1966794
418.4773,0.1850075
420.4057,0.1731887
422.3342,0.1634592
424.2627,0.1559186
426.1911,0.1517155
428.1196,0.1452964
430.0481,0.1368538
431.9765,0.1282401
433.905,0.1187115
435.8335,0.1084663
437.7619,0.09733463
439.6904,0.08744512
441.6189,0.07945216
443.5473,0.07259028
445.4758,0.06652517
447.4043,0.06334618
449.3327,0.0629012
451.2612,0.06501236
453.1897,0.07086543
455.1181,0.08057429
457.0466,0.09353878
458.9751,0.1075227
460.9035,0.1182786
462.832,0.1217861
464.7605,0.1161323
466.6889,0.1065509
468.6174,0.09869189
470.5459,0.09615427
472.4743,0.09762137
474.4028,0.09948322
476.3313,0.09746422
478.2597,0.08924253
480.1882,0.07674973
482.1167,0.06401819
484.0451,0.0531221
485.9736,0.04479443
487.9021,0.03931728
489.8305,0.03657905
491.759,0.0349839
493.6875,0.03403815
495.6159,0.03354989
497.5444,0.03351343
499.4729,0.03374511
501.4013,0.03465571
503.3298,0.03569938
505.2583,0.03735549
507.1867,0.03951145
509.1152,0.04170536
511.0437,0.04477385
512.9721,0.04926901
514.9006,0.05509288
516.829,0.06210458
518.7575,0.07067501
520.686,0.08147383
522.6144,0.09471463
524.5429,0.1103713
526.4714,0.1259103
528.3998,0.1377922
530.3283,0.142006
532.2568,0.1358751
534.1852,0.1231957
536.1137,0.1081989
538.0422,0.09290104
539.9706,0.07983198
541.8991,0.07044797
543.8276,0.06378755
545.756,0.05971026
547.6845,0.05850056
549.613,0.05887961
551.5414,0.06006627
553.4699,0.062307
555.3984,0.06521235
557.3268,0.06888462
559.2553,0.07341266
561.1838,0.07889503
563.1122,0.08511705
565.0407,0.09193218
566.9692,0.09971139
568.8976,0.1084925
570.8261,0.1180305
572.7546,0.1278815
574.683,0.1381186
576.6115,0.1475368
578.54,0.156254
580.4684,0.163708
582.3969,0.1693276
584.3254,0.1727415
586.2538,0.1742778
588.1823,0.1734806
590.1108,0.1706104
592.0392,0.1665037
593.9677,0.1606714
595.8962,0.1530665
597.8246,0.1448304
599.7531,0.1363039
601.6816,0.1283799
603.61,0.1227365
605.5385,0.1199519
607.467,0.1185089
609.3954,0.1153744
611.3239,0.1092061
613.2524,0.100418
615.1808,0.09017179
617.1093,0.0799912
619.0378,0.07039455
620.9662,0.06176857
622.8947,0.05472503
624.8232,0.04944958
626.7516,0.04565345
628.6801,0.04331222
630.6086,0.04233631
632.537,0.04292557
634.4655,0.04471701
636.394,0.0478576
638.3224,0.05297884
640.2509,0.06045785
642.1794,0.07063138
644.1078,0.0837253
646.0363,0.09736307
647.9648,0.1068671
649.8932,0.1077191
651.8217,0.09960388
653.7502,0.08616544
655.6786,0.07182188
657.6071,0.05908315
659.5356,0.04912921
661.4641,0.04197827
663.3925,0.03704501
665.321,0.03383426
667.2495,0.03169724
669.1779,0.0301038
671.1064,0.02897924
673.0349,0.02844709
674.9633,0.02822777
676.8918,0.02821959
678.8203,0.02834262
680.7487,0.02852482
682.6772,0.02882985
684.6057,0.02926561
686.5341,0.02980169
688.4626,0.03038543
690.3911,0.0310726
692.3195,0.03212753
694.248,0.03318977
696.1765,0.03449354
698.1049,0.03597819
700.0334,0.03764297
701.9619,0.03945489
703.8903,0.04183935
705.8188,0.04485136
707.7473,0.04870908
709.6757,0.05344754
711.6042,0.05908746
713.5327,0.06562543
715.4611,0.07305536
717.3896,0.08133482
719.3181,0.09013795
721.2465,0.09762628
723.175,0.1003924
725.1035,0.09623928
727.0319,0.08662438
728.9604,0.07677555
730.8889,0.07078289
732.8173,0.06992694
734.7458,0.0738352
736.6743,0.08142874
738.6027,0.09178961
740.5312,0.1021022
742.4597,0.1082847
744.3881,0.1073891
746.3166,0.09990559
748.2451,0.08998182
750.1735,0.0821999
752.102,0.07873212
754.0305,0.08076014
755.9589,0.08778187
757.8874,0.09730675
759.8159,0.1051486
761.7443,0.1057812
763.6728,0.09732435
765.6013,0.08320867
767.5297,0.06860001
769.4582,0.05672915
771.3867,0.0488812
773.3151,0.0447682
775.2436,0.04382036
777.1721,0.04546757
779.1005,0.04969199
781.029,0.05686419
782.9575,0.06679869
784.8859,0.07734109
786.8144,0.08352372
788.7429,0.08045477
790.6713,0.06899474
792.5998,0.05477867
794.5283,0.04271505
796.4567,0.03461897
798.3852,0.02946035
800.3137,0.02621288
802.2421,0.0241711
804.1706,0.02294989
806.0991,0.0222168
808.0275,0.02164731
809.956,0.0212057
811.8845,0.02088546
813.8129,0.02059574
815.7414,0.02058311
817.6699,0.02064802
819.5983,0.0206578
821.5268,0.02065723
823.4553,0.02074183
825.3837,0.0208163
827.3122,0.02108823
829.2407,0.021523
831.1691,0.02175979
833.0976,0.02201083
835.0261,0.02247535
836.9545,0.02284161
838.883,0.02335293
840.8115,0.02388422
842.7399,0.02439081
844.6684,0.02503384
846.5969,0.02577669
848.5253,0.02638703
850.4538,0.02700083
852.3823,0.02779837
854.3107,0.02853382
856.2392,0.02932828
858.1677,0.03058028
860.0961,0.03163985
862.0246,0.03263572
863.9531,0.03380965
865.8815,0.03524339
867.81,0.03706104
869.7385,0.03969727
871.6669,0.04329507
873.5954,0.04742276
875.5239,0.05115985
877.4523,0.05340055
879.3808,0.05311812
881.3093,0.05116152
883.2377,0.04963282
885.1662,0.04895628
887.0947,0.04922482
889.0231,0.05062289
890.9516,0.05246786
892.8801,0.05456353
894.8085,0.05700726
896.737,0.05954661
898.6655,0.06216076
900.5939,0.0648529
902.5224,0.06757285
904.4509,0.07032496
906.3793,0.07330696
908.3078,0.07657222
910.2363,0.08010627
912.1647,0.08377211
914.0932,0.0875227
916.0217,0.09177708
917.9501,0.0963316
919.8786,0.1010357
921.8071,0.1061827
923.7355,0.1117466
925.664,0.1174662
927.5925,0.1235835
929.5209,0.1301627
931.4494,0.1369783
933.3779,0.1439411
935.3063,0.1511273
937.2348,0.158627
939.1633,0.1664438
941.0917,0.1744911
943.0202,0.183146
944.9487,0.1921089
946.8771,0.2010905
948.8056,0.2102596
950.7341,0.2199737
952.6625,0.2301089
954.591,0.2402556
956.5195,0.250095
958.4479,0.2600084
960.3764,0.2705472
962.3049,0.2817018
964.2333,0.2930143
966.1618,0.3043999
968.0903,0.3154744
970.0187,0.3260239
971.9472,0.3358932
973.8757,0.3447536
975.8041,0.3521929
977.7326,0.3581862
979.6611,0.3626463
981.5895,0.3660114
983.518,0.3684007
985.4465,0.3694954
987.3749,0.3692861
989.3034,0.3679653
991.2319,0.3652368
993.1603,0.3613376
995.0888,0.356495
997.0173,0.350652
998.9457,0.3441904
1000.874,0.337637
1002.803,0.3306065
1004.731,0.3233095
1006.66,0.3159333
1008.588,0.3085628
1010.517,0.301654
1012.445,0.2955608
1014.373,0.2905493
1016.302,0.2864066
1018.23,0.2828554
1020.159,0.2801114
1022.087,0.2783359
1024.016,0.2775163
1025.944,0.2774474
1027.873,0.2774706
1029.801,0.2768108
1031.73,0.2744162
1033.658,0.2696385
1035.587,0.2624627
1037.515,0.2531011
1039.443,0.2421537
1041.372,0.2302409
1043.3,0.2177906
1045.229,0.2053879
1047.157,0.1934276
1049.086,0.1821978
1051.014,0.1722631
1052.943,0.1637231
1054.871,0.1565991
1056.8,0.1507213
1058.728,0.14608
1060.657,0.1423738
1062.585,0.1393233
1064.514,0.1366367
1066.442,0.1343542
1068.37,0.1320788
1070.299,0.1297089
1072.227,0.1274441
1074.156,0.1256155
1076.084,0.1241808
1078.013,0.1234819
1079.941,0.1237687
1081.87,0.1250411
1083.798,0.1279233
1085.727,0.1328285
1087.655,0.1396259
1089.584,0.1477874
1091.512,0.1559292
1093.441,0.1627031
1095.369,0.1668932
1097.297,0.1681026
1099.226,0.1665714
1101.154,0.1634758
1103.083,0.1600992
1105.011,0.1571586
1106.94,0.1541484
1108.868,0.1510897
1110.797,0.1479406
1112.725,0.1446445
1114.654,0.1415334
1116.582,0.1389234
1118.511,0.136743
1120.439,0.1352468
1122.368,0.1345596
1124.296,0.1348038
1126.224,0.1357934
1128.153,0.137365
1130.081,0.1396203
1132.01,0.1425791
1133.938,0.1456726
1135.867,0.148992
1137.795,0.1523327
1139.724,0.1554526
1141.652,0.1582318
1143.581,0.1604716
1145.509,0.1618484
1147.438,0.1624804
1149.366,0.1624156
1151.295,0.1615707
1153.223,0.1598207
1155.151,0.1570565
1157.08,0.153093
1159.008,0.1482688
1160.937,0.1427681
1162.865,0.1365762
1164.794,0.1300277
1166.722,0.1235205
1168.651,0.117223
1170.579,0.1110759
1172.508,0.1050997
1174.436,0.09937675
1176.365,0.09385218
1178.293,0.08851977
1180.222,0.08331326
1182.15,0.07832745
1184.078,0.07330403
1186.007,0.06831908
1187.935,0.06362913
1189.864,0.05902996
1191.792,0.05456671
1193.721,0.05037388
1195.649,0.04634193
1197.578,0.04274309
1199.506,0.03954398
1201.435,0.03651994
1203.363,0.0336145
1205.292,0.03113541
1207.22,0.02888771
1209.149,0.0265468
1211.077,0.02438134
1213.005,0.02245893
1214.934,0.02059382
1216.862,0.01889549
1218.791,0.01739043
1220.719,0.01602462
1222.648,0.01485816
1224.576,0.01392529
1226.505,0.01312431
1228.433,0.01240298
1230.362,0.01168669
1232.29,0.01098812
1234.219,0.01032727
1236.147,0.009844379
1238.076,0.009376431
1240.004,0.008963297
1241.932,0.008555646
1243.861,0.008098369
1245.789,0.00763405
1247.718,0.007186149
1249.646,0.006797873
1251.575,0.006431912
1253.503,0.006091719
1255.432,0.005773374
1257.36,0.005426451
1259.289,0.005225104
1261.217,0.004981371
1263.146,0.004786664
1265.074,0.004748081
1267.003,0.004593451
1268.931,0.004460456
1270.859,0.004272623
1272.788,0.004093322
1274.716,0.004047476
1276.645,0.00396207
1278.573,0.003861466
1280.502,0.003818656
1282.43,0.003753593
1284.359,0.003586216
1286.287,0.003373952
1288.216,0.00330454
1290.144,0.003201516
1292.073,0.003128491
1294.001,0.003217483
1295.93,0.003099937
1297.858,0.002937275
1299.786,0.002902151
1301.715,0.002980798
1303.643,0.002954637
1305.572,0.002815997
1307.5,0.002766558
1309.429,0.002798178
1311.357,0.002850846
1313.286,0.002822496
1315.214,0.002799352
1317.143,0.002813186
1319.071,0.002774825
1321.0,0.00273648
1322.928,0.002692731
1324.857,0.002582169
1326.785,0.002648889
1328.714,0.002716606
1330.642,0.002657871
1332.57,0.002636831
1334.499,0.002596268
1336.427,0.002647476
1338.356,0.002789931
1340.284,0.002858607
1342.213,0.002882964
1344.141,0.002891932
1346.07,0.002933103
1347.998,0.002971645
1349.927,0.003080693
1351.855,0.003174022
1353.784,0.003170704
1355.712,0.003301725
1357.641,0.003466892
1359.569,0.003561542
1361.497,0.003718012
1363.426,0.003842485
1365.354,0.003824879
1367.283,0.003859284
1369.211,0.003938433
1371.14,0.004061748
1373.068,0.00413045
1374.997,0.004168277
1376.925,0.004255862
1378.854,0.004475858
1380.782,0.004698513
1382.711,0.004907815
1384.639,0.005242362
1386.568,0.005667177
1388.496,0.005940572
1390.424,0.006156452
1392.353,0.006379374
1394.281,0.006833019
1396.21,0.007405797
1398.138,0.007807573
1400.067,0.008246048
1401.995,0.00863342
1403.924,0.009029607
1405.852,0.009468208
1407.781,0.01000954
1409.709,0.0105908
1411.638,0.01106402
1413.566,0.0116194
1415.495,0.01225955
1417.423,0.01288002
1419.351,0.01336003
1421.28,0.01374379
1423.208,0.01430422
1425.137,0.01477125
1427.065,0.01497088
1428.994,0.01526597
1430.922,0.01576014
1432.851,0.01617116
1434.779,0.01653457
1436.708,0.01688753
1438.636,0.01706093
1440.565,0.01730665
1442.493,0.01757438
1444.422,0.01771666
1446.35,0.01790106
1448.278,0.01821271
1450.207,0.01843119
1452.135,0.01842417
1454.064,0.01841359
1455.992,0.01875475
1457.921,0.01878707
1459.849,0.01834366
1461.778,0.0180422
1463.706,0.0180536
1465.635,0.01789364
1467.563,0.01749496
1469.492,0.0172368
1471.42,0.01709552
1473.349,0.01676366
1475.277,0.01636779
1477.205,0.01594816
1479.134,0.01559286
1481.062,0.01523158
1482.991,0.01481235
1484.919,0.01435224
1486.848,0.01391349
1488.776,0.01344965
1490.705,0.01290228
1492.633,0.01236141
1494.562,0.0121027
1496.49,0.01181689
1498.419,0.01117249
1500.347,0.01046726
1502.276,0.009960883
1504.204,0.009673985
1506.132,0.009579106
1508.061,0.008959525
1509.989,0.008240758
1511.918,0.007775509
1513.846,0.007181796
1515.775,0.006681104
1517.703,0.006342214
1519.632,0.006184497
1521.56,0.00589367
1523.489,0.005390137
1525.417,0.005032919
1527.346,0.004748016
1529.274,0.004475513
1531.203,0.004158773
1533.131,0.003983376
1535.059,0.003768177
1536.988,0.003716921
1538.916,0.003884126
1540.845,0.003578432
1542.773,0.00317245
1544.702,0.003018613
1546.63,0.002831511
1548.559,0.002827494
1550.487,0.002833116
1552.416,0.002717008
1554.344,0.002699739
1556.273,0.002884193
1558.201,0.003173657
1560.13,0.003017153
1562.058,0.002499436
1563.986,0.002376708
1565.915,0.00242883
1567.843,0.002424615
1569.772,0.002512933
1571.7,0.002451933
1573.629,0.002474752
1575.557,0.00266332
1577.486,0.002554345
1579.414,0.002416649
1581.343,0.002517973
1583.271,0.002540621
1585.2,0.00247075
1587.128,0.002500769
1589.057,0.00261561
1590.985,0.002670845
1592.913,0.002706448
1594.842,0.002678843
1596.77,0.002609051
1598.699,0.002712958
1600.627,0.002780969
1602.556,0.002673584
1604.484,0.0027537
1606.413,0.002794517
1608.341,0.002638766
1610.27,0.002816643
1612.198,0.002919668
1614.127,0.002977667
1616.055,0.003209135
1617.984,0.002998329
1619.912,0.002737449
1621.84,0.002798645
1623.769,0.002766374
1625.697,0.002594741
1627.626,0.002713104
1629.554,0.002792688
1631.483,0.002674002
1633.411,0.002780331
1635.34,0.002951064
1637.268,0.002646015
1639.197,0.002386038
1641.125,0.002317255
1643.054,0.002439478
1644.982,0.002701181
1646.911,0.002665678
1648.839,0.00252202
1650.767,0.00260846
1652.696,0.002971632
1654.624,0.002602218
1656.553,0.002184682
1658.481,0.002168707
1660.41,0.002243575
