x,y
399.1926,0.2625709
401.1211,0.2705351
403.0495,0.2685816
404.978,0.2752648
406.9065,0.2772761
408.8349,0.2749213
410.7634,0.2810998
412.6919,0.2782041
414.6203,0.2701363
416.5488,0.2666791
418.4773,0.2680409
420.4057,0.2702087
422.3342,0.2672878
424.2627,0.2652423
426.1911,0.2648578
428.1196,0.2660342
430.0481,0.2689421
431.9765,0.2699593
433.905,0.2722297
435.8335,0.2737298
437.7619,0.2729335
439.6904,0.2740159
441.6189,0.2764042
443.5473,0.2793859
445.4758,0.2827486
447.4043,0.2847206
449.3327,0.2860111
451.2612,0.2907238
453.1897,0.2953803
455.1181,0.2985092
457.0466,0.3013948
458.9751,0.304488
460.9035,0.3081761
462.832,0.3096548
464.7605,0.308761
466.6889,0.3074756
468.6174,0.3071044
470.5459,0.3072646
472.4743,0.3030114
474.4028,0.2966275
476.3313,0.2901224
478.2597,0.284649
480.1882,0.2795744
482.1167,0.2732647
484.0451,0.2666499
485.9736,0.2608967
487.9021,0.2550203
489.8305,0.2491867
491.759,0.2440131
493.6875,0.2401701
495.6159,0.2369284
497.5444,0.2352658
499.4729,0.2343837
501.4013,0.2338977
503.3298,0.2340807
505.2583,0.2347365
507.1867,0.2359287
509.1152,0.2361023
511.0437,0.2380309
512.9721,0.2403605
514.9006,0.2417916
516.829,0.2439673
518.7575,0.246171
520.686,0.2472479
522.6144,0.2487821
524.5429,0.2502926
526.4714,0.2509039
528.3998,0.2507384
530.3283,0.2496656
532.2568,0.2462572
534.1852,0.2406363
536.1137,0.235018
538.0422,0.2288096
539.9706,0.2211226
541.8991,0.2142396
543.8276,0.2067207
545.756,0.1984725
547.6845,0.1904824
549.613,0.1835714
551.5414,0.1768679
553.4699,0.1708936
555.3984,0.1645312
557.3268,0.1574825
559.2553,0.1512856
561.1838,0.1456654
563.1122,0.1403099
565.0407,0.1355219
566.9692,0.1314133
568.8976,0.1277685
570.8261,0.1250164
572.7546,0.1226538
574.683,0.1210725
576.6115,0.1192802
578.54,0.1174855
580.4684,0.1159135
582.3969,0.1141318
584.3254,0.1114915
586.2538,0.1090854
588.1823,0.1066689
590.1108,0.1035569
592.0392,0.1007325
593.9677,0.09824982
595.8962,0.09590583
597.8246,0.09377641
599.7531,0.09192673
601.6816,0.09061355
603.61,0.0897392
605.5385,0.08890615
607.467,0.0879281
609.3954,0.08671088
611.3239,0.08588782
613.2524,0.08503757
615.1808,0.08421946
617.1093,0.08356483
619.0378,0.08291779
620.9662,0.08200941
622.8947,0.08115206
624.8232,0.08046154
626.7516,0.08005799
628.6801,0.07980265
630.6086,0.0796735
632.537,0.07934147
634.4655,0.07892781
636.394,0.07892041
638.3224,0.07909101
640.2509,0.07878368
642.1794,0.07839029
644.1078,0.07866868
646.0363,0.078863
647.9648,0.07873165
649.8932,0.07838048
651.8217,0.0781276
653.7502,0.07786901
655.6786,0.07779464
657.6071,0.07770699
659.5356,0.0777493
661.4641,0.07834136
663.3925,0.07912768
665.321,0.08003868
667.2495,0.08104069
669.1779,0.08205803
671.1064,0.08331688
673.0349,0.08472298
674.9633,0.08579686
676.8918,0.08657698
678.8203,0.08732516
680.7487,0.08815482
682.6772,0.08879479
684.6057,0.08938337
686.5341,0.08996902
688.4626,0.09025539
690.3911,0.09022885
692.3195,0.09026483
694.248,0.08985867
696.1765,0.08958659
698.1049,0.08924523
700.0334,0.08865519
701.9619,0.08787351
703.8903,0.08751502
705.8188,0.08721019
707.7473,0.08705326
709.6757,0.08704974
711.6042,0.08719683
713.5327,0.08758193
715.4611,0.08834583
717.3896,0.08919137
719.3181,0.09016533
721.2465,0.09108873
723.175,0.09210438
725.1035,0.09321851
727.0319,0.09391752
728.9604,0.09479492
730.8889,0.0958258
732.8173,0.09692361
734.7458,0.09798041
736.6743,0.09929913
738.6027,0.1009393
740.5312,0.1023237
742.4597,0.103475
744.3881,0.1046874
746.3166,0.1057335
748.2451,0.1061291
750.1735,0.1062409
752.102,0.1056088
754.0305,0.1042797
755.9589,0.1027541
757.8874,0.1004489
759.8159,0.09763101
761.7443,0.09460042
763.6728,0.0914195
765.6013,0.08834685
767.5297,0.08571354
769.4582,0.08320906
771.3867,0.08091448
773.3151,0.07900508
775.2436,0.0777959
777.1721,0.07717121
779.1005,0.07691117
781.029,0.07685775
782.9575,0.07731719
784.8859,0.07804938
786.8144,0.0789343
788.7429,0.08006492
790.6713,0.08179622
