x,y
399.1926,0.01889242
401.1211,0.01848213
403.0495,0.01707822
404.978,0.01651146
406.9065,0.01651898
408.8349,0.01611846
410.7634,0.01664188
412.6919,0.01641783
414.6203,0.01411937
416.5488,0.01305711
418.4773,0.01406494
420.4057,0.01432822
422.3342,0.01296017
424.2627,0.01276811
426.1911,0.01303547
428.1196,0.01305258
430.0481,0.01249999
431.9765,0.01210663
433.905,0.01211364
435.8335,0.01214389
437.7619,0.01126526
439.6904,0.01091286
441.6189,0.0106704
443.5473,0.01094256
445.4758,0.0109811
447.4043,0.0105484
449.3327,0.01075053
451.2612,0.01098581
453.1897,0.01075531
455.1181,0.01056483
457.0466,0.0105992
458.9751,0.01048442
460.9035,0.01028362
462.832,0.01034867
464.7605,0.009785004
466.6889,0.00986057
468.6174,0.01000928
470.5459,0.009509855
472.4743,0.008686049
474.4028,0.008191204
476.3313,0.00810501
478.2597,0.008082112
480.1882,0.007896941
482.1167,0.007868722
484.0451,0.008103806
485.9736,0.008109585
487.9021,0.007883145
489.8305,0.00791678
491.759,0.007925271
493.6875,0.00759606
495.6159,0.007354343
497.5444,0.007239066
499.4729,0.007291187
501.4013,0.007230048
503.3298,0.007017019
505.2583,0.007188768
507.1867,0.007190994
509.1152,0.007002255
511.0437,0.007121799
512.9721,0.007231773
514.9006,0.00699103
516.829,0.006953054
518.7575,0.007047391
520.686,0.006845037
522.6144,0.006645716
524.5429,0.00670446
526.4714,0.006800693
528.3998,0.007033244
530.3283,0.007297209
532.2568,0.007309418
534.1852,0.007222282
536.1137,0.00720229
538.0422,0.007178096
539.9706,0.007104015
541.8991,0.007015573
543.8276,0.006681349
545.756,0.006550362
547.6845,0.007108627
549.613,0.007544459
551.5414,0.007875495
553.4699,0.007867617
555.3984,0.00760667
557.3268,0.007325812
559.2553,0.007320966
561.1838,0.007684734
563.1122,0.007935095
565.0407,0.007824263
566.9692,0.008026103
568.8976,0.008051261
570.8261,0.007984427
572.7546,0.00793627
574.683,0.00813359
576.6115,0.008334898
578.54,0.00827139
580.4684,0.008258535
582.3969,0.008285811
584.3254,0.008292483
586.2538,0.008428273
588.1823,0.008571635
590.1108,0.008401823
592.0392,0.008418152
593.9677,0.008487488
595.8962,0.008435355
597.8246,0.008708857
599.7531,0.008932496
601.6816,0.009002155
603.61,0.009122998
605.5385,0.009194861
607.467,0.009226583
609.3954,0.009408585
611.3239,0.009659273
613.2524,0.00964187
615.1808,0.009494103
617.1093,0.00957029
619.0378,0.009614398
620.9662,0.00968572
622.8947,0.009762443
624.8232,0.009876238
626.7516,0.009748709
628.6801,0.009557972
630.6086,0.009596943
632.537,0.009829403
634.4655,0.009838128
636.394,0.00987769
638.3224,0.009984395
640.2509,0.00992544
642.1794,0.009803047
644.1078,0.01013702
646.0363,0.01043813
647.9648,0.01063555
649.8932,0.0109053
651.8217,0.0111173
653.7502,0.01106338
655.6786,0.01113168
657.6071,0.01110407
659.5356,0.01123995
661.4641,0.01152318
663.3925,0.011807
665.321,0.01201827
667.2495,0.01248626
669.1779,0.01282682
671.1064,0.01329016
673.0349,0.01402719
674.9633,0.01510857
676.8918,0.01673044
678.8203,0.02072747
680.7487,0.03271345
682.6772,0.05378569
684.6057,0.05814389
686.5341,0.04135018
688.4626,0.03232484
690.3911,0.03229443
692.3195,0.03071544
694.248,0.02541894
696.1765,0.02150542
698.1049,0.02281195
700.0334,0.02509529
701.9619,0.02207663
703.8903,0.01892095
705.8188,0.01964982
707.7473,0.02506723
709.6757,0.03435325
711.6042,0.03965733
713.5327,0.03761353
715.4611,0.03281389
717.3896,0.03035754
719.3181,0.02777699
721.2465,0.02077524
723.175,0.01497964
725.1035,0.01233614
727.0319,0.01113872
728.9604,0.0103613
730.8889,0.009917553
732.8173,0.009720411
734.7458,0.009755756
736.6743,0.009550338
738.6027,0.009474925
740.5312,0.009520289
742.4597,0.009550758
744.3881,0.009384593
746.3166,0.009353923
748.2451,0.009340813
750.1735,0.009538732
752.102,0.009523944
754.0305,0.009578204
755.9589,0.009792347
757.8874,0.009842788
759.8159,0.009841997
761.7443,0.009768463
763.6728,0.00964978
765.6013,0.009774032
767.5297,0.009987405
769.4582,0.01017363
771.3867,0.01016769
773.3151,0.0102032
775.2436,0.01025997
777.1721,0.01038892
779.1005,0.01047148
781.029,0.010504
782.9575,0.01047083
784.8859,0.01055383
786.8144,0.01064723
788.7429,0.01076504
790.6713,0.01090979
792.5998,0.01096533
794.5283,0.01097834
796.4567,0.01108056
798.3852,0.01102578
800.3137,0.01116018
802.2421,0.011417
804.1706,0.01154003
806.0991,0.0115335
808.0275,0.01169855
809.956,0.01191051
811.8845,0.01203586
813.8129,0.01198631
815.7414,0.01217044
817.6699,0.0125741
819.5983,0.01286585
821.5268,0.01289539
823.4553,0.01311697
825.3837,0.01333895
827.3122,0.01373682
829.2407,0.01411699
831.1691,0.01447745
833.0976,0.01506778
835.0261,0.01588524
836.9545,0.01669808
838.883,0.01799873
840.8115,0.02036126
842.7399,0.0245932
844.6684,0.02754988
846.5969,0.0267156
848.5253,0.02648487
850.4538,0.02984173
852.3823,0.03512443
854.3107,0.04132621
856.2392,0.04873303
858.1677,0.05992058
860.0961,0.07630695
862.0246,0.09884788
863.9531,0.1312168
865.8815,0.1798262
867.81,0.2383967
869.7385,0.2637191
871.6669,0.2330358
873.5954,0.1890037
875.5239,0.1482332
877.4523,0.1152496
879.3808,0.08438696
881.3093,0.04954853
883.2377,0.02738301
885.1662,0.01888947
887.0947,0.01572495
889.0231,0.01399017
890.9516,0.0130473
892.8801,0.01238284
894.8085,0.0119049
896.737,0.01163503
898.6655,0.01153753
900.5939,0.01145885
902.5224,0.01136405
904.4509,0.01118715
906.3793,0.01118434
908.3078,0.0113776
910.2363,0.01153014
912.1647,0.01147046
914.0932,0.01132639
916.0217,0.01135382
917.9501,0.01152083
919.8786,0.01152925
921.8071,0.01163819
923.7355,0.0117255
925.664,0.01184902
927.5925,0.0120387
929.5209,0.01216566
931.4494,0.01226693
