x,y
395.3357,0.08613103
397.2641,0.0875588
399.1926,0.08839901
401.1211,0.08755124
403.0495,0.08355901
404.978,0.08218401
406.9065,0.08235624
408.8349,0.08217835
410.7634,0.08343387
412.6919,0.08288315
414.6203,0.08032408
416.5488,0.08050774
418.4773,0.08305836
420.4057,0.08353205
422.3342,0.08321176
424.2627,0.08277795
426.1911,0.0836251
428.1196,0.08437148
430.0481,0.08381761
431.9765,0.08283555
433.905,0.08291864
435.8335,0.08251517
437.7619,0.080979
439.6904,0.0797536
441.6189,0.07882695
443.5473,0.07842267
445.4758,0.07898808
447.4043,0.07951307
449.3327,0.07942971
451.2612,0.07905444
453.1897,0.07840261
455.1181,0.07838611
457.0466,0.07955443
458.9751,0.08041669
460.9035,0.08043263
462.832,0.08072459
464.7605,0.08091279
466.6889,0.08143827
468.6174,0.08186118
470.5459,0.08203991
472.4743,0.08206327
474.4028,0.08254318
476.3313,0.08331969
478.2597,0.08399734
480.1882,0.08450454
482.1167,0.08576228
484.0451,0.08743247
485.9736,0.08883139
487.9021,0.09004741
489.8305,0.09202442
491.759,0.09417605
493.6875,0.0961351
495.6159,0.09818281
497.5444,0.09997719
499.4729,0.1010855
501.4013,0.1018158
503.3298,0.1022978
505.2583,0.1025353
507.1867,0.1025948
509.1152,0.1020561
511.0437,0.1021531
512.9721,0.1028728
514.9006,0.1036727
516.829,0.104614
518.7575,0.1058645
520.686,0.1069259
522.6144,0.1074435
524.5429,0.1087371
526.4714,0.1103916
528.3998,0.1118591
530.3283,0.1137575
532.2568,0.1155469
534.1852,0.1175156
536.1137,0.1199394
538.0422,0.1223342
539.9706,0.1252544
541.8991,0.1287131
543.8276,0.1325418
545.756,0.136831
547.6845,0.1417733
549.613,0.1467671
551.5414,0.1519279
553.4699,0.1570483
555.3984,0.1612731
557.3268,0.1649475
559.2553,0.1675121
561.1838,0.1688828
563.1122,0.1698212
565.0407,0.1711353
566.9692,0.1725883
568.8976,0.1736368
570.8261,0.1747019
572.7546,0.1756508
574.683,0.1760896
576.6115,0.1751397
578.54,0.1736054
580.4684,0.1717692
582.3969,0.1688993
584.3254,0.1656092
586.2538,0.1629474
588.1823,0.1606449
590.1108,0.1586328
592.0392,0.156596
593.9677,0.1544114
595.8962,0.1520439
597.8246,0.149377
599.7531,0.1463261
601.6816,0.1431962
603.61,0.1402223
605.5385,0.1377324
607.467,0.1359883
609.3954,0.1350583
611.3239,0.1353417
613.2524,0.1368715
615.1808,0.1399936
617.1093,0.1443334
619.0378,0.1490175
620.9662,0.1540694
622.8947,0.1596821
624.8232,0.1654415
626.7516,0.1705593
628.6801,0.1746608
630.6086,0.1773445
632.537,0.1780146
634.4655,0.1765554
636.394,0.1731395
638.3224,0.1680031
640.2509,0.1607502
642.1794,0.1523585
644.1078,0.1439284
646.0363,0.1352401
647.9648,0.126828
649.8932,0.1188319
651.8217,0.111327
653.7502,0.1044052
655.6786,0.09832481
657.6071,0.09282777
659.5356,0.08792294
661.4641,0.08398228
663.3925,0.08066612
665.321,0.0777327
667.2495,0.07517628
669.1779,0.07252803
671.1064,0.07022127
673.0349,0.06856496
674.9633,0.06706741
676.8918,0.06572157
678.8203,0.06450959
680.7487,0.06339785
682.6772,0.06240327
684.6057,0.06151554
686.5341,0.06083636
688.4626,0.06022254
690.3911,0.05941598
692.3195,0.05892285
694.248,0.05849319
696.1765,0.0582424
698.1049,0.05798666
700.0334,0.05766014
701.9619,0.057197
703.8903,0.05684333
705.8188,0.05653029
707.7473,0.05646915
709.6757,0.05646535
711.6042,0.05630092
713.5327,0.056036
715.4611,0.05583689
717.3896,0.05554824
719.3181,0.055336
721.2465,0.05510493
723.175,0.0550325
725.1035,0.05511863
727.0319,0.05475321
728.9604,0.05434249
730.8889,0.0539637
732.8173,0.05369893
734.7458,0.05364688
736.6743,0.0535566
738.6027,0.05341999
740.5312,0.0531598
742.4597,0.053062
744.3881,0.05269061
746.3166,0.05224423
748.2451,0.0520431
750.1735,0.05207949
752.102,0.05182444
754.0305,0.05144862
755.9589,0.05132824
757.8874,0.05104237
759.8159,0.05071665
761.7443,0.05039563
763.6728,0.04996898
765.6013,0.04953931
767.5297,0.04923249
769.4582,0.04887888
771.3867,0.04839387
773.3151,0.04781629
775.2436,0.04744568
777.1721,0.04701313
779.1005,0.04643925
781.029,0.0459187
782.9575,0.04556299
784.8859,0.04509804
786.8144,0.04461813
788.7429,0.04412013
790.6713,0.043684
792.5998,0.04314163
794.5283,0.04240421
796.4567,0.04186855
798.3852,0.04139088
800.3137,0.0408795
802.2421,0.04049489
804.1706,0.0401783
806.0991,0.03980995
808.0275,0.0395522
809.956,0.03936945
811.8845,0.03902917
813.8129,0.03853672
815.7414,0.03829398
817.6699,0.03826015
819.5983,0.03821203
821.5268,0.03815992
823.4553,0.03823671
825.3837,0.03815659
827.3122,0.03815987
829.2407,0.03831668
831.1691,0.03833823
833.0976,0.03828203
835.0261,0.03846527
836.9545,0.03858099
838.883,0.03867818
840.8115,0.03877363
842.7399,0.03894034
844.6684,0.03918678
846.5969,0.03942937
848.5253,0.03955444
850.4538,0.03969467
852.3823,0.04004722
854.3107,0.04048165
856.2392,0.0408063
858.1677,0.04142664
860.0961,0.04184447
862.0246,0.04222002
863.9531,0.04261482
865.8815,0.04319115
867.81,0.04410696
869.7385,0.04495653
871.6669,0.04585955
873.5954,0.0470819
875.5239,0.04847216
877.4523,0.04980277
879.3808,0.05124012
881.3093,0.05312762
883.2377,0.05537103
885.1662,0.05790119
887.0947,0.06084024
889.0231,0.06410565
890.9516,0.06793415
892.8801,0.07233652
894.8085,0.0771866
896.737,0.08295473
898.6655,0.08973293
900.5939,0.09729729
902.5224,0.1058173
904.4509,0.1155778
906.3793,0.1269075
908.3078,0.1399375
910.2363,0.1549558
912.1647,0.1720023
914.0932,0.1912278
916.0217,0.2125438
917.9501,0.2347508
919.8786,0.2566824
921.8071,0.2767664
923.7355,0.292727
925.664,0.3028424
927.5925,0.306676
929.5209,0.3048371
931.4494,0.2995639
933.3779,0.2932627
935.3063,0.2879182
937.2348,0.2849358
939.1633,0.2853693
941.0917,0.2883868
943.0202,0.2918404
944.9487,0.2935941
946.8771,0.291952
948.8056,0.2858076
950.7341,0.2748549
952.6625,0.259439
954.591,0.2396828
956.5195,0.2156137
958.4479,0.1884064
960.3764,0.1600352
962.3049,0.1335232
964.2333,0.1111368
966.1618,0.09403645
968.0903,0.08192317
970.0187,0.07385384
971.9472,0.06912445
973.8757,0.0671316
975.8041,0.06734344
977.7326,0.06990183
979.6611,0.07488462
981.5895,0.08260559
983.518,0.09389827
985.4465,0.1093901
987.3749,0.1298948
989.3034,0.1556982
991.2319,0.1851641
993.1603,0.2148602
995.0888,0.2400516
997.0173,0.2584046
998.9457,0.2712281
1000.874,0.2811103
1002.803,0.28893
1004.731,0.2936391
1006.66,0.2930837
