x,y
395.3357,0.04029715
397.2641,0.04322907
399.1926,0.04691545
401.1211,0.04681869
403.0495,0.04900263
404.978,0.05256696
406.9065,0.05612059
408.8349,0.05957954
410.7634,0.06319086
412.6919,0.06441756
414.6203,0.06347786
416.5488,0.06480371
418.4773,0.06518628
420.4057,0.06405746
422.3342,0.06317046
424.2627,0.06195226
426.1911,0.06253466
428.1196,0.06557529
430.0481,0.06754199
431.9765,0.06991585
433.905,0.07311371
435.8335,0.07550221
437.7619,0.07743908
439.6904,0.07993105
441.6189,0.08178117
443.5473,0.08273873
445.4758,0.08191917
447.4043,0.08080205
449.3327,0.07945172
451.2612,0.07817128
453.1897,0.07691948
455.1181,0.07606402
457.0466,0.07633163
458.9751,0.07734631
460.9035,0.07814723
462.832,0.07908451
464.7605,0.07921867
466.6889,0.07944601
468.6174,0.07915374
470.5459,0.07727861
472.4743,0.0753732
474.4028,0.07348729
476.3313,0.07173037
478.2597,0.06931494
480.1882,0.06638557
482.1167,0.0641333
484.0451,0.06180144
485.9736,0.05902832
487.9021,0.05585919
489.8305,0.0530298
491.759,0.05050969
493.6875,0.0482441
495.6159,0.04581771
497.5444,0.04281013
499.4729,0.03922771
501.4013,0.036205
503.3298,0.03385742
505.2583,0.03233672
507.1867,0.03194195
509.1152,0.03185159
511.0437,0.03276612
512.9721,0.03371624
514.9006,0.03345677
516.829,0.03292773
518.7575,0.03243365
520.686,0.03275463
522.6144,0.03401772
524.5429,0.03581831
526.4714,0.03727753
528.3998,0.03820613
530.3283,0.03852049
532.2568,0.03780629
534.1852,0.0365582
536.1137,0.03544784
538.0422,0.03394722
539.9706,0.03200254
541.8991,0.03006544
543.8276,0.02820512
545.756,0.02648281
547.6845,0.0252025
549.613,0.02398942
551.5414,0.02291045
553.4699,0.0219937
555.3984,0.02088399
557.3268,0.01978224
559.2553,0.01902328
561.1838,0.0183388
563.1122,0.01783864
565.0407,0.01760674
566.9692,0.01738562
568.8976,0.01713384
570.8261,0.01690825
572.7546,0.0167698
574.683,0.01704047
576.6115,0.0169467
578.54,0.0167999
580.4684,0.01680033
582.3969,0.01682971
584.3254,0.01684949
586.2538,0.01684185
588.1823,0.01707577
590.1108,0.01717664
592.0392,0.0171956
593.9677,0.01740037
595.8962,0.01754109
597.8246,0.01793079
599.7531,0.01844414
601.6816,0.01876828
603.61,0.01899184
605.5385,0.01926244
607.467,0.01976134
609.3954,0.01997998
611.3239,0.02041005
613.2524,0.02091789
615.1808,0.02152969
617.1093,0.02215761
619.0378,0.0227654
620.9662,0.02325604
622.8947,0.02370875
624.8232,0.02458839
626.7516,0.0256056
628.6801,0.0265372
630.6086,0.02778389
632.537,0.02933949
634.4655,0.03090123
636.394,0.03258241
638.3224,0.03448391
640.2509,0.03632352
642.1794,0.03843997
644.1078,0.04095411
646.0363,0.04341346
647.9648,0.04583102
649.8932,0.04775807
651.8217,0.04882864
653.7502,0.0485222
655.6786,0.04719959
657.6071,0.04474888
659.5356,0.04138662
661.4641,0.03810715
663.3925,0.0353937
665.321,0.03351971
667.2495,0.03234776
669.1779,0.03160957
671.1064,0.03168573
673.0349,0.0326475
674.9633,0.03382801
676.8918,0.03509977
678.8203,0.03658412
680.7487,0.03781971
682.6772,0.03860063
684.6057,0.03864168
686.5341,0.03726274
688.4626,0.03467778
690.3911,0.03128863
692.3195,0.02772515
694.248,0.02484014
696.1765,0.02327112
698.1049,0.02280457
700.0334,0.02297862
701.9619,0.02343321
703.8903,0.02417877
705.8188,0.02462857
707.7473,0.02436003
709.6757,0.0234852
711.6042,0.02212499
713.5327,0.02061879
715.4611,0.01950495
717.3896,0.01870834
719.3181,0.01819083
721.2465,0.0180113
723.175,0.01796276
725.1035,0.01815566
727.0319,0.01842763
728.9604,0.0187383
730.8889,0.0189095
732.8173,0.01921698
734.7458,0.01970897
736.6743,0.0201095
738.6027,0.02067259
740.5312,0.0211535
742.4597,0.02151361
744.3881,0.0219286
746.3166,0.0222951
748.2451,0.02256658
750.1735,0.02318385
752.102,0.02369686
754.0305,0.02410274
755.9589,0.0248476
757.8874,0.02523011
759.8159,0.0255367
761.7443,0.02593158
763.6728,0.02645491
765.6013,0.02713936
767.5297,0.02775593
769.4582,0.0281798
771.3867,0.0286599
773.3151,0.02914814
775.2436,0.02972049
777.1721,0.03033529
779.1005,0.03080543
781.029,0.03127929
782.9575,0.03179102
784.8859,0.03236552
786.8144,0.03288779
788.7429,0.03340429
790.6713,0.0340137
792.5998,0.03453225
794.5283,0.03499083
796.4567,0.03551322
798.3852,0.03598806
