x,y
395.3357,0.09307596
397.2641,0.09186525
399.1926,0.0936289
401.1211,0.0920825
403.0495,0.08812825
404.978,0.08436687
406.9065,0.08317425
408.8349,0.0817237
410.7634,0.08057524
412.6919,0.07723228
414.6203,0.07103868
416.5488,0.06678917
418.4773,0.06619272
420.4057,0.06668168
422.3342,0.06620125
424.2627,0.0659667
426.1911,0.06762274
428.1196,0.06978826
430.0481,0.07083597
431.9765,0.07283182
433.905,0.07552767
435.8335,0.07868266
437.7619,0.08143667
439.6904,0.08379025
441.6189,0.08671
443.5473,0.09094808
445.4758,0.094311
447.4043,0.09731393
449.3327,0.09991052
451.2612,0.1018649
453.1897,0.1038985
455.1181,0.1064314
457.0466,0.1084549
458.9751,0.1096644
460.9035,0.1106996
462.832,0.1120812
464.7605,0.1124744
466.6889,0.1135302
468.6174,0.1147398
470.5459,0.1145522
472.4743,0.1138212
474.4028,0.1129545
476.3313,0.1120522
478.2597,0.1102273
480.1882,0.1073536
482.1167,0.1048552
484.0451,0.1023953
485.9736,0.09941044
487.9021,0.09708648
489.8305,0.09564672
491.759,0.09500588
493.6875,0.0952029
495.6159,0.09613881
497.5444,0.09743563
499.4729,0.09842881
501.4013,0.09952603
503.3298,0.1004353
505.2583,0.1008998
507.1867,0.1005959
509.1152,0.09961312
511.0437,0.09852093
512.9721,0.09725282
514.9006,0.09542819
516.829,0.09300613
518.7575,0.08995909
520.686,0.08686568
522.6144,0.08385337
524.5429,0.081125
526.4714,0.07847982
528.3998,0.07592816
530.3283,0.0736941
532.2568,0.07141413
534.1852,0.06869499
536.1137,0.06586588
538.0422,0.0633117
539.9706,0.0610154
541.8991,0.05864376
543.8276,0.05597845
545.756,0.05299155
547.6845,0.05059348
549.613,0.04823011
551.5414,0.04576482
553.4699,0.04329396
555.3984,0.04037226
557.3268,0.0375022
559.2553,0.03497794
561.1838,0.03300073
563.1122,0.03079344
565.0407,0.02845958
566.9692,0.026347
568.8976,0.02445945
570.8261,0.02278743
572.7546,0.02101865
574.683,0.01937057
576.6115,0.01788988
578.54,0.01677082
580.4684,0.01583271
582.3969,0.0149114
584.3254,0.01419714
586.2538,0.01367156
588.1823,0.01332563
590.1108,0.0131164
592.0392,0.01310417
593.9677,0.01337865
595.8962,0.01382434
597.8246,0.01434558
599.7531,0.01494018
601.6816,0.01565914
603.61,0.01637293
605.5385,0.01701922
607.467,0.01770646
609.3954,0.01795419
611.3239,0.0183573
613.2524,0.01901023
615.1808,0.02000799
617.1093,0.02125208
619.0378,0.02300938
620.9662,0.02500608
622.8947,0.02719502
624.8232,0.02976708
626.7516,0.03220045
628.6801,0.0338206
630.6086,0.03445319
632.537,0.03388417
634.4655,0.03220986
636.394,0.02992907
638.3224,0.02716197
640.2509,0.02392125
642.1794,0.02101261
644.1078,0.01899365
646.0363,0.01763619
647.9648,0.0166598
649.8932,0.01609518
651.8217,0.01608391
653.7502,0.01618878
655.6786,0.01649659
657.6071,0.01683666
659.5356,0.01752851
661.4641,0.01884013
663.3925,0.02023406
665.321,0.02168284
667.2495,0.02299743
669.1779,0.02359649
671.1064,0.02334956
673.0349,0.02236931
674.9633,0.0204231
676.8918,0.01798435
678.8203,0.01588365
680.7487,0.01421458
682.6772,0.01304605
684.6057,0.01231381
686.5341,0.01176193
688.4626,0.01131138
690.3911,0.01109168
692.3195,0.01107068
694.248,0.01089578
696.1765,0.01084695
698.1049,0.0108249
700.0334,0.01073308
701.9619,0.0104133
703.8903,0.01036049
705.8188,0.01047891
707.7473,0.01055146
709.6757,0.01066887
711.6042,0.01077657
713.5327,0.01082887
715.4611,0.01107883
717.3896,0.01120172
719.3181,0.01130288
721.2465,0.01152942
723.175,0.01179408
725.1035,0.01223043
727.0319,0.01245209
728.9604,0.01265192
730.8889,0.01294731
732.8173,0.01333679
734.7458,0.01391898
736.6743,0.0144361
738.6027,0.01510429
740.5312,0.01567024
742.4597,0.01614337
744.3881,0.016671
746.3166,0.01716195
748.2451,0.01771082
750.1735,0.01856543
752.102,0.01921772
754.0305,0.01976015
755.9589,0.02044103
757.8874,0.02095556
759.8159,0.02159766
761.7443,0.02214598
763.6728,0.02258941
765.6013,0.02331119
767.5297,0.02431546
769.4582,0.02522603
771.3867,0.02598168
773.3151,0.02668301
775.2436,0.02754395
777.1721,0.02841066
779.1005,0.02908724
781.029,0.02957716
782.9575,0.03021283
784.8859,0.03097245
786.8144,0.03148599
788.7429,0.0320614
790.6713,0.03298332
792.5998,0.03382463
794.5283,0.03458545
796.4567,0.03556764
798.3852,0.036496
800.3137,0.03758129
802.2421,0.03905819
804.1706,0.04067712
806.0991,0.04240998
808.0275,0.04430907
809.956,0.04632559
811.8845,0.04853189
813.8129,0.05074499
815.7414,0.05313186
817.6699,0.05545967
819.5983,0.05768465
821.5268,0.06007464
823.4553,0.06236357
825.3837,0.06441553
827.3122,0.06672651
829.2407,0.06930675
831.1691,0.07182685
833.0976,0.07443612
835.0261,0.07768059
836.9545,0.08079658
838.883,0.08371737
840.8115,0.08650216
842.7399,0.08955747
844.6684,0.09285535
846.5969,0.09630594
848.5253,0.09943395
850.4538,0.1020578
852.3823,0.1044004
854.3107,0.1062019
856.2392,0.1074566
858.1677,0.1087135
860.0961,0.1096194
862.0246,0.1100007
863.9531,0.110063
865.8815,0.1099933
867.81,0.1098981
869.7385,0.1095766
871.6669,0.108796
873.5954,0.1078551
875.5239,0.1067356
877.4523,0.1051852
879.3808,0.1034191
881.3093,0.1016596
883.2377,0.09998829
885.1662,0.09835494
887.0947,0.09673113
889.0231,0.09516191
890.9516,0.09365636
892.8801,0.09232637
894.8085,0.09109969
896.737,0.08997586
898.6655,0.08918763
900.5939,0.08854266
902.5224,0.08783253
904.4509,0.0872081
906.3793,0.08700137
908.3078,0.08692418
910.2363,0.08662935
912.1647,0.08611946
914.0932,0.08548775
916.0217,0.08468034
917.9501,0.08331032
919.8786,0.08121742
921.8071,0.07866943
923.7355,0.07568598
925.664,0.07210964
927.5925,0.0684058
929.5209,0.0649275
931.4494,0.0619195
933.3779,0.05988242
935.3063,0.05893854
937.2348,0.05901669
939.1633,0.05996983
941.0917,0.06146727
943.0202,0.06332617
944.9487,0.06575828
946.8771,0.06884173
948.8056,0.07243287
950.7341,0.07624971
952.6625,0.07985527
954.591,0.08312633
956.5195,0.08608596
958.4479,0.08863764
960.3764,0.09044721
962.3049,0.09125927
964.2333,0.09108454
966.1618,0.08993941
968.0903,0.08786384
970.0187,0.08522367
971.9472,0.0821415
973.8757,0.07875585
975.8041,0.07502886
977.7326,0.07150777
979.6611,0.06808746
981.5895,0.06457973
983.518,0.06127944
985.4465,0.05816056
987.3749,0.05515613
989.3034,0.05239105
991.2319,0.04963416
993.1603,0.04712427
995.0888,0.04477829
997.0173,0.04258069
998.9457,0.04060899
1000.874,0.03892917
1002.803,0.03766048
1004.731,0.03680754
1006.66,0.03623511
1008.588,0.03612838
1010.517,0.03628616
1012.445,0.03675919
1014.373,0.03756551
1016.302,0.03854331
1018.23,0.03967169
1020.159,0.04102331
1022.087,0.0424546
1024.016,0.04375165
1025.944,0.04499014
1027.873,0.0462984
1029.801,0.04787641
1031.73,0.04975234
1033.658,0.05162267
1035.587,0.05373219
1037.515,0.0561495
1039.443,0.05882248
1041.372,0.06153546
1043.3,0.06435183
1045.229,0.06753042
1047.157,0.07092295
1049.086,0.07438041
1051.014,0.07779896
1052.943,0.08117354
1054.871,0.08443867
1056.8,0.08731864
1058.728,0.08995099
1060.657,0.0921653
1062.585,0.09404627
1064.514,0.0953728
1066.442,0.09576412
1068.37,0.09514502
1070.299,0.09360473
1072.227,0.09123629
1074.156,0.08845607
1076.084,0.08538108
1078.013,0.08208575
1079.941,0.07861196
1081.87,0.07492447
1083.798,0.07113285
1085.727,0.0673719
1087.655,0.06389138
1089.584,0.06066459
1091.512,0.05718003
1093.441,0.05364903
1095.369,0.05029356
1097.297,0.04714617
1099.226,0.04406849
1101.154,0.04092591
1103.083,0.03783087
1105.011,0.03492999
1106.94,0.03210495
1108.868,0.02940066
1110.797,0.02671633
1112.725,0.02424239
1114.654,0.02201968
1116.582,0.02003216
1118.511,0.01816467
1120.439,0.01643105
1122.368,0.01462918
1124.296,0.01296423
1126.224,0.01145724
1128.153,0.01000625
1130.081,0.008803797
1132.01,0.007712744
1133.938,0.006544869
1135.867,0.005756521
1137.795,0.00519608
1139.724,0.004648197
1141.652,0.004149674
1143.581,0.003643579
1145.509,0.00327033
1147.438,0.002978611
1149.366,0.00263653
1151.295,0.002394897
1153.223,0.002236145
1155.151,0.0020799
1157.08,0.001896422
1159.008,0.001775244
1160.937,0.001754569
1162.865,0.001601224
1164.794,0.0012698
1166.722,0.001013093
1168.651,0.001008283
1170.579,0.0009593053
1172.508,0.0009029314
1174.436,0.0008311344
1176.365,0.0006862723
1178.293,0.0005758385
1180.222,0.0005533686
1182.15,0.0005275303
1184.078,0.0003657877
1186.007,0.0002802282
1187.935,0.0002997035
1189.864,0.0002448455
1191.792,0.0001484672
1193.721,0.0001277751
1195.649,5.289936e-05
1197.578,-4.482692e-05
1199.506,-0.0001122113
1201.435,-0.0002425917
1203.363,-0.000401489
1205.292,-0.0004123456
1207.22,-0.0002639074
1209.149,-0.0002085897
1211.077,-0.0003577853
1213.005,-0.0004329676
1214.934,-0.0003825295
1216.862,-0.000462015
1218.791,-0.0004805348
1220.719,-0.0004943823
1222.648,-0.0005399621
1224.576,-0.0005210687
1226.505,-0.0004805537
1228.433,-0.0004462085
1230.362,-0.0005162662
1232.29,-0.0006353842
1234.219,-0.0006117051
1236.147,-0.0004651578
1238.076,-0.000404554
1240.004,-0.0003135776
1241.932,-0.0003438747
1243.861,-0.0004195579
1245.789,-0.0003886091
1247.718,-0.0003261162
1249.646,-0.0003209864
1251.575,-0.0002668874
1253.503,-0.000282065
1255.432,-0.000416297
1257.36,-0.0005286412
1259.289,-0.0005005986
1261.217,-0.0004548839
1263.146,-0.000342906
1265.074,-0.0001698854
1267.003,-0.0001365567
1268.931,-0.0001467958
1270.859,-0.0001510497
1272.788,-8.178144e-05
1274.716,-1.740366e-05
1276.645,-4.376456e-05
1278.573,-4.013362e-05
1280.502,0.0001236801
1282.43,0.0003371867
1284.359,0.000269758
1286.287,0.0001106078
1288.216,0.0002256784
1290.144,0.0002764972
1292.073,0.0001982076
1294.001,0.0003114596
1295.93,0.000303132
1297.858,0.0002207439
1299.786,0.0002434522
1301.715,0.0003375585
1303.643,0.0004313102
1305.572,0.0004454717
1307.5,0.0004300236
1309.429,0.0005424867
1311.357,0.0006801009
1313.286,0.000697635
1315.214,0.000622641
1317.143,0.0006671796
1319.071,0.0007242728
1321.0,0.0007480131
1322.928,0.0007038379
1324.857,0.0005956796
1326.785,0.0005444676
1328.714,0.0004504239
1330.642,0.0003134591
1332.57,0.0003638115
1334.499,0.0003790934
1336.427,0.0004111722
1338.356,0.0004202196
1340.284,0.0003850802
1342.213,0.0002887038
1344.141,0.0002301074
1346.07,0.0003941868
1347.998,0.000499729
1349.927,0.0005370473
1351.855,0.0005828973
1353.784,0.0005310499
1355.712,0.0005053971
1357.641,0.0005052012
1359.569,0.0006041077
1361.497,0.0007339764
1363.426,0.0007837175
1365.354,0.0006761037
1367.283,0.0006265696
1369.211,0.0006782152
1371.14,0.0007625725
1373.068,0.0008125577
1374.997,0.0007994996
1376.925,0.0008778178
1378.854,0.001007426
1380.782,0.0009612087
1382.711,0.00101958
1384.639,0.001264552
1386.568,0.00148714
1388.496,0.001506401
1390.424,0.001467838
1392.353,0.001552926
1394.281,0.001748188
1396.21,0.001862881
1398.138,0.001891463
1400.067,0.001845207
1401.995,0.001902397
1403.924,0.002088082
1405.852,0.002249552
1407.781,0.002350999
1409.709,0.002355385
1411.638,0.002420153
1413.566,0.002595479
1415.495,0.002900516
1417.423,0.003259866
1419.351,0.003417492
1421.28,0.003220725
1423.208,0.003180914
1425.137,0.003324723
1427.065,0.003350558
1428.994,0.00338036
1430.922,0.00336127
1432.851,0.003434344
1434.779,0.003740568
1436.708,0.003980388
1438.636,0.003812141
1440.565,0.003739361
1442.493,0.003736913
1444.422,0.00366868
1446.35,0.003706982
1448.278,0.003752954
1450.207,0.003740883
1452.135,0.003738113
1454.064,0.003811317
1455.992,0.004299707
1457.921,0.004277335
1459.849,0.003780543
1461.778,0.003527409
1463.706,0.003618626
1465.635,0.003706523
1467.563,0.003532274
1469.492,0.003522866
1471.42,0.003803935
