x,y
395.3357,0.07950097
397.2641,0.07856029
399.1926,0.07994998
401.1211,0.08342525
403.0495,0.08576703
404.978,0.0851965
406.9065,0.08270854
408.8349,0.08092635
410.7634,0.08256242
412.6919,0.08491064
414.6203,0.08363502
416.5488,0.08069177
418.4773,0.07837918
420.4057,0.07629315
422.3342,0.07394232
424.2627,0.07163657
426.1911,0.07026969
428.1196,0.06988567
430.0481,0.06838871
431.9765,0.06711093
433.905,0.06616981
435.8335,0.06514725
437.7619,0.0645364
439.6904,0.06475276
441.6189,0.06524783
443.5473,0.06631128
445.4758,0.06786721
447.4043,0.06961342
449.3327,0.07097816
451.2612,0.07184307
453.1897,0.07330804
455.1181,0.07523888
457.0466,0.07661633
458.9751,0.07788722
460.9035,0.07916225
462.832,0.08092262
464.7605,0.0820948
466.6889,0.08335498
468.6174,0.08418677
470.5459,0.0849229
472.4743,0.08579793
474.4028,0.08563875
476.3313,0.08554086
478.2597,0.08587628
480.1882,0.08595236
482.1167,0.08569729
484.0451,0.08534883
485.9736,0.0844508
487.9021,0.08345811
489.8305,0.08270955
491.759,0.08203351
493.6875,0.0807292
495.6159,0.07858847
497.5444,0.07660515
499.4729,0.07508488
501.4013,0.07372142
503.3298,0.07231407
505.2583,0.0711334
507.1867,0.06987109
509.1152,0.06835657
511.0437,0.06728273
512.9721,0.06648475
514.9006,0.06523655
516.829,0.06420744
518.7575,0.06361543
520.686,0.06254607
522.6144,0.06213415
524.5429,0.06319859
526.4714,0.0638966
528.3998,0.06457694
530.3283,0.06559265
532.2568,0.06596832
534.1852,0.06556563
536.1137,0.0652757
538.0422,0.06498426
539.9706,0.06409096
541.8991,0.06286757
543.8276,0.06152172
545.756,0.0601799
547.6845,0.05900834
549.613,0.05769031
551.5414,0.05606237
553.4699,0.05461149
555.3984,0.05282276
557.3268,0.0511091
559.2553,0.04970155
561.1838,0.04846252
563.1122,0.04714385
565.0407,0.04562202
566.9692,0.04431809
568.8976,0.04336109
570.8261,0.04254812
572.7546,0.04189182
574.683,0.04216648
576.6115,0.04246281
578.54,0.04303738
580.4684,0.04416985
582.3969,0.04558774
584.3254,0.04754979
586.2538,0.04956379
588.1823,0.05111196
590.1108,0.05209918
592.0392,0.05247018
593.9677,0.05220766
595.8962,0.05152319
597.8246,0.05059952
599.7531,0.04898884
601.6816,0.04717492
603.61,0.04578277
605.5385,0.04480679
607.467,0.04390378
609.3954,0.04275576
611.3239,0.04180824
613.2524,0.04098504
615.1808,0.04040901
617.1093,0.04004337
619.0378,0.03975902
620.9662,0.03952242
622.8947,0.03940419
624.8232,0.0394669
626.7516,0.03969648
628.6801,0.03984654
630.6086,0.0400723
632.537,0.04039456
634.4655,0.04050828
636.394,0.04052209
638.3224,0.04029516
640.2509,0.03952689
642.1794,0.03838831
644.1078,0.03753242
646.0363,0.03669007
647.9648,0.03562373
649.8932,0.03455703
651.8217,0.03362785
653.7502,0.03257672
655.6786,0.03162007
657.6071,0.03061239
659.5356,0.02932497
661.4641,0.02832715
663.3925,0.02741257
665.321,0.02627388
667.2495,0.02492832
669.1779,0.02294763
671.1064,0.02084533
673.0349,0.01910979
674.9633,0.01750128
676.8918,0.01591166
678.8203,0.01439756
680.7487,0.0129937
682.6772,0.01193878
684.6057,0.01107726
686.5341,0.01019837
688.4626,0.009410985
690.3911,0.008781027
692.3195,0.008350438
694.248,0.007883264
696.1765,0.007510992
698.1049,0.007193496
700.0334,0.006932634
701.9619,0.00651808
703.8903,0.006192775
705.8188,0.006005527
707.7473,0.005856141
709.6757,0.005791883
711.6042,0.005732635
713.5327,0.005703672
715.4611,0.005784431
717.3896,0.005648721
719.3181,0.005308156
721.2465,0.005100625
723.175,0.005104558
725.1035,0.00525548
727.0319,0.005121625
728.9604,0.004977561
730.8889,0.00489356
732.8173,0.004742148
734.7458,0.004729894
736.6743,0.004700361
738.6027,0.004870881
740.5312,0.00499518
742.4597,0.00489733
744.3881,0.004762748
746.3166,0.004737375
748.2451,0.00475674
750.1735,0.005002795
752.102,0.005075079
754.0305,0.005009618
755.9589,0.005128599
757.8874,0.005089753
759.8159,0.005167623
761.7443,0.005378406
763.6728,0.005601303
765.6013,0.005811339
767.5297,0.006132933
769.4582,0.006501911
771.3867,0.006913324
773.3151,0.007164421
775.2436,0.007513682
777.1721,0.00815102
779.1005,0.008792196
781.029,0.009448785
782.9575,0.01016506
784.8859,0.01111437
786.8144,0.01214429
788.7429,0.01317612
790.6713,0.01438359
792.5998,0.01566458
794.5283,0.01700595
796.4567,0.01868706
798.3852,0.02015014
800.3137,0.02160429
802.2421,0.02317288
804.1706,0.02468972
806.0991,0.02614593
808.0275,0.02752899
809.956,0.02881519
811.8845,0.02983307
813.8129,0.03039571
815.7414,0.03090269
817.6699,0.03114413
819.5983,0.03101594
821.5268,0.0304617
823.4553,0.02966592
825.3837,0.02851565
827.3122,0.02710622
829.2407,0.02542122
831.1691,0.02336674
833.0976,0.0211542
835.0261,0.01895473
836.9545,0.01659096
838.883,0.01443502
840.8115,0.01246779
842.7399,0.01073539
844.6684,0.00933278
846.5969,0.008186843
848.5253,0.007044744
850.4538,0.006288558
852.3823,0.00600344
854.3107,0.005688044
856.2392,0.005325143
858.1677,0.005252891
860.0961,0.005079738
862.0246,0.004857606
863.9531,0.004575056
865.8815,0.004461899
867.81,0.004435393
869.7385,0.004480795
871.6669,0.004470013
873.5954,0.004524285
875.5239,0.004673826
877.4523,0.004623225
879.3808,0.004598971
881.3093,0.004754599
883.2377,0.004829352
885.1662,0.004870266
887.0947,0.005044995
889.0231,0.005181217
890.9516,0.005227711
892.8801,0.005272328
894.8085,0.00533578
896.737,0.005507472
898.6655,0.005665346
900.5939,0.005823298
902.5224,0.005965379
904.4509,0.006014941
906.3793,0.006205727
908.3078,0.006473122
910.2363,0.006697376
912.1647,0.006854523
914.0932,0.006888709
916.0217,0.007073175
917.9501,0.00734034
919.8786,0.007475952
921.8071,0.007692695
923.7355,0.007906604
925.664,0.00814457
927.5925,0.008538648
929.5209,0.00883344
931.4494,0.009031988
933.3779,0.009250282
935.3063,0.009631198
937.2348,0.01007514
939.1633,0.01049815
941.0917,0.0109129
943.0202,0.01131185
944.9487,0.01177525
946.8771,0.01229785
948.8056,0.01283329
950.7341,0.01346639
952.6625,0.01418561
954.591,0.01482714
956.5195,0.01551048
958.4479,0.01632619
960.3764,0.01710455
962.3049,0.01789035
964.2333,0.0188235
966.1618,0.01978478
968.0903,0.02070723
970.0187,0.02184671
971.9472,0.0230859
973.8757,0.02441558
975.8041,0.02575532
977.7326,0.02732928
979.6611,0.02911667
981.5895,0.03105203
983.518,0.03312504
985.4465,0.03516347
987.3749,0.03736152
989.3034,0.03996518
991.2319,0.04261156
993.1603,0.04544342
995.0888,0.04846496
997.0173,0.0515146
998.9457,0.05464982
1000.874,0.05773344
1002.803,0.06044322
1004.731,0.06309006
1006.66,0.06572461
1008.588,0.06831965
1010.517,0.07062865
1012.445,0.07254546
1014.373,0.07412282
1016.302,0.07522921
1018.23,0.07570891
1020.159,0.07567499
1022.087,0.07484972
1024.016,0.07317326
1025.944,0.07075236
1027.873,0.06788786
1029.801,0.06479881
1031.73,0.06191749
1033.658,0.05952804
1035.587,0.05812003
1037.515,0.05754777
1039.443,0.05780391
1041.372,0.05881192
1043.3,0.06040658
1045.229,0.06280468
1047.157,0.06568383
1049.086,0.06893533
1051.014,0.07263375
1052.943,0.07682995
1054.871,0.08117219
1056.8,0.08530054
1058.728,0.08918867
1060.657,0.09279624
1062.585,0.09607966
1064.514,0.0987815
1066.442,0.1011659
1068.37,0.1030966
1070.299,0.1045845
1072.227,0.1057359
1074.156,0.1066246
1076.084,0.1070966
1078.013,0.1071025
1079.941,0.1068066
1081.87,0.1062095
1083.798,0.1053846
1085.727,0.104473
1087.655,0.1035014
1089.584,0.1024146
1091.512,0.101349
1093.441,0.1002306
1095.369,0.09897013
1097.297,0.09769402
1099.226,0.09621327
1101.154,0.09465398
1103.083,0.09297928
1105.011,0.09134393
1106.94,0.08961082
1108.868,0.08765703
1110.797,0.08556135
1112.725,0.08355934
1114.654,0.08158297
1116.582,0.07964808
1118.511,0.07781417
1120.439,0.07604867
1122.368,0.07409525
1124.296,0.07209247
1126.224,0.07011245
1128.153,0.06805553
1130.081,0.06597998
1132.01,0.06386644
1133.938,0.06159701
1135.867,0.05934366
1137.795,0.05708035
1139.724,0.05480697
1141.652,0.05252779
1143.581,0.0503504
1145.509,0.04820525
1147.438,0.0462262
1149.366,0.04448291
1151.295,0.04280963
1153.223,0.04111622
1155.151,0.03948001
1157.08,0.03789568
1159.008,0.03646759
1160.937,0.0349734
1162.865,0.03343098
1164.794,0.03193087
1166.722,0.03055662
1168.651,0.02929094
1170.579,0.0281224
1172.508,0.02714514
1174.436,0.0261871
1176.365,0.02536656
1178.293,0.02464771
1180.222,0.02399122
1182.15,0.02355229
1184.078,0.02317062
1186.007,0.02298702
1187.935,0.02292021
1189.864,0.02276107
1191.792,0.02241671
1193.721,0.02193318
1195.649,0.02120923
1197.578,0.02022258
1199.506,0.01896004
1201.435,0.01746526
1203.363,0.01584463
1205.292,0.01427722
1207.22,0.01266509
1209.149,0.01104251
1211.077,0.009492626
1213.005,0.008063077
1214.934,0.006834134
1216.862,0.005732779
1218.791,0.004836162
1220.719,0.004080739
1222.648,0.00334324
1224.576,0.002741943
1226.505,0.002299879
1228.433,0.001955594
1230.362,0.001627204
1232.29,0.001298272
1234.219,0.0009868569
1236.147,0.0008850583
1238.076,0.0008392895
1240.004,0.0008309405
1241.932,0.0007152965
1243.861,0.0005210587
1245.789,0.0004726308
1247.718,0.0003886046
1249.646,0.0001412936
1251.575,2.083835e-05
1253.503,-4.527189e-05
1255.432,-0.0002165327
1257.36,-0.0002913427
1259.289,-0.0002843539
1261.217,-0.0003384797
1263.146,-0.0003255159
1265.074,-0.0002081033
1267.003,-0.0003174951
1268.931,-0.0004834878
1270.859,-0.0004659491
1272.788,-0.0004286296
1274.716,-0.0003926691
1276.645,-0.0003754476
1278.573,-0.0004758546
1280.502,-0.0004032587
1282.43,-0.0002065012
1284.359,-0.0003348156
1286.287,-0.0005498781
1288.216,-0.0005578905
1290.144,-0.0005883809
1292.073,-0.000689858
1294.001,-0.000708806
1295.93,-0.0008196993
1297.858,-0.0008646909
1299.786,-0.0008083726
1301.715,-0.000770096
1303.643,-0.0008106352
1305.572,-0.0008363907
1307.5,-0.0008858732
1309.429,-0.0008222218
1311.357,-0.0007035186
1313.286,-0.0007183027
1315.214,-0.0008777707
1317.143,-0.0008448242
1319.071,-0.0007507203
1321.0,-0.0007698857
1322.928,-0.0009039054
1324.857,-0.001005948
1326.785,-0.001032093
1328.714,-0.001137875
1330.642,-0.001236423
1332.57,-0.001156854
1334.499,-0.001138158
1336.427,-0.001087976
1338.356,-0.001134973
1340.284,-0.001226629
1342.213,-0.001274913
1344.141,-0.001295291
1346.07,-0.001349358
1347.998,-0.001377325
1349.927,-0.001301482
1351.855,-0.00128539
1353.784,-0.001366135
1355.712,-0.001389696
1357.641,-0.001371085
1359.569,-0.00128122
1361.497,-0.001188333
1363.426,-0.001187186
1365.354,-0.001253526
1367.283,-0.001391496
1369.211,-0.001472712
1371.14,-0.001418784
1373.068,-0.001348893
1374.997,-0.001438243
1376.925,-0.001551716
1378.854,-0.001520591
1380.782,-0.001452815
1382.711,-0.001445984
1384.639,-0.001365306
1386.568,-0.001170313
1388.496,-0.00112254
1390.424,-0.001310265
1392.353,-0.001428816
1394.281,-0.001262373
1396.21,-0.001246674
1398.138,-0.001310071
1400.067,-0.00140834
1401.995,-0.001464134
1403.924,-0.001450285
1405.852,-0.001412456
1407.781,-0.001430917
1409.709,-0.001474445
1411.638,-0.001561709
1413.566,-0.001545486
1415.495,-0.001318839
1417.423,-0.001012021
1419.351,-0.0008988309
1421.28,-0.001278657
1423.208,-0.00139111
1425.137,-0.001311537
1427.065,-0.001453245
1428.994,-0.0014827
1430.922,-0.001341945
1432.851,-0.00127217
1434.779,-0.001109239
1436.708,-0.0009407352
1438.636,-0.001206
1440.565,-0.001382947
1442.493,-0.001305009
1444.422,-0.001277289
1446.35,-0.001349147
1448.278,-0.00134898
1450.207,-0.001403087
1452.135,-0.001479068
1454.064,-0.001381287
1455.992,-0.0007942829
1457.921,-0.0007309741
1459.849,-0.001223867
1461.778,-0.001483755
1463.706,-0.001358354
1465.635,-0.001293071
1467.563,-0.001303745
1469.492,-0.001226054
1471.42,-0.001012017
1473.349,-0.0009934076
1475.277,-0.001144267
1477.205,-0.001252802
1479.134,-0.001382814
1481.062,-0.001307288
1482.991,-0.001186921
1484.919,-0.001220186
1486.848,-0.001131873
1488.776,-0.0009567792
1490.705,-0.001181094
1492.633,-0.001443458
1494.562,-0.001236132
1496.49,-0.0009645807
1498.419,-0.001066298
1500.347,-0.00126739
1502.276,-0.001359468
1504.204,-0.001031028
1506.132,-0.0005172543
1508.061,-0.0008390188
1509.989,-0.001180017
1511.918,-0.001108753
1513.846,-0.00116118
1515.775,-0.001255089
1517.703,-0.001218127
1519.632,-0.001002919
1521.56,-0.0008780808
1523.489,-0.001040982
1525.417,-0.001076702
1527.346,-0.001141152
1529.274,-0.00129694
1531.203,-0.001380789
1533.131,-0.001221548
1535.059,-0.001266333
1536.988,-0.001207727
1538.916,-0.0007011843
1540.845,-0.000659463
1542.773,-0.0009718193
1544.702,-0.00116208
1546.63,-0.001316208
1548.559,-0.001252754
1550.487,-0.001109272
1552.416,-0.001121317
1554.344,-0.001062897
1556.273,-0.0006935729
1558.201,-0.0001525037
1560.13,-0.0002945326
1562.058,-0.0009685308
1563.986,-0.001175162
1565.915,-0.001147744
1567.843,-0.001108533
1569.772,-0.001074048
1571.7,-0.00114689
1573.629,-0.001062813
1575.557,-0.0006834464
1577.486,-0.0006528824
1579.414,-0.0009843141
1581.343,-0.001012441
1583.271,-0.001018162
1585.2,-0.001111418
1587.128,-0.001204675
1589.057,-0.00123351
1590.985,-0.0009645175
1592.913,-0.0007850758
1594.842,-0.0008397363
1596.77,-0.0009842356
1598.699,-0.001069713
1600.627,-0.0009491806
1602.556,-0.0008279704
1604.484,-0.0007683037
1606.413,-0.0007002971
1608.341,-0.0008090175
1610.27,-0.0008149745
1612.198,-0.0007939452
1614.127,-0.0005970266
