x,y
395.3357,0.04821558
397.2641,0.05008915
399.1926,0.05158951
401.1211,0.04944637
403.0495,0.04443116
404.978,0.04428017
406.9065,0.04751793
408.8349,0.04782073
410.7634,0.04773257
412.6919,0.04775622
414.6203,0.04660767
416.5488,0.04590439
418.4773,0.04641095
420.4057,0.04765752
422.3342,0.04911399
424.2627,0.04996286
426.1911,0.05091691
428.1196,0.05281753
430.0481,0.05513183
431.9765,0.05877425
433.905,0.06371165
435.8335,0.06869674
437.7619,0.07414711
439.6904,0.08073134
441.6189,0.08707809
443.5473,0.09378333
445.4758,0.09964168
447.4043,0.1032065
449.3327,0.1045503
451.2612,0.1034106
453.1897,0.100556
455.1181,0.09671082
457.0466,0.09366138
458.9751,0.09065393
460.9035,0.0880309
462.832,0.08642137
464.7605,0.08522857
466.6889,0.08554396
468.6174,0.08726025
470.5459,0.08963536
472.4743,0.09225509
474.4028,0.09498388
476.3313,0.0976444
478.2597,0.09994878
480.1882,0.1012328
482.1167,0.1008962
484.0451,0.09886339
485.9736,0.09557603
487.9021,0.09162793
489.8305,0.08651914
491.759,0.08061446
493.6875,0.0742193
495.6159,0.06821258
497.5444,0.06282561
499.4729,0.05759091
501.4013,0.05333712
503.3298,0.04977764
505.2583,0.04680846
507.1867,0.04490912
509.1152,0.04357067
511.0437,0.04299594
512.9721,0.04303783
514.9006,0.04307861
516.829,0.04386408
518.7575,0.045073
520.686,0.04591574
522.6144,0.04685804
524.5429,0.04845362
526.4714,0.04896241
528.3998,0.04835633
530.3283,0.04719501
532.2568,0.0450308
534.1852,0.04265182
536.1137,0.04110388
538.0422,0.03989083
539.9706,0.03851181
541.8991,0.03765127
543.8276,0.03707767
545.756,0.03610009
547.6845,0.03473581
549.613,0.03282419
551.5414,0.03094746
553.4699,0.02895353
555.3984,0.02699454
557.3268,0.02530165
559.2553,0.02395247
561.1838,0.02314085
563.1122,0.02217471
565.0407,0.02102463
566.9692,0.02014816
568.8976,0.0193033
570.8261,0.0185879
572.7546,0.01802706
574.683,0.01764431
576.6115,0.017475
578.54,0.01741438
580.4684,0.01731161
582.3969,0.01721125
584.3254,0.01698371
586.2538,0.01664594
588.1823,0.01645441
590.1108,0.01621237
592.0392,0.01618978
593.9677,0.01613043
595.8962,0.0159662
597.8246,0.01616485
599.7531,0.01626145
601.6816,0.01637021
603.61,0.0165454
605.5385,0.01653367
607.467,0.01664585
609.3954,0.0167911
611.3239,0.01683766
613.2524,0.01653537
615.1808,0.0163463
617.1093,0.01646648
619.0378,0.01644512
620.9662,0.01632764
622.8947,0.01619451
624.8232,0.01644102
626.7516,0.0167843
628.6801,0.01687198
630.6086,0.01716424
632.537,0.01774669
634.4655,0.0184709
636.394,0.01938369
638.3224,0.02021667
640.2509,0.02080023
642.1794,0.02170563
644.1078,0.02312719
646.0363,0.02444121
647.9648,0.02564925
649.8932,0.02685358
651.8217,0.02796598
653.7502,0.02868275
655.6786,0.02912018
657.6071,0.02904623
659.5356,0.02847112
661.4641,0.02814483
663.3925,0.02779967
665.321,0.02729381
667.2495,0.02691245
669.1779,0.02650093
671.1064,0.02634419
673.0349,0.02639391
674.9633,0.026321
676.8918,0.02629998
678.8203,0.02654404
680.7487,0.02673293
682.6772,0.02680654
684.6057,0.02695875
686.5341,0.02724924
688.4626,0.02764683
690.3911,0.02793355
692.3195,0.02828752
694.248,0.02862266
696.1765,0.02890661
698.1049,0.02893825
700.0334,0.02868853
701.9619,0.02820451
703.8903,0.02761785
