x,y
395.3357,0.06946507
397.2641,0.07239041
399.1926,0.07201676
401.1211,0.0716455
403.0495,0.07246288
404.978,0.07362479
406.9065,0.07382254
408.8349,0.07442717
410.7634,0.07697902
412.6919,0.07859617
414.6203,0.07730409
416.5488,0.07624612
418.4773,0.07543839
420.4057,0.07406066
422.3342,0.07278851
424.2627,0.0711941
426.1911,0.0700476
428.1196,0.06996574
430.0481,0.07029705
431.9765,0.07136852
433.905,0.07293573
435.8335,0.07410742
437.7619,0.0756324
439.6904,0.0772774
441.6189,0.07964138
443.5473,0.08151673
445.4758,0.08206395
447.4043,0.08147792
449.3327,0.07996109
451.2612,0.07706509
453.1897,0.07245207
455.1181,0.06858695
457.0466,0.0651667
458.9751,0.06103219
460.9035,0.05710601
462.832,0.05375399
464.7605,0.04987964
466.6889,0.04694578
468.6174,0.04421908
470.5459,0.04101092
472.4743,0.03796829
474.4028,0.03574232
476.3313,0.0337486
478.2597,0.03171985
480.1882,0.02988884
482.1167,0.02837367
484.0451,0.02681957
485.9736,0.02517511
487.9021,0.02330194
489.8305,0.02187668
491.759,0.02049138
493.6875,0.01889973
495.6159,0.01786545
497.5444,0.01728594
499.4729,0.01645926
501.4013,0.01612433
503.3298,0.01644315
505.2583,0.01690884
507.1867,0.0175648
509.1152,0.01857426
511.0437,0.0200404
512.9721,0.02180406
514.9006,0.02420381
516.829,0.02751451
518.7575,0.03036778
520.686,0.03206889
522.6144,0.03254557
524.5429,0.03202961
526.4714,0.03035657
528.3998,0.02783748
530.3283,0.02518135
532.2568,0.02241086
534.1852,0.01971068
536.1137,0.01790875
538.0422,0.01608862
539.9706,0.01448073
541.8991,0.0132858
543.8276,0.01228166
545.756,0.0116605
547.6845,0.01182711
549.613,0.01216658
551.5414,0.01214045
553.4699,0.01193694
555.3984,0.01217787
557.3268,0.01264363
559.2553,0.01288105
561.1838,0.01343659
563.1122,0.01448224
565.0407,0.01563801
566.9692,0.01669571
568.8976,0.01761198
570.8261,0.01895516
572.7546,0.02070327
574.683,0.02277473
576.6115,0.02489842
578.54,0.02715858
580.4684,0.02973067
582.3969,0.03218567
584.3254,0.03451071
586.2538,0.03638779
588.1823,0.03802717
590.1108,0.03922259
592.0392,0.03979525
593.9677,0.03956047
595.8962,0.03858099
597.8246,0.03734729
599.7531,0.03555559
601.6816,0.03332201
603.61,0.03064272
605.5385,0.02759409
607.467,0.02473155
609.3954,0.02184677
611.3239,0.01879983
613.2524,0.01594742
615.1808,0.01353076
617.1093,0.01162487
619.0378,0.01025822
620.9662,0.009169003
622.8947,0.008224198
624.8232,0.007741855
626.7516,0.007324093
