x,y
395.3357,0.04250257
397.2641,0.04357813
399.1926,0.04760378
401.1211,0.04929223
403.0495,0.04827309
404.978,0.0491538
406.9065,0.05202544
408.8349,0.05131112
410.7634,0.05253165
412.6919,0.05408986
414.6203,0.05245834
416.5488,0.05293611
418.4773,0.05488121
420.4057,0.05536076
422.3342,0.05649594
424.2627,0.05762495
426.1911,0.0586645
428.1196,0.06021282
430.0481,0.06057754
431.9765,0.06172081
433.905,0.06300472
435.8335,0.06377224
437.7619,0.06390948
439.6904,0.06511407
441.6189,0.06589703
443.5473,0.06696452
445.4758,0.06807393
447.4043,0.06808906
449.3327,0.06803378
451.2612,0.06829388
453.1897,0.06900381
455.1181,0.06881917
457.0466,0.06845791
458.9751,0.06815024
460.9035,0.06716391
462.832,0.06606098
464.7605,0.06491923
466.6889,0.06276149
468.6174,0.06024179
470.5459,0.0579555
472.4743,0.05514878
474.4028,0.05209606
476.3313,0.04931479
478.2597,0.04676098
480.1882,0.04509533
482.1167,0.04410298
484.0451,0.04340426
485.9736,0.04291978
487.9021,0.04229991
489.8305,0.04169868
491.759,0.04120445
493.6875,0.04001825
495.6159,0.03862923
497.5444,0.03730218
499.4729,0.03562776
501.4013,0.03422522
503.3298,0.03318875
505.2583,0.03224394
507.1867,0.0312304
509.1152,0.03032997
511.0437,0.03007277
512.9721,0.03013192
514.9006,0.02970889
516.829,0.02937555
518.7575,0.02928949
520.686,0.02891803
522.6144,0.02848408
524.5429,0.02884773
526.4714,0.02916675
528.3998,0.02893716
530.3283,0.02898062
532.2568,0.02870595
534.1852,0.02829859
536.1137,0.0283948
538.0422,0.02867071
539.9706,0.0287646
541.8991,0.02893597
543.8276,0.0292462
545.756,0.02943741
547.6845,0.03020761
549.613,0.03080568
551.5414,0.03121702
553.4699,0.03196581
555.3984,0.03255744
557.3268,0.03279406
559.2553,0.03345896
561.1838,0.03425514
563.1122,0.03514941
565.0407,0.0358691
566.9692,0.03653773
568.8976,0.03714822
570.8261,0.03774929
572.7546,0.03866102
574.683,0.03965345
576.6115,0.04019843
578.54,0.04051034
580.4684,0.04118369
582.3969,0.04198677
584.3254,0.0425357
586.2538,0.04345791
588.1823,0.04455556
590.1108,0.0453554
592.0392,0.04622659
593.9677,0.04697423
595.8962,0.04777274
597.8246,0.04889123
599.7531,0.04964904
601.6816,0.05027905
603.61,0.05096207
605.5385,0.05176163
607.467,0.05271144
609.3954,0.05328498
611.3239,0.05369999
613.2524,0.0539337
615.1808,0.05404911
617.1093,0.05399432
619.0378,0.0537829
620.9662,0.05334217
622.8947,0.05250455
624.8232,0.05192203
626.7516,0.05153404
628.6801,0.05110627
630.6086,0.05116526
632.537,0.05181537
634.4655,0.05293471
636.394,0.0542068
638.3224,0.05523346
640.2509,0.05585957
642.1794,0.05637916
644.1078,0.05690493
646.0363,0.05725012
647.9648,0.05754071
649.8932,0.0578488
651.8217,0.05791666
653.7502,0.05764543
655.6786,0.05741946
657.6071,0.05723953
659.5356,0.05700916
661.4641,0.05693478
663.3925,0.05663298
665.321,0.05624743
667.2495,0.05584438
669.1779,0.05520076
671.1064,0.05467911
673.0349,0.05428475
674.9633,0.05379164
676.8918,0.05321537
678.8203,0.05267627
680.7487,0.05206606
682.6772,0.0513905
684.6057,0.05079623
686.5341,0.05033318
688.4626,0.04983108
690.3911,0.04915407
692.3195,0.04843353
694.248,0.04771047
696.1765,0.04722491
698.1049,0.04685659
700.0334,0.04635699
701.9619,0.04572354
703.8903,0.04511643
705.8188,0.04478748
707.7473,0.04457277
709.6757,0.04420008
711.6042,0.04361251
713.5327,0.04301858
715.4611,0.04258314
717.3896,0.04218503
719.3181,0.04149296
721.2465,0.0409753
723.175,0.04076636
725.1035,0.04059903
727.0319,0.04010153
728.9604,0.03954414
730.8889,0.03894591
732.8173,0.03848227
734.7458,0.03815649
736.6743,0.03765713
738.6027,0.03726785
740.5312,0.03703934
742.4597,0.03649862
744.3881,0.03582841
746.3166,0.03531676
748.2451,0.03494577
750.1735,0.03482229
752.102,0.03437532
754.0305,0.0338375
755.9589,0.03361364
757.8874,0.03320932
759.8159,0.03267988
761.7443,0.0321799
763.6728,0.03178516
765.6013,0.03136551
767.5297,0.03102176
769.4582,0.03076701
771.3867,0.03046812
773.3151,0.03004013
775.2436,0.02966646
777.1721,0.02928517
779.1005,0.02893322
781.029,0.02847413
782.9575,0.02814081
784.8859,0.02790918
786.8144,0.02762591
788.7429,0.02727342
790.6713,0.02696223
792.5998,0.02667448
794.5283,0.02643449
796.4567,0.02628417
798.3852,0.02594932
800.3137,0.02566147
802.2421,0.02550242
804.1706,0.02527318
806.0991,0.02513742
808.0275,0.0250323
809.956,0.02486326
811.8845,0.02455683
813.8129,0.02429198
815.7414,0.02427074
817.6699,0.02427072
819.5983,0.02397471
821.5268,0.02361899
823.4553,0.02347062
825.3837,0.02328617
827.3122,0.02310613
829.2407,0.02291787
831.1691,0.02252819
833.0976,0.02216062
835.0261,0.02183523
836.9545,0.02135048
838.883,0.02094931
840.8115,0.0205818
842.7399,0.02010231
844.6684,0.01957019
846.5969,0.01902502
848.5253,0.01855369
850.4538,0.01816485
852.3823,0.01783982
854.3107,0.01735117
856.2392,0.01703383
858.1677,0.01676849
860.0961,0.01627685
862.0246,0.01566895
863.9531,0.01507707
865.8815,0.01448183
867.81,0.01413116
869.7385,0.01389757
871.6669,0.01357503
873.5954,0.01319555
875.5239,0.01290463
877.4523,0.01249469
879.3808,0.01198495
881.3093,0.01146494
883.2377,0.01123494
885.1662,0.01110889
887.0947,0.01093739
889.0231,0.01072415
890.9516,0.01062856
892.8801,0.01061772
894.8085,0.01061506
896.737,0.01072102
898.6655,0.01092855
900.5939,0.01105014
902.5224,0.01108536
904.4509,0.01113518
906.3793,0.01132569
908.3078,0.01153802
910.2363,0.01187562
912.1647,0.01211791
914.0932,0.01232456
916.0217,0.01268584
917.9501,0.01305881
919.8786,0.01328306
921.8071,0.01355799
923.7355,0.01394024
925.664,0.01434393
927.5925,0.01483035
929.5209,0.01537934
931.4494,0.0159226
933.3779,0.01649746
935.3063,0.01714151
937.2348,0.01798602
939.1633,0.01890971
941.0917,0.01985074
943.0202,0.02079855
944.9487,0.02187845
946.8771,0.02305536
948.8056,0.02432411
950.7341,0.02584544
952.6625,0.02736226
954.591,0.02879318
956.5195,0.03029932
958.4479,0.03177021
960.3764,0.03318579
962.3049,0.03452541
964.2333,0.03589194
966.1618,0.03735891
968.0903,0.03865591
970.0187,0.03988444
971.9472,0.04106833
973.8757,0.04208912
975.8041,0.0429661
977.7326,0.04370061
979.6611,0.04433525
981.5895,0.04479545
983.518,0.0451856
985.4465,0.04553183
987.3749,0.04582421
989.3034,0.04618143
991.2319,0.04623789
993.1603,0.04612134
995.0888,0.04605431
997.0173,0.04581219
998.9457,0.04536506
1000.874,0.04478909
1002.803,0.04396527
1004.731,0.04289717
1006.66,0.04171876
1008.588,0.04046705
1010.517,0.03905402
1012.445,0.03754647
1014.373,0.03586178
1016.302,0.03387723
1018.23,0.03197611
1020.159,0.03020858
1022.087,0.02849246
1024.016,0.02692541
1025.944,0.0255937
1027.873,0.02429006
1029.801,0.02309482
1031.73,0.02204834
1033.658,0.02100578
1035.587,0.0200659
1037.515,0.01931495
1039.443,0.01881172
1041.372,0.01830795
1043.3,0.01757624
1045.229,0.01701345
1047.157,0.01644504
1049.086,0.01592827
1051.014,0.01531355
1052.943,0.01484382
1054.871,0.01461814
1056.8,0.01440527
1058.728,0.01405636
1060.657,0.0136767
1062.585,0.01332912
1064.514,0.01307728
1066.442,0.01285671
1068.37,0.01260143
1070.299,0.0123276
1072.227,0.01199482
1074.156,0.01172957
1076.084,0.01142415
1078.013,0.01110474
1079.941,0.01078417
1081.87,0.01036713
1083.798,0.01001917
1085.727,0.009680483
1087.655,0.009475384
1089.584,0.00911743
1091.512,0.008718736
1093.441,0.00846961
1095.369,0.008100335
1097.297,0.007663582
1099.226,0.007446547
1101.154,0.00712563
1103.083,0.006730121
1105.011,0.006456569
1106.94,0.006098944
1108.868,0.005851501
1110.797,0.005647122
1112.725,0.005330216
1114.654,0.005125704
1116.582,0.004981019
1118.511,0.004825373
1120.439,0.00460509
1122.368,0.004448898
1124.296,0.004310986
1126.224,0.004090433
1128.153,0.00382475
1130.081,0.003743088
1132.01,0.003637413
