x,y
374.1225,0.1057753
376.051,0.1018185
377.9795,0.09053573
379.9079,0.07730013
381.8364,0.07697581
383.7649,0.08385933
385.6933,0.08730841
387.6218,0.08253852
389.5503,0.08014619
391.4787,0.07752652
393.4072,0.07935376
395.3357,0.08384238
397.2641,0.08698902
399.1926,0.08914258
401.1211,0.0925645
403.0495,0.09186675
404.978,0.09567786
406.9065,0.09907199
408.8349,0.09643332
410.7634,0.09494406
412.6919,0.09506245
414.6203,0.09536392
416.5488,0.09373098
418.4773,0.09033342
420.4057,0.08930431
422.3342,0.08974157
424.2627,0.09040471
426.1911,0.09196796
428.1196,0.09379531
430.0481,0.09638608
431.9765,0.0992332
433.905,0.1010398
435.8335,0.103795
437.7619,0.1070095
439.6904,0.1104793
441.6189,0.1140494
443.5473,0.1178415
445.4758,0.1223399
447.4043,0.1275432
449.3327,0.1319714
451.2612,0.1362856
453.1897,0.1410117
455.1181,0.1467603
457.0466,0.151309
458.9751,0.1545655
460.9035,0.1571054
462.832,0.1577732
464.7605,0.1557203
466.6889,0.1519348
468.6174,0.1459796
470.5459,0.1399717
472.4743,0.1352813
474.4028,0.1326016
476.3313,0.1315459
478.2597,0.1320386
480.1882,0.1329514
482.1167,0.133263
484.0451,0.1339374
485.9736,0.1345551
487.9021,0.1342795
489.8305,0.1340192
491.759,0.132054
493.6875,0.128713
495.6159,0.1241326
497.5444,0.1192575
499.4729,0.1136269
501.4013,0.1093081
503.3298,0.1065127
505.2583,0.104778
507.1867,0.104127
509.1152,0.1036019
511.0437,0.1036367
512.9721,0.1045828
514.9006,0.1061289
516.829,0.1085793
518.7575,0.1120636
520.686,0.1158721
522.6144,0.1203372
524.5429,0.1263888
526.4714,0.1331159
528.3998,0.1409192
530.3283,0.1504953
532.2568,0.1602522
534.1852,0.1693373
536.1137,0.1762915
538.0422,0.1802157
539.9706,0.1815886
541.8991,0.1800712
543.8276,0.1762472
545.756,0.1713533
547.6845,0.1661887
549.613,0.1617114
551.5414,0.1577079
553.4699,0.1538963
555.3984,0.1499199
557.3268,0.1462465
559.2553,0.1433151
561.1838,0.1411926
563.1122,0.1396047
565.0407,0.1384555
566.9692,0.1370689
568.8976,0.1353935
570.8261,0.133641
572.7546,0.1312379
574.683,0.1288606
576.6115,0.127254
578.54,0.1263439
580.4684,0.1250658
582.3969,0.1232191
584.3254,0.1209264
586.2538,0.118864
588.1823,0.1159374
590.1108,0.1123644
592.0392,0.1090396
593.9677,0.1057519
595.8962,0.102609
597.8246,0.09961065
599.7531,0.09744287
601.6816,0.09627662
603.61,0.09572949
605.5385,0.09589207
607.467,0.0964209
609.3954,0.09633783
611.3239,0.09567477
613.2524,0.09429409
615.1808,0.09246152
617.1093,0.09102833
619.0378,0.09024701
620.9662,0.08991117
622.8947,0.09048334
624.8232,0.09106611
626.7516,0.09192942
628.6801,0.0933825
630.6086,0.09501726
632.537,0.0966453
634.4655,0.09846932
636.394,0.1001361
638.3224,0.1018411
640.2509,0.1035994
642.1794,0.1049709
644.1078,0.1064371
646.0363,0.1079509
647.9648,0.1096198
649.8932,0.1113615
651.8217,0.1132829
653.7502,0.1153578
655.6786,0.1175271
657.6071,0.1199839
659.5356,0.122789
661.4641,0.1259516
663.3925,0.1292329
665.321,0.1328929
667.2495,0.1368503
669.1779,0.1408559
671.1064,0.1448379
673.0349,0.1492205
674.9633,0.153605
676.8918,0.157443
678.8203,0.1607057
680.7487,0.1637225
682.6772,0.1658499
684.6057,0.1673985
686.5341,0.1685445
688.4626,0.1694007
690.3911,0.1704604
692.3195,0.1716385
694.248,0.1724221
696.1765,0.1730942
698.1049,0.1735884
700.0334,0.1738497
701.9619,0.1738285
703.8903,0.1741986
705.8188,0.1740982
707.7473,0.1736489
709.6757,0.1729464
711.6042,0.1721474
713.5327,0.1709097
715.4611,0.1692059
717.3896,0.1675838
719.3181,0.1658317
721.2465,0.1638808
723.175,0.1623908
725.1035,0.1616964
727.0319,0.1610229
728.9604,0.1592605
730.8889,0.1545863
732.8173,0.1462089
734.7458,0.1372814
736.6743,0.1304029
738.6027,0.1259246
740.5312,0.1231078
742.4597,0.1212944
744.3881,0.1200058
746.3166,0.1189954
748.2451,0.117801
750.1735,0.1161652
752.102,0.1140137
754.0305,0.1117623
755.9589,0.1095553
757.8874,0.1072812
759.8159,0.1052074
761.7443,0.1035629
763.6728,0.1023198
765.6013,0.1017046
767.5297,0.1018912
769.4582,0.1027069
771.3867,0.1038965
773.3151,0.1055316
775.2436,0.1084096
777.1721,0.1124628
779.1005,0.1172544
781.029,0.1228097
782.9575,0.1291731
784.8859,0.1364589
786.8144,0.1450398
788.7429,0.1550783
790.6713,0.166502
792.5998,0.1790915
794.5283,0.193036
796.4567,0.2079915
798.3852,0.2223444
800.3137,0.2338717
802.2421,0.2393589
804.1706,0.2365033
806.0991,0.2250878
808.0275,0.2074993
809.956,0.1871837
811.8845,0.1663356
813.8129,0.1464897
815.7414,0.1289968
817.6699,0.1144349
819.5983,0.1031718
821.5268,0.09521142
