x,y
374.1225,0.3884409
376.051,0.3793379
377.9795,0.3779387
379.9079,0.3573647
381.8364,0.3666314
383.7649,0.3952776
385.6933,0.4122229
387.6218,0.3906302
389.5503,0.3780054
391.4787,0.3679903
393.4072,0.3780056
395.3357,0.3600889
397.2641,0.3412941
399.1926,0.3283352
401.1211,0.3301798
403.0495,0.323065
404.978,0.3143011
406.9065,0.309292
408.8349,0.3041792
410.7634,0.2993094
412.6919,0.2928849
414.6203,0.2873555
416.5488,0.2795896
418.4773,0.2684541
420.4057,0.2621033
422.3342,0.2583479
424.2627,0.2515795
426.1911,0.2427365
428.1196,0.2373332
430.0481,0.2328323
431.9765,0.2268568
433.905,0.2221631
435.8335,0.2181837
437.7619,0.2133587
439.6904,0.2091551
441.6189,0.2060351
443.5473,0.2043304
445.4758,0.2012726
447.4043,0.1968671
449.3327,0.1917839
451.2612,0.1872535
453.1897,0.183112
455.1181,0.1785735
457.0466,0.1729152
458.9751,0.1682294
460.9035,0.1635722
462.832,0.1590085
464.7605,0.1553662
466.6889,0.1529539
468.6174,0.1507383
470.5459,0.1488812
472.4743,0.1461228
474.4028,0.1429486
476.3313,0.1401529
478.2597,0.1381184
480.1882,0.1368739
482.1167,0.1362632
484.0451,0.1355591
485.9736,0.1346948
487.9021,0.1339926
489.8305,0.1344838
491.759,0.1350602
493.6875,0.1357127
495.6159,0.1358714
497.5444,0.1361364
499.4729,0.1369573
501.4013,0.138874
503.3298,0.1414447
505.2583,0.1431077
507.1867,0.1443518
509.1152,0.1460127
511.0437,0.1482696
512.9721,0.1504481
514.9006,0.1529644
516.829,0.1555262
518.7575,0.1580575
520.686,0.1600975
522.6144,0.162103
524.5429,0.1645097
526.4714,0.1669526
528.3998,0.1692956
530.3283,0.1722519
532.2568,0.1752246
534.1852,0.1785409
536.1137,0.1829983
538.0422,0.1880524
539.9706,0.1931243
541.8991,0.1977108
543.8276,0.2017382
545.756,0.20587
547.6845,0.2101056
549.613,0.2139009
551.5414,0.2171189
553.4699,0.2196101
555.3984,0.2203203
557.3268,0.2204541
559.2553,0.2206358
561.1838,0.2205342
563.1122,0.2203105
565.0407,0.2202801
566.9692,0.2213424
568.8976,0.2226761
570.8261,0.2244225
572.7546,0.2259476
574.683,0.2277396
576.6115,0.2300701
578.54,0.2324488
580.4684,0.2345382
582.3969,0.2362973
584.3254,0.2382426
586.2538,0.2411871
588.1823,0.2436805
590.1108,0.2459518
592.0392,0.2482115
593.9677,0.2502017
595.8962,0.2519086
597.8246,0.2536161
599.7531,0.2556453
601.6816,0.2575964
603.61,0.2589999
605.5385,0.2597476
607.467,0.2601342
609.3954,0.2602305
611.3239,0.2600974
613.2524,0.2593285
615.1808,0.2581875
617.1093,0.2572376
619.0378,0.2557644
620.9662,0.2540247
622.8947,0.2527794
624.8232,0.2511406
626.7516,0.2485946
628.6801,0.2457589
630.6086,0.2430376
632.537,0.240225
634.4655,0.2374126
636.394,0.2342421
638.3224,0.2308254
640.2509,0.2276039
642.1794,0.224193
644.1078,0.220588
646.0363,0.2169666
647.9648,0.2136185
649.8932,0.2106319
651.8217,0.2077843
653.7502,0.2046508
655.6786,0.2015371
657.6071,0.1986906
659.5356,0.1961183
661.4641,0.1936449
663.3925,0.19092
665.321,0.1885055
667.2495,0.1864059
669.1779,0.1840825
671.1064,0.181553
673.0349,0.1797298
674.9633,0.1781761
676.8918,0.1766143
678.8203,0.1751874
680.7487,0.1740704
682.6772,0.1727991
684.6057,0.1715213
686.5341,0.170446
688.4626,0.1690942
690.3911,0.1675752
692.3195,0.1661335
694.248,0.1646969
696.1765,0.1635528
698.1049,0.1623558
700.0334,0.1611692
701.9619,0.1600674
703.8903,0.1592323
705.8188,0.1584801
707.7473,0.1576505
709.6757,0.1567014
711.6042,0.1560512
713.5327,0.1551511
715.4611,0.1540865
717.3896,0.1530855
719.3181,0.1521454
721.2465,0.15123
723.175,0.1506221
725.1035,0.1499055
727.0319,0.1489184
728.9604,0.1480415
730.8889,0.1473939
732.8173,0.1467815
734.7458,0.1461911
736.6743,0.1455382
738.6027,0.144857
740.5312,0.1442571
742.4597,0.1438266
744.3881,0.1433571
746.3166,0.1430313
748.2451,0.1427159
750.1735,0.1422686
752.102,0.1419507
754.0305,0.1417399
755.9589,0.1413112
757.8874,0.1407522
759.8159,0.1402572
761.7443,0.1398216
763.6728,0.1391652
765.6013,0.1385205
767.5297,0.1381082
769.4582,0.1374931
771.3867,0.1365287
773.3151,0.1354059
775.2436,0.1344502
777.1721,0.1336983
779.1005,0.1327354
781.029,0.1318237
782.9575,0.1308099
784.8859,0.1294143
786.8144,0.1280522
788.7429,0.1269884
790.6713,0.125895
792.5998,0.124665
794.5283,0.1234229
796.4567,0.1222794
798.3852,0.1209838
800.3137,0.1196993
802.2421,0.1184609
804.1706,0.1173474
806.0991,0.1162179
808.0275,0.1152015
809.956,0.1143443
811.8845,0.1131332
813.8129,0.1119956
815.7414,0.1110678
817.6699,0.1099449
819.5983,0.1088045
821.5268,0.1079174
823.4553,0.1071293
825.3837,0.1062328
827.3122,0.1053111
829.2407,0.1045208
831.1691,0.1037698
833.0976,0.1028673
835.0261,0.1021651
836.9545,0.1015424
838.883,0.1009758
840.8115,0.1004807
842.7399,0.09990406
844.6684,0.09934665
846.5969,0.09864638
848.5253,0.09778867
850.4538,0.09717864
852.3823,0.09660993
854.3107,0.09581128
856.2392,0.09500176
858.1677,0.09434942
860.0961,0.09355862
862.0246,0.09263815
863.9531,0.091676
865.8815,0.09071432
867.81,0.08972993
869.7385,0.08894908
871.6669,0.08790537
873.5954,0.08684482
875.5239,0.08605852
877.4523,0.08537872
879.3808,0.08438338
881.3093,0.08343749
883.2377,0.08260904
885.1662,0.08191169
887.0947,0.08123583
889.0231,0.08052465
890.9516,0.07985979
892.8801,0.07920314
894.8085,0.07868312
896.737,0.07824799
898.6655,0.0775786
900.5939,0.07705335
902.5224,0.07646791
904.4509,0.07592054
906.3793,0.07552794
908.3078,0.07521982
910.2363,0.07472677
912.1647,0.07417525
914.0932,0.07373155
916.0217,0.07332283
917.9501,0.07282081
919.8786,0.07222126
921.8071,0.07159004
923.7355,0.07114533
925.664,0.07083189
927.5925,0.07049219
929.5209,0.07013401
931.4494,0.06986563
933.3779,0.06961102
935.3063,0.06900281
937.2348,0.0686282
939.1633,0.06873389
941.0917,0.06860984
943.0202,0.06845164
944.9487,0.06832409
946.8771,0.06825621
948.8056,0.06819227
950.7341,0.0680052
952.6625,0.06759949
954.591,0.06729602
956.5195,0.06695346
958.4479,0.06635976
960.3764,0.06574436
962.3049,0.0650591
964.2333,0.06421802
966.1618,0.06312641
968.0903,0.06194645
970.0187,0.06088776
971.9472,0.05984579
973.8757,0.05887609
975.8041,0.05789402
977.7326,0.05720634
979.6611,0.05656601
981.5895,0.05576392
983.518,0.05536595
985.4465,0.05502148
987.3749,0.0545863
989.3034,0.05438098
991.2319,0.05425048
993.1603,0.05408717
995.0888,0.05386182
997.0173,0.05354235
998.9457,0.05320044
1000.874,0.05289401
1002.803,0.05239358
1004.731,0.05188968
1006.66,0.0509216
1008.588,0.0497801
1010.517,0.04882501
1012.445,0.04788402
1014.373,0.04665316
1016.302,0.04534589
1018.23,0.04405875
1020.159,0.04289335
1022.087,0.04166759
1024.016,0.04060937
1025.944,0.0399408
1027.873,0.03961354
1029.801,0.03953703
1031.73,0.03958803
1033.658,0.03973854
1035.587,0.04009276
