x,y
374.1225,0.2153331
376.051,0.2113489
377.9795,0.2044369
379.9079,0.1939074
381.8364,0.1946284
383.7649,0.201047
385.6933,0.2017618
387.6218,0.193488
389.5503,0.1947282
391.4787,0.1936759
393.4072,0.1905317
395.3357,0.1866985
397.2641,0.1877601
399.1926,0.1877123
401.1211,0.189618
403.0495,0.1919264
404.978,0.1922051
406.9065,0.1898821
408.8349,0.19009
410.7634,0.1901729
412.6919,0.1903259
414.6203,0.1899018
416.5488,0.1893647
418.4773,0.1874423
420.4057,0.1892041
422.3342,0.1885515
424.2627,0.1856585
426.1911,0.1828793
428.1196,0.1798034
430.0481,0.1789666
431.9765,0.1758596
433.905,0.1705905
435.8335,0.167233
437.7619,0.1627543
439.6904,0.158226
441.6189,0.1547293
443.5473,0.1514555
445.4758,0.1475269
447.4043,0.1456768
449.3327,0.1440372
451.2612,0.1408841
453.1897,0.136908
455.1181,0.1330772
457.0466,0.1291484
458.9751,0.1256473
460.9035,0.1217617
462.832,0.1188581
464.7605,0.1158231
466.6889,0.1123727
468.6174,0.1092085
470.5459,0.1064614
472.4743,0.1038457
474.4028,0.1016101
476.3313,0.09996957
478.2597,0.0985185
480.1882,0.09780027
482.1167,0.09806433
484.0451,0.09855119
485.9736,0.09905222
487.9021,0.09984973
489.8305,0.1014594
491.759,0.103452
493.6875,0.1057545
495.6159,0.1085235
497.5444,0.1121127
499.4729,0.1160905
501.4013,0.1206435
503.3298,0.1262512
505.2583,0.1328401
507.1867,0.1405552
509.1152,0.1489229
511.0437,0.1577833
512.9721,0.1669451
514.9006,0.1753825
516.829,0.1837107
518.7575,0.1928129
520.686,0.2015904
522.6144,0.2097415
524.5429,0.2172742
526.4714,0.2235574
528.3998,0.2292893
530.3283,0.2347855
532.2568,0.2397227
534.1852,0.2443837
536.1137,0.2484434
538.0422,0.2516084
539.9706,0.2543632
541.8991,0.2574037
543.8276,0.2594233
545.756,0.2607567
547.6845,0.26351
549.613,0.2658471
551.5414,0.2666128
553.4699,0.2671919
555.3984,0.2680502
557.3268,0.2685494
559.2553,0.2677839
561.1838,0.267082
563.1122,0.266703
565.0407,0.2649466
566.9692,0.2625968
568.8976,0.2609288
570.8261,0.2584702
572.7546,0.2556606
574.683,0.2523187
576.6115,0.2484588
578.54,0.2452909
580.4684,0.2417152
582.3969,0.2387515
584.3254,0.236161
586.2538,0.2341299
588.1823,0.2321512
590.1108,0.2299169
592.0392,0.2274283
593.9677,0.2251464
595.8962,0.2230193
597.8246,0.2200082
599.7531,0.2165505
601.6816,0.2128806
603.61,0.2084659
605.5385,0.2041861
607.467,0.2003847
609.3954,0.1969554
611.3239,0.1939705
613.2524,0.1910809
615.1808,0.188179
617.1093,0.1860448
619.0378,0.1842855
620.9662,0.1824336
622.8947,0.1805975
624.8232,0.1789175
626.7516,0.1771629
628.6801,0.1752746
630.6086,0.1736655
632.537,0.1721692
634.4655,0.1708456
636.394,0.1691815
638.3224,0.1675453
640.2509,0.1663184
642.1794,0.1647374
644.1078,0.1629848
646.0363,0.1612865
647.9648,0.1597386
649.8932,0.1582881
651.8217,0.1569803
653.7502,0.155515
655.6786,0.1538312
657.6071,0.1523913
659.5356,0.1508213
661.4641,0.1492077
663.3925,0.1475817
665.321,0.145964
667.2495,0.1445774
669.1779,0.1427358
671.1064,0.1405768
673.0349,0.1386513
674.9633,0.1368506
676.8918,0.1350933
678.8203,0.1331472
680.7487,0.1310989
682.6772,0.1289506
684.6057,0.1269256
686.5341,0.1251942
688.4626,0.1232397
690.3911,0.121106
692.3195,0.1192155
694.248,0.1173589
696.1765,0.1155843
698.1049,0.1136853
700.0334,0.1116513
701.9619,0.1097227
703.8903,0.1080429
705.8188,0.1061209
707.7473,0.1042208
709.6757,0.102288
711.6042,0.1005376
713.5327,0.09845512
715.4611,0.09639539
717.3896,0.09449082
719.3181,0.09250841
721.2465,0.09068483
723.175,0.08909682
725.1035,0.08731697
727.0319,0.08546274
728.9604,0.08361283
730.8889,0.08188771
732.8173,0.08017644
734.7458,0.07843803
736.6743,0.07688338
738.6027,0.07526425
740.5312,0.07340437
742.4597,0.07166952
744.3881,0.07005052
746.3166,0.06846122
748.2451,0.06678829
750.1735,0.06496635
752.102,0.06332251
754.0305,0.06196732
755.9589,0.06046236
757.8874,0.05883081
759.8159,0.05737732
761.7443,0.05591081
763.6728,0.05425941
765.6013,0.05270613
767.5297,0.05145525
769.4582,0.05006965
771.3867,0.04840004
773.3151,0.04672665
775.2436,0.04533619
777.1721,0.04408196
779.1005,0.04275009
781.029,0.04142531
782.9575,0.03997617
784.8859,0.03837438
786.8144,0.03715484
788.7429,0.03609551
790.6713,0.03501971
792.5998,0.03388678
794.5283,0.03279853
796.4567,0.03188241
798.3852,0.03087018
800.3137,0.02977879
802.2421,0.02888229
804.1706,0.02828893
806.0991,0.02770266
808.0275,0.02715938
809.956,0.02666984
811.8845,0.02601548
813.8129,0.02531974
815.7414,0.02472042
817.6699,0.02406913
819.5983,0.02351377
821.5268,0.02298423
823.4553,0.02251141
825.3837,0.02193122
827.3122,0.02133667
829.2407,0.02073688
831.1691,0.02014866
833.0976,0.01949255
835.0261,0.01891167
836.9545,0.01827323
838.883,0.01774855
840.8115,0.01726701
842.7399,0.01675758
844.6684,0.01646183
846.5969,0.0161321
848.5253,0.01554574
850.4538,0.01494098
852.3823,0.01441459
854.3107,0.01390366
856.2392,0.01341301
858.1677,0.01306696
860.0961,0.01263656
862.0246,0.01225613
863.9531,0.01180571
865.8815,0.01154941
867.81,0.01153969
869.7385,0.0117173
871.6669,0.01196272
873.5954,0.01224063
875.5239,0.01251788
877.4523,0.01246489
879.3808,0.01163076
881.3093,0.01054133
883.2377,0.00941715
885.1662,0.008325011
887.0947,0.007453252
889.0231,0.006882789
890.9516,0.006554899
892.8801,0.006367442
894.8085,0.006330551
896.737,0.006282471
898.6655,0.006069212
900.5939,0.005947993
902.5224,0.005701956
904.4509,0.005576394
906.3793,0.005599714
908.3078,0.005673681
910.2363,0.00558813
912.1647,0.005481382
914.0932,0.005453722
916.0217,0.005455693
917.9501,0.00541515
919.8786,0.005438456
921.8071,0.005323762
923.7355,0.005158443
925.664,0.005180656
927.5925,0.00516145
929.5209,0.005173989
931.4494,0.005139683
933.3779,0.004924924
935.3063,0.004597429
937.2348,0.004522227
939.1633,0.004725567
941.0917,0.004678857
943.0202,0.004542909
944.9487,0.004645702
946.8771,0.004752372
948.8056,0.004571052
950.7341,0.004472405
952.6625,0.004387387
954.591,0.004514901
956.5195,0.00465309
958.4479,0.004885343
960.3764,0.005399855
962.3049,0.005887427
964.2333,0.005559797
966.1618,0.00474813
968.0903,0.004249851
970.0187,0.004094371
971.9472,0.004035852
973.8757,0.003984074
975.8041,0.004077516
977.7326,0.004311508
979.6611,0.004523158
981.5895,0.004759255
983.518,0.005161949
985.4465,0.005512845
987.3749,0.005791118
989.3034,0.00601994
991.2319,0.006298913
993.1603,0.006729434
995.0888,0.007064883
997.0173,0.007394577
998.9457,0.007801478
1000.874,0.008304983
1002.803,0.008775744
1004.731,0.009353857
1006.66,0.009879765
1008.588,0.01027596
1010.517,0.0108896
1012.445,0.01167901
1014.373,0.01243558
1016.302,0.01334472
1018.23,0.0143614
1020.159,0.01538503
1022.087,0.0162744
1024.016,0.01709807
1025.944,0.01788673
1027.873,0.01865659
1029.801,0.01952291
1031.73,0.0204877
1033.658,0.02164085
1035.587,0.02321794
1037.515,0.02480659
1039.443,0.02634745
1041.372,0.02779068
1043.3,0.0290151
1045.229,0.02984404
1047.157,0.03031017
1049.086,0.03034953
1051.014,0.03005911
1052.943,0.02962835
1054.871,0.02903864
1056.8,0.02819272
1058.728,0.02727629
1060.657,0.02626966
1062.585,0.02512996
1064.514,0.02391291
1066.442,0.02274686
1068.37,0.02162982
1070.299,0.02041157
1072.227,0.01898776
1074.156,0.01748153
1076.084,0.01598568
1078.013,0.01477697
1079.941,0.0137136
1081.87,0.01313373
1083.798,0.01336561
1085.727,0.01418818
1087.655,0.01523385
1089.584,0.01602582
1091.512,0.01617541
1093.441,0.01578652
1095.369,0.01503898
1097.297,0.01425578
1099.226,0.01343358
1101.154,0.01266177
1103.083,0.01176099
1105.011,0.01087007
1106.94,0.009779075
1108.868,0.008556896
1110.797,0.007339091
1112.725,0.006128852
1114.654,0.00484096
1116.582,0.00360117
1118.511,0.002661054
1120.439,0.001853971
1122.368,0.001155347
1124.296,0.0006100181
1126.224,0.0002165223
1128.153,-1.326762e-05
1130.081,-0.0001081591
1132.01,-0.0001382334
1133.938,-0.0002842993
1135.867,-0.0003507957
1137.795,-0.0004024114
1139.724,-0.0004389621
1141.652,-0.00038807
1143.581,-0.0003543003
1145.509,-0.0004434297
1147.438,-0.0004464341
1149.366,-0.0005716532
1151.295,-0.0006608441
1153.223,-0.0005552461
1155.151,-0.0003504679
1157.08,-0.0001965836
1159.008,-0.0001629982
1160.937,-0.0001542298
1162.865,-0.0001131995
1164.794,-0.0001233863
1166.722,-0.0001214659
1168.651,-6.120559e-05
1170.579,6.709341e-05
1172.508,6.96443e-05
1174.436,-4.043151e-05
1176.365,4.859641e-06
1178.293,7.14073e-05
1180.222,-4.569534e-05
1182.15,-8.252356e-05
1184.078,4.354306e-05
1186.007,0.0001186002
1187.935,0.0001953263
1189.864,0.0003948826
1191.792,0.0004861765
1193.721,0.0004963931
1195.649,0.0006281231
1197.578,0.0008154605
1199.506,0.0009265617
1201.435,0.0009296983
1203.363,0.0008958802
1205.292,0.001038704
1207.22,0.001313427
1209.149,0.001521457
1211.077,0.001584265
1213.005,0.001671141
1214.934,0.001730433
1216.862,0.00177368
1218.791,0.001840975
1220.719,0.001991237
1222.648,0.002144068
1224.576,0.002304457
1226.505,0.002379149
1228.433,0.002375765
1230.362,0.002481403
1232.29,0.002704246
1234.219,0.002703937
1236.147,0.002731711
1238.076,0.002923826
1240.004,0.003138665
1241.932,0.003184501
1243.861,0.003222922
1245.789,0.003303466
1247.718,0.003371237
1249.646,0.003514361
1251.575,0.003752274
1253.503,0.003869679
1255.432,0.003964428
1257.36,0.004100187
1259.289,0.00418463
1261.217,0.004275497
1263.146,0.004538195
1265.074,0.004694745
1267.003,0.004774543
1268.931,0.004952798
1270.859,0.005208652
1272.788,0.00540304
1274.716,0.005496139
1276.645,0.00562048
1278.573,0.005818672
1280.502,0.00603479
1282.43,0.006092524
1284.359,0.00622792
1286.287,0.00639615
1288.216,0.006589539
1290.144,0.006790092
1292.073,0.006863078
1294.001,0.006957758
1295.93,0.00708627
