x,y
374.1225,0.4103762
376.051,0.3990031
377.9795,0.4054656
379.9079,0.3929364
381.8364,0.3779084
383.7649,0.3701232
385.6933,0.3741046
387.6218,0.3684818
389.5503,0.361733
391.4787,0.3513003
393.4072,0.3580567
395.3357,0.3505608
397.2641,0.3484538
399.1926,0.3360379
401.1211,0.3281265
403.0495,0.3231923
404.978,0.3307712
406.9065,0.346278
408.8349,0.3474161
410.7634,0.3552499
412.6919,0.3610123
414.6203,0.355534
416.5488,0.3442045
418.4773,0.330742
420.4057,0.3202261
422.3342,0.3115734
424.2627,0.3023525
426.1911,0.2965131
428.1196,0.2913003
430.0481,0.2859411
431.9765,0.2856455
433.905,0.2801258
435.8335,0.2717845
437.7619,0.2630513
439.6904,0.2591507
441.6189,0.2564403
443.5473,0.252104
445.4758,0.247356
447.4043,0.2436226
449.3327,0.2413572
451.2612,0.2410171
453.1897,0.241694
455.1181,0.2424902
457.0466,0.2431404
458.9751,0.244168
460.9035,0.2467738
462.832,0.2494298
464.7605,0.2473411
466.6889,0.2433644
468.6174,0.2373196
470.5459,0.2289864
472.4743,0.2205392
474.4028,0.212626
476.3313,0.2069722
478.2597,0.2038201
480.1882,0.2018709
482.1167,0.2013878
484.0451,0.2017527
485.9736,0.2019481
487.9021,0.2011481
489.8305,0.1998868
491.759,0.1983595
493.6875,0.1966535
495.6159,0.193428
497.5444,0.1883703
499.4729,0.1835009
501.4013,0.1793005
503.3298,0.1745348
505.2583,0.1695723
507.1867,0.1649672
509.1152,0.160262
511.0437,0.1557409
512.9721,0.1518678
514.9006,0.1487389
516.829,0.1455611
518.7575,0.1417373
520.686,0.1385356
522.6144,0.1356855
524.5429,0.1330831
526.4714,0.1309489
528.3998,0.1287327
530.3283,0.1269667
532.2568,0.1263068
534.1852,0.1254127
536.1137,0.1248362
538.0422,0.1252096
539.9706,0.1259527
541.8991,0.1265988
543.8276,0.1271275
545.756,0.1279578
547.6845,0.1289541
549.613,0.1300139
551.5414,0.1318724
553.4699,0.1338183
555.3984,0.134798
557.3268,0.1353849
559.2553,0.1367161
561.1838,0.1380862
563.1122,0.1390417
565.0407,0.1398861
566.9692,0.140651
568.8976,0.1417455
570.8261,0.1423947
572.7546,0.1421747
574.683,0.1419672
576.6115,0.1418418
578.54,0.141663
580.4684,0.1410406
582.3969,0.1396417
584.3254,0.1384247
586.2538,0.1371391
588.1823,0.1353582
590.1108,0.1338151
592.0392,0.131702
593.9677,0.1293178
595.8962,0.1275832
597.8246,0.1256008
599.7531,0.1234309
601.6816,0.1213764
603.61,0.1194254
605.5385,0.1175431
607.467,0.1158325
609.3954,0.114396
611.3239,0.1132432
613.2524,0.1121663
615.1808,0.1111613
617.1093,0.1107892
619.0378,0.1106492
620.9662,0.1104126
622.8947,0.1102713
624.8232,0.1100137
626.7516,0.109689
628.6801,0.1090083
630.6086,0.1083207
632.537,0.1076467
634.4655,0.1071863
636.394,0.1066954
638.3224,0.1062024
640.2509,0.1057702
642.1794,0.1053332
644.1078,0.1051124
646.0363,0.1049707
647.9648,0.1049625
649.8932,0.1056138
651.8217,0.1065706
653.7502,0.1075111
655.6786,0.1084289
657.6071,0.1098352
659.5356,0.1117165
661.4641,0.1137534
663.3925,0.1157691
665.321,0.1179756
667.2495,0.1209264
669.1779,0.1240147
671.1064,0.1271502
673.0349,0.1307494
674.9633,0.1346453
676.8918,0.1388804
678.8203,0.1433039
680.7487,0.1481105
682.6772,0.1530694
684.6057,0.1582147
686.5341,0.1639735
688.4626,0.1699944
690.3911,0.176189
692.3195,0.1827557
694.248,0.1892702
696.1765,0.1955677
698.1049,0.2018841
700.0334,0.2082319
701.9619,0.2147912
703.8903,0.2214468
705.8188,0.2278563
707.7473,0.2344545
709.6757,0.2406496
711.6042,0.2462162
713.5327,0.2514711
715.4611,0.2563441
717.3896,0.2605023
719.3181,0.264031
721.2465,0.2668429
723.175,0.2692988
725.1035,0.271093
727.0319,0.2725621
728.9604,0.2737207
730.8889,0.275066
732.8173,0.2766116
734.7458,0.2782526
736.6743,0.2803428
738.6027,0.2830437
740.5312,0.2860051
742.4597,0.2897668
744.3881,0.2945816
746.3166,0.3005411
748.2451,0.3075936
750.1735,0.3157554
752.102,0.3253385
754.0305,0.3361892
755.9589,0.3480555
757.8874,0.3609827
759.8159,0.374918
761.7443,0.3902836
763.6728,0.4063608
765.6013,0.4232122
767.5297,0.4409473
769.4582,0.459141
771.3867,0.4770699
773.3151,0.4946821
775.2436,0.5124106
777.1721,0.5303392
779.1005,0.5469645
781.029,0.5633296
782.9575,0.5786604
784.8859,0.5933977
786.8144,0.6072343
788.7429,0.6195899
790.6713,0.6285961
792.5998,0.6323028
794.5283,0.6290302
796.4567,0.6188375
798.3852,0.6020746
800.3137,0.5814486
802.2421,0.5583564
804.1706,0.5348748
806.0991,0.512436
808.0275,0.4905466
809.956,0.4699128
811.8845,0.4525288
813.8129,0.4389451
815.7414,0.4283615
817.6699,0.418008
819.5983,0.4061225
821.5268,0.3912251
823.4553,0.3724828
825.3837,0.3514962
827.3122,0.3306987
829.2407,0.311166
831.1691,0.2927463
833.0976,0.2755887
835.0261,0.2597227
836.9545,0.2451839
838.883,0.2323859
840.8115,0.2210116
842.7399,0.2111327
844.6684,0.2026218
846.5969,0.1949182
848.5253,0.1876422
