x,y
374.1225,0.1931369
376.051,0.1898311
377.9795,0.1919866
379.9079,0.1873577
381.8364,0.1890026
383.7649,0.1949321
385.6933,0.1919775
387.6218,0.1804264
389.5503,0.1792414
391.4787,0.1774421
393.4072,0.1749264
395.3357,0.1775366
397.2641,0.1758341
399.1926,0.1714309
401.1211,0.1758416
403.0495,0.17838
404.978,0.1781902
406.9065,0.1788527
408.8349,0.1787666
410.7634,0.1761254
412.6919,0.1778292
414.6203,0.1792795
416.5488,0.1792831
418.4773,0.1805695
420.4057,0.1827574
422.3342,0.18366
424.2627,0.1837476
426.1911,0.1836359
428.1196,0.1843337
430.0481,0.1865937
431.9765,0.1885755
433.905,0.1891888
435.8335,0.1903677
437.7619,0.189826
439.6904,0.1903607
441.6189,0.1912669
443.5473,0.1917285
445.4758,0.1914261
447.4043,0.1920875
449.3327,0.1929749
451.2612,0.1929287
453.1897,0.1923933
455.1181,0.1918677
457.0466,0.1899716
458.9751,0.1881747
460.9035,0.1863851
462.832,0.1848987
464.7605,0.1834748
466.6889,0.1812251
468.6174,0.177793
470.5459,0.1760823
472.4743,0.1739256
474.4028,0.1701868
476.3313,0.1665716
478.2597,0.1640029
480.1882,0.161613
482.1167,0.1586189
484.0451,0.1558324
485.9736,0.1540428
487.9021,0.1526055
489.8305,0.1522714
491.759,0.1517392
493.6875,0.1508269
495.6159,0.1492752
497.5444,0.1482402
499.4729,0.1468326
501.4013,0.1449952
503.3298,0.1435918
505.2583,0.1425198
507.1867,0.1413139
509.1152,0.139709
511.0437,0.1383178
512.9721,0.1368048
514.9006,0.1349798
516.829,0.133183
518.7575,0.1315852
520.686,0.1296109
522.6144,0.1273625
524.5429,0.1260766
526.4714,0.1244127
528.3998,0.122266
530.3283,0.1206255
532.2568,0.1190915
534.1852,0.1173938
536.1137,0.1151438
538.0422,0.1132156
539.9706,0.1116515
541.8991,0.1102681
543.8276,0.1088681
545.756,0.1064188
547.6845,0.1046192
549.613,0.1034107
551.5414,0.1020541
553.4699,0.1007944
555.3984,0.09890395
557.3268,0.09734654
559.2553,0.09573044
561.1838,0.09431121
563.1122,0.09316816
565.0407,0.09230452
566.9692,0.09155752
568.8976,0.09083626
570.8261,0.08999024
572.7546,0.08916394
574.683,0.08849818
576.6115,0.0877613
578.54,0.08735939
580.4684,0.0869911
582.3969,0.08619606
584.3254,0.08529848
586.2538,0.08452367
588.1823,0.08352556
590.1108,0.08264422
592.0392,0.0819406
593.9677,0.08087954
595.8962,0.07989808
597.8246,0.07878432
599.7531,0.07771075
601.6816,0.0769082
603.61,0.07612
605.5385,0.07514496
607.467,0.07404349
609.3954,0.07277988
611.3239,0.07179169
613.2524,0.07074037
615.1808,0.06972926
617.1093,0.06910893
619.0378,0.06822104
620.9662,0.06727521
622.8947,0.06630122
624.8232,0.0651077
626.7516,0.06420261
628.6801,0.06323287
630.6086,0.06226039
632.537,0.06124298
634.4655,0.0603556
636.394,0.05936285
638.3224,0.05821216
640.2509,0.05714779
642.1794,0.05604928
644.1078,0.05507496
646.0363,0.05420002
647.9648,0.05358063
649.8932,0.05292955
651.8217,0.05223707
653.7502,0.05158436
655.6786,0.05087709
657.6071,0.0503076
659.5356,0.05001571
661.4641,0.04984235
663.3925,0.04947451
665.321,0.04921681
667.2495,0.04912018
669.1779,0.04861842
671.1064,0.04798818
673.0349,0.04755691
674.9633,0.04722003
676.8918,0.04690709
678.8203,0.04647862
680.7487,0.04627999
682.6772,0.04600308
684.6057,0.04587862
686.5341,0.04601322
688.4626,0.0460986
690.3911,0.04624212
692.3195,0.04672818
694.248,0.04733668
696.1765,0.04794904
698.1049,0.04859027
700.0334,0.04925467
701.9619,0.04978277
703.8903,0.05064961
705.8188,0.05185197
707.7473,0.05315226
709.6757,0.05442297
711.6042,0.05593936
713.5327,0.05754179
715.4611,0.05930274
717.3896,0.06138954
719.3181,0.06358414
721.2465,0.06602218
723.175,0.06900573
725.1035,0.07211088
727.0319,0.07533631
728.9604,0.0787603
730.8889,0.08228557
732.8173,0.08581723
734.7458,0.08921489
736.6743,0.0921638
738.6027,0.09431221
740.5312,0.09539793
742.4597,0.09538755
744.3881,0.09423877
746.3166,0.09224697
748.2451,0.08963627
750.1735,0.08658028
752.102,0.08349507
754.0305,0.08048841
755.9589,0.07745411
757.8874,0.07445785
759.8159,0.07193517
761.7443,0.06971288
763.6728,0.06766561
765.6013,0.06588888
767.5297,0.06463385
769.4582,0.06367353
771.3867,0.06289475
773.3151,0.06220653
775.2436,0.06186426
777.1721,0.06196904
779.1005,0.06211358
781.029,0.06220501
782.9575,0.06220538
784.8859,0.06201997
786.8144,0.06193146
788.7429,0.06216567
790.6713,0.06244551
792.5998,0.06232251
794.5283,0.06213053
796.4567,0.06194362
798.3852,0.06152692
800.3137,0.06097942
802.2421,0.06048955
804.1706,0.06010446
806.0991,0.05968773
808.0275,0.05919006
809.956,0.0588461
811.8845,0.05840511
813.8129,0.05782972
