x,y
374.1225,0.01328099
376.051,0.01829624
377.9795,0.02805475
379.9079,0.02592513
381.8364,0.02445222
383.7649,0.02432648
385.6933,0.02480715
387.6218,0.02488406
389.5503,0.0261279
391.4787,0.02733394
393.4072,0.02680739
395.3357,0.02403576
397.2641,0.02313537
399.1926,0.02363688
401.1211,0.02284075
403.0495,0.0223649
404.978,0.02277448
406.9065,0.02251552
408.8349,0.02133566
410.7634,0.02125526
412.6919,0.02202477
414.6203,0.02204739
416.5488,0.02203401
418.4773,0.02157978
420.4057,0.02412602
422.3342,0.0257192
424.2627,0.02559639
426.1911,0.02660716
428.1196,0.02793455
430.0481,0.02851811
431.9765,0.02749994
433.905,0.02692784
435.8335,0.02696883
437.7619,0.02720369
439.6904,0.02796322
441.6189,0.02922723
443.5473,0.03037764
445.4758,0.03136837
447.4043,0.03412206
449.3327,0.03692375
451.2612,0.03965091
453.1897,0.04472054
455.1181,0.05194893
457.0466,0.05779971
458.9751,0.05850388
460.9035,0.05376823
462.832,0.04808678
464.7605,0.0435105
466.6889,0.04120053
468.6174,0.04121426
470.5459,0.04198908
472.4743,0.043408
474.4028,0.04552377
476.3313,0.04749362
478.2597,0.04991885
480.1882,0.05413517
482.1167,0.05983732
484.0451,0.06415264
485.9736,0.06619846
487.9021,0.06828221
489.8305,0.0713893
491.759,0.07517263
493.6875,0.0783444
495.6159,0.07865245
497.5444,0.07640966
499.4729,0.07246652
501.4013,0.0677905
503.3298,0.06388117
505.2583,0.06141185
507.1867,0.06039105
509.1152,0.06081304
511.0437,0.06200532
512.9721,0.0625461
514.9006,0.06329618
516.829,0.06480593
518.7575,0.06630454
520.686,0.06776371
522.6144,0.0687442
524.5429,0.07007211
526.4714,0.07176513
528.3998,0.07393543
530.3283,0.07614279
532.2568,0.07800109
534.1852,0.07994542
536.1137,0.08252076
538.0422,0.08513305
539.9706,0.08765274
541.8991,0.0907259
543.8276,0.0951097
545.756,0.1017086
547.6845,0.1132564
549.613,0.1313969
551.5414,0.1485514
553.4699,0.1453381
555.3984,0.1214788
557.3268,0.09923085
559.2553,0.08711852
561.1838,0.08186951
563.1122,0.08083694
565.0407,0.08324055
566.9692,0.08787002
568.8976,0.09236231
570.8261,0.09161589
572.7546,0.08550319
574.683,0.08020124
576.6115,0.07880298
578.54,0.07997708
580.4684,0.08171707
582.3969,0.08366148
584.3254,0.08578541
586.2538,0.08671243
588.1823,0.08577149
590.1108,0.08329763
592.0392,0.08042175
593.9677,0.07889997
595.8962,0.07935277
597.8246,0.08192229
599.7531,0.08606085
601.6816,0.09109727
603.61,0.09704623
605.5385,0.103397
607.467,0.1103563
609.3954,0.1177615
611.3239,0.1250896
613.2524,0.1327457
615.1808,0.140432
617.1093,0.1448301
619.0378,0.1418526
620.9662,0.1327445
622.8947,0.1242042
624.8232,0.11971
626.7516,0.1183574
628.6801,0.1184452
630.6086,0.119211
632.537,0.1208066
634.4655,0.1235428
636.394,0.1266587
638.3224,0.1301201
640.2509,0.1333692
642.1794,0.1361412
644.1078,0.1383296
646.0363,0.1400127
647.9648,0.1408752
649.8932,0.1408904
651.8217,0.1407951
653.7502,0.1402807
655.6786,0.1392582
657.6071,0.138307
659.5356,0.1377055
661.4641,0.1371028
663.3925,0.1367065
665.321,0.1368779
667.2495,0.1377118
669.1779,0.1393391
671.1064,0.1420845
673.0349,0.1467719
674.9633,0.1536357
676.8918,0.1632053
678.8203,0.1756171
680.7487,0.1898117
682.6772,0.2032828
684.6057,0.2128326
686.5341,0.2151552
688.4626,0.2100372
690.3911,0.2007077
692.3195,0.1894352
694.248,0.1761452
696.1765,0.1601416
698.1049,0.1427068
700.0334,0.1270042
701.9619,0.1140944
703.8903,0.1041351
705.8188,0.09729089
707.7473,0.09348822
709.6757,0.09221153
711.6042,0.09288201
713.5327,0.09502304
715.4611,0.09908858
717.3896,0.1056488
719.3181,0.1152994
721.2465,0.1276219
723.175,0.136614
725.1035,0.1351527
727.0319,0.1251593
728.9604,0.1153884
730.8889,0.1104828
732.8173,0.1099554
734.7458,0.1123231
736.6743,0.115679
738.6027,0.1173509
740.5312,0.1151196
742.4597,0.1098735
744.3881,0.104343
746.3166,0.1006174
748.2451,0.09909279
750.1735,0.0990148
752.102,0.09997266
754.0305,0.1016603
755.9589,0.1033985
757.8874,0.1051151
759.8159,0.1067562
761.7443,0.1078137
763.6728,0.1085171
765.6013,0.108984
767.5297,0.1088453
769.4582,0.1079784
771.3867,0.1068181
773.3151,0.1056781
775.2436,0.1046238
777.1721,0.1036492
779.1005,0.1025855
781.029,0.101666
782.9575,0.1012402
784.8859,0.1012748
786.8144,0.101542
