x,y
374.1225,0.2905615
376.051,0.2838717
377.9795,0.3120799
379.9079,0.3332541
381.8364,0.3396392
383.7649,0.3374669
385.6933,0.340755
387.6218,0.3350424
389.5503,0.3581705
391.4787,0.3760136
393.4072,0.3556941
395.3357,0.3302284
397.2641,0.3328438
399.1926,0.3379939
401.1211,0.3465203
403.0495,0.3479589
404.978,0.3502871
406.9065,0.3504715
408.8349,0.352128
410.7634,0.3466565
412.6919,0.3326204
414.6203,0.3326038
416.5488,0.3339814
418.4773,0.3205063
420.4057,0.31709
422.3342,0.3138618
424.2627,0.3117302
426.1911,0.3135409
428.1196,0.30942
430.0481,0.3004878
431.9765,0.2907815
433.905,0.2844359
435.8335,0.2867298
437.7619,0.2862823
439.6904,0.2791616
441.6189,0.2733227
443.5473,0.2690333
445.4758,0.2649256
447.4043,0.2612575
449.3327,0.254263
451.2612,0.2462575
453.1897,0.2418874
455.1181,0.2411967
457.0466,0.2374989
458.9751,0.2327266
460.9035,0.2267588
462.832,0.223955
464.7605,0.2211492
466.6889,0.2170191
468.6174,0.212631
470.5459,0.2104431
472.4743,0.2075188
474.4028,0.204523
476.3313,0.2005345
478.2597,0.1969783
480.1882,0.1939228
482.1167,0.1919132
484.0451,0.1899268
485.9736,0.186954
487.9021,0.1838962
489.8305,0.1811108
491.759,0.1784303
493.6875,0.1759581
495.6159,0.1729131
497.5444,0.1702256
499.4729,0.1680788
501.4013,0.1658522
503.3298,0.1630442
505.2583,0.1608744
507.1867,0.1586853
509.1152,0.1559505
511.0437,0.1534338
512.9721,0.1509177
514.9006,0.1484393
516.829,0.1461034
518.7575,0.1438613
520.686,0.1418894
522.6144,0.139947
524.5429,0.1381653
526.4714,0.136082
528.3998,0.1336982
530.3283,0.1315389
532.2568,0.1296751
534.1852,0.1276564
536.1137,0.125981
538.0422,0.1239744
539.9706,0.1210795
541.8991,0.1187527
543.8276,0.1171845
545.756,0.1154986
547.6845,0.113855
549.613,0.1125167
551.5414,0.1110495
553.4699,0.1093095
555.3984,0.1071122
557.3268,0.1051356
559.2553,0.1035729
561.1838,0.1017341
563.1122,0.09991571
565.0407,0.09848955
566.9692,0.09724128
568.8976,0.09651823
570.8261,0.09534363
572.7546,0.09364621
574.683,0.09280378
576.6115,0.09219935
578.54,0.09151758
580.4684,0.09074816
582.3969,0.08979953
584.3254,0.08959346
586.2538,0.08948418
588.1823,0.08893801
590.1108,0.08823626
592.0392,0.08767271
593.9677,0.08742039
595.8962,0.08732898
597.8246,0.08695758
599.7531,0.08639245
601.6816,0.08611725
603.61,0.08604641
605.5385,0.08588754
607.467,0.08600579
609.3954,0.08595505
611.3239,0.08564015
613.2524,0.08539443
615.1808,0.08531889
617.1093,0.0852701
619.0378,0.08512723
620.9662,0.08518919
622.8947,0.08546013
624.8232,0.08581562
626.7516,0.08579905
628.6801,0.08574843
630.6086,0.085807
632.537,0.08524857
634.4655,0.08473496
636.394,0.08446697
638.3224,0.08376713
640.2509,0.08284301
642.1794,0.08184133
644.1078,0.08042701
646.0363,0.07910663
647.9648,0.07792584
649.8932,0.07674479
651.8217,0.07571452
653.7502,0.07459316
655.6786,0.0733484
657.6071,0.07235511
659.5356,0.07166217
661.4641,0.0709717
663.3925,0.07017281
665.321,0.06938284
667.2495,0.06876133
669.1779,0.06825371
671.1064,0.06767104
673.0349,0.06705511
674.9633,0.06649767
676.8918,0.06597656
678.8203,0.06528698
680.7487,0.06448265
682.6772,0.06360406
684.6057,0.06278817
686.5341,0.06186857
688.4626,0.06089628
690.3911,0.05985131
692.3195,0.05882104
694.248,0.05777621
696.1765,0.05681757
698.1049,0.05582333
700.0334,0.05487058
701.9619,0.053901
703.8903,0.05301629
705.8188,0.05199476
707.7473,0.05079134
709.6757,0.04962505
711.6042,0.04849824
713.5327,0.04746623
715.4611,0.04636894
717.3896,0.04494808
719.3181,0.04340448
721.2465,0.04223991
723.175,0.04107743
725.1035,0.03966642
727.0319,0.03840712
728.9604,0.03732803
730.8889,0.03631596
732.8173,0.0352222
734.7458,0.03420881
736.6743,0.03332287
738.6027,0.03238076
740.5312,0.03137134
742.4597,0.03049299
744.3881,0.02976164
746.3166,0.02890842
748.2451,0.0280762
750.1735,0.02713299
752.102,0.02623507
754.0305,0.02572985
755.9589,0.02515991
757.8874,0.02438253
759.8159,0.0236401
761.7443,0.02295641
763.6728,0.02245778
765.6013,0.02209919
767.5297,0.02155509
769.4582,0.02107843
771.3867,0.02061197
773.3151,0.02016056
775.2436,0.01990016
777.1721,0.01978878
779.1005,0.01939704
781.029,0.01891731
782.9575,0.01858536
784.8859,0.01827166
786.8144,0.01795406
788.7429,0.01770825
790.6713,0.01748361
792.5998,0.01723826
794.5283,0.01694569
796.4567,0.01676195
798.3852,0.01648933
800.3137,0.01623451
802.2421,0.01605536
804.1706,0.0158081
806.0991,0.01551556
808.0275,0.0152453
809.956,0.01494441
811.8845,0.01468063
813.8129,0.0144811
815.7414,0.01431774
817.6699,0.01400182
819.5983,0.01370589
821.5268,0.01341107
823.4553,0.01316939
825.3837,0.01295641
827.3122,0.01271764
829.2407,0.01265173
831.1691,0.01250717
833.0976,0.01226078
835.0261,0.01216388
836.9545,0.01201863
838.883,0.01193664
840.8115,0.01183053
842.7399,0.01172675
844.6684,0.01161902
846.5969,0.01161483
848.5253,0.01155033
850.4538,0.01150402
852.3823,0.01145354
854.3107,0.01145242
856.2392,0.01149674
858.1677,0.01139634
860.0961,0.01119286
862.0246,0.01107833
863.9531,0.01101407
865.8815,0.01095491
867.81,0.01079137
869.7385,0.01067217
871.6669,0.01055272
873.5954,0.01042659
875.5239,0.01022249
877.4523,0.009924298
879.3808,0.009755953
881.3093,0.009623821
883.2377,0.009587533
885.1662,0.009499352
887.0947,0.009161386
889.0231,0.0088936
890.9516,0.008791623
892.8801,0.008708159
894.8085,0.008618035
896.737,0.008486627
898.6655,0.008339481
900.5939,0.008353658
902.5224,0.008365712
904.4509,0.008313211
906.3793,0.008254564
908.3078,0.008175758
910.2363,0.008128428
912.1647,0.008034815
914.0932,0.007907209
916.0217,0.007944481
917.9501,0.008053062
919.8786,0.008150945
921.8071,0.008157497
923.7355,0.008080831
925.664,0.007988839
927.5925,0.007935327
929.5209,0.007883196
931.4494,0.007776831
933.3779,0.007696061
935.3063,0.007806379
937.2348,0.007876865
939.1633,0.007854559
941.0917,0.007907214
943.0202,0.00791609
944.9487,0.007789552
946.8771,0.007778623
948.8056,0.007814618
950.7341,0.007788638
952.6625,0.007818333
954.591,0.007839381
956.5195,0.007785039
958.4479,0.007778506
960.3764,0.007806282
962.3049,0.007798795
964.2333,0.007772828
966.1618,0.007854517
968.0903,0.007889739
970.0187,0.00786213
971.9472,0.007959502
973.8757,0.008057345
975.8041,0.008097257
977.7326,0.008077664
