x,y
374.1225,0.2317568
376.051,0.2281869
377.9795,0.2560378
379.9079,0.2495994
381.8364,0.2357353
383.7649,0.2159047
385.6933,0.2122567
387.6218,0.2055853
389.5503,0.2087628
391.4787,0.2064139
393.4072,0.1968812
395.3357,0.1922687
397.2641,0.1879881
399.1926,0.1776954
401.1211,0.1768946
403.0495,0.1773213
404.978,0.1703826
406.9065,0.1639937
408.8349,0.1602549
410.7634,0.1570243
412.6919,0.1557104
414.6203,0.1562003
416.5488,0.1578304
418.4773,0.1572442
420.4057,0.1594122
422.3342,0.1624702
424.2627,0.1637778
426.1911,0.1657571
428.1196,0.1689194
430.0481,0.1698017
431.9765,0.1727301
433.905,0.1754941
435.8335,0.1763274
437.7619,0.1792743
439.6904,0.1802244
441.6189,0.1790977
443.5473,0.1800733
445.4758,0.1785496
447.4043,0.1749347
449.3327,0.1716736
451.2612,0.1685349
453.1897,0.1648305
455.1181,0.1624602
457.0466,0.1586118
458.9751,0.1545451
460.9035,0.1500006
462.832,0.1447964
464.7605,0.1397248
466.6889,0.1344181
468.6174,0.1299698
470.5459,0.1264286
472.4743,0.1233585
474.4028,0.1208159
476.3313,0.1185163
478.2597,0.1166912
480.1882,0.1155091
482.1167,0.1159861
484.0451,0.1175315
485.9736,0.1185714
487.9021,0.1206039
489.8305,0.1233586
491.759,0.1257062
493.6875,0.1291992
495.6159,0.1326376
497.5444,0.1363979
499.4729,0.1408838
501.4013,0.1450119
503.3298,0.1490866
505.2583,0.1537322
507.1867,0.1579323
509.1152,0.1618946
511.0437,0.1660675
512.9721,0.1690623
514.9006,0.1705611
516.829,0.1710195
518.7575,0.1704009
520.686,0.1694686
522.6144,0.1683046
524.5429,0.1663628
526.4714,0.1643069
528.3998,0.1629184
530.3283,0.1616498
532.2568,0.1600727
534.1852,0.1585614
536.1137,0.1570552
538.0422,0.1555321
539.9706,0.1534959
541.8991,0.1511607
543.8276,0.1493763
545.756,0.1476944
547.6845,0.1460243
549.613,0.1442426
551.5414,0.1429379
553.4699,0.1425587
555.3984,0.1428377
557.3268,0.1432755
559.2553,0.1440833
561.1838,0.1456926
563.1122,0.1480862
565.0407,0.1510847
566.9692,0.1539123
568.8976,0.1569486
570.8261,0.1598645
572.7546,0.161681
574.683,0.1634398
576.6115,0.1650797
578.54,0.1661945
580.4684,0.1664638
582.3969,0.166154
584.3254,0.165192
586.2538,0.163453
588.1823,0.1613153
590.1108,0.1586335
592.0392,0.155494
593.9677,0.1525022
595.8962,0.1498971
597.8246,0.1477232
599.7531,0.1457459
601.6816,0.1436962
603.61,0.1420839
605.5385,0.1404875
607.467,0.1392138
609.3954,0.1381493
611.3239,0.1372168
613.2524,0.136549
615.1808,0.1362345
617.1093,0.1362275
619.0378,0.1364785
620.9662,0.1371253
622.8947,0.1381043
624.8232,0.139313
626.7516,0.1407551
628.6801,0.1428629
630.6086,0.1452769
632.537,0.1472308
634.4655,0.1492824
636.394,0.1515559
638.3224,0.1538186
640.2509,0.155512
642.1794,0.1569062
644.1078,0.1576266
646.0363,0.1572881
647.9648,0.1557128
649.8932,0.1533248
651.8217,0.1502741
653.7502,0.1466521
655.6786,0.1429897
657.6071,0.1394068
659.5356,0.1362435
661.4641,0.1335981
663.3925,0.1315277
665.321,0.1299519
667.2495,0.1283881
669.1779,0.1269691
671.1064,0.1257744
673.0349,0.1246999
674.9633,0.1235511
676.8918,0.1226791
678.8203,0.1217553
680.7487,0.1206679
682.6772,0.1193273
684.6057,0.1180931
686.5341,0.1167179
688.4626,0.1152905
690.3911,0.1139481
692.3195,0.1126081
694.248,0.1110773
696.1765,0.1094318
698.1049,0.1077308
700.0334,0.106299
701.9619,0.1049738
703.8903,0.1036023
705.8188,0.1021565
707.7473,0.100875
709.6757,0.0995224
711.6042,0.09826995
713.5327,0.09712241
715.4611,0.09610794
717.3896,0.09499303
719.3181,0.09404975
721.2465,0.09359866
723.175,0.09286702
725.1035,0.09198207
727.0319,0.09123433
728.9604,0.09035264
730.8889,0.08936239
732.8173,0.08816019
734.7458,0.08693808
736.6743,0.08583225
738.6027,0.08442164
740.5312,0.08280215
742.4597,0.08124808
744.3881,0.07963773
746.3166,0.07792676
748.2451,0.07621516
750.1735,0.07453094
752.102,0.07273838
754.0305,0.07129104
755.9589,0.07002757
757.8874,0.0685624
759.8159,0.06706633
761.7443,0.06560241
763.6728,0.0643765
765.6013,0.06336605
767.5297,0.06231354
769.4582,0.0612473
771.3867,0.06010034
773.3151,0.05914661
775.2436,0.05850038
777.1721,0.05792307
779.1005,0.05731348
781.029,0.05674079
782.9575,0.05621697
784.8859,0.05558169
786.8144,0.05499669
788.7429,0.05471174
790.6713,0.05454729
792.5998,0.0542323
794.5283,0.05381725
796.4567,0.05365137
798.3852,0.05358199
800.3137,0.05347724
802.2421,0.05332809
804.1706,0.05316023
806.0991,0.05300668
808.0275,0.05295886
809.956,0.05291222
811.8845,0.05281043
813.8129,0.05277262
815.7414,0.05277987
817.6699,0.05279049
819.5983,0.052776
821.5268,0.05257602
823.4553,0.05248205
825.3837,0.05247168
827.3122,0.05241018
829.2407,0.05254239
831.1691,0.05269524
833.0976,0.05268314
835.0261,0.05265719
836.9545,0.0526165
838.883,0.05278229
840.8115,0.0528857
842.7399,0.05294674
844.6684,0.05293069
846.5969,0.05312319
848.5253,0.0531692
850.4538,0.05322292
852.3823,0.05321127
854.3107,0.05326728
856.2392,0.05346236
858.1677,0.05357443
860.0961,0.05371914
862.0246,0.05402732
863.9531,0.05447491
865.8815,0.05489285
867.81,0.05523957
869.7385,0.0556761
871.6669,0.05615321
873.5954,0.05678495
875.5239,0.05740106
877.4523,0.05783567
879.3808,0.05853464
881.3093,0.05931533
883.2377,0.06008646
885.1662,0.06091408
887.0947,0.06167217
889.0231,0.06256995
890.9516,0.06370734
892.8801,0.06488349
894.8085,0.06612006
896.737,0.06737329
898.6655,0.068754
900.5939,0.07025793
902.5224,0.07185393
904.4509,0.07366692
906.3793,0.07556905
908.3078,0.0773107
910.2363,0.07931139
912.1647,0.08155666
914.0932,0.08381968
916.0217,0.08632755
917.9501,0.08905456
919.8786,0.09192271
921.8071,0.09473622
923.7355,0.09767217
925.664,0.100875
927.5925,0.1042482
929.5209,0.1076906
931.4494,0.1112689
933.3779,0.1150625
935.3063,0.1190549
937.2348,0.1231968
939.1633,0.1274323
941.0917,0.1317647
943.0202,0.1362433
944.9487,0.1404623
946.8771,0.144681
948.8056,0.1488463
950.7341,0.1527528
952.6625,0.156326
954.591,0.1594896
956.5195,0.1620728
958.4479,0.1645132
960.3764,0.1667076
962.3049,0.1687129
964.2333,0.1706062
966.1618,0.1726567
968.0903,0.1749531
970.0187,0.177678
971.9472,0.1808001
973.8757,0.1846279
975.8041,0.1891137
977.7326,0.1941103
979.6611,0.1997195
981.5895,0.2062992
983.518,0.213821
985.4465,0.2218941
987.3749,0.2303107
989.3034,0.2384379
991.2319,0.2459467
993.1603,0.2526256
995.0888,0.2575169
997.0173,0.2603569
998.9457,0.2613014
1000.874,0.2615748
1002.803,0.2621441
1004.731,0.2639522
1006.66,0.2678288
1008.588,0.2740512
1010.517,0.2821361
1012.445,0.2910336
1014.373,0.299722
1016.302,0.3079382
1018.23,0.3146215
1020.159,0.3195395
1022.087,0.3220821
1024.016,0.3222796
1025.944,0.3206306
1027.873,0.3174447
1029.801,0.3128963
1031.73,0.307764
1033.658,0.3021903
1035.587,0.2963482
1037.515,0.290179
1039.443,0.2840225
1041.372,0.2778617
1043.3,0.2717372
1045.229,0.2655511
1047.157,0.2593509
1049.086,0.252697
1051.014,0.2455785
1052.943,0.2380971
1054.871,0.2302477
1056.8,0.2218934
1058.728,0.2133696
1060.657,0.2047479
1062.585,0.1965386
1064.514,0.1886211
1066.442,0.1806638
1068.37,0.1727168
1070.299,0.1652212
1072.227,0.1581707
1074.156,0.1513313
1076.084,0.1447086
1078.013,0.1382041
1079.941,0.1320527
1081.87,0.1260466
1083.798,0.1200835
1085.727,0.1146061
1087.655,0.1092656
1089.584,0.1040469
1091.512,0.09916561
1093.441,0.09439773
1095.369,0.08974897
1097.297,0.08554408
1099.226,0.08136995
1101.154,0.07732361
1103.083,0.07353024
1105.011,0.06990544
1106.94,0.06634198
1108.868,0.06305256
1110.797,0.05998168
1112.725,0.0570903
1114.654,0.05458981
1116.582,0.05233302
1118.511,0.05017162
1120.439,0.04824923
1122.368,0.04654492
1124.296,0.04484991
1126.224,0.04339819
1128.153,0.04223953
1130.081,0.04115561
1132.01,0.04015255
1133.938,0.03947808
1135.867,0.03902579
1137.795,0.03870774
1139.724,0.03875232
1141.652,0.03914305
1143.581,0.03996603
1145.509,0.04126392
1147.438,0.04336886
1149.366,0.04590184
1151.295,0.04831736
1153.223,0.04996763
1155.151,0.04980368
1157.08,0.04745166
1159.008,0.04386053
1160.937,0.03997432
1162.865,0.03655928
1164.794,0.03366777
1166.722,0.03119851
1168.651,0.02918464
1170.579,0.02759672
1172.508,0.02630093
1174.436,0.02528596
1176.365,0.02431296
1178.293,0.02339529
1180.222,0.02279061
1182.15,0.02233958
1184.078,0.02172165
1186.007,0.02114909
1187.935,0.02076243
1189.864,0.02040706
1191.792,0.02003993
1193.721,0.01959943
1195.649,0.01927726
1197.578,0.01906412
1199.506,0.01867397
1201.435,0.01832869
1203.363,0.0180767
1205.292,0.01774501
1207.22,0.01739545
1209.149,0.0171635
1211.077,0.01702813
1213.005,0.01685622
1214.934,0.01650674
1216.862,0.01625966
1218.791,0.01606217
1220.719,0.01581227
1222.648,0.01561208
1224.576,0.0155869
1226.505,0.01551817
1228.433,0.01532441
1230.362,0.01515572
1232.29,0.01496995
1234.219,0.01485407
1236.147,0.01468151
1238.076,0.01448818
1240.004,0.01448829
1241.932,0.01455284
1243.861,0.01447895
1245.789,0.01427075
1247.718,0.01421326
1249.646,0.01424127
1251.575,0.01416108
1253.503,0.01412079
1255.432,0.0141146
1257.36,0.01413127
1259.289,0.01414267
1261.217,0.01413135
1263.146,0.01417495
1265.074,0.01428736
1267.003,0.01435395
1268.931,0.01427931
1270.859,0.0142925
