x,y
374.1225,0.242168
376.051,0.2440526
377.9795,0.239572
379.9079,0.2409598
381.8364,0.244903
383.7649,0.242766
385.6933,0.2414486
387.6218,0.2389876
389.5503,0.2459549
391.4787,0.2450877
393.4072,0.2374418
395.3357,0.240468
397.2641,0.2356979
399.1926,0.2310261
401.1211,0.236827
403.0495,0.2369165
404.978,0.2330009
406.9065,0.229236
408.8349,0.2236098
410.7634,0.2225582
412.6919,0.2252523
414.6203,0.226052
416.5488,0.2300588
418.4773,0.2329584
420.4057,0.2344366
422.3342,0.237025
424.2627,0.23804
426.1911,0.238979
428.1196,0.2376064
430.0481,0.2344103
431.9765,0.2352799
433.905,0.2370398
435.8335,0.2351544
437.7619,0.2336556
439.6904,0.2348094
441.6189,0.2347531
443.5473,0.2354807
445.4758,0.2372822
447.4043,0.2380515
449.3327,0.2402984
451.2612,0.2419875
453.1897,0.2411029
455.1181,0.2391679
457.0466,0.2364291
458.9751,0.2325738
460.9035,0.2295646
462.832,0.2258299
464.7605,0.2193124
466.6889,0.2118393
468.6174,0.2045116
470.5459,0.1984137
472.4743,0.192796
474.4028,0.1867632
476.3313,0.1796342
478.2597,0.1738651
480.1882,0.1699581
482.1167,0.1669263
484.0451,0.1648496
485.9736,0.1652555
487.9021,0.1676149
489.8305,0.1699681
491.759,0.1714189
493.6875,0.1732001
495.6159,0.1736382
497.5444,0.1741662
499.4729,0.17512
501.4013,0.1751319
503.3298,0.174745
505.2583,0.17399
507.1867,0.172679
509.1152,0.170186
511.0437,0.1671197
512.9721,0.1643301
514.9006,0.1608455
516.829,0.1570216
518.7575,0.1537214
520.686,0.1501548
522.6144,0.1465777
524.5429,0.1435038
526.4714,0.14055
528.3998,0.1369324
530.3283,0.1325619
532.2568,0.1280863
534.1852,0.1240162
536.1137,0.1191696
538.0422,0.1137125
539.9706,0.1081032
541.8991,0.1030061
543.8276,0.0981275
545.756,0.09295852
547.6845,0.08829337
549.613,0.08329881
551.5414,0.07817908
553.4699,0.07362883
555.3984,0.06939758
557.3268,0.06516211
559.2553,0.06125145
561.1838,0.057859
563.1122,0.05440177
565.0407,0.05109048
566.9692,0.04840843
568.8976,0.04589343
570.8261,0.04338016
572.7546,0.04099512
574.683,0.03910412
576.6115,0.03763609
578.54,0.03651958
580.4684,0.03534181
582.3969,0.03504059
584.3254,0.03513627
586.2538,0.03578772
588.1823,0.03637557
590.1108,0.03693208
592.0392,0.03830408
593.9677,0.04029792
595.8962,0.04256278
597.8246,0.0446365
599.7531,0.04665232
601.6816,0.04904053
603.61,0.0514203
605.5385,0.05350132
607.467,0.05528526
609.3954,0.05639574
611.3239,0.05739087
613.2524,0.05834975
615.1808,0.05884964
617.1093,0.05932273
619.0378,0.05968847
620.9662,0.05979347
622.8947,0.06004122
624.8232,0.060106
626.7516,0.06020205
628.6801,0.06084337
630.6086,0.06165231
632.537,0.06245579
634.4655,0.06354046
636.394,0.06465962
638.3224,0.06551122
640.2509,0.066066
642.1794,0.06655498
644.1078,0.06715602
646.0363,0.06796427
647.9648,0.06885836
649.8932,0.06987485
651.8217,0.07113363
653.7502,0.07231463
655.6786,0.07341421
657.6071,0.07425343
659.5356,0.07469427
661.4641,0.07492608
663.3925,0.0748485
665.321,0.07428481
667.2495,0.07357354
669.1779,0.07289954
671.1064,0.07248826
673.0349,0.07217112
674.9633,0.07196427
676.8918,0.07174978
678.8203,0.07113648
680.7487,0.07025617
682.6772,0.0692362
684.6057,0.06835397
686.5341,0.06735748
688.4626,0.06644931
690.3911,0.06584531
692.3195,0.06544504
694.248,0.06498279
696.1765,0.06449265
698.1049,0.06401852
700.0334,0.06329859
701.9619,0.06219587
703.8903,0.06131448
705.8188,0.06050995
707.7473,0.0599836
709.6757,0.05990016
711.6042,0.06039386
713.5327,0.06103708
715.4611,0.06192579
717.3896,0.0632477
719.3181,0.06471272
721.2465,0.06621508
723.175,0.06793375
725.1035,0.06987327
727.0319,0.0715899
728.9604,0.07315453
730.8889,0.07405443
732.8173,0.07433145
734.7458,0.07461999
736.6743,0.07461558
738.6027,0.07432775
740.5312,0.0743695
742.4597,0.07448193
744.3881,0.07437853
746.3166,0.07449722
748.2451,0.07473037
750.1735,0.07498793
752.102,0.07533857
754.0305,0.07566774
755.9589,0.07612389
757.8874,0.07669872
759.8159,0.07741782
761.7443,0.07836072
763.6728,0.07963328
765.6013,0.08101103
767.5297,0.08245581
769.4582,0.08391415
771.3867,0.08539225
773.3151,0.08683982
775.2436,0.08828233
777.1721,0.08960439
779.1005,0.09065875
781.029,0.09137785
782.9575,0.09183347
784.8859,0.09206437
786.8144,0.09211765
788.7429,0.09221767
790.6713,0.0922983
792.5998,0.09198629
794.5283,0.09131339
796.4567,0.09092421
798.3852,0.09071369
800.3137,0.09060238
802.2421,0.09063064
804.1706,0.0909455
806.0991,0.09155584
808.0275,0.09257665
809.956,0.09435164
811.8845,0.09647831
813.8129,0.09883182
815.7414,0.1017956
817.6699,0.1052823
819.5983,0.1092281
821.5268,0.1133613
823.4553,0.117852
825.3837,0.1228094
827.3122,0.1280953
829.2407,0.1335071
831.1691,0.1391162
833.0976,0.1450905
835.0261,0.1514245
836.9545,0.1577738
838.883,0.1643627
840.8115,0.1710888
842.7399,0.1779291
844.6684,0.1847109
846.5969,0.1909298
848.5253,0.1966256
850.4538,0.2019804
852.3823,0.2069887
854.3107,0.2116031
856.2392,0.2157276
858.1677,0.2195951
860.0961,0.2230911
862.0246,0.2264718
863.9531,0.2295316
865.8815,0.2325718
867.81,0.2354096
869.7385,0.2379322
871.6669,0.2404346
873.5954,0.2433509
875.5239,0.2463865
877.4523,0.2492824
879.3808,0.2524043
881.3093,0.2559472
883.2377,0.2595341
885.1662,0.2633821
887.0947,0.2674174
889.0231,0.2713069
890.9516,0.2750375
892.8801,0.2791458
894.8085,0.2835474
896.737,0.2878582
898.6655,0.2925569
900.5939,0.2972893
902.5224,0.3017226
904.4509,0.3055725
906.3793,0.3090288
908.3078,0.3119688
910.2363,0.3141782
912.1647,0.3156819
914.0932,0.3166036
916.0217,0.316896
917.9501,0.3170216
919.8786,0.3172528
921.8071,0.3174658
923.7355,0.3176794
925.664,0.3181133
927.5925,0.3187604
929.5209,0.3192193
931.4494,0.3193868
933.3779,0.3193451
935.3063,0.3190975
937.2348,0.318349
939.1633,0.3170225
941.0917,0.3152903
943.0202,0.3130913
944.9487,0.3104065
946.8771,0.3073884
948.8056,0.3043339
950.7341,0.3010637
952.6625,0.2974596
954.591,0.2940293
956.5195,0.2906949
958.4479,0.2873653
960.3764,0.2839689
962.3049,0.2803866
964.2333,0.2766491
966.1618,0.2729893
968.0903,0.2691264
970.0187,0.2651175
971.9472,0.2608685
973.8757,0.2563926
975.8041,0.2519464
977.7326,0.2471708
979.6611,0.2419114
981.5895,0.2365689
983.518,0.2308426
985.4465,0.2248238
987.3749,0.2187064
989.3034,0.2124072
991.2319,0.2058585
993.1603,0.19934
995.0888,0.192944
997.0173,0.1867451
998.9457,0.1807547
1000.874,0.1749253
1002.803,0.1694079
1004.731,0.1642432
1006.66,0.1594684
1008.588,0.1551242
1010.517,0.1513659
1012.445,0.1481406
1014.373,0.1454401
1016.302,0.1431753
1018.23,0.1412794
1020.159,0.1397638
1022.087,0.1386292
1024.016,0.1377974
1025.944,0.1370855
1027.873,0.1366693
1029.801,0.1365418
1031.73,0.1364664
1033.658,0.1362943
1035.587,0.1360373
1037.515,0.1360002
1039.443,0.1359266
1041.372,0.1356077
1043.3,0.1352862
1045.229,0.13488
1047.157,0.1341853
1049.086,0.1329723
1051.014,0.1314948
1052.943,0.1297283
1054.871,0.1275009
1056.8,0.1246426
1058.728,0.1214039
1060.657,0.1181793
1062.585,0.1148337
1064.514,0.1112923
1066.442,0.1076924
1068.37,0.1040717
1070.299,0.1007276
1072.227,0.09734855
1074.156,0.09391063
1076.084,0.09053744
1078.013,0.08730649
1079.941,0.08431987
1081.87,0.08147001
1083.798,0.07868157
1085.727,0.07605933
1087.655,0.07355075
1089.584,0.0713249
1091.512,0.06928304
1093.441,0.06723776
1095.369,0.06520733
1097.297,0.06339402
1099.226,0.06168413
1101.154,0.0599397
1103.083,0.0581697
1105.011,0.05638465
1106.94,0.05446745
1108.868,0.05240814
1110.797,0.0501981
1112.725,0.04780197
1114.654,0.04526031
1116.582,0.04236845
1118.511,0.03934587
1120.439,0.03631626
1122.368,0.03333113
1124.296,0.03051013
1126.224,0.02763886
1128.153,0.02474574
1130.081,0.02194774
1132.01,0.0194013
1133.938,0.01709675
1135.867,0.01490597
1137.795,0.01291472
1139.724,0.01133807
1141.652,0.009919396
1143.581,0.008721119
1145.509,0.00788975
1147.438,0.00734724
1149.366,0.006806569
1151.295,0.006294712
1153.223,0.006002439
1155.151,0.005730862
1157.08,0.005382194
1159.008,0.004982408
1160.937,0.004735596
1162.865,0.004569309
1164.794,0.004462698
1166.722,0.004248292
1168.651,0.00401401
1170.579,0.003757668
1172.508,0.003515505
1174.436,0.00336821
1176.365,0.003226886
1178.293,0.003136974
1180.222,0.003108647
1182.15,0.00301678
1184.078,0.002917548
1186.007,0.002875489
1187.935,0.002792803
1189.864,0.002718919
1191.792,0.002699895
1193.721,0.002508117
1195.649,0.002346824
1197.578,0.002335841
1199.506,0.002348289
1201.435,0.002306987
1203.363,0.002249763
1205.292,0.002170582
1207.22,0.002015739
1209.149,0.001889421
1211.077,0.001892985
1213.005,0.001883886
1214.934,0.001932721
1216.862,0.00205795
1218.791,0.002025364
1220.719,0.001929706
1222.648,0.001798345
1224.576,0.001831745
1226.505,0.001870545
1228.433,0.001844478
1230.362,0.001849364
1232.29,0.001850737
1234.219,0.001838725
1236.147,0.001799051
1238.076,0.001696378
1240.004,0.001656276
1241.932,0.001736648
1243.861,0.001731607
1245.789,0.001716806
1247.718,0.001734056
1249.646,0.001734773
1251.575,0.001675756
1253.503,0.001640799
1255.432,0.001756101
1257.36,0.001881472
1259.289,0.001907712
1261.217,0.001879475
1263.146,0.001741383
