x,y
374.1225,0.1830585
376.051,0.1813507
377.9795,0.1850693
379.9079,0.192263
381.8364,0.2029873
383.7649,0.2074124
385.6933,0.2139465
387.6218,0.2197632
389.5503,0.2252543
391.4787,0.2278547
393.4072,0.2282077
395.3357,0.2331344
397.2641,0.243881
399.1926,0.2454428
401.1211,0.2530578
403.0495,0.2573452
404.978,0.2584884
406.9065,0.2686448
408.8349,0.2752233
410.7634,0.275123
412.6919,0.2786316
414.6203,0.2829976
416.5488,0.2886002
418.4773,0.2916894
420.4057,0.2921797
422.3342,0.2963694
424.2627,0.3001775
426.1911,0.3042322
428.1196,0.308778
430.0481,0.3117192
431.9765,0.314436
433.905,0.3187823
435.8335,0.3229916
437.7619,0.327098
439.6904,0.3338544
441.6189,0.3367531
443.5473,0.3393305
445.4758,0.341343
447.4043,0.3456366
449.3327,0.3475516
451.2612,0.3469008
453.1897,0.3478393
455.1181,0.3507478
457.0466,0.3511322
458.9751,0.3534355
460.9035,0.3547466
462.832,0.3561553
464.7605,0.3572229
466.6889,0.3586445
468.6174,0.3591824
470.5459,0.3591333
472.4743,0.3601496
474.4028,0.3599771
476.3313,0.3594802
478.2597,0.3616709
480.1882,0.3639827
482.1167,0.3650595
484.0451,0.3660845
485.9736,0.3682144
487.9021,0.3695804
489.8305,0.3698755
491.759,0.3712351
493.6875,0.3757501
495.6159,0.3744547
497.5444,0.3764524
499.4729,0.3805827
501.4013,0.3833089
503.3298,0.3845593
505.2583,0.3870663
507.1867,0.3924843
509.1152,0.3905534
511.0437,0.3923421
512.9721,0.3965493
514.9006,0.397382
516.829,0.3995789
518.7575,0.4004682
520.686,0.4028026
522.6144,0.4046174
524.5429,0.4049698
526.4714,0.4057512
528.3998,0.4079018
530.3283,0.4104748
532.2568,0.4090097
534.1852,0.4097456
536.1137,0.4116285
538.0422,0.4111985
539.9706,0.4125022
541.8991,0.4165378
543.8276,0.4191029
545.756,0.4179297
547.6845,0.4198146
549.613,0.4223761
551.5414,0.4236172
553.4699,0.4280518
555.3984,0.4289464
557.3268,0.4301697
559.2553,0.4320358
561.1838,0.4331893
563.1122,0.4332215
565.0407,0.4344197
566.9692,0.4372711
568.8976,0.4394251
570.8261,0.4422088
572.7546,0.443476
574.683,0.4467414
576.6115,0.4478599
578.54,0.4508331
580.4684,0.4528478
582.3969,0.4548293
584.3254,0.4555311
586.2538,0.4583652
588.1823,0.4600597
590.1108,0.460945
592.0392,0.4637083
593.9677,0.4663251
595.8962,0.4684983
597.8246,0.4696088
599.7531,0.4709614
601.6816,0.4731135
603.61,0.4757239
605.5385,0.4778529
607.467,0.4801733
609.3954,0.4804755
611.3239,0.4818354
613.2524,0.4833395
615.1808,0.4850978
617.1093,0.486711
619.0378,0.4884225
620.9662,0.4895481
622.8947,0.4909916
624.8232,0.4920397
626.7516,0.4940065
628.6801,0.4972249
630.6086,0.4995629
632.537,0.500642
634.4655,0.5023054
636.394,0.5038231
638.3224,0.5058783
640.2509,0.5065304
642.1794,0.5061806
644.1078,0.5071767
646.0363,0.5083092
647.9648,0.5092726
649.8932,0.5101184
651.8217,0.5110726
653.7502,0.5117889
655.6786,0.5134001
657.6071,0.5148147
659.5356,0.5151532
661.4641,0.5166815
663.3925,0.5184458
665.321,0.5195593
667.2495,0.5214796
669.1779,0.5231522
671.1064,0.5225892
673.0349,0.5224611
674.9633,0.5251119
676.8918,0.527328
678.8203,0.5277756
680.7487,0.5290244
682.6772,0.5307603
684.6057,0.5326033
686.5341,0.533931
688.4626,0.5346751
690.3911,0.5363561
692.3195,0.5395384
694.248,0.5408685
696.1765,0.5422602
698.1049,0.5426632
700.0334,0.543708
701.9619,0.5428611
703.8903,0.5440618
705.8188,0.5449052
707.7473,0.5458897
709.6757,0.5469795
711.6042,0.549532
713.5327,0.5500987
715.4611,0.549529
717.3896,0.5511384
719.3181,0.5533652
721.2465,0.5542151
723.175,0.5548859
725.1035,0.5575815
727.0319,0.5587769
728.9604,0.5601265
730.8889,0.5618597
732.8173,0.5624266
734.7458,0.5634363
736.6743,0.5663535
738.6027,0.5687069
740.5312,0.5702199
742.4597,0.5709524
744.3881,0.571373
746.3166,0.5729051
748.2451,0.5750138
750.1735,0.5777409
752.102,0.5799918
754.0305,0.5810742
755.9589,0.5820895
757.8874,0.5832216
759.8159,0.5847602
761.7443,0.5862874
763.6728,0.5881627
765.6013,0.5899004
767.5297,0.5923469
769.4582,0.594056
771.3867,0.5953488
773.3151,0.5964236
775.2436,0.5981407
777.1721,0.6004261
779.1005,0.6030269
781.029,0.6046908
782.9575,0.6060157
784.8859,0.6053672
786.8144,0.6054834
788.7429,0.6070666
790.6713,0.6096541
792.5998,0.6102546
794.5283,0.6099296
796.4567,0.6113406
798.3852,0.6113164
800.3137,0.6103038
802.2421,0.6100098
804.1706,0.6105118
806.0991,0.6106011
808.0275,0.6099577
809.956,0.6101616
811.8845,0.6103463
813.8129,0.6092339
815.7414,0.6090988
817.6699,0.6090274
819.5983,0.6091307
821.5268,0.6098099
823.4553,0.610864
825.3837,0.6120588
827.3122,0.6135138
829.2407,0.6143554
831.1691,0.6151874
833.0976,0.6147526
835.0261,0.6158047
836.9545,0.6164577
838.883,0.617333
840.8115,0.6185766
842.7399,0.6205176
844.6684,0.6226513
846.5969,0.6240225
848.5253,0.6247762
850.4538,0.6254741
852.3823,0.6270048
854.3107,0.6286619
856.2392,0.6294415
858.1677,0.6331266
860.0961,0.6352224
862.0246,0.6360497
863.9531,0.6367427
865.8815,0.6386957
867.81,0.6423349
869.7385,0.6465746
871.6669,0.6516811
873.5954,0.6556747
875.5239,0.6566133
877.4523,0.6559021
879.3808,0.6544755
881.3093,0.6533456
883.2377,0.6523299
885.1662,0.6521522
887.0947,0.6537101
889.0231,0.6552785
890.9516,0.6570991
892.8801,0.6589062
894.8085,0.6605796
896.737,0.6615261
898.6655,0.6633297
900.5939,0.6645198
902.5224,0.6662282
904.4509,0.6691369
906.3793,0.6712449
908.3078,0.6725367
910.2363,0.6738282
912.1647,0.6760465
914.0932,0.6787235
916.0217,0.6805901
917.9501,0.6821041
919.8786,0.6835598
921.8071,0.6855199
923.7355,0.6876419
925.664,0.6891629
927.5925,0.690753
929.5209,0.6926587
931.4494,0.6950722
933.3779,0.6969591
935.3063,0.698094
937.2348,0.6996738
939.1633,0.7019738
941.0917,0.7042109
943.0202,0.7064633
944.9487,0.708562
946.8771,0.7102586
948.8056,0.7121024
950.7341,0.7142214
952.6625,0.7165763
954.591,0.7193586
956.5195,0.7218784
958.4479,0.7245717
960.3764,0.7268471
962.3049,0.728645
964.2333,0.7305111
