x,y
374.1225,0.1141369
376.051,0.1203773
377.9795,0.128184
379.9079,0.1312712
381.8364,0.1258607
383.7649,0.1193595
385.6933,0.1222126
387.6218,0.1256028
389.5503,0.1253044
391.4787,0.1255747
393.4072,0.1212881
395.3357,0.1244824
397.2641,0.1238799
399.1926,0.1174746
401.1211,0.1211736
403.0495,0.1221771
404.978,0.1214415
406.9065,0.1227685
408.8349,0.119076
410.7634,0.1173171
412.6919,0.1158732
414.6203,0.1129256
416.5488,0.1106004
418.4773,0.1076449
420.4057,0.1045809
422.3342,0.1037529
424.2627,0.1020467
426.1911,0.09932514
428.1196,0.09730019
430.0481,0.0944634
431.9765,0.09201989
433.905,0.09097336
435.8335,0.0904139
437.7619,0.08811758
439.6904,0.08572166
441.6189,0.08459857
443.5473,0.08381005
445.4758,0.08228049
447.4043,0.08156607
449.3327,0.08108304
451.2612,0.08107541
453.1897,0.08073501
455.1181,0.08013305
457.0466,0.08068598
458.9751,0.0813733
460.9035,0.08181843
462.832,0.08090892
464.7605,0.07808281
466.6889,0.07428312
468.6174,0.07044712
470.5459,0.06674425
472.4743,0.06377071
474.4028,0.0606158
476.3313,0.05704748
478.2597,0.05398377
480.1882,0.05161689
482.1167,0.04972332
484.0451,0.04867998
485.9736,0.04836508
487.9021,0.0488312
489.8305,0.04987245
491.759,0.05154761
493.6875,0.05367583
495.6159,0.05632159
497.5444,0.05918587
499.4729,0.06224956
501.4013,0.06492823
503.3298,0.06656348
505.2583,0.06743023
507.1867,0.06829379
509.1152,0.06910265
511.0437,0.07012259
512.9721,0.07121375
514.9006,0.07253765
516.829,0.07406406
518.7575,0.07583385
520.686,0.0778886
522.6144,0.07988544
524.5429,0.08150582
526.4714,0.08300763
528.3998,0.084675
530.3283,0.08577494
532.2568,0.08681673
534.1852,0.08818795
536.1137,0.08991903
538.0422,0.09127677
539.9706,0.09242538
541.8991,0.09406096
543.8276,0.0960243
545.756,0.09799307
547.6845,0.1004104
549.613,0.102395
551.5414,0.1040789
553.4699,0.1053429
555.3984,0.1058265
557.3268,0.105735
559.2553,0.1053388
561.1838,0.1038148
563.1122,0.1019995
565.0407,0.1001377
566.9692,0.09765042
568.8976,0.09501527
570.8261,0.09215491
572.7546,0.08909892
574.683,0.08622602
576.6115,0.08330639
578.54,0.08015592
580.4684,0.0767851
582.3969,0.07318271
584.3254,0.06959383
586.2538,0.0664124
588.1823,0.06302255
590.1108,0.05968007
592.0392,0.05658044
593.9677,0.05368163
595.8962,0.05100073
597.8246,0.04839642
599.7531,0.04601455
601.6816,0.04388021
603.61,0.04196152
605.5385,0.0403653
607.467,0.03870415
609.3954,0.03689237
611.3239,0.03552831
613.2524,0.03451757
615.1808,0.03374225
617.1093,0.03299357
619.0378,0.0323941
620.9662,0.03209782
622.8947,0.03210446
624.8232,0.03223288
626.7516,0.03249171
628.6801,0.03285572
630.6086,0.03303146
632.537,0.03340005
634.4655,0.03396896
636.394,0.03449859
638.3224,0.03506644
640.2509,0.03576448
642.1794,0.03662279
644.1078,0.03747629
646.0363,0.03827307
647.9648,0.03915749
649.8932,0.04017758
651.8217,0.04137274
653.7502,0.04262145
655.6786,0.04374042
657.6071,0.04476398
659.5356,0.04586054
661.4641,0.04723632
663.3925,0.04871339
665.321,0.05001909
667.2495,0.05124166
669.1779,0.05249843
671.1064,0.05386347
673.0349,0.05519246
674.9633,0.0564278
676.8918,0.05769872
678.8203,0.05889207
680.7487,0.05993852
682.6772,0.06110366
684.6057,0.06215274
686.5341,0.06293751
688.4626,0.06376204
690.3911,0.0646295
692.3195,0.06521715
694.248,0.06574532
696.1765,0.06620771
698.1049,0.06656416
700.0334,0.06642444
701.9619,0.065716
703.8903,0.06433962
705.8188,0.06221817
707.7473,0.05970222
709.6757,0.0572152
711.6042,0.05496175
713.5327,0.05307783
715.4611,0.05182838
717.3896,0.05130208
