x,y
374.1225,0.09436814
376.051,0.09943162
377.9795,0.1057149
379.9079,0.1032651
381.8364,0.100201
383.7649,0.0984862
385.6933,0.09772304
387.6218,0.09941686
389.5503,0.1026053
391.4787,0.1041066
393.4072,0.1014437
395.3357,0.09556199
397.2641,0.08765282
399.1926,0.08579747
401.1211,0.09020301
403.0495,0.09355728
404.978,0.09259985
406.9065,0.09268978
408.8349,0.09555514
410.7634,0.09859642
412.6919,0.1022413
414.6203,0.1014951
416.5488,0.09717031
418.4773,0.09246078
420.4057,0.08703438
422.3342,0.0825145
424.2627,0.08054662
426.1911,0.07903876
428.1196,0.07976974
430.0481,0.08295135
431.9765,0.08794655
433.905,0.09396781
435.8335,0.09861251
437.7619,0.1019381
439.6904,0.1042453
441.6189,0.1051913
443.5473,0.1055831
445.4758,0.1038934
447.4043,0.101085
449.3327,0.1002446
451.2612,0.1009594
453.1897,0.1015065
455.1181,0.1018046
457.0466,0.1024293
458.9751,0.1023838
460.9035,0.1010418
462.832,0.09928152
464.7605,0.09619705
466.6889,0.09243769
468.6174,0.08913846
470.5459,0.08609065
472.4743,0.08506026
474.4028,0.08675558
476.3313,0.08873384
478.2597,0.09092175
480.1882,0.09309509
482.1167,0.0938611
484.0451,0.09363069
485.9736,0.09296554
487.9021,0.09211617
489.8305,0.09113871
491.759,0.0896564
493.6875,0.08815368
495.6159,0.08586989
497.5444,0.08271433
499.4729,0.07900324
501.4013,0.07545433
503.3298,0.07205069
505.2583,0.06858416
507.1867,0.06580784
509.1152,0.06357952
511.0437,0.06199226
512.9721,0.0613764
514.9006,0.06133194
516.829,0.06265844
518.7575,0.06525937
520.686,0.06777131
522.6144,0.06931322
524.5429,0.07012908
526.4714,0.07007248
528.3998,0.06944096
530.3283,0.06839816
532.2568,0.06715815
534.1852,0.06589241
536.1137,0.06490656
538.0422,0.06330183
539.9706,0.06143105
541.8991,0.0602207
543.8276,0.05950427
545.756,0.05903465
547.6845,0.05951072
549.613,0.06050521
551.5414,0.06124517
553.4699,0.06119583
555.3984,0.06036694
557.3268,0.05847852
559.2553,0.05527172
561.1838,0.05157589
563.1122,0.04778587
565.0407,0.04448535
566.9692,0.04179504
568.8976,0.03912312
570.8261,0.03702955
572.7546,0.03585398
574.683,0.03506874
576.6115,0.03477496
578.54,0.03511704
580.4684,0.03552741
582.3969,0.03619308
584.3254,0.03688973
586.2538,0.03798016
588.1823,0.03898508
590.1108,0.03992946
592.0392,0.04087831
593.9677,0.04167558
595.8962,0.04263652
597.8246,0.04338865
599.7531,0.04407463
601.6816,0.04465206
603.61,0.04501208
605.5385,0.04501585
607.467,0.04469993
609.3954,0.04368009
611.3239,0.04233009
613.2524,0.04019085
615.1808,0.03741271
617.1093,0.03400013
619.0378,0.03019749
620.9662,0.02658776
622.8947,0.023665
624.8232,0.02160336
626.7516,0.02055066
628.6801,0.02025213
630.6086,0.02002314
632.537,0.02012809
634.4655,0.02073885
636.394,0.02137744
638.3224,0.02207703
640.2509,0.02298938
642.1794,0.02394992
644.1078,0.02510025
646.0363,0.02657314
647.9648,0.02801406
649.8932,0.02982525
651.8217,0.03201285
653.7502,0.03425061
655.6786,0.03685696
657.6071,0.039905
659.5356,0.04314857
661.4641,0.04665805
663.3925,0.05056138
665.321,0.05469755
667.2495,0.05890672
669.1779,0.06323856
671.1064,0.06743851
673.0349,0.07148844
674.9633,0.0749825
676.8918,0.07737879
678.8203,0.0783748
680.7487,0.07771809
682.6772,0.07541931
684.6057,0.07192116
686.5341,0.06729982
688.4626,0.06213803
690.3911,0.05731649
692.3195,0.05390104
694.248,0.05194969
696.1765,0.05149469
698.1049,0.05220827
700.0334,0.05296931
701.9619,0.05251694
703.8903,0.05119845
705.8188,0.04927707
707.7473,0.04662789
709.6757,0.04326301
711.6042,0.03957167
713.5327,0.03609949
715.4611,0.033183
717.3896,0.03083223
719.3181,0.02905512
721.2465,0.02768091
723.175,0.02668578
725.1035,0.02607783
727.0319,0.02578157
728.9604,0.02574141
730.8889,0.02566679
732.8173,0.02562314
734.7458,0.02586704
736.6743,0.02625033
738.6027,0.02662656
740.5312,0.02707851
742.4597,0.02753975
744.3881,0.02801581
746.3166,0.02869862
748.2451,0.02963012
750.1735,0.03079728
752.102,0.03201337
754.0305,0.03324445
755.9589,0.03449416
757.8874,0.03587192
759.8159,0.03743267
761.7443,0.03906804
763.6728,0.04093561
765.6013,0.0428346
767.5297,0.04457448
769.4582,0.04636415
771.3867,0.04820378
773.3151,0.05008262
775.2436,0.05201813
777.1721,0.05384219
779.1005,0.05552523
781.029,0.05692909
782.9575,0.05799477
784.8859,0.05879188
786.8144,0.0594764
788.7429,0.06004082
790.6713,0.06066551
792.5998,0.06117901
794.5283,0.06185721
796.4567,0.06307824
798.3852,0.06481666
800.3137,0.06680538
802.2421,0.06902738
804.1706,0.07125394
806.0991,0.07304096
808.0275,0.07423619
809.956,0.07528315
811.8845,0.07606313
813.8129,0.07643381
815.7414,0.07674015
817.6699,0.07682774
819.5983,0.07677682
821.5268,0.07666215
823.4553,0.0762738
825.3837,0.0754246
827.3122,0.07422772
829.2407,0.07258887
831.1691,0.07073256
833.0976,0.06894277
835.0261,0.06728706
836.9545,0.06555026
838.883,0.06361402
840.8115,0.06129282
842.7399,0.05847245
844.6684,0.05535343
846.5969,0.05223979
848.5253,0.04913954
850.4538,0.04613331
852.3823,0.0437094
854.3107,0.04186575
856.2392,0.04043453
858.1677,0.03968633
860.0961,0.03935563
862.0246,0.0393976
863.9531,0.03977373
865.8815,0.04058361
867.81,0.04168186
869.7385,0.0427529
871.6669,0.0438737
873.5954,0.04515729
875.5239,0.04657388
877.4523,0.04799451
879.3808,0.04936879
881.3093,0.05077529
883.2377,0.05191436
885.1662,0.05308335
887.0947,0.05439732
889.0231,0.05559212
890.9516,0.05693892
892.8801,0.0581825
894.8085,0.05953743
896.737,0.06085408
898.6655,0.06225152
900.5939,0.06352169
902.5224,0.06476749
