x,y
374.1225,0.05662172
376.051,0.05595078
377.9795,0.0581273
379.9079,0.05749277
381.8364,0.05629432
383.7649,0.05603203
385.6933,0.05482712
387.6218,0.05082541
389.5503,0.04744197
391.4787,0.04900738
393.4072,0.05380166
395.3357,0.05645539
397.2641,0.05509728
399.1926,0.05175755
401.1211,0.05085719
403.0495,0.05148629
404.978,0.04929721
406.9065,0.0475271
408.8349,0.04705317
410.7634,0.0462547
412.6919,0.04560964
414.6203,0.04468944
416.5488,0.04256239
418.4773,0.04271788
420.4057,0.04394785
422.3342,0.0431732
424.2627,0.04161408
426.1911,0.04078214
428.1196,0.04047388
430.0481,0.03961167
431.9765,0.03872764
433.905,0.03742623
435.8335,0.0360291
437.7619,0.03456841
439.6904,0.03401712
441.6189,0.03374607
443.5473,0.0332133
445.4758,0.03291697
447.4043,0.03281824
449.3327,0.03297536
451.2612,0.03221364
453.1897,0.03088619
455.1181,0.03016487
457.0466,0.03001726
458.9751,0.02962121
460.9035,0.02966634
462.832,0.02950014
464.7605,0.02928771
466.6889,0.02956718
468.6174,0.02951631
470.5459,0.02891189
472.4743,0.02844917
474.4028,0.02783423
476.3313,0.02731805
478.2597,0.02693903
480.1882,0.02615107
482.1167,0.02570966
484.0451,0.02543504
485.9736,0.02491861
487.9021,0.02472284
489.8305,0.02447478
491.759,0.02418705
493.6875,0.02355646
495.6159,0.02297482
497.5444,0.02262566
499.4729,0.0219204
501.4013,0.02140777
503.3298,0.02143464
505.2583,0.02147281
507.1867,0.02066492
509.1152,0.02001712
511.0437,0.01983844
512.9721,0.01978372
514.9006,0.01947884
516.829,0.01902
518.7575,0.01866729
520.686,0.01845231
522.6144,0.01868508
524.5429,0.01846043
526.4714,0.01792222
528.3998,0.01754004
530.3283,0.01734728
532.2568,0.01731556
534.1852,0.01695941
536.1137,0.01677257
538.0422,0.01709043
539.9706,0.01733065
541.8991,0.01745856
543.8276,0.01748771
545.756,0.01711494
547.6845,0.01681629
549.613,0.01652487
551.5414,0.01629127
553.4699,0.01623902
555.3984,0.01579574
557.3268,0.01523623
559.2553,0.014745
561.1838,0.01430993
563.1122,0.0141164
565.0407,0.01416693
566.9692,0.01394105
568.8976,0.01361155
570.8261,0.01323415
572.7546,0.01289075
574.683,0.01253107
576.6115,0.0124307
578.54,0.01240266
580.4684,0.01216864
582.3969,0.01173859
584.3254,0.01147536
586.2538,0.01123052
588.1823,0.01083515
590.1108,0.01054393
592.0392,0.0102245
593.9677,0.009897346
595.8962,0.009428443
597.8246,0.008968082
599.7531,0.008732855
601.6816,0.008220457
603.61,0.007788124
605.5385,0.007453773
607.467,0.007306166
609.3954,0.007224279
611.3239,0.006926544
613.2524,0.006781182
615.1808,0.006624327
617.1093,0.006467853
619.0378,0.0063424
620.9662,0.006168332
622.8947,0.005958484
624.8232,0.005792934
626.7516,0.005578272
628.6801,0.005539893
630.6086,0.005423413
632.537,0.005369115
634.4655,0.005384357
636.394,0.00518535
638.3224,0.00497687
640.2509,0.004872833
