x,y
374.1225,0.08468789
376.051,0.07111358
377.9795,0.0671433
379.9079,0.06390347
381.8364,0.06812826
383.7649,0.07148071
385.6933,0.06728108
387.6218,0.05820322
389.5503,0.05091558
391.4787,0.05014459
393.4072,0.05102402
395.3357,0.05037433
397.2641,0.05034427
399.1926,0.05016976
401.1211,0.0490478
403.0495,0.05000908
404.978,0.05198462
406.9065,0.05122014
408.8349,0.05075679
410.7634,0.05019908
412.6919,0.04910595
414.6203,0.0488084
416.5488,0.04915624
418.4773,0.05001831
420.4057,0.05124869
422.3342,0.05110842
424.2627,0.05031675
426.1911,0.05007644
428.1196,0.0500154
430.0481,0.05022176
431.9765,0.05053863
433.905,0.05014498
435.8335,0.05005405
437.7619,0.05008836
439.6904,0.05102384
441.6189,0.05255818
443.5473,0.0534183
445.4758,0.05466627
447.4043,0.05770794
449.3327,0.06007815
451.2612,0.06115029
453.1897,0.0620729
455.1181,0.06372386
457.0466,0.06529652
458.9751,0.06611532
460.9035,0.06654187
462.832,0.06780931
464.7605,0.06961295
466.6889,0.07044412
468.6174,0.07125622
470.5459,0.07244717
472.4743,0.07406332
474.4028,0.07514156
476.3313,0.07659297
478.2597,0.0789293
480.1882,0.0804778
482.1167,0.08178694
484.0451,0.08332811
485.9736,0.08424191
487.9021,0.08509086
489.8305,0.08662463
491.759,0.08759411
493.6875,0.08782397
495.6159,0.08825003
497.5444,0.08819231
499.4729,0.08842159
501.4013,0.0889847
503.3298,0.08948802
505.2583,0.0899022
507.1867,0.08908685
509.1152,0.08782997
511.0437,0.08653726
512.9721,0.08477067
514.9006,0.08240538
516.829,0.07954922
518.7575,0.07667747
520.686,0.07385277
522.6144,0.07109123
524.5429,0.06778613
526.4714,0.06421635
528.3998,0.06136021
530.3283,0.05857589
532.2568,0.05580195
534.1852,0.05274445
536.1137,0.05050284
538.0422,0.04946123
539.9706,0.04883653
541.8991,0.04823354
543.8276,0.04772286
545.756,0.04729761
547.6845,0.04783048
549.613,0.04867267
551.5414,0.04922875
553.4699,0.05033296
555.3984,0.05187302
557.3268,0.05313032
559.2553,0.0539963
561.1838,0.05494633
563.1122,0.05604657
565.0407,0.05691181
566.9692,0.05723451
568.8976,0.05715981
570.8261,0.05665697
572.7546,0.05586682
574.683,0.05496389
576.6115,0.05370927
578.54,0.05196544
580.4684,0.05033602
582.3969,0.04856952
584.3254,0.04629874
586.2538,0.0433308
588.1823,0.04054407
590.1108,0.03805972
592.0392,0.03540275
593.9677,0.03291396
595.8962,0.03050564
597.8246,0.02817753
599.7531,0.02615942
601.6816,0.02433038
603.61,0.02304539
605.5385,0.02212911
607.467,0.02146935
609.3954,0.02085531
611.3239,0.02034654
613.2524,0.0198975
615.1808,0.01952746
617.1093,0.01933198
619.0378,0.01925733
620.9662,0.01910867
622.8947,0.01890066
624.8232,0.01868475
626.7516,0.01828298
628.6801,0.018178
630.6086,0.01823472
632.537,0.01818747
634.4655,0.01829419
636.394,0.01821511
638.3224,0.01822424
640.2509,0.01825934
642.1794,0.01825025
644.1078,0.01835979
646.0363,0.01851163
647.9648,0.01843856
649.8932,0.0183851
651.8217,0.01850654
653.7502,0.01862963
655.6786,0.01895962
657.6071,0.01897892
659.5356,0.01865847
661.4641,0.01869284
663.3925,0.01897868
665.321,0.0192109
667.2495,0.01924212
669.1779,0.01927913
671.1064,0.019284
673.0349,0.01931653
674.9633,0.01953909
676.8918,0.01983036
678.8203,0.01995319
680.7487,0.01995305
682.6772,0.01993454
684.6057,0.01991587
686.5341,0.01991202
688.4626,0.02016629
690.3911,0.02038106
692.3195,0.02043869
694.248,0.02062852
696.1765,0.02084019
698.1049,0.02095247
700.0334,0.0209892
701.9619,0.02114778
703.8903,0.02128059
705.8188,0.02137231
707.7473,0.02156642
709.6757,0.0216658
711.6042,0.02194531
713.5327,0.02230266
715.4611,0.0225382
717.3896,0.02250676
719.3181,0.02244598
721.2465,0.02264694
723.175,0.02310153
725.1035,0.02342244
727.0319,0.02375785
728.9604,0.02409842
730.8889,0.02444829
732.8173,0.02470298
734.7458,0.02492763
736.6743,0.02525092
738.6027,0.02546648
740.5312,0.02576573
742.4597,0.02631036
744.3881,0.026702
746.3166,0.02700233
748.2451,0.02747327
750.1735,0.02805997
752.102,0.02856981
754.0305,0.02899482
755.9589,0.02948529
757.8874,0.0300183
759.8159,0.03048197
761.7443,0.03107152
763.6728,0.03180796
765.6013,0.03251033
767.5297,0.03326112
769.4582,0.03413212
771.3867,0.03492669
773.3151,0.035757
775.2436,0.03668688
777.1721,0.03777105
779.1005,0.03876048
781.029,0.03974011
782.9575,0.040907
784.8859,0.04218299
786.8144,0.04356271
788.7429,0.04499591
790.6713,0.04648957
792.5998,0.04817608
794.5283,0.05011785
796.4567,0.05207098
798.3852,0.05399156
800.3137,0.05591297
802.2421,0.05807754
804.1706,0.06053683
806.0991,0.06306113
808.0275,0.06564844
809.956,0.06843287
811.8845,0.07143466
813.8129,0.07459982
